Frame #,Head Pink X,Head Pink Y,Hand Pink X,Hand Pink Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X,Shoulder Green Y,Timestamp (microseconds),angles,Seconds,Head Pink X meters,Hand Pink X meters,Elbow Orange X meters,Shoulder Green X meters,Head Pink Y meters,Hand Pink Y meters,Elbow Orange Y meters,Shoulder Green Y meters,angular velocity
1.0,342.43396,965.3635254,997.4368896,1028.278687,715.1966553,1024.22998,494.1040039,1002.424011,1659656558223330.0,0.0,0.0,0.3396810008339884,0.9894181083209982,0.7094469125241696,0.4901317105372169,-0.9576025943119056,-1.0200119565723549,-1.015995798695246,-0.9943651363214704,
2.0,342.43396,965.3635254,997.4075928,1028.230469,715.3650513,1024.349243,494.1040039,1002.424011,1659656558239996.8,0.005303823584203,0.01666675,0.3396810008339884,0.9893890470493146,0.7096139547235368,0.4901317105372169,-0.9576025943119056,-1.0199641262155228,-1.0161141028938203,-0.9943651363214704,0.005303823584203
3.0,342.43396,965.3635254,997.4533081,1028.333374,715.5,1024.844482,494.1040039,1002.424011,1659656558256663.2,0.0061128074727472,0.03333325,0.3396810008339884,0.9894343948263208,0.7097478185186968,0.4901317105372169,-0.9576025943119056,-1.0200662039223916,-1.0166053604757843,-0.9943651363214704,0.0008089838885442001
4.0,342.43396,965.3635254,997.4235229,1028.576416,715.4047852,1024.670654,494.1040039,1002.424011,1659656558273330.0,0.0338799487800511,0.05,0.3396810008339884,0.989404849081074,0.7096533691873331,0.4901317105372169,-0.9576025943119056,-1.0203072920136682,-1.016432929946368,-0.9943651363214704,0.0277671413073039
5.0,342.43396,965.3635254,997.3232422,1028.676758,715.5108643,1024.92395,494.1040039,1002.424011,1659656558289996.5,0.0458655145964001,0.0666665,0.3396810008339884,0.9893053745764416,0.7097585954763833,0.4901317105372169,-0.9576025943119056,-1.0204068273254865,-1.016684189601769,-0.9943651363214704,0.011985565816348999
6.0,342.3594666,965.3955078,997.3075562,1028.894897,715.5108643,1024.92395,494.1040039,1002.424011,1659656558306663.2,0.0707282076815208,0.08333325,0.3396071063152686,0.9892898146822678,0.7097585954763833,0.4901317105372169,-0.9576343195930112,-1.02062321262162,-1.016684189601769,-0.9943651363214704,0.0248626930851207
7.0,342.2496643,965.1711426,997.2963257,1029.236572,715.8312988,1024.744873,494.1040039,1002.424011,1659656558323330.0,0.1095912142445968,0.1,0.3394981867584644,0.9892786744686048,0.7100764538793927,0.4901317105372169,-0.9574117581517094,-1.0209621407640277,-1.016506552271096,-0.9943651363214704,0.038863006563075994
8.0,342.2496643,965.1711426,997.3779297,1029.488403,715.8312988,1024.744873,494.1040039,1002.424011,1659656558339996.5,0.1376856551523627,0.1166665,0.3394981867584644,0.9893596224224586,0.7100764538793927,0.4901317105372169,-0.9574117581517094,-1.0212119471971308,-1.016506552271096,-0.9943651363214704,0.028094440907765902
9.0,342.0658569,965.3607788,997.4450684,1029.795166,715.6254272,1024.745728,494.1040039,1002.424011,1659656558356663.5,0.1720931628730897,0.1333335,0.3393158570573078,0.9894262213684588,0.7098722373608811,0.4901317105372169,-0.9575998697928864,-1.021516244010621,-1.01650740039742,-0.9943651363214704,0.03440750772072701
10.0,342.0658569,965.3607788,997.4069824,1029.988403,715.6254272,1024.745728,494.1040039,1002.424011,1659656558373330.0,0.1942609239388375,0.15,0.3393158570573078,0.9893884415565564,0.7098722373608811,0.4901317105372169,-0.9575998697928864,-1.021707927503573,-1.01650740039742,-0.9943651363214704,0.022167761065747804
11.0,342.0658569,965.3607788,997.4404907,1030.105103,715.7992554,1024.756226,494.1040039,1002.424011,1659656558389996.8,0.2072969515023812,0.16666675,0.3393158570573078,0.9894216804703612,0.7100446680886897,0.4901317105372169,-0.9575998697928864,-1.0218236893070964,-1.0165178139999338,-0.9943651363214704,0.01303602756354369
12.0,342.3280945,965.2480469,997.5645752,1030.069336,716.0232544,1024.682129,494.1040039,1002.424011,1659656558406663.5,0.202464516499382,0.1833335,0.3395759864277251,0.9895447674070308,0.7102668662740153,0.4901317105372169,-0.9574880441882708,-1.0217882098518554,-1.016444312694401,-0.9943651363214704,-0.004832435002999208
13.0,341.9892578,965.2781982,997.5,1030.127441,715.8571167,1024.938721,494.1040039,1002.424011,1659656558423330.0,0.2094603847247649,0.2,0.3392398737671254,0.9894807113520616,0.7101020642193,0.4901317105372169,-0.957517953090298,-1.021845847723267,-1.0166988418519822,-0.9943651363214704,0.006995868225382895
14.0,341.8658447,965.1715088,997.2735596,1030.161255,715.6904907,1024.908203,494.1040039,1002.424011,1659656558439996.8,0.2147138498887779,0.21666675,0.3391174528328115,0.989256091394096,0.7099367777902176,0.4901317105372169,-0.9574121214076856,-1.0218793898794312,-1.0166685691979982,-0.9943651363214704,0.00525346516401301
15.0,342.2496643,965.1711426,997.2735596,1030.161255,715.7313843,1025.074463,494.1040039,1002.424011,1659656558456663.2,0.2147138498887779,0.23333325,0.3394981867584644,0.989256091394096,0.7099773426307365,0.4901317105372169,-0.9574117581517094,-1.0218793898794312,-1.0168334925694962,-0.9943651363214704,0.0
16.0,342.4049377,965.3703613,997.4075928,1030.230469,715.7313843,1025.074463,494.1040039,1002.424011,1659656558473330.0,0.2217306480431128,0.25,0.339652211855493,0.9893890470493146,0.7099773426307365,0.4901317105372169,-0.9576093752554592,-1.0219480474412914,-1.0168334925694962,-0.9943651363214704,0.007016798154334897
17.0,342.289917,965.1928711,997.2246704,1030.233887,715.7313843,1025.074463,494.1040039,1002.424011,1659656558489996.8,0.2232660914923334,0.26666675,0.3395381158514267,0.9892075952333004,0.7099773426307365,0.4901317105372169,-0.9574333119678864,-1.0219514379626662,-1.0168334925694962,-0.9943651363214704,0.0015354434492206026
18.0,342.4240112,965.4080811,997.2598267,1030.218628,715.5762939,1025.052979,494.1040039,1002.424011,1659656558506663.2,0.2213131848555176,0.28333325,0.3396711320162429,0.9892424688981952,0.7098234990625001,0.4901317105372169,-0.9576467918113852,-1.0219363016356742,-1.0168121812876891,-0.9943651363214704,-0.0019529066368157988
19.0,342.4240112,965.4080811,997.2598267,1030.218628,715.4244995,1024.981079,493.7426758,1002.584778,1659656558523330.0,0.2211555922331661,0.3,0.3396711320162429,0.9892424688981952,0.7096729249964437,0.4897732872936885,-0.9576467918113852,-1.0219363016356742,-1.0167408593196223,-0.994524610853322,-0.00015759262235148785
20.0,342.3333435,965.4290771,997.2175293,1029.915771,715.4244995,1024.981079,493.7426758,1002.584778,1659656558539996.5,0.1870560263624547,0.3166665,0.3395811932289821,0.9892005115433676,0.7096729249964437,0.4897732872936885,-0.9576676190164132,-1.0216358794203375,-1.0167408593196223,-0.994524610853322,-0.03409956587071142
21.0,341.9610291,965.3145142,997.3032227,1030.165771,715.4244995,1024.981079,493.7426758,1002.584778,1659656558556663.2,0.2148893032035269,0.33333325,0.3392118720085725,0.9892855160209518,0.7096729249964437,0.4897732872936885,-0.9575539771319156,-1.0218838695735588,-1.0167408593196223,-0.994524610853322,0.027833276841072202
22.0,341.8898315,965.2105713,997.1986084,1029.973389,715.4519043,1024.913452,493.7426758,1002.584778,1659656558573330.0,0.1937104794404531,0.35,0.3391412467936406,0.9891817427558074,0.7097001094786477,0.4897732872936885,-0.9574508698691264,-1.021693034206931,-1.0166737759992552,-0.994524610853322,-0.021178823763073784
23.0,342.0658569,965.3607788,997.5063477,1029.706787,715.4244995,1024.981079,493.7426758,1002.584778,1659656558589996.5,0.1615784110151205,0.3666665,0.3393158570573078,0.989487008020444,0.7096729249964437,0.4897732872936885,-0.9575998697928864,-1.0214285755236148,-1.0167408593196223,-0.994524610853322,-0.032132068425332616
24.0,341.9420776,965.2542114,997.5063477,1029.706787,715.4244995,1024.981079,493.7426758,1002.584778,1659656558606663.5,0.1615784110151205,0.3833335,0.3391930728670174,0.989487008020444,0.7096729249964437,0.4897732872936885,-0.9574941591294688,-1.0214285755236148,-1.0167408593196223,-0.994524610853322,0.0
25.0,342.0658569,965.3607788,997.4431763,1029.51709,715.4244995,1024.981079,493.7426758,1002.584778,1659656558623330.0,0.140448133969765,0.4,0.3393158570573078,0.9894243444797832,0.7096729249964437,0.4897732872936885,-0.9575998697928864,-1.0212404035712326,-1.0167408593196223,-0.994524610853322,-0.0211302770453555
26.0,341.9610291,965.3145142,997.2550049,1029.577393,715.4244995,1024.981079,493.7426758,1002.584778,1659656558639996.8,0.1484321596092595,0.41666675,0.3392118720085725,0.989237685862512,0.7096729249964437,0.4897732872936885,-0.9575539771319156,-1.0213002217720712,-1.0167408593196223,-0.994524610853322,0.007984025639494519
27.0,342.0658569,965.3607788,997.4431763,1029.51709,715.4244995,1024.981079,493.7426758,1002.584778,1659656558656663.5,0.140448133969765,0.4333335,0.3393158570573078,0.9894243444797832,0.7096729249964437,0.4897732872936885,-0.9575998697928864,-1.0212404035712326,-1.0167408593196223,-0.994524610853322,-0.007984025639494519
