Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Shoulder Pink X,Shoulder Pink Y,Back Pink X,Back Pink Y,Neck Green X,Neck Green Y,Timestamp (microseconds),angles,Seconds,Arm Pink X meters,Leg Pink X meters,Shoulder Pink X meters,Back Pink X meters,Neck Green X meters,Arm Pink Y meters,Leg Pink Y meters,Shoulder Pink Y meters,Back Pink Y meters,Neck Green Y meters,angular velocity,Arm Pink m/s,Leg Pink m/s,Shoulder Pink m/s,Back Pink m/s,Neck Green m/s
1.0,377.5,891.0,419.8809509,1223.476196,399.3106079,731.9431763,489.4770508,855.0239258,493.3768005,687.0,1660610038006670.0,0.0,0.0,0.5615247401947671,0.6245656738194815,0.5939676433326145,0.7280886722695915,0.7338894826990409,-1.3253471351351986,-1.8198997432937272,-1.0887528527395764,-1.271833345152728,-1.021900653016702,,,,,,
2.0,377.5,891.0,419.7407532,1223.592651,399.3259277,732.0222168,489.3477478,854.921814,493.3768005,687.0,1660610038023336.8,0.0,0.01666675,0.5615247401947671,0.6243571321583731,0.5939904312709321,0.7278963362868593,0.7338894826990409,-1.3253471351351986,-1.8200729680980168,-1.088870424120311,-1.2716814556110967,-1.021900653016702,0.0,0.0,0.016266138019225065,0.0071855654559832656,0.014704721255358684,0.0
3.0,377.5,891.0,419.7407532,1223.592651,399.3259277,732.0222168,489.5945435,855.0701904,493.3768005,687.0,1660610038040003.2,0.0,0.03333325,0.5615247401947671,0.6243571321583731,0.5939904312709321,0.7282634406347367,0.7338894826990409,-1.3253471351351986,-1.8200729680980168,-1.088870424120311,-1.2719021629474172,-1.021900653016702,0.0,0.0,0.0,0.0,0.025700552327335875,0.0
4.0,377.5,891.0,419.5,1223.758301,399.3259277,732.0222168,489.5945435,855.0701904,493.2679749,686.7385864,1660610038056670.0,0.0390246597137968,0.05,0.5615247401947671,0.6239990159250458,0.5939904312709321,0.7282634406347367,0.7337276064956858,-1.3253471351351986,-1.8203193696164623,-1.088870424120311,-1.2719021629474172,-1.0215118047946534,2.3414678754884304,0.0,0.026081782943526907,0.0,0.0,0.025271815170481417
5.0,377.5,891.0,419.6989136,1223.784912,399.3106079,731.9431763,489.3477478,854.921814,493.3418884,686.777771,1660610038073336.5,0.0137055589697718,0.0666665,0.5615247401947671,0.6242948964748769,0.5939676433326145,0.7278963362868593,0.7338375515523332,-1.3253471351351986,-1.8203589530200688,-1.0887528527395764,-1.2716814556110967,-1.0215700912114338,-1.519161236253863,0.0,0.017910994505998746,0.0071855654559832656,0.025700552327335875,0.007466377883839293
6.0,377.5,891.0,420.1358032,1223.691406,399.3106079,731.9431763,489.3477478,854.921814,493.3418884,686.777771,1660610038090003.2,0.0137055589697718,0.08333325,0.5615247401947671,0.6249447622209267,0.5939676433326145,0.7278963362868593,0.7338375515523332,-1.3253471351351986,-1.8202198644575345,-1.0887528527395764,-1.2716814556110967,-1.0215700912114338,0.0,0.0,0.039875004928149715,0.0,0.0,0.0
7.0,377.5,891.0,420.1358032,1223.691406,399.2007141,731.7992554,489.3477478,854.921814,493.5,687.0,1660610038106670.0,-0.0420113650841197,0.1,0.5615247401947671,0.6249447622209267,0.5938041782001802,0.7278963362868593,0.734072739830775,-1.3253471351351986,-1.8202198644575345,-1.0885387728826728,-1.2716814556110967,-1.021900653016702,-3.3429987282398472,0.0,0.0,0.016161179559465666,0.0,0.02434141902821347
8.0,377.5,891.0,420.1358032,1223.691406,399.3178406,731.5,489.3477478,854.921814,493.5,687.0,1660610038123336.5,-0.0420113650841197,0.1166665,0.5615247401947671,0.6249447622209267,0.5939784018491402,0.7278963362868593,0.734072739830775,-1.3253471351351986,-1.8202198644575345,-1.0880936356356878,-1.2716814556110967,-1.021900653016702,0.0,0.0,0.0,0.02868106997022471,0.0,0.0
9.0,377.5,891.0,420.1358032,1223.691406,399.2007141,731.7992554,489.3477478,854.921814,493.5238037,686.8809814,1660610038140003.5,-0.0491197300805326,0.1333335,0.5615247401947671,0.6249447622209267,0.5938041782001802,0.7278963362868593,0.7341081474240416,-1.3253471351351986,-1.8202198644575345,-1.0885387728826728,-1.2716814556110967,-1.0217236149016202,-0.4264933699173761,0.0,0.0,0.02868106997022471,0.0,0.010832649291359957
10.0,377.5,891.0,419.5,1224.0,399.2007141,731.7992554,489.2399292,854.800415,493.5238037,686.8809814,1660610038156670.0,-0.0491268548000741,0.15,0.5615247401947671,0.6239990159250458,0.5938041782001802,0.7277359579786391,0.7341081474240416,-1.3253471351351986,-1.82067889271098,-1.0885387728826728,-1.271500876692064,-1.0217236149016202,-0.0004274874473644,0.0,0.06307546890100038,0.0,0.014490956210267381,0.0
