Frame #,Index Pink X,Index Pink Y,Thumb Pink X,Thumb Pink Y,Hand Green X,Hand Green Y,Timestamp (microseconds),Seconds,Index Pink X meters,Index Pink Y meters,Thumb Pink X meters,Hand Green X meters,Thumb Pink Y meters,Hand Green Y meters
1,513.5,640.5,461.9147339,786.3798218,675.2169189,975.1851807,1660790000000000.0,0.0,0.2654914659643434,0.3311534254141421,0.23882068131186096,0.34910288148527396,0.40657669268638974,0.5041934629225826
2,514.0,640.5,461.1594238,787.289856,675.3060303,975.1912842,1660790000000000.0,0.01666675,0.2657499776157206,0.3311534254141421,0.23843016838935527,0.34914895415561503,0.4070472015740932,0.504196618574311
3,514.0,640.5,462.5,786.0,675.5,975.5,1660790000000000.0,0.03333325,0.2657499776157206,0.3311534254141421,0.2391232775238731,0.34924924101054333,0.4063803159648957,0.5043562318368394
4,513.0,640.5,462.6201477,786.0852661,675.8312988,975.3621216,1660790000000000.0,0.05,0.2652329543129663,0.3311534254141421,0.23918539668454544,0.3494205302103179,0.4064244005255307,0.5042849454910929
5,513.0,640.5,462.6201477,786.0852661,676.5300293,975.2185669,1660790000000000.0,0.0666665,0.2652329543129663,0.3311534254141421,0.23918539668454544,0.34978179016116306,0.4064244005255307,0.504210724365973
6,514.5,640.5,465.6989136,783.7849731,677.0,975.0,1660790000000000.0,0.08333325,0.26600848926709775,0.3311534254141421,0.24077719039857085,0.3500247759646748,0.40523509544136804,0.5040977201854622
7,514.5,640.5,466.5,783.5,677.1690674,974.5748901,1660790000000000.0,0.1,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.3501121877502109,0.4050877577080099,0.5038779284609306
8,514.5,640.5,466.5,783.5,678.3377075,974.6008911,1660790000000000.0,0.1166665,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.350716401914444,0.4050877577080099,0.5038913715838256
9,514.5,640.5,466.5,783.5,678.9061279,974.3849487,1660790000000000.0,0.1333335,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.35101028850700494,0.4050877577080099,0.5037797243309728
10,514.5,640.5,466.5,783.5,678.9086914,974.2830811,1660790000000000.0,0.15,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.3510116138962415,0.4050877577080099,0.5037270564079772
11,514.5,640.5,466.5,783.5,678.9086914,974.2830811,1660790000000000.0,0.16666675,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.3510116138962415,0.4050877577080099,0.5037270564079772
12,514.5,640.5,466.5,783.5,678.8666382,973.7897339,1660790000000000.0,0.1833335,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.3509898714118862,0.4050877577080099,0.5034719844092286
13,514.5,640.5,466.5,783.5,678.5810547,973.4865112,1660790000000000.0,0.2,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.35084221808750404,0.4050877577080099,0.5033152112074045
