Frame #,Arm Pink X,Arm Pink Y,Back Pink X,Back Pink Y,Neck Green X,Neck Green Y,Shoulder Orange X,Shoulder Orange Y,Leg Orange X,Leg Orange Y,Timestamp (microseconds),angles,Seconds,Arm Pink X meters,Back Pink X meters,Neck Green X meters,Shoulder Orange X meters,Leg Orange X meters,Arm Pink Y meters,Back Pink Y meters,Neck Green Y meters,Shoulder Orange Y meters,Leg Orange Y meters,angular velocity,Arm Pink m/s,Back Pink m/s,Neck Green m/s,Shoulder Orange m/s,Leg Orange m/s
1.0,329.5,994.5,502.3058472,1003.697571,500.2738037,851.6071167,403.4134216,1381.459961,500.1551208,851.6897583,1660006178000000.0,0.0,0.0,0.4115933063175727,0.6274528814315553,0.6249145642760282,0.5039218938064609,0.6247663121145279,-1.242274789477469,-1.2537638901086696,-1.0637808462704943,-1.7256439238037482,-1.0638840776191545,,,,,,
2.0,329.5,994.5,502.3058472,1003.697571,500.1307068,851.6013184,403.4166565,1380.895264,500.1551208,851.6897583,1660006178016666.8,0.0538661654051307,0.01666675,0.4115933063175727,0.6274528814315553,0.6247358154863627,0.5039259346659044,0.6247663121145279,-1.242274789477469,-1.2537638901086696,-1.063773603352534,-1.7249385353202955,-1.0638840776191545,3.231953764539019,0.0,0.0,0.010733728280651864,0.04232400345049899,0.0
3.0,329.6666565,994.666687,502.7177124,1003.77179,500.2738037,851.6071167,403.4134216,1381.459961,500.1551208,851.6897583,1660006178033333.2,0.0,0.03333325,0.4118014844658407,0.6279673608228303,0.6249145642760282,0.5039218938064609,0.6247663121145279,-1.242483005724662,-1.2538566004079157,-1.0637808462704943,-1.7256439238037482,-1.0638840776191545,-3.2320022443302854,0.017666118114662503,0.03136595729575068,0.010733728280651864,0.04232400345049899,0.0
4.0,329.6666565,994.666687,502.0865479,1003.605774,500.0,852.0,403.033905,1381.618652,500.0,851.5,1660006178050000.0,0.1052309655532942,0.05,0.4118014844658407,0.6271789447882772,0.6245725437292453,0.503447822509962,0.6245725437292453,-1.242483005724662,-1.253649222337076,-1.064271614514634,-1.725842151886822,-1.0636470419709048,6.313826364065831,0.0,0.04891400441693979,0.03589141242636771,0.030830774909169783,0.018369417748919887
5.0,329.6666565,994.666687,502.0,1003.719971,500.0,852.0,403.4134216,1381.459961,500.0,851.5,1660006178066666.5,0.1050675563081875,0.0666665,0.4118014844658407,0.6270708339041623,0.6245725437292453,0.5039218938064609,0.6245725437292453,-1.242483005724662,-1.2537918709586289,-1.064271614514634,-1.7256439238037482,-1.0636470419709048,-0.0098046527529296,0.0,0.010739261286607911,0.0,0.030830774909169783,0.0
6.0,329.5810852,994.9729614,502.0,1004.0,500.0,852.3768311,403.8248596,1381.711914,500.0,852.0,1660006178083333.2,0.1067442935120851,0.08333325,0.4116945934968183,0.6270708339041623,0.6245725437292453,0.5044358395629548,0.6245725437292453,-1.2428655868868366,-1.2541416678083246,-1.0647423312320006,-1.7259586496559685,-1.064271614514634,0.1006037292152102,0.023833977630130905,0.02098781098174296,0.028243003041992232,0.036159277780755075,0.037474352623756424
7.0,329.5810852,994.9729614,502.0,1003.719971,500.0,852.3768311,403.9822998,1381.775757,500.0,852.0,1660006178100000.0,0.106947817689993,0.1,0.4116945934968183,0.6270708339041623,0.6245725437292453,0.5046325052153532,0.6245725437292453,-1.2428655868868366,-1.2537918709586289,-1.0647423312320006,-1.7260383988257872,-1.064271614514634,0.0122113896175255,0.0,0.02098781098174296,0.0,0.012733197246263957,0.0
8.0,329.6839905,995.0606079,502.0777893,1004.022217,500.0,852.3768311,403.9822998,1381.775757,500.0,852.0,1660006178116666.5,0.1068752163138708,0.1166665,0.4118231371467867,0.6271680040261142,0.6245725437292453,0.5046325052153532,0.6245725437292453,-1.2429750700817443,-1.2541694200647326,-1.0647423312320006,-1.7260383988257872,-1.064271614514634,-0.0043561261285929,0.010130949792190305,0.02339117988541044,0.0,0.0,0.0
9.0,329.6378479,995.1687012,502.2731018,1004.188782,500.0,852.3768311,404.4351196,1381.287476,500.0,852.0,1660006178133333.5,0.1071223521474462,0.1333335,0.4117654983446741,0.6274119776760084,0.6245725437292453,0.5051981428440271,0.6245725437292453,-1.2431100942964266,-1.2543774839162252,-1.0647423312320006,-1.7254284650133378,-1.064271614514634,0.0148278534574547,0.008808721372272907,0.019238746042979624,0.0,0.049910666767209365,0.0
10.0,329.5,995.0,502.1590881,1004.022705,500.0,852.3768311,403.7771301,1380.674438,500.0,851.5,1660006178150000.0,0.1070284671435364,0.15,0.4115933063175727,0.6272695580227504,0.6245725437292453,0.5043762184925029,0.6245725437292453,-1.242899362021198,-1.254170029647535,-1.0647423312320006,-1.7246626916072123,-1.0636470419709048,-0.0056331565661539,0.016328180231518684,0.015098154603616323,0.0,0.06740242411788235,0.037474352623756424
11.0,329.5,995.0,502.1860352,1004.104675,500.0,852.0,403.7771301,1380.674438,500.0,851.5,1660006178166666.8,0.1049748826580808,0.16666675,0.4115933063175727,0.6273032188603367,0.6245725437292453,0.5043762184925029,0.6245725437292453,-1.242899362021198,-1.2542724220703545,-1.064271614514634,-1.7246626916072123,-1.0636470419709048,-0.12321445305507,0.0,0.0064670037000304475,0.028243003041992232,0.0,0.0
12.0,329.5,995.0,502.0,1003.719971,499.8850708,852.0,403.7771301,1380.674438,500.0,851.5,1660006178183333.5,0.1484616263219048,0.1833335,0.4115933063175727,0.6270708339041623,0.6244289804836598,0.5043762184925029,0.6245725437292453,-1.242899362021198,-1.2537918709586289,-1.064271614514634,-1.7246626916072123,-1.0636470419709048,2.609191573871569,0.0,0.03202742106091072,0.008613794735130575,0.0,0.0
13.0,329.3071289,995.3520508,502.0,1004.0,500.0,852.0,403.7771301,1380.674438,500.0,851.5,1660006178200000.0,0.1048709611374661,0.2,0.411352382330495,0.6270708339041623,0.6245725437292453,0.5043762184925029,0.6245725437292453,-1.243339124548554,-1.2541416678083246,-1.064271614514634,-1.7246626916072123,-1.0636470419709048,-2.6154660657269786,0.030086003603959074,0.02098781098174296,0.008613794735130575,0.0,0.0
14.0,329.3071289,995.3520508,502.1860352,1004.104675,500.0,852.0,403.7771301,1380.674438,500.0,851.5,1660006178216666.8,0.1049748826580808,0.21666675,0.411352382330495,0.6273032188603367,0.6245725437292453,0.5043762184925029,0.6245725437292453,-1.243339124548554,-1.2542724220703545,-1.064271614514634,-1.7246626916072123,-1.0636470419709048,0.0062352600605815,0.0,0.015998687496872235,0.0,0.0,0.0
15.0,329.3071289,995.3520508,502.2731018,1004.188782,500.3603516,852.0991211,403.7771301,1380.674438,500.0,851.5,1660006178233333.2,-0.0301710079847261,0.23333325,0.411352382330495,0.6274119776760084,0.6250226751601431,0.5043762184925029,0.6245725437292453,-1.243339124548554,-1.2543774839162252,-1.0643954311497623,-1.7246626916072123,-1.0636470419709048,-8.108834526913684,0.0,0.009072998247473497,0.02801099625467952,0.0,0.0
16.0,329.222229,995.4337158,502.1860352,1004.104675,500.3650818,852.0,403.7771301,1380.674438,500.0,851.5,1660006178250000.0,-0.0325225859444427,0.25,0.4112463300374843,0.6273032188603367,0.6250285838662358,0.5043762184925029,0.6245725437292453,-1.2434411359821214,-1.2542724220703545,-1.064271614514634,-1.7246626916072123,-1.0636470419709048,-0.1410939721131352,0.008829060943983702,0.009072998247473497,0.007437452453081624,0.0,0.0
17.0,329.300354,995.4432373,502.0,1004.0,500.1360474,852.2789307,403.7771301,1380.674438,500.0,851.5,1660006178266666.8,0.0548882493893168,0.26666675,0.411343919497442,0.6270708339041623,0.6247424866706168,0.5043762184925029,0.6245725437292453,-1.2434530297170716,-1.2541416678083246,-1.0646200394282803,-1.7246626916072123,-1.0636470419709048,5.2446238969060825,0.005898693842982787,0.015998687496872235,0.02705005532056687,0.0,0.0
18.0,329.300354,995.4432373,502.0,1004.0,499.5,852.0,403.7771301,1380.674438,500.0,851.5,1660006178283333.2,0.2933024615820919,0.28333325,0.411343919497442,0.6270708339041623,0.623947971185516,0.5043762184925029,0.6245725437292453,-1.2434530297170716,-1.2541416678083246,-1.064271614514634,-1.7246626916072123,-1.0636470419709048,14.304995781524344,0.0,0.0,0.05205340714546648,0.0,0.0
