Frame #,Hand Pink X,Hand Pink Y,Body Pink X,Body Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds,Hand Pink X meters,Body Pink X meters,Shoulder Green X meters,Elbow Orange X meters,Hand Pink Y meters,Body Pink Y meters,Shoulder Green Y meters,Elbow Orange Y meters,angular velocity,Hand Pink m/s,Body Pink m/s,Shoulder Green m/s,Elbow Orange m/s
1.0,555.3900146,1541.689575,747.7352295,1197.701782,648.2003784,1006.152466,642.920166,1285.572754,1660090082145830.0,0.0,0.0,0.5129942102373348,-0.6906567158940506,0.5987198769360979,0.5938427305726109,-1.4240044026140068,-1.1062749844349449,-0.9293476225815044,-1.1874383087636908,,,,,
2.0,555.3900146,1541.689575,747.7352295,1197.701782,648.2253418,1006.590332,642.8195801,1285.743164,1660090082162496.5,0.0,0.0166665,0.5129942102373348,-0.6906567158940506,0.5987429347501226,0.5937498229167744,-1.4240044026140068,-1.1062749844349449,-0.9297520639955644,-1.1875957104833266,0.0,0.0,0.0,0.02430588967102738,0.010966571108893368
3.0,555.5457764,1541.984741,747.6730347,1197.858032,648.2836304,1006.605896,642.8290405,1285.875732,1660090082179163.2,-0.0215066765289321,0.03333325,0.5131380819301554,-0.690599268746158,0.5987967738785491,0.5937585611553076,-1.424277037060213,-1.1064193070609236,-0.9297664399146092,-1.1877181588793635,-1.290394139765227,0.018496026030240878,0.009320144988864493,0.003343523242506122,0.007365587513351633
4.0,555.5576782,1542.034668,747.6294556,1197.956299,648.2836304,1006.605896,642.9293213,1286.011353,1660090082195829.8,-0.0236416802359115,0.04999975,0.5131490752039467,-0.6905590162651992,0.5987967738785491,0.5938511870010117,-1.4243231528729954,-1.106510072830441,-0.9297664399146092,-1.1878434272240543,-0.1281015034337984,0.0028444811347687043,0.005957455304224099,0.0,0.009347627490778693
5.0,555.7633057,1541.986328,747.5735474,1197.936279,648.2979736,1006.662964,642.902832,1286.182007,1660090082212496.5,-0.0441437877831383,0.0666665,0.513339006088897,-0.6905073758284775,0.5988100221875984,0.5938267197668591,-1.4242785029162603,-1.1064915810610194,-0.9298191516177732,-1.1880010543179027,-1.2301203022320968,0.011706515062137598,0.00329108627479048,0.003261065598115855,0.009570883268736419
6.0,555.9627075,1542.134277,747.5971069,1197.990234,648.2979736,1006.662964,642.8163452,1286.090088,1660090082229163.2,-0.0675195892833434,0.08333325,0.513523186513863,-0.6905291369094807,0.5988100221875984,0.5937468349534926,-1.4244151582006828,-1.1065414173956416,-0.9298191516177732,-1.1879161519725754,-1.4025410773069196,0.013760434023835373,0.003262811306527345,0.0,0.006994567172831854
7.0,556.1307983,1542.266724,747.5735474,1197.936279,648.3804321,1006.77356,642.9054565,1286.326294,1660090082245829.8,-0.0873794013145161,0.09999975,0.5136784460700801,-0.6905073758284775,0.5988861862020258,0.5938291439251432,-1.424537494833278,-1.1064915810610194,-0.929921305250687,-1.188134327141804,-1.1916006378767412,0.01185994997027208,0.003262811306527345,0.007645309576483466,0.013991090615654511
8.0,556.3928833,1542.124268,747.5971069,1197.990234,648.3167725,1006.71637,643.0422363,1286.345093,1660090082262496.5,-0.1120585694856536,0.1166665,0.5139205247608302,-0.6905291369094807,0.5988273860699248,0.5939554826126112,-1.4244059132396367,-1.1065414173956416,-0.9298684808604166,-1.188151691116497,-1.480742686554816,0.016531694101988834,0.003262811306527345,0.004742608804561539,0.007651581382031284
9.0,556.3928833,1542.124268,747.5971069,1197.990234,648.3804321,1006.77356,643.2927246,1286.395508,1660090082279163.2,-0.112071588405882,0.13333325,0.5139205247608302,-0.6905291369094807,0.5988861862020258,0.5941868498397025,-1.4244059132396367,-1.1065414173956416,-0.929921305250687,-1.1881982576777053,-0.0007811313080472,0.0,0.0,0.004742608804561539,0.014160411654354136
10.0,556.4019775,1542.225952,747.5,1198.0,648.4354858,1006.797485,643.2478638,1286.398315,1660090082295830.0,-0.1148398300369859,0.15,0.5139289247533113,-0.6904394426835052,0.5989370373671705,0.5941454134975616,-1.424499835171797,-1.1065504379061395,-0.9299434039311768,-1.1882008504048165,-0.1660936673978975,0.005657808866677949,0.005408800756059074,0.0033267241595113777,0.0024910426857076085
11.0,556.5116577,1542.050415,747.5,1198.0,648.4354858,1006.797485,643.2532959,1286.449219,1660090082312496.8,-0.123106628276701,0.16666675,0.5140302324939955,-0.6904394426835052,0.5989370373671705,0.5941504309371557,-1.4243376978226996,-1.1065504379061395,-0.9299434039311768,-1.1882478686381146,-0.496005414355834,0.01147111162274781,0.0,0.0,0.0028371112535823502
12.0,556.5576782,1542.034668,747.5,1198.0,648.3167725,1006.71637,643.2478638,1286.398315,1660090082329163.2,-0.1275930983473897,0.18333325,0.5140727400102123,-0.6904394426835052,0.5988273860699248,0.5941454134975616,-1.4243231528729954,-1.1065504379061395,-0.9298684808604166,-1.1882008504048165,-0.2691908961502825,0.002695626121804585,0.0,0.007968233472438684,0.0028371112535823502
13.0,556.5576782,1542.034668,747.5,1198.0,648.3167725,1006.71637,643.1373291,1286.49646,1660090082345830.0,-0.1275930983473897,0.2,0.5140727400102123,-0.6904394426835052,0.5988273860699248,0.5940433164853004,-1.4243231528729954,-1.1065504379061395,-0.9298684808604166,-1.1882915034872272,0.0,0.0,0.0,0.0,0.008192094515299881
