Frame #,Index Pink X,Index Pink Y,Thumb Pink X,Thumb Pink Y,Hand Green X,Hand Green Y,Timestamp (microseconds),angles,Seconds
1.0,256.0520935,663.5101318,290.9129639,1079.673096,649.5,1094.955933,1660172407645000.0,45.19696134388514,0.0
2.0,256.408844,662.736084,290.9129639,1079.673096,649.5223999,1095.022339,1660172407661666.8,45.26628035264401,0.01666675
3.0,255.9211273,663.5248413,290.9657593,1079.965698,649.4632568,1095.051514,1660172407678333.2,45.22630031982506,0.03333325
4.0,255.2914886,666.8181763,290.7930298,1080.690674,649.4436646,1095.13855,1660172407695000.0,45.07203115364795,0.05
5.0,252.0,667.666687,290.6936951,1080.968506,649.0714111,1095.695801,1660172407711666.5,44.79551689231216,0.0666665
6.0,252.0,667.666687,290.6936951,1080.968506,649.0918579,1096.217896,1660172407728333.2,44.74568308816399,0.08333325
7.0,252.0,667.666687,290.6936951,1080.968506,649.1707764,1096.407715,1660172407745000.0,44.72290828628135,0.1
8.0,252.0,667.666687,290.6936951,1080.968506,649.1707764,1096.407715,1660172407761666.5,44.72290828628135,0.1166665
9.0,252.0,667.666687,290.6936951,1080.968506,649.5827026,1095.80249,1660172407778333.5,44.7522191269503,0.1333335
10.0,252.0,667.666687,290.6936951,1080.968506,649.6502075,1095.572754,1660172407795000.0,44.76908677095789,0.15
11.0,255.4458923,661.2164307,291.1964722,1081.216309,649.7452393,1095.699951,1660172407811666.8,45.46264030970292,0.16666675
12.0,254.7428436,663.2568359,291.2331238,1081.102417,649.7629395,1095.62915,1660172407828333.5,45.2646215728213,0.1833335
13.0,254.54599,663.5283203,291.60849,1080.796387,649.8737793,1095.599976,1660172407845000.0,45.17664320884735,0.2
14.0,254.4613647,663.6554565,291.60849,1080.796387,649.6269531,1095.392944,1660172407861666.8,45.19772275691126,0.21666675
15.0,254.4140472,663.2540283,291.6644897,1080.097412,649.5563354,1095.028198,1660172407878333.2,45.14758809311242,0.23333325
