Frame #,Arm Pink X,Arm Pink Y,Back Pink X,Back Pink Y,Neck Green X,Neck Green Y,Shoulder Orange X,Shoulder Orange Y,Leg Orange X,Leg Orange Y,Timestamp (microseconds),angles,Seconds,Arm Pink X meters,Back Pink X meters,Neck Green X meters,Shoulder Orange X meters,Leg Orange X meters,Arm Pink Y meters,Back Pink Y meters,Neck Green Y meters,Shoulder Orange Y meters,Leg Orange Y meters,angular velocity
11.0,355.0,1012.5,530.0,1020.5,529.8870239,871.8870239,378.2039795,880.333313,428.1299438,1401.800415,1660006515166666.8,-0.1487105528323263,0.16666675,0.4521716535718549,0.6750731729382622,0.6749292726848789,0.4817270952055518,0.5453189426244262,-1.2896445049056424,-1.299834288648107,-1.1105425276752292,-1.121300760094646,-1.7855053848683449,-0.1866958552370788
12.0,354.8101807,1012.5,530.0,1020.5,529.8639526,871.7210693,378.5065002,880.4069214,427.8571472,1401.891968,1660006515183333.5,-0.1398742290722354,0.1833335,0.4519298763697116,0.6750731729382622,0.6748998862401716,0.4821124227693792,0.5449714753294662,-1.2896445049056424,-1.299834288648107,-1.1103311474895958,-1.1213945168043495,-1.7856219980272166,0.008836323760090886
13.0,355.0,1012.5,530.0,1020.5,530.0,872.0,378.5862122,880.0153198,427.9963684,1401.684814,1660006515200000.0,-0.1922669947966696,0.2,0.4521716535718549,0.6750731729382622,0.6750731729382622,0.4822139537745891,0.5451488045695121,-1.2896445049056424,-1.299834288648107,-1.1106864279286126,-1.1208957248521991,-1.7853581412195432,-0.05239276572443419
14.0,354.8101807,1012.5,530.0,1020.5,530.0,871.5,378.4639282,879.7388306,427.8139648,1401.967041,1660006515216666.8,-0.1922669948004609,0.21666675,0.4519298763697116,0.6750731729382622,0.6750731729382622,0.4820581978351937,0.5449164729147812,-1.2896445049056424,-1.299834288648107,-1.1100495664447083,-1.1205435542078084,-1.785717620231579,-3.791300606792447e-12
15.0,354.8156738,1012.184326,530.333313,1020.666687,530.0,871.5,378.4512329,879.69104,427.8139648,1401.967041,1660006515233333.2,-0.1920497494477066,0.23333325,0.4519368730573461,0.6754977213618312,0.6750731729382622,0.4820420275400005,0.5449164729147812,-1.2892424236815028,-1.3000466017084418,-1.1100495664447083,-1.120482682222943,-1.785717620231579,0.00021724535275427503
16.0,354.8591003,1011.859131,530.333313,1020.666687,530.5,871.2357788,378.3106079,879.6363525,427.65448,1402.008179,1660006515250000.0,-0.3839891672166056,0.25,0.4519921863878076,0.6754977213618312,0.6757100344221663,0.4818629102476524,0.5447133334620049,-1.2888282153409865,-1.3000466017084418,-1.1097130218336868,-1.120413025498141,-1.7857700186470284,-0.19193941776889897
17.0,355.1022644,1011.666687,530.6088867,1020.568909,530.6378784,871.1687012,378.399231,879.6279297,427.8650818,1402.055542,1660006515266666.8,-0.4373197264462215,0.26666675,0.452301910086924,0.6758487259128451,0.6758856533070109,0.4819757915256008,0.5449815818117266,-1.2885830949981696,-1.2999220596240957,-1.1096275835539413,-1.1204022971843275,-1.785830345987953,-0.05333055922961594
18.0,355.2640686,1010.939392,530.9053955,1020.486511,531.3621216,871.1687012,379.0270386,878.8153076,428.1027222,1401.686035,1660006515283333.2,-0.715710280951137,0.28333325,0.4525080038127518,0.6762263959815623,0.6768081385051297,0.4827754444850853,0.5452842698472857,-1.2876567226522977,-1.299817107398994,-1.1096275835539413,-1.1193672417514091,-1.785359696435287,-0.27839055450491546
19.0,355.1010132,1010.515137,531.0,1020.5,531.1898193,871.5,379.0270386,878.8153076,427.9153748,1401.980957,1660006515300000.0,-0.6497758721539395,0.3,0.4523003164047467,0.6763468959060703,0.6765886731082135,0.4827754444850853,0.5450456411609466,-1.28711633931459,-1.299834288648107,-1.1100495664447083,-1.1193672417514091,-1.7857353453603988,0.06593440879719747
20.0,355.5,1010.5,531.0,1020.5,531.1898193,871.5,379.0270386,878.8153076,428.0090027,1401.985596,1660006515316666.5,-0.6497758721539395,0.3166665,0.4528085150557589,0.6763468959060703,0.6765886731082135,0.4827754444850853,0.5451648971676042,-1.2870970589700264,-1.299834288648107,-1.1100495664447083,-1.1193672417514091,-1.7857412541612463,0.0
21.0,355.5,1010.5,531.0,1020.5,531.1898193,871.5,379.0270386,878.8153076,428.0355835,1402.121704,1660006515333333.2,-0.6497758721539395,0.33333325,0.4528085150557589,0.6763468959060703,0.6765886731082135,0.4827754444850853,0.5451987537430669,-1.2870970589700264,-1.299834288648107,-1.1100495664447083,-1.1193672417514091,-1.7859146180469487,0.0
22.0,355.5,1010.5,531.0,1020.5,531.3621216,871.1687012,379.1983032,878.6539917,427.9625549,1401.942993,1660006515350000.0,-0.7157230490278156,0.35,0.4528085150557589,0.6763468959060703,0.6768081385051297,0.4829935881396777,0.5451057355379401,-1.2870970589700264,-1.299834288648107,-1.1096275835539413,-1.119161769984507,-1.7856869897416487,-0.06594717687387608
23.0,355.4189148,1010.027039,531.0,1020.5,531.4345703,871.1223755,379.3259277,878.0222168,428.1001892,1402.291382,1660006515366666.5,-0.7434684273312075,0.3666665,0.4527052349741696,0.6763468959060703,0.6769004180783076,0.4831561463965828,0.5452810435070082,-1.2864946376814488,-1.299834288648107,-1.1095685774458517,-1.118357063783892,-1.7861307408126808,-0.027745378303391965
24.0,355.3621521,1009.831299,531.0,1020.5,531.4345703,871.1223755,379.3259277,877.5444336,425.1143494,1401.69043,1660006515383333.5,-0.7434684273312075,0.3833335,0.4526329350194648,0.6763468959060703,0.6769004180783076,0.4831561463965828,0.5414779107755529,-1.28624531914773,-1.299834288648107,-1.1095685774458517,-1.117748500348419,-1.7853652944477307,0.0
25.0,355.5541077,1009.294373,531.0,1020.5,531.6378784,871.1687012,379.3259277,877.5444336,425.1143494,1401.69043,1660006515400000.0,-0.8215248422458566,0.4,0.4528774332759842,0.6763468959060703,0.6771593762748189,0.4831561463965828,0.5414779107755529,-1.2855614241695168,-1.299834288648107,-1.1096275835539413,-1.117748500348419,-1.7853652944477307,-0.0780564149146491
26.0,355.5,1009.0,531.0,1020.5,531.7288818,871.3911133,379.3259277,877.5444336,425.1143494,1401.69043,1660006515416666.8,-0.8568576377143647,0.41666675,0.4528085150557589,0.6763468959060703,0.6772752893955475,0.4831561463965828,0.5414779107755529,-1.2851864745183144,-1.299834288648107,-1.1099108749540298,-1.117748500348419,-1.7853652944477307,-0.035332795468508094
27.0,355.5,1008.5,531.0,1020.5,531.7288818,871.3911133,379.3259277,877.5444336,425.1143494,1401.69043,1660006515433333.5,-0.8568576377143647,0.4333335,0.4528085150557589,0.6763468959060703,0.6772752893955475,0.4831561463965828,0.5414779107755529,-1.2845496130344105,-1.299834288648107,-1.1099108749540298,-1.117748500348419,-1.7853652944477307,0.0
28.0,355.5,1008.5,531.0,1020.5,531.8101807,871.5,379.8312683,876.6378784,428.3639526,1402.358521,1660006515450000.0,-0.8883237808937612,0.45,0.4528085150557589,0.6763468959060703,0.6773788416717351,0.4837998103253686,0.5456170050076554,-1.2845496130344105,-1.299834288648107,-1.1100495664447083,-1.116593800168593,-1.7862162572990166,-0.031466143179396444
29.0,355.5,1008.0,531.0,1020.5,531.8101807,871.5,379.9166565,876.5357056,428.1880798,1401.558716,1660006515466666.8,-0.8883237808937612,0.46666675,0.4528085150557589,0.6763468959060703,0.6773788416717351,0.4839085712368884,0.5453929917828827,-1.2839127515505062,-1.299834288648107,-1.1100495664447083,-1.116463660326548,-1.7851975273007483,0.0
30.0,355.3621521,1007.831299,531.0,1020.5,532.0,871.5,380.0,876.0,428.3088074,1401.503052,1660006515483333.2,-0.9613133245151902,0.48333325,0.4526329350194648,0.6763468959060703,0.6776206188738784,0.4840147277670559,0.545546765299851,-1.283697873212114,-1.299834288648107,-1.1100495664447083,-1.1157813197998447,-1.7851266267854686,-0.07298954362142906
31.0,355.5541077,1007.294373,531.0,1020.699158,532.0,871.5,380.0568237,875.6893921,428.5534973,1401.279785,1660006515500000.0,-0.960030185912534,0.5,0.4528774332759842,0.6763468959060703,0.6776206188738784,0.4840871054188618,0.5458584324454717,-1.2830139782339007,-1.3000879607669296,-1.1100495664447083,-1.1153856913836322,-1.784842246479615,0.0012831386026562752
32.0,355.5,1007.0,530.916687,1020.730164,532.1898193,871.5,379.9204407,875.4886475,428.3469849,1401.296265,1660006515516666.8,-1.032707339162483,0.51666675,0.4528085150557589,0.6762407782244533,0.6778623960760215,0.4839133912593432,0.5455953928584545,-1.2826390285826983,-1.3001274538212693,-1.1100495664447083,-1.1151299983759486,-1.7848632374341244,-0.07267715324994906
