Timestamp (microseconds),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),gyro vel x (dps),gyro vel y (dps),gyro vel z (dps),gyro disp x (deg),gyro disp y (deg),gyro disp z (deg)
1660006533155853,16.08300907911803,4.730296787975931,-2.04470893415737,16.16846168999673,4.85754341521577,-1.258444117565307,0,0,0
1660006533171853,16.08300907911803,1.556420233463086,-0.1525902189669068,15.0049546026275,1.237940990918101,0.7262846261223925,0.2493873303409938,0.04876387524907097,-0.004257275931543313
1660006533187852,14.92332341496899,-3.631647211413792,1.922636758983799,16.40464181010722,-2.977637932269192,2.630367621418858,0.5006641016428716,0.03484629971826225,0.02259594204878669
1660006533203852,21.27107652399468,-6.439307240405924,3.082322423132609,20.69813927044692,-6.581690819355988,3.836549078758011,0.7974863502873046,-0.0416283302947392,0.07433127565020166
1660006533219852,22.73594262607753,-7.904173342488775,3.20439459830618,22.53383946542629,-7.915574283407717,4.152885259712089,1.14334218017429,-0.1576064511168488,0.1382467503579625
1660006533235852,19.74517433432516,-6.439307240405924,3.38750286106665,20.23544964903285,-6.096383549063513,3.992400334423725,1.485496493089963,-0.2697021137766187,0.203409035111049
1660006533251852,16.9985503929197,-3.265430685893079,3.143358510719509,17.44510645595398,-2.973821466011147,3.993501352906318,1.786940941929858,-0.342263753897216,0.2672962486096893
1660006533267851,14.31296253910114,-0.5188067444876197,3.570611123826893,13.23862318728805,-1.184605685875784,4.483328624443425,2.032410779075795,-0.3755311711123114,0.3351108884284872
1660006533283851,6.927595941100208,-1.007095445181903,4.180971999694748,7.96204793518474,0.07351976486991595,4.747698444429599,2.202016148055577,-0.3844198584803584,0.4089591049794714
1660006533299851,4.547188525215461,-0.7629510948347615,3.265430685893079,4.779711571460794,-1.022058850480318,4.194262508011063,2.303950224108741,-0.3920081711652416,0.4804947925989967
1660006533315851,-0.3967345693140487,-9.185931181811156,2.227817196917613,-1.396933320212544,-9.563069440112256,3.050013295840682,2.331012450118727,-0.4766891974899822,0.5384489990298107
1660006533331851,-13.2753490501259,-20.41657129777968,0.3967345693140487,-12.28123839492355,-19.51263328493273,1.075510246937209,2.221587076397639,-0.7092948192903421,0.5714531873720339
1660006533347850,-16.51026169222541,-18.95170519569683,-1.556420233463086,-16.45340373521318,-19.11994712300765,-0.7672586473622163,1.991709939356545,-1.018355462553865,0.5739192001686338
1660006533363850,-10.10147249561305,-11.44426642252233,-0.2746623941404778,-10.52726872740529,-11.65576253063234,0.6717753267217991,1.775864559655597,-1.264561139782985,0.5731553336035106
1660006533379850,-3.936827649347606,-8.026245517662346,4.547188525215461,-3.709313700416631,-7.516354661205195,5.138675566152549,1.661971900233022,-1.417938077317685,0.6196389407465054
1660006533395850,0.7019150072480898,-6.744487678339738,6.500343327992596,1.31827571080575,-6.627205696692971,7.42931363474549,1.642843596316135,-1.531086560180871,0.7201828543536897
1660006533411850,6.805523765926637,-5.279621576256886,4.852368963149502,6.103836805258316,-5.459254214053364,5.518217682784121,1.702220496444647,-1.627778239466841,0.8237631048939266
