Frame #,Hand Pink X,Hand Pink Y,Body Pink X,Body Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds,Hand Pink X meters,Body Pink X meters,Shoulder Green X meters,Elbow Orange X meters,Hand Pink Y meters,Body Pink Y meters,Shoulder Green Y meters,Elbow Orange Y meters,angular velocity
1.0,715.5,1243.5,551.7911377,1448.702271,658.3911133,992.3911133,602.9536743,1211.766235,1658963997000000.0,0.0,0.0,1.499106831870323,-1.1561060297576071,1.3794529923001226,1.263301149468125,-2.6053659614685483,-3.0353032450065016,-2.0792456992808184,-2.538877765923521,
2.0,716.1798096,1243.5,551.8989868,1448.484863,658.0,992.104187,602.9536743,1211.766235,1658963997016666.8,0.1471466287631465,0.01666675,1.5005311606134828,-1.1563319938702852,1.3786335365068796,1.263301149468125,-2.6053659614685483,-3.034847734429138,-2.0786445348132108,-2.538877765923521,8.828753582020878
3.0,716.1798096,1243.5,551.8010254,1447.900513,658.3644409,991.9111328,602.9536743,1211.766235,1658963997033333.2,0.1471378449652756,0.03333325,1.5005311606134828,-1.156126746345478,1.3793971086145007,1.263301149468125,-2.6053659614685483,-3.033623411470084,-2.0782400500191627,-2.538877765923521,-0.0005270331425849862
4.0,716.1798096,1243.5,551.8010254,1447.900513,658.4767456,991.5,603.0864258,1211.261353,1658963997050000.0,0.1469499199577014,0.05,1.5005311606134828,-1.156126746345478,1.3796324080456972,1.2635792887841153,-2.6053659614685483,-3.033623411470084,-2.07737864961485,-2.537819943344222,-0.011275444077231416
5.0,716.1798096,1243.5,551.5,1448.0,658.6286621,991.2615967,602.7868042,1211.246094,1658963997066666.5,0.1468628981105401,0.0666665,1.5005311606134828,-1.1554960416163285,1.3799507016348294,1.2629515252795227,-2.6053659614685483,-3.0338318554133155,-2.0768791499422146,-2.537787972874414,-0.005221363043308794
6.0,716.1798096,1243.5,551.5908813,1448.030273,658.0,990.5,602.8475342,1210.799683,1658963997083333.2,0.146306602080765,0.08333325,1.5005311606134828,-1.155686455002379,1.3786335365068796,1.263078766031304,-2.6053659614685483,-3.0338952830319337,-2.0752834618693985,-2.536852658017779,-0.0333775948985305
7.0,716.1798096,1243.5,551.5908813,1448.030273,658.0,990.5,602.8475342,1210.799683,1658963997100000.0,0.146306602080765,0.1,1.5005311606134828,-1.155686455002379,1.3786335365068796,1.263078766031304,-2.6053659614685483,-3.0338952830319337,-2.0752834618693985,-2.536852658017779,0.0
8.0,716.1798096,1243.5,551.5908813,1448.030273,657.6936646,990.9008789,602.6835938,1210.648071,1658963997116666.5,0.1464381943363995,0.1166665,1.5005311606134828,-1.155686455002379,1.3779917063308018,1.2627352801142395,-2.6053659614685483,-3.0338952830319337,-2.0761233784280884,-2.536535002413316,0.007895614294212911
9.0,716.1798096,1243.5,551.5908813,1448.030273,657.6936646,990.9008789,602.6835938,1210.648071,1658963997133333.5,0.1464381943363995,0.1333335,1.5005311606134828,-1.155686455002379,1.3779917063308018,1.2627352801142395,-2.6053659614685483,-3.0338952830319337,-2.0761233784280884,-2.536535002413316,0.0
10.0,716.1798096,1243.5,551.5908813,1448.030273,657.6936646,990.9008789,602.6835938,1210.648071,1658963997150000.0,0.1464381943363995,0.15,1.5005311606134828,-1.155686455002379,1.3779917063308018,1.2627352801142395,-2.6053659614685483,-3.0338952830319337,-2.0761233784280884,-2.536535002413316,0.0
11.0,716.1798096,1243.5,551.5908813,1448.030273,657.6936646,990.9008789,602.5526123,1210.79126,1658963997166666.8,0.1464381943363995,0.16666675,1.5005311606134828,-1.155686455002379,1.3779917063308018,1.262460849280559,-2.6053659614685483,-3.0338952830319337,-2.0761233784280884,-2.5368350102513992,0.0
12.0,716.1798096,1243.5,551.5908813,1448.030273,657.5,990.5,602.5526123,1210.79126,1658963997183333.5,0.1461805288954088,0.1833335,1.5005311606134828,-1.155686455002379,1.377585942634154,1.262460849280559,-2.6053659614685483,-3.0338952830319337,-2.0752834618693985,-2.5368350102513992,-0.015459849160196578
13.0,716.5654297,1243.877686,550.5864258,1449.370361,658.0,990.5,602.5526123,1210.79126,1658963997200000.0,0.210456529576319,0.2,1.5013391071214024,-1.153581932147928,1.3786335365068796,1.262460849280559,-2.606157284547377,-3.03670301898736,-2.0752834618693985,-2.5368350102513992,3.8565986068406795
14.0,716.5,1244.0,550.7160645,1449.283936,657.5,990.5,602.3256226,1211.235107,1658963997216666.8,0.189974578375841,0.21666675,1.5012020196157738,-1.1538535495635045,1.377585942634154,1.261985263242775,-2.6064135553412737,-3.036521942386459,-2.0752834618693985,-2.5377649530466546,-1.2289109274740437
15.0,716.5,1244.5,550.6514893,1449.886353,657.3086548,990.8641968,602.5,1211.5,1658963997233333.2,0.1649955723187231,0.23333325,1.5012020196157738,-1.1537182523958045,1.3771850385159632,1.2623506166343388,-2.607461149214,-3.037784119102511,-2.076046522541691,-2.5383199536141103,-1.4987553509805833
16.0,716.5,1244.5,550.6514893,1449.886353,657.3086548,990.8641968,602.5,1211.5,1658963997250000.0,0.1649955723187231,0.25,1.5012020196157738,-1.1537182523958045,1.3771850385159632,1.2623506166343388,-2.607461149214,-3.037784119102511,-2.076046522541691,-2.5383199536141103,0.0
17.0,716.5,1244.5,550.8300781,1450.169922,657.3086548,990.8641968,602.5,1212.0,1658963997266666.8,0.1649955723187231,0.26666675,1.5012020196157738,-1.154092429461039,1.3771850385159632,1.2623506166343388,-2.607461149214,-3.0383782493963007,-2.076046522541691,-2.539367547486836,0.0
