Timestamp (microseconds),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Seconds
1660782231660034,0.2746623941404778,-0.4577706569009478,-1.1291676203554744,0.0
1660782231676030,0.2746623941404778,-0.3967345693140487,-0.9460593575952316,0.015996
1660782231692026,-0.2746623941404778,-0.5798428320745188,-0.9460593575952316,0.031992
1660782231708022,-0.6408789196611906,-0.8239871824216607,-1.1291676203554744,0.047988
1660782231724018,-0.7629510948347615,-0.8239871824216607,-1.3733119707026162,0.063984
1660782231740014,-0.5188067444876197,-0.7019150072480898,-1.3122758831159445,0.07998
1660782231756010,-0.213626306553806,-0.4577706569009478,-1.3122758831159445,0.095976
1660782231772006,-0.0305180437933358,-0.2746623941404778,-1.3122758831159445,0.111972
1660782231788002,-0.2746623941404778,-0.3967345693140487,-1.3122758831159445,0.127968
1660782231803998,-0.7629510948347615,-0.8239871824216607,-1.3733119707026162,0.143964
1660782231819994,-0.9460593575952316,-0.7629510948347615,-1.1902037079423735,0.15996
1660782231835990,-0.4577706569009478,-0.5798428320745188,-0.8850232700083325,0.175956
1660782231851986,0.2746623941404778,-0.3356984817273769,-0.7629510948347615,0.191952
1660782231867982,0.4577706569009478,-0.4577706569009478,-0.8850232700083325,0.207948
1660782231883978,0.4577706569009478,-0.4577706569009478,-1.0070954451819034,0.223944
1660782231899973,-0.0305180437933358,-0.6408789196611906,-1.1291676203554744,0.239939
1660782231915969,-0.5188067444876197,-0.8850232700083325,-1.2512397955290453,0.255935
1660782231931965,-0.7019150072480898,-0.7629510948347615,-1.4343480582895154,0.271931
1660782231947961,0.0305180437933358,-0.5188067444876197,-1.4953841458761872,0.287927
1660782231963957,0.8850232700083325,-0.2746623941404778,-1.3733119707026162,0.303923
1660782231979980,1.1902037079423735,-0.091554131380235,-1.0681315327688026,0.319946
1660782231995976,1.0070954451819034,-0.3356984817273769,-0.9460593575952316,0.335942
1660782232011972,0.3356984817273769,-0.5798428320745188,-1.0681315327688026,0.351938
1660782232027968,-0.0305180437933358,-0.5188067444876197,-1.3122758831159445,0.367934
1660782232043964,0.4577706569009478,-0.3967345693140487,-1.4953841458761872,0.38393
1660782232059960,0.7019150072480898,-0.5798428320745188,-1.4343480582895154,0.399926
1660782232075956,0.5798428320745188,-0.7019150072480898,-1.2512397955290453,0.415922
1660782232091952,0.7019150072480898,-0.7629510948347615,-1.1902037079423735,0.431918
1660782232107948,0.8850232700083325,-0.5188067444876197,-1.3733119707026162,0.447914
1660782232123944,1.3122758831159445,-0.213626306553806,-1.4343480582895154,0.46391
1660782232139940,1.4953841458761872,-0.213626306553806,-1.4343480582895154,0.479906
1660782232155936,1.1291676203554744,-0.3356984817273769,-1.3733119707026162,0.495902
1660782232171932,0.7629510948347615,-0.3356984817273769,-1.3733119707026162,0.511898
1660782232187928,0.5188067444876197,-0.4577706569009478,-1.4953841458761872,0.527894
1660782232203924,1.0070954451819034,-0.3967345693140487,-1.5564202334630863,0.54389
1660782232219920,1.4953841458761872,-0.3967345693140487,-1.4343480582895154,0.559886
1660782232235916,1.4953841458761872,-0.2746623941404778,-1.1902037079423735,0.575882
1660782232251912,1.0681315327688026,-0.4577706569009478,-1.1902037079423735,0.591878
1660782232267908,0.7629510948347615,-0.5798428320745188,-1.1902037079423735,0.607874
1660782232283904,0.8239871824216607,-0.3356984817273769,-1.3122758831159445,0.62387
1660782232299896,0.6408789196611906,-0.3967345693140487,-1.2512397955290453,0.639862
1660782232315892,0.7019150072480898,-0.4577706569009478,-1.3733119707026162,0.655858
1660782232331888,0.8850232700083325,-0.5798428320745188,-1.3733119707026162,0.671854
