Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),Seconds,vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m)
1660782225489318,-0.9706569008926528,-0.2034332799267568,0.1358052948805985,0,0,0,0,0.002021587506353342,-0.00122200965541845,-0.5659885992429285
1660782225505322,-0.9690699626153964,-0.1995269703212026,0.133974212252995,0.016004,-0.0003629172783039031,3.51030819436641e-05,-6.22477956788769e-05,0.001880626901845219,-0.001378987064829686,-0.565705390020706
1660782225521325,-0.9711451895933472,-0.196841382467384,0.1441062027924013,0.032007,-0.001023144015448474,0.0003502079358683125,0.0002660074434250244,0.001738361410484855,-0.001556098267409206,-0.5654186013022431
1660782225537328,-0.9789578088044556,-0.1907377737087054,0.148744945448997,0.04801,-0.00190048853759488,0.0008869641399667805,0.0009097328999147951,0.001595460561219579,-0.001721177268128295,-0.5651323304882052
1660782225553331,-0.982253757534142,-0.1962310215915161,0.1493553063248649,0.064013,-0.002878305497007017,0.001571068331633371,0.001751244613677967,0.001452446152193541,-0.0018723968131371,-0.5648491017798009
1660782225569334,-0.977126726176852,-0.202822919050889,0.1434958419165335,0.080016,-0.003825230116901062,0.002327688002600204,0.002656873116288753,0.001309812653983689,-0.002005218623111095,-0.5645694599490609
1660782225585337,-0.9744411383230336,-0.2037994964522775,0.1388570992599378,0.09601899999999999,-0.004621369811863096,0.003094643214803425,0.003506715306648196,0.001168120123402799,-0.002087212889942056,-0.5642919651882571
1660782225601340,-0.9738307774471656,-0.2035553521019304,0.1391012436102849,0.112022,-0.005183617692131388,0.003836399954158086,0.004215138639796293,0.001028074374877432,-0.002094960420037998,-0.5640135525033558
1660782225617344,-0.9711451895933472,-0.1997711146715497,0.1365377279316399,0.128026,-0.005484128505105505,0.004551868531877373,0.004739618359233387,0.0008906407823365628,-0.002046722165850883,-0.5637302302979874
1660782225633347,-0.966628519111925,-0.1990386816205083,0.1360494392309457,0.144029,-0.005557170811381369,0.005264520139431281,0.00508107695707024,0.0007571069584201219,-0.00198056812967945,-0.5634380497615008
1660782225649350,-0.9627222095063708,-0.1970855268177311,0.1369039444571607,0.160032,-0.005492294112444756,0.005994952550252348,0.005272569457254388,0.0006289308223825819,-0.001918987960509462,-0.5631340771116552
1660782225665353,-0.9693141069657436,-0.1952544441901276,0.1365377279316399,0.176035,-0.00541516197106756,0.006735934357882865,0.005359341287097009,0.0005073507406230432,-0.001879902371615168,-0.5628171146028954
1660782225681356,-0.9746852826733808,-0.1928130006866562,0.1406881818875414,0.192038,-0.005460585314587032,0.007451380359968835,0.00538707141028411,0.0003929424397049967,-0.001874882402538836,-0.562488054928293
1660782225697359,-0.9767605096513314,-0.1947661554894333,0.1389791714351114,0.208041,-0.0057442719633611,0.008094448130242692,0.005403049919356251,0.0002853364423882725,-0.001892463318810678,-0.5621497917616585
1660782225713362,-0.976882581826505,-0.1972075989929047,0.1406881818875414,0.224044,-0.006339701525975783,0.008624670504522418,0.005455155725232511,0.0001831788536038312,-0.001923968630414821,-0.5618067292525878
1660782225729365,-0.976638437476158,-0.1973296711680783,0.1395895323109792,0.240047,-0.007264513883808502,0.009018747337140228,0.005584636171994779,8.431847374765168e-05,-0.001962577469738605,-0.5614640013789342
1660782225745369,-0.9739528496223392,-0.2046540016784925,0.1381246662088964,0.256051,-0.008478203392750686,0.009280458620472538,0.005824346478341469,-1.382680455387934e-05,-0.002003375041617341,-0.5611265619079541
1660782225761372,-0.9807888914320592,-0.2067292286564432,0.1414206149385828,0.272054,-0.009890830080006317,0.009446515593373854,0.00619969028365328,-0.0001137911488873894,-0.002046990877208796,-0.5607983247315489
