Timestamp (microseconds),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Seconds,gyro vel x (dps),gyro vel y (dps),gyro vel z (dps),gyro disp x (deg),gyro disp y (deg),gyro disp z (deg)
1660782228300872,-0.213626306553806,1.007095445181903,0.7629510948347615,0,-0.7448860038942935,0.08675829035219432,-0.06056241655778638,0,0,0
1660782228316875,0.3356984817273769,0.8239871824216607,0.8239871824216607,0.016003,-0.1793657657128249,-0.08016990990047691,0.001109534612686964,-0.007394014156856948,5.270704361373924e-05,-0.0004756230555607953
1660782228332878,0.8850232700083325,0.9460593575952316,0.8850232700083325,0.032006,0.3215657857588294,0.0004711785286620716,0.05453098418290879,-0.006256413996488912,-0.0005848828073607795,-3.04989051960293e-05
1660782228348880,1.190203707942374,1.068131532768803,0.9460593575952316,0.048008,0.6904883565075826,0.175891303326537,0.1397681237302477,0.001840019141642384,0.0008260170474808132,0.001523893958109222
1660782228364883,1.251239795529045,1.129167620355474,1.068131532768803,0.064011,0.7201102166357929,0.1799466063689023,0.224642254684851,0.01312480772678939,0.003672720325044327,0.004439176985430011
1660782228380886,1.007095445181903,0.9460593575952316,1.068131532768803,0.080014,0.4146754587987094,0.05028894555066794,0.2553483391163734,0.02220309313026541,0.005514604740400889,0.008279101735839806
1660782228396888,0.6408789196611906,0.9460593575952316,1.068131532768803,0.096016,0.2213739117320172,0.01277682919247337,0.2489130138962363,0.02729148809451122,0.00601913093834602,0.01231319255994068
1660782228412891,0.9460593575952316,1.068131532768803,1.007095445181903,0.112019,0.2975480072129782,0.1437254177261086,0.1734552263606039,0.03144286344607118,0.007271148913694675,0.01569213848199541
1660782228428894,0.7019150072480898,1.190203707942374,0.8239871824216607,0.128022,0.2476165867930082,0.2884803344732556,0.002647965010528584,0.03580418019811907,0.01072879493128959,0.01710096401296447
1660782228444896,0.5188067444876197,1.190203707942374,0.7019150072480898,0.144024,-0.04339267001788977,0.2467954606449319,-0.1089128572250977,0.03743797153232002,0.01501100129223509,0.01625084487524791
1660782228460899,0.2746623941404778,0.9460593575952316,0.8239871824216607,0.160027,-0.2498356527606669,0.03950170408309249,-0.02129053197619767,0.03509214495009157,0.01730137861005928,0.01520921776163755
1660782228476902,0.3356984817273769,0.8239871824216607,0.9460593575952316,0.17603,-0.2016572632982873,-0.09598560994225408,0.1438304088332527,0.03148020162161994,0.01684950736318599,0.01618953677649399
1660782228492904,0.5188067444876197,0.8850232700083325,1.007095445181903,0.192032,-0.00937486115730686,-0.04230814389502298,0.1721793180843203,0.02979194462597518,0.01574315733248777,0.01871761459183457
1660782228508907,0.5798428320745188,1.007095445181903,0.8850232700083325,0.208035,0.06672944840683105,0.08780131697380653,0.05899284863827338,0.03025078132397137,0.01610710271711804,0.02056699192561532
1660782228524910,0.4577706569009478,1.068131532768803,0.8239871824216607,0.224038,-0.1283663702610873,0.1566978482546674,0.01570429624104869,0.02975768594913733,0.01806309603894583,0.0211645690846499
1660782228540912,0.1525902189669068,1.007095445181903,1.007095445181903,0.24004,-0.3000643465583537,0.07383990303410914,0.1614087043485974,0.0263302402145818,0.01990739804925605,0.02258147308936707
1660782228556915,0.5188067444876197,0.7629510948347615,1.129167620355474,0.256043,-0.08657032737473352,-0.1495498494566768,0.3325819274819359,0.0232371628231171,0.01930171847787551,0.02653339814401133
1660782228572918,0.7629510948347615,0.6408789196611906,1.190203707942374,0.272046,0.2752580308806869,-0.2791748371446366,0.3372096157203771,0.02474666445116473,0.015871920985065,0.03189173048962984
1660782228588920,0.7629510948347615,0.8239871824216607,1.007095445181903,0.288048,0.2237387147689262,-0.1057117123261253,0.2080021977824252,0.02873863841636163,0.0127928285892989,0.03625342499765226
1660782228604923,0.2746623941404778,1.068131532768803,0.8850232700083325,0.304051,-0.2699276285471117,0.1681867621075992,0.05700634605394915,0.02836912710613615,0.01329262898755069,0.03837349334834325
1660782228620941,-0.0305180437933358,1.129167620355474,0.8239871824216607,0.320069,-0.565895748037593,0.1795179584088953,-0.02174106909290165,0.02168254009345851,0.01607426675168265,0.03865561556403163
1660782228636943,0.1525902189669068,0.8850232700083325,0.8850232700083325,0.336071,-0.3239359289048939,-0.01054740589539344,0.09909018842516959,0.01456388667791862,0.01742603117179067,0.03927440851868978
1660782228652946,0.5798428320745188,0.8850232700083325,1.190203707942374,0.352074,-0.05267000403920938,-0.04305343412867706,0.3391604961502502,0.01155103921436579,0.0169972244515981,0.04278041399529314
1660782228668949,0.2746623941404778,1.068131532768803,1.190203707942374,0.368077,-0.1573149786196858,0.1407913374957706,0.3690650317293174,0.009871159353094627,0.01777912767853485,0.04844621821832968
1660782228684951,0.213626306553806,1.190203707942374,0.9460593575952316,0.384079,-0.374055316714819,0.27414815450014,0.1403953095458147,0.005620196990418589,0.02109864361450213,0.05252190094853074
1660782228700954,0.0305180437933358,1.068131532768803,0.8239871824216607,0.400082,-0.4860049957919471,0.1635893683640767,-0.02220995258751688,-0.001260285509635539,0.02460054379741587,0.05346738380419712
1660782228716957,0.09155413138023499,0.8239871824216607,0.8239871824216607,0.416085,-0.4511326443850628,-0.137673526749449,0.01941463390652464,-0.00875738663105162,0.02480787053033289,0.05344502125474918
1660782228732959,0.3967345693140487,0.4577706569009478,0.9460593575952316,0.432087,-0.10191174401659,-0.4084409718336812,0.1122498313263198,-0.01318174173826484,0.02043895454166785,0.05449833697661194
1660782228748962,1.007095445181903,0.4577706569009478,1.007095445181903,0.44809,0.4334017484634356,-0.5078175721095607,0.179481290494822,-0.01052982170269008,0.01310888619012192,0.05683218595118107
