Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow Green X,Elbow Green Y,Timestamp (microseconds),angles,Seconds,Shoulder Pink X meters,Hand Pink X meters,Elbow Green X meters,Shoulder Pink Y meters,Hand Pink Y meters,Elbow Green Y meters,angular velocity
1.0,346.3996887,878.6003418,898.6314697,1130.63147,564.5,1107.5,1660090949158330.0,137.57621617704788,0.0,0.2792451642122396,0.7244189313922519,0.4550636167988255,-0.7082711235787286,-0.9114424198490216,-0.8927953155087675,
2.0,346.3187256,878.147644,898.6314697,1130.63147,564.0463257,1107.233765,1660090949174996.5,137.54399877505384,0.0166665,0.2791798969649176,0.7244189313922519,0.4546978937380519,-0.7079061877094905,-0.9114424198490216,-0.8925806939640049,-0.03221740199404621
3.0,346.3333435,878.4235229,898.6314697,1130.63147,564.5,1107.5,1660090949191663.2,137.56282402431927,0.03333325,0.279191680976333,0.7244189313922519,0.4550636167988255,-0.708128583546572,-0.9114424198490216,-0.8927953155087675,0.01882524926543283
4.0,346.4288025,878.3223877,898.6314697,1130.63147,564.5,1107.5,1660090949208330.0,137.53767187336038,0.05,0.2792686338865119,0.7244189313922519,0.4550636167988255,-0.7080470548487905,-0.9114424198490216,-0.8927953155087675,-0.025152150958888342
5.0,346.3187256,878.147644,898.6314697,1130.63147,564.5,1107.5,1660090949224996.5,137.53030294222685,0.0666665,0.2791798969649176,0.7244189313922519,0.4550636167988255,-0.7079061877094905,-0.9114424198490216,-0.8927953155087675,-0.007368931133527212
6.0,346.4354553,878.0170288,898.6314697,1130.63147,564.5,1107.5,1660090949241663.2,137.49870193639825,0.08333325,0.2792739969462636,0.7244189313922519,0.4550636167988255,-0.7078008941305342,-0.9114424198490216,-0.8927953155087675,-0.031601005828605366
7.0,346.4354553,878.0170288,898.6314697,1130.63147,564.5,1107.5,1660090949258329.8,137.49870193639825,0.09999975,0.2792739969462636,0.7244189313922519,0.4550636167988255,-0.7078008941305342,-0.9114424198490216,-0.8927953155087675,0.0
8.0,346.5260925,877.9144897,898.6314697,1130.63147,564.5,1107.5,1660090949274996.5,137.4740270500032,0.1166665,0.2793470628312035,0.7244189313922519,0.4550636167988255,-0.7077182336988082,-0.9114424198490216,-0.8927953155087675,-0.024674886395047224
9.0,346.5260925,877.9144897,898.6314697,1130.63147,564.3311768,1107.376343,1660090949291663.5,137.48637218702478,0.1333335,0.2793470628312035,0.7244189313922519,0.4549275223860858,-0.7077182336988082,-0.9114424198490216,-0.8926956311834131,0.012345137021583241
10.0,346.5260925,877.9144897,898.6314697,1130.63147,564.5,1107.5,1660090949308330.0,137.4740270500032,0.15,0.2793470628312035,0.7244189313922519,0.4550636167988255,-0.7077182336988082,-0.9114424198490216,-0.8927953155087675,-0.012345137021583241
