Frame #,Hand Pink X,Hand Pink Y,Body Pink X,Body Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds
37.0,653.0,1723.0,829.1714478,1441.5523682,713.3374634,1039.500977,657.5004883,1305.241089,1659660193621670.0,0.1159535760613842,0.6
38.0,653.0,1723.0,829.1714478,1441.5523682,713.4050903,1039.43042,657.442749,1305.275635,1659660193638336.8,0.1159630402540063,0.61666675
39.0,653.0,1723.0,829.1714478,1441.5523682,713.4050903,1039.43042,657.442749,1305.275635,1659660193655003.5,0.1159630402540063,0.6333335
40.0,653.0,1723.0,829.1714478,1441.5523682,713.4050903,1039.43042,657.2962036,1304.809937,1659660193671670.2,0.1159630402540063,0.65000025
41.0,653.1224366,1722.4421386,829.1714478,1441.5523682,713.4050903,1039.43042,657.3619385,1304.795532,1659660193688336.8,0.1098750313464117,0.66666675
42.0,653.1224366,1722.4421386,829.1428834,1440.555542,713.3311768,1039.376343,657.4880371,1304.732056,1659660193705003.5,0.1098335138415483,0.6833335
43.0,653.1224366,1722.4421386,829.1428834,1440.555542,713.4050903,1039.43042,657.4437256,1304.804443,1659660193721670.2,0.1098750313464117,0.70000025
44.0,653.1224366,1722.4421386,829.1428834,1440.555542,713.4050903,1039.43042,657.4437256,1304.804443,1659660193738336.8,0.1098750313464117,0.71666675
45.0,653.1224366,1722.4421386,829.1428834,1440.555542,713.409668,1039.194824,657.5314941,1304.71521,1659660193755003.5,0.1098305720174157,0.7333335
46.0,653.1224366,1722.4421386,829.1428834,1440.555542,713.4050903,1039.43042,657.5314941,1304.71521,1659660193771670.0,0.1098750313464117,0.75
47.0,653.1224366,1722.4421386,829.1428834,1440.555542,713.4050903,1039.43042,657.5752563,1304.694702,1659660193788336.8,0.1098750313464117,0.76666675
48.0,653.0,1723.0,829.1428834,1440.555542,713.5640869,1039.378174,657.6551514,1304.57019,1659660193805003.5,0.1160079562071722,0.7833335
49.0,653.0,1723.0,829.1428834,1440.555542,713.6936035,1039.281616,657.6916504,1304.5979,1659660193821670.0,0.1160337286064676,0.8
50.0,653.0,1723.0,829.1428834,1440.555542,713.8323364,1039.262573,657.6687622,1304.634521,1659660193838336.8,0.1160781751837284,0.81666675
51.0,653.0,1723.0,829.1428834,1440.555542,713.8323364,1039.262573,657.7368774,1304.582764,1659660193855003.2,0.1160781751837284,0.83333325
52.0,653.0,1723.0,829.1428834,1440.555542,713.9074097,1039.207764,657.7368774,1304.582764,1659660193871670.0,0.1160933177180825,0.85
53.0,653.1224366,1722.4421386,829.1428834,1440.555542,714.1536865,1039.264038,658.0616455,1304.407471,1659660193888336.8,0.1101546328029414,0.86666675
