Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g)
1658799328298767,-0.8035400930800334,-0.6012664988174259,-0.037659266041046635
1658799328314765,-0.7969481956206605,-0.5961394674601359,-0.03424124513618665
1658799328330763,-0.7931639581902798,-0.5899137865262838,-0.04376287479972518
1658799328346762,-0.7971923399710077,-0.5933318074311438,-0.038757915617608774
1658799328362760,-0.7954833295185777,-0.5888151369497217,-0.03973449301899734
1658799328378759,-0.7979247730220491,-0.5912565804531931,-0.03668268863965807
1658799328394757,-0.7995117112993055,-0.5896696421759366,-0.03033493553063238
1658799328410755,-0.7975585564965284,-0.5904020752269781,-0.03424124513618665
1658799328426754,-0.7975585564965284,-0.5899137865262838,-0.03839169909208806
1658799328442752,-0.7981689173723963,-0.5939421683070116,-0.03802548256656735
1658799328458750,-0.7975585564965284,-0.5912565804531931,-0.039002059967955915
1658799328474749,-0.794262607766842,-0.5908903639276724,-0.041565575646600905
1658799328490747,-0.7949950408178834,-0.5884489204242009,-0.04351873044937804
1658799328506745,-0.7992675669489584,-0.5936980239566645,-0.03826962691691449
1658799328522744,-0.7979247730220491,-0.5947966735332266,-0.04071107042038591
1658799328538742,-0.7990234225986113,-0.5927214465552759,-0.0432745860990309
1658799328554741,-0.8004882887006941,-0.5945525291828795,-0.047913328755626594
1658799328570739,-0.798535133897917,-0.5935759517814909,-0.04217593652246876
1658799328586737,-0.797680628671702,-0.5912565804531931,-0.04046692607003877
1658799328602736,-0.7970702677958341,-0.5923552300297552,-0.04132143129625376
1658799328618744,-0.7965819790951398,-0.5949187457084002,-0.04486152437628732
1658799328634742,-0.7929198138399327,-0.5928435187304495,-0.04974441138323016
1658799328650740,-0.798535133897917,-0.5912565804531931,-0.04730296787975874
1658799328666739,-0.8013427939269091,-0.5938200961318381,-0.041565575646600905
1658799328682737,-0.7974364843213548,-0.5968719005111773,-0.04119935912108019
1658799328698735,-0.7980468451972227,-0.5947966735332266,-0.04596017395284946
1658799328714734,-0.7949950408178834,-0.5928435187304495,-0.04351873044937804
1658799328730732,-0.7979247730220491,-0.5995574883649959,-0.04058899824521234
1658799328746730,-0.7980468451972227,-0.597238117036698,-0.04351873044937804
1658799328762729,-0.7989013504234377,-0.5985809109636073,-0.04754711223010588
1658799328778727,-0.7962157625696191,-0.5965056839856566,-0.04876783398184159
1658799328794726,-0.7930418860151063,-0.5966277561608302,-0.04742504005493231
1658799328810724,-0.7936522468909741,-0.5933318074311438,-0.04461738002594018
1658799328826722,-0.7929198138399327,-0.5944304570077059,-0.04461738002594018
1658799328842721,-0.7989013504234377,-0.5983367666132602,-0.04522774090180803
1658799328858719,-0.8034180209048598,-0.5969939726863509,-0.04473945220111375
1658799328874717,-0.8054932478828105,-0.6027313649195087,-0.04449530785076661
1658799328890716,-0.7996337834744791,-0.5938200961318381,-0.04730296787975874
1658799328906714,-0.7995117112993055,-0.5996795605401695,-0.04840161745632088
1658799328922712,-0.8004882887006941,-0.5933318074311438,-0.04351873044937804
1658799328938690,-0.7952391851682306,-0.5957732509346152,-0.04254215304798947
1658799328954688,-0.7997558556496527,-0.6065156023498894,-0.03741512169069949
1658799328970687,-0.7920653086137177,-0.598947127489128,-0.04596017395284946
1658799328986685,-0.7936522468909741,-0.5946746013580531,-0.04876783398184159
1658799329002683,-0.7982909895475698,-0.5961394674601359,-0.04571602960250232
1658799329018682,-0.8003662165255205,-0.5967498283360038,-0.0424200808728159
1658799329034680,-0.8025635156786448,-0.5902800030518045,-0.044129091325245895
1658799329050678,-0.8037842374303805,-0.5960173952849623,-0.04315251392385733
1658799329066677,-0.7992675669489584,-0.5945525291828795,-0.041443503471427334
1658799329082675,-0.7957274738689248,-0.5883268482490274,-0.04351873044937804
