Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m),stamp velocity (m/s)
1658961688327636,0.0199588006408788,0.9944609750514992,-0.1393453879606317,0.0,0.0,0.0,-0.0002000604749115,-0.0026322672587448,-0.5585309340610638,
1658961688343636,0.0287479972533759,0.9904325932707714,-0.134706645304036,0.0001152959968819,-0.0006951440160361,0.0004504626265284,0.0002339732613871,-0.0013315056619652,-0.558770898142914,0.08700639291526589
1658961688359636,0.0265506981002516,0.9971465629053178,-0.1320210574502174,0.0002648669464348,-0.0012792667214237,0.0010841597858319,0.0006674059616592,-0.0007913066403653,-0.5590129248599971,0.045853699942072036
1658961688375636,0.016784924086366,1.000198367284657,-0.1378805218585488,0.0004707615662273,-0.0018057429688077,0.001891394733997,0.001100002541482,-0.0005092891056667,-0.5592574391920725,0.03571047582107698
1658961688391636,0.0197146562905317,0.9944609750514992,-0.1371480888075074,0.0007656660667552,-0.0023254422982539,0.0028897420867186,0.0015307727604317,-0.0005681571193095,-0.5595049174059441,0.03126711349563377
1658961688407635,0.0219119554436559,0.9909208819714656,-0.1316548409246967,0.0011836323207024,-0.0028674235527871,0.0041220944083003,0.0019579292685315,-0.0007310020329901,-0.559752737633165,0.032499760416393624
1658961688423635,0.0239871824216066,0.9829861905851836,-0.1259174486915389,0.0017509920423819,-0.0034460042272614,0.005632506928684,0.0023790347726043,-0.0007955625669062,-0.5599973484402356,0.030703493479701995
1658961688439635,0.008239871824216,0.9938506141756314,-0.1229877164873732,0.0024798945522039,-0.0040699017526339,0.0074357332810933,0.002791255296161,-0.0008626827662527,-0.5602370468503274,0.03009660286335967
1658961688455635,0.008239871824216,0.9994659342336156,-0.1266498817425803,0.0033657197541454,-0.0047324287581341,0.0095051677363672,0.0031917880812852,-0.0009044194979293,-0.5604691217170069,0.029049204652053014
1658961688471634,0.0221560997940031,0.9900663767452508,-0.1267719539177539,0.0043883943934037,-0.0054004759474116,0.0117870978729013,0.0035784249751802,-0.0009370261276368,-0.5606914407815458,0.027949245746690842
1658961688487634,0.0266727702754252,0.978835736629282,-0.1162737468528268,0.0055170734044027,-0.0060273138636861,0.0142365978648767,0.0039499029304906,-0.0009838110032553,-0.5609024091363239,0.026859904378585413
1658961688503634,0.0182497901884488,0.9906767376211184,-0.1196917677576868,0.0067171351223293,-0.0065814074266706,0.0168507864679182,0.0043056896668584,-0.0010425794698102,-0.5611007272796863,0.02572146632246983
1658961688519634,0.016784924086366,0.9953154802777142,-0.1217669947356375,0.0079576383956974,-0.0070593837930613,0.0196593244913325,0.0046453849057949,-0.001046676373686,-0.5612848265860814,0.024149776347359736
1658961688535634,0.0204470893415731,0.9864042114900436,-0.1183489738307775,0.0092173552604403,-0.0074734726050065,0.0226758635557093,0.0049683510122459,-0.0009103415218212,-0.5614531174292122,0.02430407193497325
1658961688551633,0.0224002441443502,0.9821316853589686,-0.1122453650720989,0.0104884677934094,-0.0078368948823978,0.0258773038094811,0.0052738090376289,-0.0006432764976383,-0.5616052649793242,0.027083292345801188
1658961688567633,0.0115358205539024,0.9901884489204242,-0.1106584267948425,0.0117772087684262,-0.008162915021073,0.0292363730493259,0.0055609951935724,-0.000266060008617,-0.5617411000299857,0.030823294809345182
1658961688583633,0.0143434805828945,1.008987563897154,-0.1226214999618525,0.0130998884829649,-0.0084677521471785,0.0327323940381955,0.0058291303298212,0.0002828797098578,-0.561858925419956,0.0388865581859195
1658961688599633,0.0233768215457388,0.9936064698252842,-0.1183489738307775,0.0144747869617899,-0.0087674673672279,0.0363102742728839,0.0060775117768966,0.0009657235527255,-0.5619581969426002,0.04583529839450036
1658961688615633,0.0269169146257723,0.9671168078126192,-0.1098039215686275,0.0159147672037974,-0.009072531913177,0.0398825857913379,0.0063058201204546,0.0017060168652444,-0.5620390963460891,0.04868198788531398
1658961688631632,0.0172732127870602,0.98286411841001,-0.0988174258030061,0.0174245297674708,-0.0093859147862876,0.0433957204158197,0.0065142039521583,0.0025327002652704,-0.5620997892109941,0.05341877921508385
1658961688647644,0.011657892729076,0.9906767376211184,-0.1098039215686275,0.0190013310677759,-0.009702440709325,0.0468416858168531,0.0067030705551404,0.0033845883615748,-0.5621403960062171,0.05459484415637299
1658961688663643,0.0203250171663995,0.9895780880445564,-0.1173723964293889,0.020637134490892,-0.0100057500701761,0.0501990622254811,0.0068730911214202,0.0040577946346624,-0.5621652953895443,0.04342439813075427
1658961688679643,0.0237430380712595,0.9915312428473336,-0.1172503242542153,0.0223212037226686,-0.0102691025894307,0.0534211920067171,0.0070255049143034,0.0045732620485406,-0.5621740041700619,0.03359992454240893
1658961688695643,0.0145876249332417,0.99140917067216,-0.1192034790569925,0.0240404575587605,-0.0104649423553192,0.0564837668167835,0.0071622085444592,0.005105358911736,-0.5621615918281885,0.03434481746242237
1658961688711643,0.018493934538796,0.992507820248722,-0.1132219424734875,0.0257755530578368,-0.0105744158958325,0.0593925472372008,0.007285491871167,0.0057008855373062,-0.5621263007917338,0.0380735409715742
1658961688727643,0.0215457389181352,0.9807888914320592,-0.1057755397878997,0.0274956509579084,-0.0105926313728184,0.062148254510518,0.0073977811220925,0.006353778527394,-0.5620681678611273,0.041564030516936704
1658961688743642,0.0236209658960859,0.9654077973601892,-0.1067521171892882,0.0291569648058454,-0.0105377801265668,0.0647531949496579,0.0075013963301409,0.0071731363338452,-0.5619841214503949,0.05188430358922852
