Frame #,Hand Pink X,Hand Pink Y,Elbow Pink X,Elbow Pink Y,Head Pink X,Head Pink Y,Shoulder Green X,Shoulder Green Y,Timestamp (microseconds),angles,Seconds,Hand Pink X meters,Elbow Pink X meters,Head Pink X meters,Shoulder Green X meters,Hand Pink Y meters,Elbow Pink Y meters,Head Pink Y meters,Shoulder Green Y meters,angular velocity,Hand Pink m/s,Elbow Pink m/s,Head Pink m/s,Shoulder Green m/s
1.0,955.9408569,936.0689697,709.2785645,1016.062622,265.454132,1007.5,494.791992,1011.61401,1658789918000000.0,0.0,0.0,1.1059470176688544,0.8205784985998135,0.3071091725960043,0.5724347107554114,-1.0829568355611856,-1.1755030852115225,-1.1655968172703914,-1.1703563973817743,,,,,
2.0,955.9408569,936.0689697,709.2785645,1016.062622,265.454132,1007.5,494.791992,1011.61401,1658789918016666.8,0.0,0.01666675,1.1059470176688544,0.8205784985998135,0.3071091725960043,0.5724347107554114,-1.0829568355611856,-1.1755030852115225,-1.1655968172703914,-1.1703563973817743,0.0,0.0,0.0,0.0,0.0
3.0,956.3857422,935.6448364,710.0830078,1015.81134,265.454132,1007.5,495.144806,1011.46722,1658789918033333.2,0.042500402390058,0.03333325,1.106461714333599,0.8215091750763936,0.3071091725960043,0.5728428882993205,-1.0824661472985768,-1.1752123720607162,-1.1655968172703914,-1.1701865731070282,2.5500496438999187,0.04266703012796637,0.05850147198490968,0.0,0.026525781608105668
4.0,956.3857422,935.6448364,710.0830078,1015.81134,265.477264,1007.45453,494.716064,1011.63458,1658789918050000.0,0.0424467483584548,0.05,1.106461714333599,0.8215091750763936,0.3071359344675449,0.5723468681398861,-1.0824661472985768,-1.1752123720607162,-1.1655442121217252,-1.1703801952244857,-0.0032192258000629,0.0,0.0,0.003541270670873199,0.03194826885079207
5.0,956.3857422,935.6448364,710.0830078,1015.81134,265.29245,1007.45752,494.791992,1011.61401,1658789918066666.5,0.0424549168621749,0.0666665,1.106461714333599,0.8215091750763936,0.3069221194698406,0.5724347107554114,-1.0824661472985768,-1.1752123720607162,-1.1655476713122797,-1.1703563973817743,0.0004901151243574,0.0,0.0,0.01283057868037425,0.005460548023059818
6.0,956.3857422,935.6448364,710.0830078,1015.81134,265.29245,1007.45752,494.57251,1011.66919,1658789918083333.2,0.0424319374031361,0.08333325,1.106461714333599,0.8215091750763936,0.3069221194698406,0.572180787657994,-1.0824661472985768,-1.1752123720607162,-1.1655476713122797,-1.1704202362228435,-0.0013787606485251,0.0,0.0,0.0,0.015709500734016727
7.0,956.1036987,935.2370605,710.0707397,1015.532349,265.399994,1007.47498,494.716064,1011.63458,1658789918100000.0,0.0973534397425241,0.1,1.1061354125907388,0.821494981867149,0.3070465392654898,0.5723468681398861,-1.0819943832378327,-1.174889601815905,-1.1655678711340458,-1.1703801952244857,3.2952736639949585,0.03441689938173428,0.019384929229866173,0.007562932371480188,0.010250347743080849
8.0,956.1036987,935.2370605,710.0702515,1015.569031,265.449493,1007.5,494.644104,1011.6441,1658789918116666.5,0.0973385131331682,0.1166665,1.1061354125907388,0.8214944170588451,0.3071038056445053,0.572263616182595,-1.0819943832378327,-1.174932039952333,-1.1655968172703914,-1.1703912091021038,-0.000895605517409,0.0,0.0025465136863728373,0.003849979364826071,0.0050386404927067205
9.0,955.9944458,934.666687,710.1082764,1015.453796,265.420227,1007.69861,494.716064,1011.63458,1658789918133333.5,0.168481811640908,0.1333335,1.1060090157346418,0.8215384088230308,0.3070699472261884,0.5723468681398861,-1.0813345067750484,-1.1747987222855951,-1.165826593135283,-1.1703801952244857,4.268512540213587,0.04031237032133623,0.008423298171752218,0.013935423426619421,0.0050386404927067205
10.0,956.227417,934.5,710.0995483,1015.527588,265.775543,1007.3233,494.791992,1011.61401,1658789918150000.0,0.1839510646187272,0.15,1.1062785447562158,0.8215283111102955,0.3074810193837321,0.5724347107554114,-1.0811416632646955,-1.174884093720176,-1.165392389520901,-1.1703563973817743,0.9281644603137552,0.019884774241640042,0.005157992276229105,0.03587543938155522,0.005460548023059818
