Frame #,Hand Pink X,Hand Pink Y,Body Pink X,Body Pink Y,Shoulder X,Shoulder Y,Elbow X,Elbow Y,Timestamp (microseconds),angles,Seconds,Hand Pink X meters,Body Pink X meters,Shoulder X meters,Elbow X meters,Hand Pink Y meters,Body Pink Y meters,Shoulder Y meters,Elbow Y meters
1.0,577.9177246,1447.168701,720.3824463,1243.670166,668.5316772,994.2781372,614.2289429,1211.296265,1658964269000000.0,0.0,0.0,0.5932924188678204,-0.7395472156024693,0.6863170291762131,0.6305696464388476,-1.4856686039874605,-1.2767562745554937,-1.0207295189900436,-1.2435211111145876
2.0,577.3911133,1446.608887,720.0761108,1243.510864,668.3373413,993.9899902,614.5,1211.5,1658964269016666.8,0.07768695521955546,0.01666675,0.5927517978093533,-0.739232730474148,0.6861175232408939,0.6308479146345871,-1.4850938969175118,-1.2765927345481751,-1.0204337062413729,-1.2437302661998408
3.0,576.8016968,1446.345947,719.6175537,1243.329834,667.6398315,993.9367676,615.0,1211.5,1658964269033333.2,0.15577540333385934,0.03333325,0.5921467007062187,-0.7387619741026655,0.6854014571664151,0.6313612164365681,-1.484823961765886,-1.2764068884977495,-1.0203790677284008,-1.2437302661998408
4.0,576.833313,1446.047607,719.6175537,1243.329834,667.1876221,993.6506958,615.0,1211.5,1658964269050000.0,0.15903569836057374,0.05,0.5921791580110822,-0.7387619741026655,0.6849372173666297,0.6313612164365681,-1.48451768484668,-1.2764068884977495,-1.020085385387529,-1.2437302661998408
5.0,576.5250244,1445.708374,719.2348633,1243.465942,666.6087646,993.7265625,615.0,1211.5,1658964269066666.5,0.20477135262677373,0.0666665,0.5918626678232619,-0.738369102758824,0.6843429601709493,0.6313612164365681,-1.4841694270262973,-1.276546617461078,-1.0201632704151695,-1.2437302661998408
6.0,576.5250244,1445.708374,719.2348633,1243.465942,665.9494629,994.4719238,615.0,1211.5,1658964269083333.2,0.20499518836136163,0.08333325,0.5918626678232619,-0.738369102758824,0.683666118669631,0.6313612164365681,-1.4841694270262973,-1.276546617461078,-1.0209284610120033,-1.2437302661998408
7.0,576.1983032,1446.654053,719.5814209,1243.62793,665.5187378,994.5625,615.0,1211.5,1658964269100000.0,0.2220426807497777,0.1,0.5915272546618512,-0.7387248800399643,0.6832239347296543,0.6313612164365681,-1.4851402644958884,-1.2767129149256766,-1.0210214468653565,-1.2437302661998408
8.0,577.0270386,1446.815308,719.6466064,1243.730957,666.4473877,994.7911987,616.5,1211.5,1658964269116666.5,0.11712929829062305,0.1166665,0.5923780374102219,-0.7387917997091904,0.6841772900638131,0.6329011218425109,-1.485305809460045,-1.276818682815182,-1.021256229774998,-1.2437302661998408
9.0,577.0270386,1446.815308,719.6466064,1243.730957,664.5168457,995.2996216,615.0,1211.5,1658964269133333.5,0.11726443097357568,0.1333335,0.5923780374102219,-0.7387917997091904,0.6821953886890133,0.6313612164365681,-1.485305809460045,-1.276818682815182,-1.0217781785564746,-1.2437302661998408
10.0,576.0,1446.5,719.5714111,1243.952393,665.0501099,995.0656128,615.5,1211.5,1658964269150000.0,0.2502383358493066,0.15,0.5913236758820539,-0.7387146039432093,0.6827428396385972,0.631874518238549,-1.4849821131308871,-1.277046009810829,-1.0215379442790358,-1.2437302661998408
11.0,575.0686035,1445.509766,718.5,1243.5,664.0,994.5,614.8790283,1211.643066,1658964269166666.8,0.3874905005924791,0.16666675,0.5903675008784365,-0.7376146894466246,0.681664793030701,0.6312370264533705,-1.4839655353377217,-1.2765815815266215,-1.020957284140109,-1.2438771382710454
12.0,574.9312744,1445.677002,718.5,1243.5,664.5,994.5,615.0,1211.5,1658964269183333.5,0.40028171428746673,0.1833335,0.5902265183294476,-0.7376146894466246,0.682178094832682,0.6313612164365681,-1.4841372204180336,-1.2765815815266215,-1.020957284140109,-1.2437302661998408
13.0,575.0,1445.5,718.5,1243.5,664.5,994.5,615.0,1211.5,1658964269200000.0,0.39617652854078567,0.2,0.590297072278092,-0.7376146894466246,0.682178094832682,0.6313612164365681,-1.4839555095269252,-1.2765815815266215,-1.020957284140109,-1.2437302661998408
14.0,574.6204834,1445.689819,718.3824463,1243.670166,663.7208252,994.7958374,615.0,1211.5,1658964269216666.8,0.43819664236089956,0.21666675,0.5899074591687687,-0.7374940083945455,0.6813781911748857,0.6313612164365681,-1.4841503783964256,-1.2767562745554937,-1.0212609918811355,-1.2437302661998408
15.0,574.4134521,1445.432739,717.7651367,1243.534058,663.7208252,994.7958374,615.0,1211.5,1658964269233333.2,0.46974306138403266,0.23333325,0.5896949200900558,-0.7368602761344252,0.6813781911748857,0.6313612164365681,-1.4838864591419194,-1.2766165455921654,-1.0212609918811355,-1.2437302661998408
16.0,574.4905396,1445.424561,717.5,1243.5,663.6236572,994.6688232,615.1209717,1211.356934,1658964269250000.0,0.46036939709660124,0.25,0.5897740583953762,-0.7365880858426627,0.681278438155896,0.6314854064197655,-1.483878063577646,-1.2765815815266215,-1.0211305986456611,-1.2435833941286365
17.0,574.4905396,1445.424561,717.5,1243.5,663.9464111,994.8293457,615.5,1211.5,1658964269266666.8,0.4605653272191786,0.26666675,0.5897740583953762,-0.7365880858426627,0.6816097784728287,0.631874518238549,-1.483878063577646,-1.2765815815266215,-1.021295391622678,-1.2437302661998408
18.0,574.4905396,1445.424561,717.9351807,1242.981445,664.1280518,994.6478271,615.5,1211.5,1658964269283333.2,0.46039338895489323,0.28333325,0.5897740583953762,-0.7370348439176574,0.6817962514700748,0.631874518238549,-1.483878063577646,-1.276049231094769,-1.021109043973732,-1.2437302661998408
19.0,574.5473633,1445.340332,717.9351807,1242.981445,664.0597534,994.8478394,615.5,1211.5,1658964269300000.0,0.4556908609089836,0.3,0.5898323938105866,-0.7370348439176574,0.68172613608649,0.631874518238549,-1.483791593782688,-1.276049231094769,-1.0213143773217488,-1.2437302661998408
20.0,575.0,1445.5,718.1589355,1243.453491,664.2233887,995.2024536,615.5,1211.5,1658964269316666.5,0.3967762718102979,0.3166665,0.590297072278092,-0.7372645514017411,0.6818941246752054,0.631874518238549,-1.4839555095269252,-1.276533835219605,-1.021678425537485,-1.2437302661998408
21.0,575.0,1445.5,717.6175537,1243.329834,664.2233887,995.2024536,615.0,1211.5,1658964269333333.2,0.3967762718102979,0.33333325,0.590297072278092,-0.7367087668947417,0.6818941246752054,0.6313612164365681,-1.4839555095269252,-1.2764068884977495,-1.021678425537485,-1.2437302661998408
22.0,575.4905396,1445.424561,718.2756958,1243.250977,664.3028564,995.3082275,615.5,1211.5,1658964269350000.0,0.3386253075809653,0.35,0.5908006619993381,-0.7373844179465208,0.681975706502424,0.631874518238549,-1.483878063577646,-1.2763259336173522,-1.02178701340443,-1.2437302661998408
