Frame #,Index Pink X,Index Pink Y,Thumb Pink X,Thumb Pink Y,Hand Green X,Hand Green Y,Timestamp (microseconds),angles,Seconds
1.0,358.8536377,1004.6203,359.3069763,1064.397339,734.4343262,1095.503662,1660606681175000.0,8.862764325488474,0.0
2.0,356.5183411,993.8822632,358.3193665,1066.734497,733.5206909,1095.713501,1660606681191666.5,10.6988047397877,0.0166665
3.0,354.686615,989.7279053,357.7702332,1067.77832,733.3018799,1095.529297,1660606681208333.2,11.38629722385294,0.03333325
4.0,354.0988159,985.475647,357.2607117,1068.544556,733.1420898,1095.627075,1660606681225000.0,12.082987003677172,0.05
5.0,353.9187317,983.3043823,357.2802734,1068.774414,733.3087158,1095.869019,1660606681241666.5,12.404265361126091,0.0666665
6.0,354.1273193,983.357666,357.2391968,1068.148193,733.836853,1095.937622,1660606681258333.2,12.294295781727108,0.08333325
7.0,355.6638794,989.1569214,358.2708435,1066.504761,734.9089355,1095.698975,1660606681274999.8,11.259464582891956,0.09999975
8.0,359.7464905,1001.659668,361.8175659,1062.295166,736.3937988,1094.710938,1660606681291666.5,8.931086884419468,0.1166665
9.0,359.7464905,1001.659668,361.8175659,1062.295166,738.5932007,1093.344604,1660606681308333.5,8.8936081780695,0.1333335
10.0,359.7464905,1001.659668,361.8175659,1062.295166,740.137085,1092.381714,1660606681325000.0,8.867303038434729,0.15
11.0,359.7464905,1001.659668,361.8175659,1062.295166,739.9959106,1091.464722,1660606681341666.8,8.877692663994166,0.16666675
12.0,370.1862488,1031.365723,369.7626648,1052.40271,740.4700928,1091.428833,1660606681358333.2,3.203940350787157,0.18333325
13.0,370.686615,1031.727905,371.0,1052.5,741.1455078,1090.534424,1660606681375000.0,3.1529976077103794,0.2
14.0,371.0376587,1032.331909,371.1141052,1052.939941,741.4527588,1090.881836,1660606681391666.8,3.132533168842856,0.21666675
15.0,372.0154419,1031.371948,370.2180786,1053.27417,741.8753662,1091.124634,1660606681408333.2,3.362032080139008,0.23333325
16.0,373.6907349,1027.874512,372.5,1051.759033,743.7823486,1091.118408,1660606681425000.0,3.646155614513051,0.25
17.0,373.5768738,1016.451416,372.6666565,1051.994507,745.7918701,1090.845337,1660606681441666.5,5.3582933180350745,0.2666665
18.0,367.9326477,988.5454712,370.3445435,1060.557739,746.3573608,1091.656006,1660606681458333.2,10.513653727635347,0.28333325
19.0,363.5,961.5,368.4046326,1069.764893,745.8830566,1092.349365,1660606681475000.0,15.466747055640392,0.3
20.0,361.7972107,951.5374146,368.3303833,1072.37146,747.5,1092.176514,1660606681491666.5,17.043414685303006,0.3166665
21.0,363.0937805,953.4646606,370.6273499,1072.85022,749.3432007,1091.490845,1660606681508333.2,16.84648408176867,0.33333325
22.0,365.1420898,964.6918945,372.3847351,1069.07959,750.644043,1091.702026,1660606681524999.8,14.812746612451749,0.34999975
23.0,369.3231812,983.5971069,373.9273376,1064.131104,751.6156006,1090.9021,1660606681541666.5,11.624394795490126,0.3666665
24.0,369.3231812,983.5971069,373.9273376,1064.131104,752.4029541,1090.076294,1660606681558333.5,11.611977521275398,0.3833335
25.0,380.9812622,1028.981323,377.8944092,1052.838623,752.8760986,1089.548462,1660606681575000.0,3.658725574847896,0.4
26.0,380.8132019,1032.03418,377.1674805,1052.749634,750.949585,1089.593872,1660606681591666.8,3.2096919581578964,0.41666675
27.0,379.2098694,1034.548096,375.639679,1053.755737,749.1124878,1090.112427,1660606681608333.2,2.9826346815090448,0.43333325
28.0,378.2307739,1036.061279,375.3504028,1054.668213,747.4349365,1090.227661,1660606681625000.0,2.8873139675120902,0.45
29.0,377.8457336,1035.713989,374.5747681,1054.668213,746.552124,1090.036011,1660606681641666.8,2.949787104059979,0.46666675
30.0,377.7478638,1034.190308,374.6367798,1054.031494,746.6491089,1090.172974,1660606681658333.2,3.0801450503100383,0.48333325
31.0,378.7054749,1030.842041,375.7612915,1052.250366,747.5495605,1090.370483,1660606681675000.0,3.3138369519034825,0.5
32.0,379.5,1025.5,377.0220032,1052.135254,749.1184692,1089.84021,1660606681691666.5,4.088548193394772,0.5166665
33.0,379.5,1025.5,377.0220032,1052.135254,749.7943115,1090.192139,1660606681708333.2,4.080609173189224,0.53333325
34.0,379.5,1025.5,377.0220032,1052.135254,748.6772461,1091.319702,1660606681725000.0,4.090319948757823,0.55
35.0,362.10672,948.4941406,372.1644592,1072.685791,749.3551636,1091.462891,1660606681741666.5,17.413792273298103,0.5666665
36.0,363.4457092,949.7254028,372.6929016,1074.597168,750.9873047,1091.471802,1660606681758333.2,17.536283942516956,0.58333325
37.0,365.9851685,964.0539551,375.0759277,1070.257446,752.5645142,1091.012817,1660606681774999.8,15.033897972486862,0.59999975
38.0,370.3815918,983.5233765,377.612793,1062.810791,752.5645142,1091.012817,1660606681791666.5,11.407298673530084,0.6166665
39.0,370.3815918,983.5233765,377.612793,1062.810791,754.7506714,1089.648804,1660606681808333.5,11.364544847875408,0.6333335
40.0,381.7781677,1025.758057,382.3049927,1050.155273,754.883606,1089.49707,1660606681825000.0,3.666756739840813,0.65
41.0,380.8152466,1028.900513,381.1177368,1050.758423,752.6461792,1089.614746,1660606681841666.8,3.3030970525556245,0.66666675
42.0,379.2671814,1031.185791,378.8948059,1051.321045,750.6574097,1089.919312,1660606681858333.2,3.0591196356224755,0.68333325
43.0,378.4631042,1032.536865,378.3759155,1052.234985,749.6085815,1090.637573,1660606681875000.0,2.9910982675817355,0.7
44.0,378.4631042,1032.536865,378.1268616,1052.333374,748.8720093,1090.833374,1660606681891666.8,3.015458685939436,0.71666675
45.0,378.6557922,1031.775513,378.0355225,1052.463135,749.4404907,1090.932495,1660606681908333.2,3.151385616439409,0.73333325
46.0,379.6624146,1026.927979,378.2461853,1052.102295,750.6464233,1090.758423,1660606681925000.0,3.836331519171513,0.75
47.0,379.6624146,1026.927979,378.2461853,1052.102295,751.4302979,1091.133911,1660606681941666.5,3.827672691753514,0.7666665
48.0,364.4052429,958.572998,372.0441895,1068.703491,749.5532837,1092.683105,1660606681958333.2,15.563743473103331,0.78333325
49.0,364.4052429,958.572998,372.0441895,1068.703491,746.9316406,1093.391724,1660606681975000.0,15.646869747850548,0.8
50.0,357.5327759,891.6802979,365.5,1087.889404,745.2809448,1092.624512,1660606681991666.5,26.68039158392636,0.8166665
51.0,357.7997437,891.1640015,365.3291931,1089.29187,744.9001465,1091.900146,1660606682008333.2,27.015897175504943,0.83333325
52.0,357.5842896,898.3739014,365.1356812,1088.0,744.1971436,1091.512085,1660606682024999.8,26.0142584700664,0.84999975
53.0,357.2672119,909.8815308,365.420166,1084.599487,743.6218262,1091.191284,1660606682041666.5,24.141354034579788,0.8666665
54.0,357.6097412,925.5731812,365.5,1080.5,743.2809448,1090.624512,1660606682058333.5,21.633765951930297,0.8833335
55.0,360.5176392,944.3359375,366.7202148,1074.48877,742.7002563,1089.796875,1660606682075000.0,18.50559550498644,0.9
56.0,366.5,967.5,369.5,1063.889404,744.1401978,1088.682373,1660606682091666.8,14.004906334465394,0.91666675
57.0,366.5,967.5,369.5,1063.889404,746.883606,1087.49707,1660606682108333.2,13.9290343127875,0.93333325
58.0,385.0631714,1013.839783,381.7479858,1037.459961,749.2932739,1086.323364,1660606682125000.0,3.6823051998626095,0.95
59.0,385.0331116,1014.5,383.3126221,1035.608276,749.0157471,1086.203369,1660606682141666.8,3.267499008576164,0.96666675
60.0,383.7961731,1017.297363,382.1307068,1037.562134,747.3025513,1086.009399,1660606682158333.2,3.146792539205573,0.98333325
61.0,382.1111145,1021.056213,382.0,1040.5,745.6535645,1085.944702,1660606682175000.0,2.99696350693842,1.0
62.0,381.3214722,1022.920532,381.0,1042.5,744.6008301,1085.760742,1660606682191666.5,3.0288521660457146,1.0166665
63.0,380.8586426,1024.418091,380.2661438,1042.77002,743.6428833,1086.34314,1660606682208333.2,2.848894927677088,1.03333325
64.0,380.2208557,1023.906494,379.5,1043.5,743.1537476,1086.376831,1660606682225000.0,3.0419657489090577,1.05
65.0,380.2208557,1023.906494,379.6873779,1043.391724,743.4350586,1087.084351,1660606682241666.5,3.0179284283050976,1.0666665
66.0,380.7054749,1022.842041,379.6873779,1043.391724,743.8805542,1087.406982,1660606682258333.2,3.189503522841952,1.08333325
67.0,382.1273193,1017.995728,380.5,1041.607666,745.6079712,1086.810669,1660606682274999.8,3.662761411682722,1.09999975
68.0,382.1273193,1017.995728,380.5,1041.607666,747.3790894,1087.19458,1660606682291666.5,3.644799568673781,1.1166665
69.0,370.4761963,960.5238037,376.315155,1054.684814,745.8764648,1088.248535,1660606682308333.5,13.60076802224898,1.1333335
70.0,361.8403931,916.098999,370.3256226,1067.764893,742.473938,1089.169556,1660606682325000.0,21.159029266330176,1.15
71.0,358.6946716,894.0756226,367.3126221,1077.608276,740.5263062,1089.162231,1660606682341666.8,25.29034197154903,1.16666675
72.0,358.0606079,888.9393921,366.2307739,1082.854736,740.6239014,1089.74646,1660606682358333.2,26.640367913593742,1.18333325
73.0,357.8762817,891.3202515,365.8325195,1084.749634,740.6380005,1089.907104,1660606682375000.0,26.63310979306154,1.2
74.0,356.6179199,901.9779663,366.0150757,1083.38916,740.5895996,1091.256348,1660606682391666.8,25.0377313773462,1.21666675
75.0,356.6179199,901.9779663,366.0150757,1083.38916,740.473938,1091.169556,1660606682408333.2,25.04705824448764,1.23333325
76.0,361.5771179,968.8557129,369.1815491,1072.069946,741.5836792,1090.126587,1660606682425000.0,14.923435104416765,1.25
77.0,361.5771179,968.8557129,369.1815491,1072.069946,743.149231,1088.524414,1660606682441666.5,14.893103113298816,1.2666665
78.0,379.0875549,1025.726563,376.6000061,1048.556396,744.9401855,1087.49292,1660606682458333.2,3.548580812693437,1.28333325
79.0,380.5,1023.781067,377.2180176,1043.744019,744.2524414,1088.246826,1660606682475000.0,3.136504713903372,1.3
80.0,380.5,1024.5,377.4928894,1043.035645,742.9829712,1087.965942,1660606682491666.5,2.92276257777692,1.3166665
81.0,380.6182861,1024.739868,377.7421875,1042.870239,742.5240479,1087.299805,1660606682508333.2,2.8630861104348084,1.33333325
82.0,380.6182861,1024.739868,377.7421875,1042.870239,742.2565308,1086.349854,1660606682524999.8,2.866134633435889,1.34999975
83.0,380.5,1024.5,377.6873779,1041.391724,742.1040039,1086.062622,1660606682541666.5,2.6733325914681423,1.3666665
84.0,380.8586426,1022.418152,378.0357666,1040.278687,742.2800903,1086.054565,1660606682558333.5,2.822852610858917,1.3833335
85.0,381.9805298,1017.390625,379.7523499,1036.971924,743.833313,1085.484619,1660606682575000.0,3.0675877054438114,1.4
86.0,383.6739807,1008.852356,381.4639587,1035.696655,745.9802246,1084.363037,1660606682591666.8,4.168308057226998,1.41666675
87.0,377.3921509,979.2196045,380.3394775,1039.139038,746.8855591,1084.90564,1660606682608333.2,8.845029262367346,1.43333325
88.0,377.3921509,979.2196045,380.3394775,1039.139038,743.5551147,1086.504272,1660606682625000.0,8.900683317982539,1.45
89.0,363.5,889.5,366.6701965,1069.119873,740.2807617,1086.950195,1660606682641666.8,24.924244927709616,1.46666675
90.0,362.555542,867.5482788,364.5271606,1077.38916,738.5042114,1086.925781,1660606682658333.2,28.80410630396947,1.48333325
91.0,362.0852051,864.6920776,364.6341858,1081.746948,738.8769531,1087.686646,1660606682675000.0,29.70880514986604,1.5
