Frame #,Index Pink X,Index Pink Y,Thumb Pink X,Thumb Pink Y,Hand Green X,Hand Green Y,Timestamp (microseconds),angles,Seconds,Index Pink X meters,Index Pink Y meters,Thumb Pink X meters,Hand Green X meters,Thumb Pink Y meters,Hand Green Y meters,angular velocity,Index Pink m/s,Thumb Pink m/s,Hand Green m/s
1.0,322.2864075,480.1299744,385.8444519,903.9933472,867.2817383,885.8293457,1660170866516670.0,38.8249951652037,0.0,0.0714350366895499,-0.1064211879212333,0.0855227274142357,0.1922336820724813,-0.2003708391714939,-0.1963447738972966,,,,
2.0,322.0585938,479.8925476,386.058075,903.9613037,867.2817383,885.8293457,1660170866533336.8,38.826730537878106,0.01666675,0.0713845416030704,-0.1063685620835486,0.0855700771430207,0.1922336820724813,-0.2003637367044184,-0.1963447738972966,0.1041218398550034,0.004375984138696059,0.0028727670766109815,0.0
3.0,321.7356262,480.026825,384.5497131,904.6710205,866.9293213,886.3131104,1660170866550003.2,38.87346828606668,0.03333325,0.0713129555795254,-0.1063983247752797,0.0852357475369308,0.1921555685661739,-0.2005210459935084,-0.196452000725017,2.804292934243916,0.004651597113877863,0.022169370595305753,0.007959744017379713
4.0,321.7622681,480.4068604,384.2530518,904.8372192,866.7004395,886.3248901,1660170866566670.0,38.87945092431136,0.05,0.071318860777696,-0.1064825599217537,0.0851699923255514,0.1921048367344861,-0.2005578840665886,-0.1964546117048229,0.3589564998979631,0.005066512860039953,0.004522261516821034,0.0030479385595851183
5.0,321.5347595,480.6151123,384.7546692,904.7139893,866.7269287,886.2851563,1660170866583336.5,38.84214306595913,0.0666665,0.0712684333168724,-0.1065287191198178,0.0852811762183227,0.1921107080865811,-0.2005305700619552,-0.1964458046766803,-2.238493886072577,0.004101824147343843,0.006869387621848267,0.000635083831049125
6.0,321.5129089,480.7835083,385.0819397,904.2114868,866.8270264,886.4873657,1660170866600003.2,38.755628470392764,0.08333325,0.0712635901141298,-0.106566044226178,0.0853537159830501,0.1921328948208201,-0.20041918998607,-0.1964906245498485,-5.190849779732916,0.0022582809035597727,0.007975157652062232,0.003000643255241037
7.0,321.3294678,480.8738708,385.4813538,904.6497192,866.7269287,886.2851563,1660170866616670.0,38.80997054906784,0.1,0.0712229302494755,-0.1065860731456504,0.0854422464336799,0.1921107080865811,-0.2005163245435446,-0.1964458046766803,3.2605084179625425,0.0027195175954894475,0.00788555303071396,0.003000643255241037
8.0,321.5513916,481.0037537,385.0935364,904.8935547,866.7880859,886.3724365,1660170866633336.5,38.83173466745697,0.1166665,0.0712721198349695,-0.1066148617929868,0.0853562864007615,0.1921242636282489,-0.2005703708746443,-0.196465150401924,1.3058601619493495,0.00341968500472132,0.006092329553858446,0.0014173338570723144
9.0,321.672699,480.9094238,383.9246521,905.4383545,866.722229,886.4508667,1660170866650003.5,38.90308217857728,0.1333335,0.0712990077159601,-0.1065939534961719,0.0850972022727523,0.1921096663943654,-0.2006911261804711,-0.19648253451768,4.280765051917452,0.0020436276743848137,0.017150601895496154,0.0013619956621077165
10.0,321.249054,480.5913086,383.7129822,905.5886841,866.722229,886.4508667,1660170866666670.0,38.920097318836994,0.15,0.0712051064672133,-0.1065234430109182,0.0850502854722895,0.1921096663943654,-0.2007244468550066,-0.19648253451768,1.020918624769185,0.007045638577794607,0.003452713811163331,0.0
11.0,321.2123413,480.5611267,384.3946533,905.0557251,866.8666382,886.5784912,1660170866683336.8,38.84585036797788,0.16666675,0.0711969690682711,-0.1065167531689525,0.0852013784098305,0.1921416748075663,-0.200606316071849,-0.1965108225888733,-4.454794777572879,0.0006320573466503731,0.01150748659504288,0.0025630280050981543
12.0,321.0973206,480.7706604,384.8300476,905.0361938,866.8291626,886.4146118,1660170866700003.5,38.83598998788696,0.1833335,0.0711714746392994,-0.1065631964789987,0.085297883900199,0.1921333683112368,-0.2006019869437827,-0.1964744985904693,-0.5916198473559793,0.0031788376875685025,0.0057961524890128,0.002235699145406897
13.0,320.9628296,480.585907,384.2494202,905.8811035,866.722229,886.4508667,1660170866716670.0,38.94325971101412,0.2,0.0711416646029596,-0.1065222457420133,0.085169187378544,0.1921096663943654,-0.2007892618459017,-0.19648253451768,6.436247750107127,0.003039105798490597,0.013633959848085676,0.001501627504493383
14.0,320.9054871,480.9399719,384.0686646,906.3100586,866.4750366,886.6885986,1660170866733336.8,38.96793210812154,0.21666675,0.0711289545925587,-0.1066007245066567,0.085129122757085,0.19205487600373,-0.2008843400825061,-0.1965352279810206,1.4803364247628432,0.004770079570787164,0.006190489632205204,0.004561021458545518
15.0,320.9054871,480.9399719,384.0686646,906.3100586,866.4750366,886.6885986,1660170866750003.2,38.96793210812154,0.23333325,0.0711289545925587,-0.1066007245066567,0.085129122757085,0.19205487600373,-0.2008843400825061,-0.1965352279810206,0.0,0.0,0.0,0.0
16.0,320.9054871,480.9399719,384.0686646,906.3100586,865.7694092,886.8789673,1660170866766670.0,38.99712439205194,0.25,0.0711289545925587,-0.1066007245066567,0.085129122757085,0.191898473133379,-0.2008843400825061,-0.1965774233536847,1.751528278182566,0.0,0.0,0.009719686537222797
17.0,319.8529968,481.1135254,382.3333435,907.0239868,865.6398926,887.1654663,1660170866783336.8,39.00122993124443,0.26666675,0.0708956692865506,-0.1066391927769641,0.0847444874651153,0.1918697656767267,-0.2010425828317313,-0.1966409260832453,0.2463311198940544,0.014186142201143436,0.024954884729035308,0.004181408019402399
