Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m)
1658971688050079,-0.2512855725947967,0.8418707560845347,-0.4314641031509878,0,0,0,-0.009288155397689603,-0.007578448196853077,-0.668000956516676
1658971688066079,-0.2417639429312581,0.8766613260090033,-0.4450141145952546,-0.001157111862587975,0.001576473433829136,-0.0006279363731216819,-0.01025417258136279,-0.008374580934983389,-0.6674532768767103
1658971688082079,-0.2204013122758832,0.8849622339208061,-0.4445258258945604,-0.003050241424946814,0.004424871605061202,-0.00124957293504051,-0.01121932840288315,-0.009139737336640648,-0.666904449496557
1658971688098078,-0.2171053635461968,0.8683604180971995,-0.4273136491950864,-0.005546623151181015,0.008339260797158639,-0.001794373876985978,-0.01216797172449188,-0.00966338773809002,-0.6663653624312512
1658971688114078,-0.2299229419394218,0.8373540856031125,-0.4320744640268557,-0.008441653915435955,0.01304030719676317,-0.002246336536822475,-0.01308815685476808,-0.01024319128965625,-0.6658436683544925
1658971688130078,-0.2446936751354238,0.8543221179522389,-0.4290226596475164,-0.01150156815755654,0.01825311491299147,-0.002564057264427002,-0.01397200350812591,-0.0107482035992511,-0.6653439071964679
1658971688146078,-0.2405432211795224,0.8820325017166404,-0.4372014953841457,-0.01450877498543864,0.02372967685002703,-0.002692034182216067,-0.01481563693262131,-0.01120762045889115,-0.664866841405426
1658971688162078,-0.2373693446250096,0.8705577172503238,-0.4295109483482107,-0.01730157121466417,0.02922137548546079,-0.002677106974512528,-0.01561865249711647,-0.01169410245763448,-0.6644101184611498
1658971688178077,-0.233829251544976,0.8544441901274125,-0.4105897611963072,-0.01979956750067246,0.0344986337664293,-0.002710638920020966,-0.01638300055177636,-0.01237073627425661,-0.663969207553658
1658971688194077,-0.2345616845960175,0.8408941786831461,-0.4169375143053329,-0.02201092340327796,0.03943968936325191,-0.00302116779375891,-0.01711138102140093,-0.01354311491741407,-0.6635380585650908
1658971688210077,-0.2340733958953232,0.8585946440833139,-0.4354924849317157,-0.02402596956353736,0.04408347839545342,-0.003749996285193311,-0.01780558367724885,-0.01464880123867396,-0.6631136160202515
1658971688226077,-0.2272373540856032,0.8915541313801789,-0.4434271763179982,-0.02600181554669937,0.04858000608806558,-0.004921633578559207,-0.01846542163594152,-0.0154564548674594,-0.6626954481067142
1658971688242076,-0.2223544670786604,0.8706797894254974,-0.4490424963759825,-0.02813760441813171,0.053099641309026,-0.006475253938147284,-0.01908862931288488,-0.01635324803763658,-0.6622827962826363
