Frame #,Head Pink X,Head Pink Y,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds,Head Pink X meters,Hand Pink X meters,Shoulder Green X meters,Elbow Orange X meters,Head Pink Y meters,Hand Pink Y meters,Shoulder Green Y meters,Elbow Orange Y meters,angular velocity
16.0,158.5731659,822.8550415,856.5,947.2999878,419.6269226,794.1942749,603.612793,890.8215332,1658971692626670.0,-0.0350681641090912,0.25,0.1829524821093836,0.9881798098519712,0.4841411005062881,0.6964132808067218,-0.9493622165151264,-1.0929395467798932,-0.9162950934690088,-1.0277779956679711,-9.992025069990168e-05
17.0,158.5731659,822.8550415,856.828125,947.2311401,419.6269226,794.1942749,603.612793,890.8215332,1658971692643336.5,0.0136080527422252,0.2666665,0.1829524821093836,0.9885583813640642,0.4841411005062881,0.6964132808067218,-0.9493622165151264,-1.0928601143139332,-0.9162950934690088,-1.0277779956679711,0.0486762168513164
18.0,158.5731659,822.8550415,857.3719482,946.9845581,419.6269226,794.1942749,603.4519043,890.6987305,1658971692660003.2,0.0373558097362145,0.28333325,0.1829524821093836,0.9891858128951432,0.4841411005062881,0.6962276567962451,-0.9493622165151264,-1.0925756223654537,-0.9162950934690088,-1.0276363130658284,0.023747756993989302
19.0,158.5731659,822.8550415,857.3719482,946.9845581,419.5068359,794.4315186,603.4519043,890.6987305,1658971692676669.8,0.0373552609638873,0.29999975,0.1829524821093836,0.9891858128951432,0.4840025514667414,0.6962276567962451,-0.9493622165151264,-1.0925756223654537,-0.916568811430894,-1.0276363130658284,-5.487723272051825e-07
20.0,158.5731659,822.8550415,857.262207,946.9011841,419.4459229,794.5739746,603.4519043,890.6987305,1658971692693336.5,0.0426298197144115,0.3166665,0.1829524821093836,0.9890591998908828,0.4839322735954542,0.6962276567962451,-0.9493622165151264,-1.092479430300694,-0.9167331688657944,-1.0276363130658284,0.005274558750524204
21.0,158.5731659,822.8550415,857.2625122,946.2032471,419.3763428,794.6688232,603.4519043,890.6987305,1658971692710003.2,0.1241593451429645,0.33333325,0.1829524821093836,0.9890595520128652,0.4838519961290356,0.6962276567962451,-0.9493622165151264,-1.091674191244128,-0.9168425996556516,-1.0276363130658284,0.081529525428553
22.0,158.5731659,822.8550415,857.2246704,945.8086548,419.3763428,794.6688232,603.418396,890.4693604,1658971692726669.8,0.1687540210111348,0.34999975,0.1829524821093836,0.9890158923482668,0.4838519961290356,0.6961889968715254,-0.9493622165151264,-1.0912189336329394,-0.9168425996556516,-1.0273716792049952,0.044594675868170286
23.0,158.5731659,822.8550415,857.381958,945.618042,419.3763428,794.6688232,603.418396,890.4693604,1658971692743336.5,0.1973844693714248,0.3666665,0.1829524821093836,0.9891973616193236,0.4838519961290356,0.6961889968715254,-0.9493622165151264,-1.0909990156872775,-0.9168425996556516,-1.0273716792049952,0.028630448360289995
24.0,158.5731659,822.8550415,857.3434448,945.3092651,419.3763428,794.6688232,603.418396,890.4693604,1658971692760003.2,0.2319461303522987,0.38333325,0.1829524821093836,0.9891529273325136,0.4838519961290356,0.6961889968715254,-0.9493622165151264,-1.0906427668859595,-0.9168425996556516,-1.0273716792049952,0.034561660980873904
25.0,158.5731659,822.8550415,857.6880493,945.5270386,419.3763428,794.6688232,603.418396,890.4693604,1658971692776670.0,0.2203460744089699,0.4,0.1829524821093836,0.9895505119317946,0.4838519961290356,0.6961889968715254,-0.9493622165151264,-1.090894021265202,-0.9168425996556516,-1.0273716792049952,-0.011600055943328802
26.0,158.5731659,822.8550415,858.1002197,945.5270386,419.3763428,794.6688232,603.418396,890.4693604,1658971692793336.8,0.2369120416137836,0.41666675,0.1829524821093836,0.9900260501308588,0.4838519961290356,0.6961889968715254,-0.9493622165151264,-1.090894021265202,-0.9168425996556516,-1.0273716792049952,0.01656596720481371
27.0,158.5731659,822.8550415,858.1002197,945.5270386,419.3763428,794.6688232,603.5710449,889.9304199,1658971692810003.2,0.2369120416137836,0.43333325,0.1829524821093836,0.9900260501308588,0.4838519961290356,0.6963651142807209,-0.9493622165151264,-1.090894021265202,-0.9168425996556516,-1.0267498810487643,0.0
28.0,158.5731659,822.8550415,858.1002197,945.5270386,419.3763428,794.6688232,603.5922852,890.1542969,1658971692826670.0,0.2369120416137836,0.45,0.1829524821093836,0.9900260501308588,0.4838519961290356,0.6963896201016377,-0.9493622165151264,-1.090894021265202,-0.9168425996556516,-1.0270081772907846,0.0
29.0,158.5731659,822.8550415,858.1002197,945.5270386,419.3763428,794.6688232,603.5710449,889.9304199,1658971692843336.5,0.2369120416137836,0.4666665,0.1829524821093836,0.9900260501308588,0.4838519961290356,0.6963651142807209,-0.9493622165151264,-1.090894021265202,-0.9168425996556516,-1.0267498810487643,0.0
30.0,158.5731659,822.8550415,858.1002197,945.5270386,419.3002319,794.5739746,603.4098511,889.7486572,1658971692860003.2,0.2368625616641375,0.48333325,0.1829524821093836,0.9900260501308588,0.4837641838059888,0.6961791382636359,-0.9493622165151264,-1.090894021265202,-0.9167331688657944,-1.0265401738329745,-4.9479949646102916e-05
31.0,158.6291809,822.9076538,858.1002197,945.5270386,419.3002319,794.5739746,603.4098511,889.7486572,1658971692876670.0,0.2368625616641375,0.5,0.1830171089535737,0.9900260501308588,0.4837641838059888,0.6961791382636359,-0.94942291752226,-1.090894021265202,-0.9167331688657944,-1.0265401738329745,0.0
32.0,158.5731659,822.8550415,858.1002197,945.5270386,419.3640747,794.6856079,603.4098511,889.7486572,1658971692893336.5,0.236907973553919,0.5166665,0.1829524821093836,0.9900260501308588,0.4838378419098585,0.6961791382636359,-0.9493622165151264,-1.090894021265202,-0.916861964864822,-1.0265401738329745,4.5411889781493686e-05
33.0,158.5731659,822.8550415,857.9152832,945.6601563,419.3640747,794.6856079,603.4098511,889.7486572,1658971692910003.2,0.2139292098296846,0.53333325,0.1829524821093836,0.989812681169499,0.4838378419098585,0.6961791382636359,-0.9493622165151264,-1.0910476047135076,-0.916861964864822,-1.0265401738329745,-0.02297876372423438
34.0,158.5731659,822.8550415,857.8068848,946.1240845,419.2409973,794.5,603.4098511,889.7486572,1658971692926669.8,0.1553316006117799,0.54999975,0.1829524821093836,0.9896876174096624,0.4836958423748567,0.6961791382636359,-0.9493622165151264,-1.0915828580473792,-0.9166478212812504,-1.0265401738329745,-0.05859760921790472
35.0,158.5731659,822.8550415,857.8068848,946.1240845,419.3002319,794.5739746,603.2987671,890.1382446,1658971692943336.5,0.1553571630912652,0.5666665,0.1829524821093836,0.9896876174096624,0.4837641838059888,0.6960509760149522,-0.9493622165151264,-1.0915828580473792,-0.9167331688657944,-1.026989657082073,2.556247948531931e-05
36.0,158.5731659,822.8550415,857.8068848,946.1240845,419.3763428,794.6688232,603.5,889.9428711,1658971692960003.2,0.155389998159495,0.58333325,0.1829524821093836,0.9896876174096624,0.4838519961290356,0.6962831468133853,-0.9493622165151264,-1.0915828580473792,-0.9168425996556516,-1.0267642465180564,3.2835068229791764e-05
37.0,158.6171417,822.7938232,857.8068848,946.1240845,419.3763428,794.6688232,603.5,889.9428711,1658971692976669.8,0.155389998159495,0.59999975,0.1830032188258834,0.9896876174096624,0.4838519961290356,0.6962831468133853,-0.9492915864064826,-1.0915828580473792,-0.9168425996556516,-1.0267642465180564,0.0
38.0,158.7378082,822.7773438,857.6306152,946.6032104,419.6610718,795.3389282,603.5,889.9428711,1658971692993336.5,0.0924256236028205,0.6166665,0.1831424368048974,0.9894842478126852,0.4841804998640962,0.6962831468133853,-0.9492725734346688,-1.092135645602262,-0.9176157277717998,-1.0267642465180564,-0.0629643745566745
39.0,158.7241821,822.7280884,857.6724854,946.8959351,419.6552734,795.2649536,603.5,889.9428711,1658971693010003.2,0.0599120057374478,0.63333325,0.1831267158044222,0.989532555210554,0.4841738100079263,0.6962831468133853,-0.9492157454232196,-1.0924733743102422,-0.917530380187256,-1.0267642465180564,-0.0325136178653727
40.0,158.7733917,822.7338867,857.5296021,947.1913452,419.6552734,795.2649536,603.5,889.9428711,1658971693026670.0,0.0196244182301791,0.65,0.1831834909744991,0.9893677047818032,0.4841738100079263,0.6962831468133853,-0.9492224351640152,-1.092814201276321,-0.917530380187256,-1.0267642465180564,-0.0402875875072687
41.0,158.7733917,822.7338867,857.5296021,947.1913452,419.6552734,795.2649536,603.5,889.9428711,1658971693043336.8,0.0196244182301791,0.66666675,0.1831834909744991,0.9893677047818032,0.4841738100079263,0.6962831468133853,-0.9492224351640152,-1.092814201276321,-0.917530380187256,-1.0267642465180564,0.0
42.0,158.7733917,822.7338867,857.5296021,947.1913452,419.5833435,795.3388672,603.5,889.9428711,1658971693060003.2,0.0196179628407255,0.68333325,0.1831834909744991,0.9893677047818032,0.484090821479141,0.6962831468133853,-0.9492224351640152,-1.092814201276321,-0.9176156573935528,-1.0267642465180564,-6.455389453600274e-06
43.0,158.7733917,822.7338867,857.5296021,947.1913452,419.2946777,794.789856,603.4375,890.322937,1658971693076670.0,0.0196196643734436,0.7,0.1831834909744991,0.9893677047818032,0.4837577756935546,0.696211037953939,-0.9492224351640152,-1.092814201276321,-0.9169822402502692,-1.027202744415071,1.7015327181020556e-06
44.0,158.7733917,822.7338867,857.5629883,947.2246704,419.60849,794.1253052,603.5,890.2963257,1658971693093336.5,0.0171341950576579,0.7166665,0.1831834909744991,0.9894062238346552,0.4841198340460861,0.6962831468133853,-0.9492224351640152,-1.092852649950926,-0.9162155202465552,-1.027172041847209,-0.0024854693157857002
45.0,158.7903595,822.7356567,858.0849609,946.9801025,419.60849,794.1253052,603.5,890.2963257,1658971693110003.2,0.0668738214198644,0.73333325,0.1832030674337841,0.9900084454162268,0.4841198340460861,0.6962831468133853,-0.949224477286915,-1.0925704817537072,-0.9162155202465552,-1.027172041847209,0.049739626362206496
46.0,158.7903595,822.7356567,858.135498,946.5144043,419.60849,794.1253052,603.5,890.2963257,1658971693126670.0,0.1231982584999505,0.75,0.1832030674337841,0.9900667521784782,0.4841198340460861,0.6962831468133853,-0.949224477286915,-1.092033186296936,-0.9162155202465552,-1.027172041847209,0.05632443708008611
47.0,158.7903595,822.7356567,858.0476074,945.9480591,419.60849,794.1253052,603.5,890.2963257,1658971693143336.5,0.1856969832174324,0.7666665,0.1832030674337841,0.9899653491237252,0.4841198340460861,0.6962831468133853,-0.949224477286915,-1.091379770194138,-0.9162155202465552,-1.027172041847209,0.062498724717481885
48.0,158.7903595,822.7356567,858.0139771,945.6946411,419.6269226,794.1942749,603.5,890.2963257,1658971693160003.2,0.2139322792722568,0.78333325,0.1832030674337841,0.989926548442512,0.4841411005062881,0.6962831468133853,-0.949224477286915,-1.0910873912670471,-0.9162950934690088,-1.027172041847209,0.028235296054824416
49.0,158.7903595,822.7356567,858.2113037,945.640686,419.6269226,794.1942749,603.644104,890.1102905,1658971693176669.8,0.2281882811225425,0.79999975,0.1832030674337841,0.9901542123795426,0.4841411005062881,0.6964494056146917,-0.949224477286915,-1.0910251410154903,-0.9162950934690088,-1.0269574052697872,0.014256001850285693
50.0,158.7903595,822.7356567,858.5,945.7000122,419.3654175,794.7160645,603.9030762,890.1323853,1658971693193336.5,0.232763902502482,0.8166665,0.1832030674337841,0.9904872933542525,0.4838393911542819,0.6967481926542165,-0.949224477286915,-1.0910935881293669,-0.9168971039158398,-1.0269828969630304,0.0045756213799394985
51.0,158.7903595,822.7356567,858.5,945.7000122,419.2946777,794.789856,603.9030762,890.1323853,1658971693210003.2,0.2327272979206846,0.83333325,0.1832030674337841,0.9904872933542525,0.4837577756935546,0.6967481926542165,-0.949224477286915,-1.0910935881293669,-0.9169822402502692,-1.0269828969630304,-3.6604581797383684e-05
