Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m)
1660172553635681,-0.2923018234531165,-0.05365072098878443,0.9718776226443886,0,0,0,-0.001639348861571232,-0.001019780540509877,-0.5749686568153711
1660172553651681,-0.2944991226062408,-0.05560387579156156,0.970046540016785,-0.0001443338791065132,0.0005194196146645697,-0.0004585835487250446,-0.001955919242393739,-0.001180052263422741,-0.5747279306742946
1660172553667680,-0.3040207522697793,-0.03900205996795592,0.9628442816815443,-0.0001695652203629274,0.001504800729670278,-0.001257651870791364,-0.002268503172468826,-0.001285777084742161,-0.5744817934855572
1660172553683680,-0.3058518348973829,-0.02471961547264812,0.9649195086594951,-0.0001057385583676015,0.002798768130623497,-0.002321030080606334,-0.002569367753579492,-0.001286522047285811,-0.574228680220463
1660172553699680,-0.3017013809414815,-0.04364080262455161,0.9638208590829329,-3.65271417907475e-06,0.004288773771885394,-0.003545337073159393,-0.002853366354118826,-0.001288771611451118,-0.5739675356925966
1660172553715680,-0.2974288548104065,-0.04632639047837017,0.9698023956664379,7.419247619108684e-05,0.005900047165566337,-0.004814217381582485,-0.003117526441948569,-0.001316932018967968,-0.5736982397735901
1660172553731680,-0.2936446173800258,-0.054627298390173,0.9781033035782407,6.15955912640881e-05,0.007512880591394488,-0.00600140984479742,-0.003361190391617601,-0.001305523520341188,-0.5734217812385373
1660172553747679,-0.2897383077744715,-0.03900205996795592,0.9824979018844893,-0.0001040373052791848,0.008992993978878304,-0.006986349928621557,-0.003586444576864719,-0.001269462791329592,-0.5731401102709682
1660172553763679,-0.2921797512779429,-0.04901197833218873,0.9761501487754636,-0.0004752361262259688,0.01029730444567237,-0.007677602224706813,-0.003797449444989737,-0.001268293895836123,-0.5728560532279663
1660172553779679,-0.2976729991607536,-0.05181963836118086,0.96919203479057,-0.001089027269466347,0.01148389175950275,-0.008033028394413458,-0.003998793566703853,-0.001309507606503933,-0.5725731972020296
1660172553795679,-0.2965743495841915,-0.04437323567559304,0.9671168078126193,-0.001960049089734458,0.01265047969855335,-0.00807295144186424,-0.004194071582299544,-0.001370888628630046,-0.572295566530947
1660172553811679,-0.2991378652628365,-0.05328450446326372,0.9665064469367515,-0.003071048636180382,0.01390245821554565,-0.007877087616318725,-0.004385069423933984,-0.001415370530951011,-0.5720271916007423
1660172553827678,-0.2910811017013808,-0.0403448538948652,0.9801785305561914,-0.004364239301110532,0.01532046648730506,-0.007561800426338386,-0.004571498735301649,-0.001413224742338185,-0.5717715116168254
1660172553843678,-0.2916914625772487,-0.03814755474174092,0.9877470054169528,-0.005739948582699736,0.0169000191550526,-0.007252331471684637,-0.004751576003527257,-0.001373448146821715,-0.5715306600990914
1660172553859678,-0.2907148851758601,-0.03338673990997165,0.9917753871976807,-0.007067719209884289,0.0185525075739641,-0.00707009503902053,-0.004923174773546798,-0.001340327329584274,-0.5713048787856465
1660172553875678,-0.2891279468986037,-0.02752727550164025,0.9916533150225071,-0.008210689981005978,0.02019589147996748,-0.007127237556349106,-0.005084415121142697,-0.001337352355686621,-0.5710922977548955
1660172553891677,-0.2931563286793315,-0.04925612268253587,0.9793240253299764,-0.009059285215967208,0.02180375799839526,-0.007506945856403705,-0.005233385436375148,-0.00132052800311174,-0.5708891849588872
1660172553907677,-0.2988937209124893,-0.04669260700389088,0.9655298695353629,-0.009564497030932701,0.02335847302976985,-0.008244982323993776,-0.005368001517872756,-0.001282005128940418,-0.5706904994818015
1660172553923677,-0.2949874113069351,-0.04278629739833661,0.9693141069657436,-0.009757731152564718,0.02483110988761211,-0.009320115914010822,-0.005486441431923208,-0.001238959281320144,-0.5704910177216633
1660172553939677,-0.3010910200656136,-0.06280613412680269,0.9645532921339743,-0.009748838586041916,0.02620691381487407,-0.01062860526789764,-0.005587683381417135,-0.001217380627098002,-0.5702866234866025
1660172553955688,-0.3097581445029371,-0.04864576180666802,0.9551537346456094,-0.009701405556696149,0.02746803738312825,-0.01198653118680541,-0.005672079594363669,-0.00122308859278862,-0.5700754188502588
1660172553971688,-0.3089036392767222,-0.03424124513618665,0.9568627450980394,-0.009790042050449161,0.02861040017910053,-0.01320878937146446,-0.00574160786672614,-0.001240164896856362,-0.5698582532602865
1660172553987688,-0.2985275043869686,-0.05194171053635444,0.97602807660029,-0.01015172407195156,0.02971350783786567,-0.0141701739472659,-0.005798962427381136,-0.001255580226817029,-0.5696384646262679
1660172554003687,-0.300114442664225,-0.04522774090180803,0.9748073548485543,-0.01084665129921821,0.03087004196445932,-0.01479041205270805,-0.005846464502206944,-0.001259656630810696,-0.5694209600648122
1660172554019687,-0.29925993743801,-0.0289921416037231,0.98286411841001,-0.0118399114293787,0.0320573869741719,-0.01505254169454867,-0.005886337125873129,-0.001251716820774025,-0.5692108257697591
1660172554035687,-0.284489204242008,-0.03118944075684738,0.9955596246280614,-0.01300974215408882,0.03322770064044308,-0.01505967517718038,-0.005920945435440651,-0.001249847642518632,-0.5690118475338489
1660172554051687,-0.2780193789578087,-0.05841153582055369,0.9965362020294499,-0.01418242955719495,0.03443626186604799,-0.0149941297346849,-0.005951460110534479,-0.001255623977381434,-0.5688254923124391
1660172554067687,-0.2792401007095444,-0.0657358663309684,0.9895780880445564,-0.01518548134536921,0.03572456265893909,-0.01501041003027854,-0.005977032977393906,-0.001244213521464567,-0.5686505380381039
1660172554083686,-0.2925459678034636,-0.04229800869764233,0.9750514991989014,-0.01590164470631003,0.03700999663933553,-0.01519951448291134,-0.005996117504801403,-0.001213084983347306,-0.568483396298348
1660172554099686,-0.3076829175249864,-0.04010070954451805,0.9604028381780729,-0.01630423955967031,0.03821599875326093,-0.0156059337517008,-0.006007726622091342,-0.001175308247410245,-0.5683192879623682
1660172554115686,-0.315617608911269,-0.04046692607003877,0.947585259784848,-0.01646283444988961,0.03937489150271478,-0.01622161213895041,-0.006011032540486998,-0.001144051616375881,-0.568153776487571
1660172554131686,-0.3104905775539786,-0.03399710078583951,0.9508812085145344,-0.0165184942767136,0.0405359790559742,-0.01697495506530131,-0.006004958919996231,-0.001127489837129294,-0.5679841211609166
1660172554147686,-0.3019455252918286,-0.0453498130769816,0.968337529564355,-0.01663605291817129,0.04168529516075394,-0.01774559781428187,-0.005988950681317071,-0.001115186431972247,-0.5678100815857918
1660172554163685,-0.2927901121538108,-0.05072098878461873,0.9817654688334478,-0.01694940861285871,0.04277250578193142,-0.018403218671898,-0.005963899171232076,-0.001106071846484838,-0.5676337759515181
1660172554179685,-0.2894941634241244,-0.0432745860990309,0.9839627679865721,-0.01751888841618522,0.04375504677652244,-0.01886601454746635,-0.005932186135389797,-0.00109733516684258,-0.5674588792954001
