Frame #,Head Pink X,Head Pink Y,Hand Pink X,Hand Pink Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X,Shoulder Green Y,Timestamp (microseconds),angles,Seconds,Head Pink X meters,Hand Pink X meters,Elbow Orange X meters,Shoulder Green X meters,Head Pink Y meters,Hand Pink Y meters,Elbow Orange Y meters,Shoulder Green Y meters,angular velocity,Head Pink m/s,Hand Pink m/s,Elbow Orange m/s,Shoulder Green m/s
1.0,219.5719604,985.2398682,907.5,1084.5,627.6975708,1087.120239,375.3601074,1031.165405,1660087153618330.0,0.0,0.0,0.2385502852947253,0.9859382022667555,0.6819515311534562,0.4078037129395176,-1.070397382319166,-1.1782368929568003,-1.1810836078098796,-1.120292413934293,,,,,
2.0,219.5719604,985.2398682,907.5,1084.5,627.9133301,1087.0,375.3601074,1031.165405,1660087153634996.8,0.0,0.01666675,0.2385502852947253,0.9859382022667555,0.6821859392376043,0.4078037129395176,-1.070397382319166,-1.1782368929568003,-1.1809529761586373,-1.120292413934293,0.0,0.0,0.0,0.01610100622920991,0.0
3.0,219.5719604,985.2398682,907.3914795,1085.125244,627.8132324,1087.117798,375.3601074,1031.165405,1660087153651663.2,0.0678160154047338,0.03333325,0.2385502852947253,0.9858203019839136,0.6820771897649992,0.4078037129395176,-1.070397382319166,-1.1789161788469802,-1.1810809558262412,-1.120292413934293,4.069001614300171,0.0,0.041366499371471216,0.010076649999023272,0.0
4.0,219.4909058,985.192749,907.5,1086.0,627.8099365,1087.043823,375.3601074,1031.165405,1660087153668330.0,0.1598544023237,0.05,0.2384622248797287,0.9859382022667555,0.6820736089895493,0.4078037129395176,-1.0703461904521243,-1.1798665428779025,-1.1810005869242988,-1.120292413934293,5.522275603759953,0.006111536483248856,0.057458960699566894,0.0048269179056727035,0.0
5.0,219.4083405,985.2344971,907.5,1086.5,627.8099365,1087.043823,375.5,1030.853638,1660087153684996.5,-0.213148468189204,0.0666665,0.2383725231899748,0.9859382022667555,0.6820736089895493,0.4079556969158862,-1.070391546977372,-1.18040975951827,-1.1810005869242988,-1.1199536998896582,-22.380396034734584,0.006031002163661206,0.03259299842205632,0.0,0.02227498146307103
6.0,219.4909058,985.192749,907.4303589,1086.594971,627.8099365,1087.043823,375.3601074,1031.165405,1660087153701663.2,0.2240076794290639,0.08333325,0.2384622248797287,0.9858625418580086,0.6820736089895493,0.4078037129395176,-1.0703461904521243,-1.1805129391733746,-1.1810005869242988,-1.120292413934293,26.22923771090753,0.006031002163661206,0.007676844354634998,0.0,0.02227498146307103
7.0,219.4476471,985.1696777,907.3914795,1087.125244,627.8099365,1087.043823,375.6236572,1030.668823,1660087153718330.0,-0.2810206734648908,0.1,0.2384152271883673,0.9858203019839136,0.6820736089895493,0.4080900422133687,-1.0703211250239746,-1.1810890454084495,-1.1810005869242988,-1.1197529107228792,-30.301549665888945,0.003195842808066778,0.034659159883074664,0.0,0.03664660155434997
8.0,219.4476471,985.1696777,907.3914795,1087.125244,627.8099365,1087.043823,375.3601074,1031.165405,1660087153734996.5,0.2809265791222869,0.1166665,0.2384152271883673,0.9858203019839136,0.6820736089895493,0.4078037129395176,-1.0703211250239746,-1.1810890454084495,-1.1810005869242988,-1.120292413934293,33.71717232695393,0.0,0.0,0.0,0.03664660155434997
9.0,219.5236359,985.2506104,907.3914795,1087.125244,627.9714355,1087.130127,375.3601074,1031.165405,1660087153751663.5,0.2809265791222869,0.1333335,0.2384977839496504,0.9858203019839136,0.6822490668779546,0.4078037129395176,-1.0704090530027544,-1.1810890454084495,-1.1810943504621594,-1.120292413934293,0.0,0.007236643823559499,0.0,0.01193639216383566,0.0
10.0,219.5236359,985.2506104,907.5,1087.0,627.8099365,1087.043823,375.3601074,1031.165405,1660087153768330.0,0.2663731180830327,0.15,0.2384977839496504,0.9859382022667555,0.6820736089895493,0.4078037129395176,-1.0704090530027544,-1.1809529761586373,-1.1810005869242988,-1.120292413934293,-0.8732163945191972,0.0,0.010802552604790423,0.01193639216383566,0.0
11.0,219.4244537,985.2614136,907.4031982,1086.373291,627.6483154,1087.070313,375.5,1030.853638,1660087153784996.8,-0.2007258850776244,0.16666675,0.2383900291067139,0.9858330335696004,0.6818980184476403,0.4079556969158862,-1.0704207899587728,-1.1802720986437014,-1.1810293665419054,-1.1199536998896582,-28.02580006063911,0.006503530143411619,0.04133711072079743,0.010676005679601376,0.02227498146307103
12.0,219.5236359,985.2506104,907.4303589,1086.405029,627.8464355,1087.22876,375.5,1030.853638,1660087153801663.5,-0.2038055401773678,0.1833335,0.2384977839496504,0.9858625418580086,0.6821132627178628,0.4079556969158862,-1.0704090530027544,-1.1803065798631651,-1.181201508635938,-1.1199536998896582,-0.1847783820926931,0.006503530143411619,0.002723030827909738,0.016536831227460122,0.0
13.0,219.4132843,985.0369263,907.4303589,1085.405029,627.5,1086.961548,375.6236572,1030.668823,1660087153818330.0,-0.0972521993516035,0.2,0.2383778942988281,0.9858625418580086,0.6817368836610348,0.4080900422133687,-1.0701768994849503,-1.1792201465824306,-1.1809112006261264,-1.1197529107228792,6.393264382189679,0.01567697748710158,0.06518599684407267,0.028519883694118595,0.014495303185008511
14.0,219.4580383,984.8309937,907.5,1084.5,627.7177124,1087.105103,375.5,1030.853638,1660087153834996.8,0.0,0.21666675,0.2384265165338741,0.9859382022667555,0.6819734136580234,0.4079556969158862,-1.0699531674547222,-1.1782368929568003,-1.1810671635557424,-1.1199536998896582,5.835102785582289,0.013737267382089977,0.059169619596210934,0.016999269090270157,0.014495303185008511
15.0,219.4580383,984.8309937,907.5,1084.5,627.6254272,1086.745728,375.6236572,1030.668823,1660087153851663.2,0.0,0.23333325,0.2384265165338741,0.9859382022667555,0.6818731519454242,0.4080900422133687,-1.0699531674547222,-1.1782368929568003,-1.1806767265954785,-1.1197529107228792,0.0,0.0,0.0,0.024186284365985373,0.014495303185008511
16.0,219.4580383,984.8309937,907.4643555,1083.218384,627.6175537,1086.666626,375.5,1030.853638,1660087153868330.0,0.1362974809021315,0.25,0.2384265165338741,0.9858994768956804,0.6818645979129884,0.4079556969158862,-1.0699531674547222,-1.1768445026812784,-1.1805907875501056,-1.1199536998896582,8.17780796508806,0.0,0.08357572136355694,0.005181822803403354,0.014495303185008511
17.0,219.4568329,984.6463013,907.555542,1082.913818,627.6175537,1086.666626,375.6236572,1030.668823,1660087153884996.8,0.169769215846271,0.26666675,0.2384252069471975,0.985998544944034,0.6818645979129884,0.4080900422133687,-1.0697525114846635,-1.176513612042698,-1.1805907875501056,-1.1197529107228792,2.008294055178093,0.01203961461238908,0.02072416788334515,0.0,0.014495303185008511
18.0,219.4580383,984.8309937,907.5,1082.5,627.6175537,1086.666626,375.5,1030.853638,1660087153901663.2,0.213308506658154,0.28333325,0.2384265165338741,0.9859382022667555,0.6818645979129884,0.4079556969158862,-1.0699531674547222,-1.176064026395331,-1.1805907875501056,-1.1199536998896582,2.6123835725487106,0.01203961461238908,0.027217027296717163,0.0,0.014495303185008511
19.0,219.3632202,984.826416,907.5,1082.5,627.8071899,1086.84314,375.5,1030.853638,1660087153918330.0,0.213308506658154,0.3,0.2383235029944181,0.9859382022667555,0.6820706249919004,0.4079556969158862,-1.0699481940890931,-1.176064026395331,-1.180782558234221,-1.1199536998896582,0.0,0.006188011412154603,0.0,0.016887964623130663,0.0
20.0,219.4568329,985.0119629,907.5,1082.5,627.6175537,1086.666626,375.5,1030.853638,1660087153934996.5,0.213308506658154,0.3166665,0.2384252069471975,0.9859382022667555,0.6818645979129884,0.4079556969158862,-1.0701497784163905,-1.176064026395331,-1.1805907875501056,-1.1199536998896582,0.0,0.013547242010178135,0.0,0.016887964623130663,0.0
21.0,219.3918762,985.1182861,907.3914795,1083.125244,627.6175537,1086.666626,375.5,1030.853638,1660087153951663.2,0.1454691189536819,0.33333325,0.2383546358265108,0.9858203019839136,0.6818645979129884,0.4079556969158862,-1.0702652914793844,-1.1767433122855109,-1.1805907875501056,-1.1199536998896582,-4.070342910553773,0.008121870650902217,0.041366499371471216,0.0,0.0
