Frame #,Body Pink X,Body Pink Y,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds
38.0,375.5,1250.5,402.7493591,1566.454224,295.4380493,1020.987183,310.0852356,1260.191528,1659657803319996.5,0.1558468575369103,0.6166665
39.0,375.5,1250.5,402.6455994,1566.30603,295.3514709,1021.23584,310.2074585,1260.32251,1659657803336663.5,0.1634225183173696,0.6333335
40.0,375.5,1250.5,402.5,1566.5,295.4566956,1021.045471,310.0852356,1260.191528,1659657803353330.2,0.1819960198234552,0.65000025
41.0,375.5,1250.5,402.5,1566.5,295.194458,1021.0,310.2571106,1260.419678,1659657803369996.8,0.1819018555698008,0.66666675
42.0,375.5,1250.5,402.5,1566.5,295.194458,1021.0,310.0423889,1260.181152,1659657803386663.5,0.1819018555698008,0.6833335
43.0,375.5,1250.5,402.4075317,1566.612427,295.1159363,1020.884033,310.0414429,1260.01416,1659657803403330.0,0.1934290270504457,0.7
44.0,375.5,1250.5,402.5,1566.5,295.1793213,1020.943054,310.1788025,1260.17688,1659657803419996.8,0.1818816873640527,0.71666675
45.0,375.5,1250.5,402.4075317,1566.612427,295.1159363,1020.884033,310.1825256,1260.094116,1659657803436663.5,0.1934290270504457,0.7333335
46.0,375.3763428,1250.668823,402.4075317,1566.612427,295.0365906,1020.981689,309.9028015,1259.932739,1659657803453330.0,0.1934340676724736,0.75
47.0,375.5,1250.5,402.6107178,1566.595215,295.0,1020.939758,310.0935059,1259.94165,1659657803469996.8,0.1725302915292578,0.76666675
48.0,375.3763428,1250.668823,402.6107178,1566.595215,295.0592957,1020.860962,310.0935059,1259.94165,1659657803486663.2,0.1725269843351883,0.78333325
49.0,375.3763428,1250.668823,402.536499,1566.465942,295.0,1020.939758,310.0772705,1259.983276,1659657803503330.0,0.1774562409280468,0.8
50.0,375.3763428,1250.668823,402.6455994,1566.30603,295.0592957,1020.860962,310.0935059,1259.94165,1659657803519996.8,0.1632373595658797,0.81666675
51.0,375.5,1250.5,402.6455994,1566.007446,295.0592957,1020.860962,310.0935059,1259.94165,1659657803536663.2,0.1572794085705099,0.83333325
52.0,375.3763428,1250.668823,402.6455994,1566.007446,295.0592957,1020.860962,310.0935059,1259.94165,1659657803553330.0,0.1572794085705099,0.85
53.0,375.3763428,1250.668823,402.6455994,1566.007446,295.0238037,1020.877014,310.2382202,1259.866821,1659657803569996.5,0.157269090997038,0.8666665
54.0,375.3763428,1250.668823,402.8978882,1566.231201,295.0592957,1020.860962,310.244873,1260.213623,1659657803586663.5,0.136234810414369,0.8833335
55.0,375.3763428,1250.668823,402.8781128,1566.095825,295.093811,1020.734558,310.3059387,1260.025635,1659657803603330.2,0.1355173740058628,0.90000025
56.0,375.3763428,1250.668823,402.7367249,1566.165405,295.0592957,1020.860962,310.259552,1260.172485,1659657803619996.8,0.1512164729351179,0.91666675
57.0,375.3763428,1250.668823,403.0747681,1566.176147,295.0828247,1020.797974,310.0935059,1259.94165,1659657803636663.5,0.1172482552456488,0.9333335
58.0,375.3763428,1250.668823,402.7300415,1565.950684,295.3247986,1020.861084,310.2231445,1259.907104,1659657803653330.0,0.1477067676056362,0.95
59.0,375.3763428,1250.668823,402.7879944,1565.93103,295.093811,1020.734558,310.244873,1260.213623,1659657803669996.8,0.1413380305595356,0.96666675
60.0,375.3763428,1250.668823,402.7300415,1565.950684,295.2679749,1020.795227,310.2231445,1259.907104,1659657803686663.5,0.1476718900893331,0.9833335
61.0,375.3763428,1250.668823,402.867157,1565.876831,295.393158,1020.803406,310.1985474,1259.855225,1659657803703330.0,0.1323765199034292,1.0
62.0,375.3763428,1250.668823,402.7300415,1565.950684,295.393158,1020.803406,310.3059387,1260.025635,1659657803719996.8,0.1477222712397604,1.01666675
63.0,375.3763428,1250.668823,402.8781128,1566.095825,295.349884,1020.600403,310.2382202,1259.866821,1659657803736663.2,0.1355842590422382,1.03333325
64.0,375.3763428,1250.668823,402.7300415,1565.950684,295.4545593,1020.774902,310.2382202,1259.866821,1659657803753330.0,0.1477406928685011,1.05
65.0,375.1390686,1250.660522,402.6607056,1565.446411,295.1237488,1020.70459,310.2207336,1259.908081,1659657803769996.8,0.1445424591453223,1.06666675
66.0,375.3763428,1250.668823,402.7300415,1565.950684,295.3995667,1020.706421,310.2207336,1259.908081,1659657803786663.2,0.147706021523296,1.08333325
