Frame #,Hand Pink X,Hand Pink Y,Body Pink X,Body Pink Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X,Shoulder Green Y,Timestamp (microseconds),angles,Seconds,Hand Pink X meters,Body Pink X meters,Elbow Orange X meters,Shoulder Green X meters,Hand Pink Y meters,Body Pink Y meters,Elbow Orange Y meters,Shoulder Green Y meters,angular velocity,Hand Pink m/s,Body Pink m/s,Elbow Orange m/s,Shoulder Green m/s
1.0,530.3632202,1590.556641,886.6102295,1305.228516,692.8300781,1280.169922,784.5856934,995.5142822,1658970471000000.0,0.0,0.0,0.4541608989127693,-0.7592225167181318,0.5932846002123663,0.6718568147585179,-1.3620262611269116,-1.1176939379197546,-1.096235750128681,-0.8524792897855106,,,,,
2.0,530.6012573,1590.673096,886.6309814,1304.455322,693.0,1280.5,784.5856934,995.5142822,1658970471016666.8,0.0234331397266828,0.01666675,0.454364734961713,-0.7592402869955552,0.5934301078190587,0.6718568147585179,-1.3621259839309607,-1.117031836045606,-1.0965184026873085,-0.8524792897855106,1.4059813536941994,0.013615343586815255,0.03974041806824536,0.019074426780756267,0.0
3.0,530.9359741,1591.259155,886.6309814,1304.455322,692.9008789,1280.639648,784.1643066,995.8920288,1658970471033333.2,-0.0710723011102789,0.03333325,0.4546513598198844,-0.7592402869955552,0.5933452283889574,0.6714959726024464,-1.3626278382679855,-1.117031836045606,-1.0966379861327582,-0.8528027619436148,-5.670383154049243,0.03467624122774129,0.0,0.008798692237360375,0.02907625621019499
4.0,531.3919067,1591.009033,886.6368408,1303.761353,693.2679443,1280.699341,784.569458,995.6203613,1658970471050000.0,-0.0995136945718083,0.05,0.4550417842527506,-0.759245304519904,0.5936595540165168,0.6718429120526414,-1.3624136536714089,-1.1164375761632206,-1.096689102472478,-0.852570127493664,-1.7064750753163869,0.02671895591303068,0.03565686385687564,0.01910728994852704,0.025062896278357477
5.0,532.0998535,1590.316406,886.5006714,1303.180664,693.8300781,1280.169922,784.5856934,995.5142822,1658970471066666.5,0.1332354907137946,0.0666665,0.4556480136118475,-0.7591286998709522,0.5941409207142697,0.6718568147585179,-1.3618205429711367,-1.1159403202672906,-1.096235750128681,-0.8524792897855106,13.965090768043854,0.050886733231657606,0.030644677395910824,0.039674577290685076,0.0055137272358839985
6.0,532.3657227,1590.546265,886.7755127,1303.357544,693.5,1280.5,784.5856934,995.5142822,1658970471083333.2,0.1628947570790212,0.08333325,0.4558756828586321,-0.7593640521109121,0.5938582680700103,0.6718568147585179,-1.3620173759453835,-1.1160917862376674,-1.0965184026873085,-0.8524792897855106,1.7795470841781766,0.01805755854085293,0.0167927788448081,0.02398386854408169,0.0
7.0,532.7782593,1590.982178,886.7949829,1303.264526,693.8364868,1280.289307,785.1991577,995.1774902,1658970471100000.0,0.2114192178710291,0.1,0.4562289464069976,-0.7593807248423482,0.5941464086154702,0.6723821368157937,-1.36239065718433,-1.1160121330172212,-1.0963379819518009,-0.8521908878910335,2.911453090255021,0.030836382158607754,0.004882767228071124,0.020397936578500194,0.035956920053789636
8.0,532.888916,1591.239502,886.4160156,1303.531982,693.8692627,1280.398682,785.1991577,995.1774902,1658970471116666.5,0.229324278175263,0.1166665,0.4563237040078806,-0.7590562073738072,0.5941744752906086,0.6723821368157937,-1.3626110090011618,-1.1162411610733785,-1.0964316420066964,-0.8521908878910335,1.0743143613976471,0.014391738393334194,0.023831818571470608,0.00586649800911036,0.0
9.0,533.2184448,1591.755981,885.6907959,1304.256714,694.1136475,1280.606079,785.19104,995.2601929,1658970471133333.5,0.2740178555690752,0.1333335,0.4566058862752883,-0.758435186876313,0.5943837470052021,0.6723751854628555,-1.3630532805576645,-1.116861763943364,-1.0966092403098295,-0.8522617079086062,2.681561012408487,0.03147747547422412,0.052677621149329425,0.0164684215423587,0.004269621330754765
10.0,533.4483032,1591.487061,885.8565063,1304.453735,693.8863525,1280.651489,785.2827148,995.1477051,1658970471150000.0,0.2834361818177182,0.15,0.456802718735743,-0.7585770880892115,0.594189109636722,0.6724536884736033,-1.3628229988482927,-1.1170304770649695,-1.0966481258238212,-0.8521653822992522,0.565105225970838,0.01817640391759168,0.01322725435781188,0.011909023396826575,0.007455792685559575
11.0,533.4483032,1591.487061,885.6394653,1303.980957,693.6206665,1280.379272,785.0281982,994.6854248,1658970471166666.8,0.2833134057395443,0.16666675,0.456802718735743,-0.7583912314311579,0.5939615972678532,0.6722357406909486,-1.3628229988482927,-1.1166256275707205,-1.0964150208257544,-0.8517695222007361,-0.0073665278577948,0.0,0.026728354180748308,0.019543780217840177,0.02711352490585921
12.0,533.6610107,1591.444458,885.994812,1303.514893,693.6206665,1280.379272,784.833313,994.833313,1658970471183333.5,0.299297911059025,0.1833335,0.4569848645289016,-0.7586955220956517,0.5939615972678532,0.672068856498671,-1.36278651702595,-1.116226527412321,-1.0964150208257544,-0.8518961618983857,0.9590655238412223,0.011145799566494922,0.030112214826494257,0.0,0.0125696701607701
13.0,533.90271,1591.357666,886.375,1303.512085,694.0,1280.5,784.6994629,995.0,1658970471200000.0,0.3161442522175197,0.2,0.4571918365947873,-0.7590210848746293,0.594286428320962,0.6719542379138591,-1.362712195256949,-1.116224122864352,-1.0965184026873085,-0.8520388993938866,1.0107905774154564,0.013194702764975263,0.01953429951811627,0.02045313864676324,0.010983673583191272
