Frame #,Hand Pink X,Hand Pink Y,Elbow Pink X,Elbow Pink Y,Shoulder Green X,Shoulder Green Y,Head Pink X,Head Pink Y,Timestamp (microseconds),angles,Seconds,Hand Pink X meters,Elbow Pink X meters,Shoulder Green X meters,Head Pink X meters,Hand Pink Y meters,Elbow Pink Y meters,Shoulder Green Y meters,Head Pink Y meters,angular velocity,Hand Pink m/s,Elbow Pink m/s,Shoulder Green m/s,Head Pink m/s
1.0,969.5578003,900.4898071,725.0014648,993.9735718,498.7056274,1012.445862,292.3933105,994.8659668,1658789494000000.0,0.0,0.0,1.1109657854861448,0.8307414179648858,0.571440804147385,0.335038265660918,-1.0318243693749576,-1.1389425463913272,-1.1601089816316204,-1.1399650953428515,,,,,
2.0,969.3657227,900.8137817,724.8354492,993.9742432,498.7597046,1013.0,289.727417,994.5,1658789494016666.8,-0.0320302736075252,0.01666675,1.1107456937683615,0.8305511893355045,0.5715027683943399,0.3319835571480955,-1.0321955949953954,-1.1389433157136184,-1.160743939504423,-1.1395457530475308,-1.921806807417475,0.025893933108400796,0.011413811101248105,0.03827845144836908,0.1850014362437157
3.0,969.4396973,901.2098999,724.7966309,993.7966309,498.8312683,1012.362122,286.6758118,993.8964844,1658789494033333.2,-0.079774826627684,0.03333325,1.110830457409652,0.830506709467324,0.5715847695108882,0.328486881687424,-1.032649486209588,-1.1387397990297028,-1.1600130283270853,-1.138854215954642,-2.8647018282278096,0.02770428835292617,0.012499239876861114,0.044129799412420644,0.2138641301882396
4.0,969.7782593,902.2120972,724.9434814,994.1469116,498.5,1012.5,284.2896423,993.0825195,1658789494050000.0,0.2043868377884382,0.05,1.111218397971988,0.830674977806799,0.5712051864195014,0.3257526943372214,-1.033797851897804,-1.1391411674400191,-1.160171015546129,-1.1379215359698005,17.049614616894246,0.07272736679956052,0.026112813052798573,0.02466892427189625,0.17333326487571366
5.0,969.6955566,902.8485107,724.8248901,994.880188,498.3833313,1012.996643,281.9363403,992.5862427,1658789494066666.5,0.2753691377339284,0.0666665,1.1111236332554968,0.8305390902127684,0.5710715018326753,0.3230561681434172,-1.034527084980868,-1.1399813906752427,-1.160740092892967,-1.1373528782324691,4.258980586535278,0.04412188195597475,0.0510684431287629,0.03507412356112219,0.16535008463849363
6.0,969.7652588,903.2347412,725.0516357,994.8421631,497.7628174,1013.150635,280.188324,990.6616821,1658789494083333.2,0.3213447672937762,0.08333325,1.1112035013761483,0.8307989061861242,0.5703604872731459,0.321053207307899,-1.034969646394616,-1.1399378199227994,-1.1609165443053384,-1.1351476244786105,2.758523980970964,0.026982629187795804,0.0158066410639782,0.04395493712026289,0.17874559132772525
7.0,969.9661255,903.671875,724.642395,995.0372314,497.6897583,1013.22113,278.3815918,989.1342163,1658789494100000.0,0.3769812102609767,0.1,1.1114336640658555,0.8303299785826458,0.570276772655623,0.3189829669806951,-1.0354705352486164,-1.140161338527947,-1.1609973208542184,-1.13339738097402,3.338169887182592,0.033074343955128524,0.03116846468698713,0.006979882300543633,0.16265697161779347
8.0,969.6464844,904.1115112,724.642395,995.0372314,497.4717102,1013.276733,277.2078247,988.3346558,1658789494116666.5,0.4188986374966156,0.1166665,1.1110674039773645,0.8303299785826458,0.5700269226945219,0.3176380083945997,-1.0359742914724437,-1.140161338527947,-1.1610610334359244,-1.1324812062409082,2.5150707848461824,0.03736977960435705,0.0,0.01547072933211423,0.0976414003568969
9.0,969.6097412,905.0189819,724.642395,995.0372314,497.4717102,1013.276733,275.9589844,987.7666626,1658789494133333.5,0.5225006010184767,0.1333335,1.1110253018581957,0.8303299785826458,0.5700269226945219,0.3162070273386926,-1.0370141148834038,-1.140161338527947,-1.1610610334359244,-1.1318303724160517,6.215993491441844,0.0624405247568362,0.0,0.0,0.09432205054913027
10.0,969.4268188,905.055542,723.6129761,995.015564,497.1408997,1013.140869,275.3469543,986.1040649,1658789494150000.0,0.5216255502839952,0.15,1.110815700607258,0.8291504210807837,0.5696478641723112,0.315505733923718,-1.0370560071978192,-1.140136510982799,-1.1609053539545848,-1.1299252883053814,-0.0525035691045855,0.012824801809232268,0.0707891256190498,0.02458693293224518,0.12180381160462105
