Frame #,Head Pink X,Head Pink Y,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds,Head Pink X meters,Hand Pink X meters,Shoulder Green X meters,Elbow Orange X meters,Head Pink Y meters,Hand Pink Y meters,Shoulder Green Y meters,Elbow Orange Y meters
1.0,275.5,1011.5,946.237793,935.3820801,460.6465759,995.269104,693.1410522,986.9128418,1658961129000000.0,0.0,0.0,0.2933241535143525,1.0074569860436082,0.49044924480999064,0.7379855259622962,1.076941492848521,0.9958989359630734,1.0596604989103013,1.0507636076712488
2.0,275.5,1011.5,946.7179565,935.081604,460.8201904,995.5,693.1410522,986.9128418,1658961129016666.8,0.0279881194720933,0.01666675,0.2933241535143525,1.0079682149081672,0.4906340917292295,0.7379855259622962,1.076941492848521,0.9955790198190306,1.059906333297778,1.0507636076712488
3.0,275.5,1011.5,946.237793,935.3820801,460.6465759,995.269104,692.8870239,987.6088257,1658961129033333.2,0.0,0.03333325,0.2933241535143525,1.0074569860436082,0.49044924480999064,0.7377150626734897,1.076941492848521,0.9958989359630734,1.0596604989103013,1.0515046199700768
4.0,275.1966553,1010.77002,945.9850464,935.40448,460.5,995.5,692.9741211,987.3879395,1658961129050000.0,0.0010323673335731,0.05,0.2930011831791417,1.0071878873775515,0.490293185819816,0.7378077948421412,1.0761642849879678,0.9959227850799748,1.059906333297778,1.0512694429913545
5.0,275.5,1010.5,946.2590332,935.0297241,460.8201904,995.5,692.4136963,986.7321167,1658961129066666.5,0.0406505423813347,0.0666665,0.2933241535143525,1.0074796004308513,0.4906340917292295,0.737211111974379,1.0758767953765995,0.9955237834206571,1.059906333297778,1.050571190114166
6.0,275.5,1010.5,946.5510864,934.6801758,461.5,995.0,693.4244995,986.9811401,1658961129083333.2,0.0771791693013221,0.08333325,0.2933241535143525,1.007790548734558,0.4913578832917374,0.7382873115860291,1.0758767953765995,0.9951516202293327,1.0593739845618175,1.0508363246985952
7.0,275.0921936,1011.0,946.2590332,935.0297241,460.6465759,995.269104,693.4244995,986.9811401,1658961129100000.0,0.0406424503153762,0.1,0.29288996307123905,1.0074796004308513,0.49044924480999064,0.7382873115860291,1.0764091441125603,0.9955237834206571,1.0596604989103013,1.0508363246985952
8.0,275.0984802,1010.765137,946.0487671,935.1239624,461.0,995.0922241,693.4244995,986.9811401,1658961129116666.5,0.0327393375039185,0.1166665,0.29289665639836604,1.0072557306457506,0.4908255345557767,0.7382873115860291,1.0761590860702124,0.9956241187004252,1.0594721753279377,1.0508363246985952
9.0,275.4069824,1010.701538,946.1118164,934.9407959,461.5,995.1577148,692.8994751,986.7063599,1658961129133333.5,0.0531947196296154,0.1333335,0.29322511791078826,1.007322859076067,0.4913578832917374,0.7377283194346521,1.0760913723756957,0.9954291017909346,1.059541903110662,1.0505437669143214
10.0,276.5,1010.5,946.5,935.7333374,461.5,995.1577148,694.2346802,987.1088257,1658961129150000.0,0.0446413162997982,0.15,0.2943888509862739,1.0077361571736283,0.4913578832917374,0.7391499089291186,1.0758767953765995,0.9962729187223773,1.059541903110662,1.050972271234116
11.0,275.2846375,1010.67041,946.2590332,935.0297241,460.5773926,995.5803833,694.2346802,987.1088257,1658961129166666.8,0.0406289367473828,0.16666675,0.29309485760505577,1.0074796004308513,0.4903755855253814,0.7391499089291186,1.0760582304727895,0.9955237834206571,1.0599919171940728,1.050972271234116
12.0,274.9156189,1010.603394,946.2438354,935.4971313,460.6949768,995.4434204,693.2164307,987.3955078,1658961129183333.5,0.0134589359383488,0.1833335,0.2927019644345438,1.0074634193716125,0.4905007771258593,0.7380657812606835,1.0759868787070113,0.9960214306848549,1.0598460931406959,1.0512775009412312
13.0,275.5,1010.5,946.2590332,935.0297241,460.5773926,995.5803833,695.3030396,989.3030396,1658961129200000.0,0.0406289367473828,0.2,0.2933241535143525,1.0074796004308513,0.4903755855253814,0.7402873884814022,1.0758767953765995,0.9955237834206571,1.0599919171940728,1.053308445226301
14.0,275.2673645,1010.5,946.2438354,935.4971313,461.3895569,996.3253174,693.8123169,987.3657227,1658961129216666.8,0.0134730210905936,0.21666675,0.2930764670856233,1.0074634193716125,0.49124029480237624,0.7387002197913763,1.0758767953765995,0.9960214306848549,1.060785046647091,1.0512457888205602
15.0,275.3799133,1010.444458,946.5724487,934.9855347,461.0,995.1782837,694.260437,987.038208,1658961129233333.2,0.0412939457449829,0.23333325,0.29319629750845105,1.0078132931213624,0.4908255345557767,0.7391773321289634,1.075817659949614,0.9954767350781913,1.0595638027664922,1.0508970847474532
16.0,275.3799133,1009.555542,946.1709595,934.8290405,461.0,995.1782837,694.260437,987.038208,1658961129250000.0,0.0652825697560088,0.25,0.29319629750845105,1.0073858285851185,0.4908255345557767,0.7391773321289634,1.0748712333316635,0.995310116099081,1.0595638027664922,1.0508970847474532
17.0,275.4982605,1010.512268,946.2826538,935.079895,461.0,995.1782837,693.5256348,987.0769043,1658961129266666.8,0.0344988373875741,0.26666675,0.29332230147310007,1.0075047492239566,0.4908255345557767,0.7383949900842611,1.075889857085185,0.9955772002510511,1.0595638027664922,1.050938284600236
18.0,275.2276306,1010.166687,946.0921631,934.8078613,461.5933228,995.5933228,693.5256348,987.0769043,1658961129283333.2,0.0689704051421919,0.28333325,0.2930341625027437,1.007301934257242,0.49145724384097006,0.7383949900842611,1.075521917868141,0.9952875666583837,1.0600056938470108,1.050938284600236
