Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow X,Elbow Y,Timestamp (microseconds),angles,Seconds,Shoulder Pink X meters,Hand Pink X meters,Elbow X meters,Shoulder Pink Y meters,Hand Pink Y meters,Elbow Y meters,angular velocity,Shoulder Pink m/s,Hand Pink m/s,Elbow m/s
1.0,285.3634033,1035.556396,736.3815918,1217.349976,466.9603271,1208.039673,1658965617000000.0,138.45357078041042,0.0,0.2752203854237486,0.7102074869113026,0.4503625893014492,-0.9987483578457448,-1.1740802279333873,-1.1651008523356758,,,,
2.0,286.8243713,1035.630737,736.4804077,1216.921509,467.2363281,1208.659668,1658965617016666.8,137.95426523582793,0.01666675,0.2766294244645013,0.7103027904778059,0.4506287800628394,-0.9988200564533316,-1.1736669904561297,-1.1656988101007135,-29.9581828840346,0.08465172267179469,0.025445092584515275,0.03927186826197768
3.0,286.2346802,1036.374146,736.5811768,1217.46521,466.772583,1208.5,1658965617033333.2,138.26953674446568,0.03333325,0.2760606934711569,0.7103999778193503,0.4501815184179179,-0.999537041564742,-1.1741913660314307,-1.1655448173742753,18.916479683061816,0.05490975627325877,0.03199835064473782,0.02838175927826712
4.0,286.5987549,1035.644043,736.2789307,1217.348633,466.641449,1208.358521,1658965617050000.0,138.09971614811667,0.05,0.2764118274221061,0.7101084748194111,0.4500550454728773,-0.99883288950202,-1.1740789326692669,-1.1654083671341289,-10.189184835016572,0.04721070476281309,0.01874606453748686,0.011162914758599762
5.0,287.3418884,1035.341919,736.8786621,1216.587524,467.3608398,1208.034424,1658965617066666.5,138.00762578199613,0.0666665,0.2771285468259474,0.7106868892381837,0.4507488660923285,-0.9985415042621322,-1.1733448766904442,-1.1650957899072552,-5.52547722200488,0.04642123891842423,0.0560735687432308,0.04565883998798797
6.0,287.550354,1035.25061,737.3986206,1216.919556,467.4513245,1208.449463,1658965617083333.2,137.88456008044963,0.08333325,0.2773296026800482,0.7111883662219856,0.4508361345847874,-0.998453440768769,-1.1736651068739796,-1.1654960766722184,-7.383905173263789,0.013169779314533621,0.03570007743168918,0.024581355176860158
7.0,287.4624023,1035.462402,737.1617432,1216.840698,466.7912292,1208.447388,1658965617100000.0,137.80967290027604,0.1,0.2772447771540952,0.7109599084429843,0.4501995018533947,-0.9986577047885964,-1.1735890518196077,-1.1654940754264629,-4.493208344373688,0.013270605665807187,0.014447089018004466,0.03819815260970547
8.0,287.3612061,1035.299438,737.1691284,1216.803711,466.6593933,1208.302368,1658965617116666.5,137.82375658378632,0.1166665,0.2771471778934845,0.710967031141855,0.4500723519568379,-0.9985005332158874,-1.173553379493451,-1.1653542100483776,0.8450294609113423,0.01110057062418318,0.002182588301419244,0.011341336457967692
9.0,287.6141663,1035.385864,737.5170288,1215.971436,466.823761,1208.124512,1658965617133333.5,137.7137651642881,0.1333335,0.2773911468220008,0.7113025656955848,0.4502308773361335,-0.9985838872716478,-1.1727506870541626,-1.165182675800104,-6.599353182829235,0.01546891890518473,0.05219995133919453,0.014014116424578914
10.0,287.4813538,1035.417969,737.9310303,1215.581055,466.823761,1208.124512,1658965617150000.0,137.65532325984378,0.15,0.2772630550379234,0.7117018518376701,0.4502308773361335,-0.9986148511246572,-1.1723741818399702,-1.165182675800104,-3.506549332152659,0.007906867599037111,0.03292822738125355,0.0
