Frame #,Head Pink X,Head Pink Y,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds,Head Pink X meters,Hand Pink X meters,Shoulder Green X meters,Elbow Orange X meters,Head Pink Y meters,Hand Pink Y meters,Shoulder Green Y meters,Elbow Orange Y meters,angular velocity,Head Pink m/s,Hand Pink m/s,Shoulder Green m/s,Elbow Orange m/s
1.0,158.7236633,821.8922119,860.142395,949.6716919,411.590149,791.409851,600.831299,888.362122,1658971545448330.0,0.0,0.0,0.1787023939126136,0.96840951056999,0.4633974758894651,0.6764586277597924,-0.9253447327955108,-1.069207963357106,-0.8910255219627662,-1.0001812871634328,,,,,
2.0,158.7236633,821.8922119,860.4550171,949.5449829,411.590149,791.409851,600.831299,888.362122,1658971545464996.5,0.026908686476351,0.0166665,0.1787023939126136,0.9687614827743763,0.4633974758894651,0.6764586277597924,-0.9253447327955108,-1.069065305349097,-0.8910255219627662,-1.0001812871634328,1.6145373339543996,0.0,0.02278702840817197,0.0,0.0
3.0,158.7236633,821.8922119,860.3917236,949.4072266,411.590149,791.409851,600.831299,888.362122,1658971545481663.2,0.0400221193997934,0.03333325,0.1787023939126136,0.9686902224485124,0.4633974758894651,0.6764586277597924,-0.9253447327955108,-1.068910209504692,-0.8910255219627662,-1.0001812871634328,0.786802041396337,0.0,0.01024099204072204,0.0,0.0
4.0,158.8270264,821.8497314,860.4550171,949.5449829,411.590149,791.409851,600.831299,888.362122,1658971545498330.0,0.026908686476351,0.05,0.1788187674452564,0.9687614827743763,0.4633974758894651,0.6764586277597924,-0.9252969052259676,-1.069065305349097,-0.8910255219627662,-1.0001812871634328,-0.786802041396337,0.007549105366160992,0.01024099204072204,0.0,0.0
5.0,158.8270264,821.8497314,860.0637207,949.3570557,411.590149,791.409851,600.831299,888.362122,1658971545514996.5,0.0325998040658223,0.0666665,0.1788187674452564,0.9683209334450856,0.4633974758894651,0.6764586277597924,-0.9252969052259676,-1.068853723535629,-0.8910255219627662,-1.0001812871634328,0.3414704700729787,0.0,0.029323404836139353,0.0,0.0
6.0,158.8270264,821.8497314,860.0637207,949.3570557,411.590149,791.409851,600.831299,888.362122,1658971545531663.2,0.0325998040658223,0.08333325,0.1788187674452564,0.9683209334450856,0.4633974758894651,0.6764586277597924,-0.9252969052259676,-1.068853723535629,-0.8910255219627662,-1.0001812871634328,0.0,0.0,0.0,0.0,0.0
7.0,158.8270264,821.8497314,859.5,949.1732788,411.590149,791.409851,600.831299,888.362122,1658971545548329.8,0.0309202102161814,0.09999975,0.1788187674452564,0.9676862565702352,0.4633974758894651,0.6764586277597924,-0.9252969052259676,-1.06864681442521,-0.8910255219627662,-1.0001812871634328,-0.1007766387448416,0.0,0.04005313989688598,0.0,0.0
8.0,158.8270264,821.8497314,859.5,949.1732788,411.590149,791.409851,600.831299,888.362122,1658971545564996.5,0.0309202102161814,0.1166665,0.1788187674452564,0.9676862565702352,0.4633974758894651,0.6764586277597924,-0.9252969052259676,-1.06864681442521,-0.8910255219627662,-1.0001812871634328,0.0,0.0,0.0,0.0,0.0
9.0,158.8270264,821.8497314,859.5,949.1732788,411.590149,791.409851,600.831299,888.362122,1658971545581663.2,0.0309202102161814,0.13333325,0.1788187674452564,0.9676862565702352,0.4633974758894651,0.6764586277597924,-0.9252969052259676,-1.06864681442521,-0.8910255219627662,-1.0001812871634328,0.0,0.0,0.0,0.0,0.0
10.0,158.8270264,821.8497314,859.6907349,949.3434448,411.590149,791.409851,600.831299,888.362122,1658971545598330.0,0.0192063311747468,0.15,0.1788187674452564,0.9679009994921411,0.4633974758894651,0.6764586277597924,-0.9252969052259676,-1.0688383994159438,-0.8910255219627662,-1.0001812871634328,-0.7028292283399339,0.0,0.017267008781475354,0.0,0.0
11.0,158.7104034,821.585083,859.8086548,949.2246704,411.590149,791.409851,600.831299,888.362122,1658971545614996.8,0.0374393662997381,0.16666675,0.1786874649737032,0.9680337621059936,0.4633974758894651,0.6764586277597924,-0.9249989452265456,-1.0687046747451905,-0.8910255219627662,-1.0001812871634328,1.0939766376162892,0.019536473608347885,0.01130617163933321,0.0,0.0
12.0,158.6197357,821.6558228,860.392334,949.3635254,411.590149,791.409851,600.831299,888.362122,1658971545631663.2,0.0450105478792166,0.18333325,0.1785853848257045,0.9686909096802644,0.4633974758894651,0.6764586277597924,-0.9250785891267812,-1.0688610075842315,-0.8910255219627662,-1.0001812871634328,0.4542754375230854,0.0077684378646317815,0.0405292290496324,0.0,0.0
13.0,158.6197357,821.6558228,860.2058716,949.3359985,411.590149,791.409851,600.831299,888.362122,1658971545648330.0,0.0406812246007378,0.2,0.1785853848257045,0.9684809770428624,0.4633974758894651,0.6764586277597924,-0.9250785891267812,-1.0688300158415722,-0.8910255219627662,-1.0001812871634328,-0.2597580979182382,0.0,0.01273247506554066,0.0,0.0
14.0,158.6197357,821.6558228,860.3046265,949.1953735,411.5,791.5,600.831299,888.362122,1658971545664996.5,0.0606027535311391,0.2166665,0.1785853848257045,0.968592162336055,0.4632959797308338,0.6764586277597924,-0.9250785891267812,-1.0686716902105888,-0.8911270181213974,-1.0001812871634328,1.1953036888609665,0.0,0.01160797266774215,0.008612234643905385,0.0
15.0,158.6197357,821.6558228,860.3046265,949.1953735,411.5,791.5,600.831299,888.362122,1658971545681663.2,0.0606027535311391,0.23333325,0.1785853848257045,0.968592162336055,0.4632959797308338,0.6764586277597924,-0.9250785891267812,-1.0686716902105888,-0.8911270181213974,-1.0001812871634328,0.0,0.0,0.0,0.0,0.0
16.0,158.6197357,821.6558228,860.3046265,949.1953735,411.5,791.5,600.831299,888.362122,1658971545698330.0,0.0606027535311391,0.25,0.1785853848257045,0.968592162336055,0.4632959797308338,0.6764586277597924,-0.9250785891267812,-1.0686716902105888,-0.8911270181213974,-1.0001812871634328,0.0,0.0,0.0,0.0,0.0
