Frame #,Hand Pink X,Hand Pink Y,Body Pink X,Body Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds,Hand Pink X meters,Body Pink X meters,Shoulder Green X meters,Elbow Orange X meters,Hand Pink Y meters,Body Pink Y meters,Shoulder Green Y meters,Elbow Orange Y meters
1.0,556.5925903,1540.740723,774.1599121,1229.60498,701.6107788,1017.206177,661.8405762,1294.32605,1660089875259140.0,0.0,0.0,0.5193059317229379,-0.7222982149995005,0.6546092160429362,0.6175032565387479,-1.4375250598821852,-1.1472325915188608,-0.949062583130318,-1.2076179364627089
2.0,555.7197266,1540.95459,774.1599121,1229.60498,701.5280762,1017.443848,661.7502441,1294.503662,1660089875275806.8,0.0826706124034068,0.01666675,0.5184915419791735,-0.7222982149995005,0.6545320537675171,0.617418975870675,-1.4377245997316825,-1.1472325915188608,-0.9492843323275756,-1.20778365006859
3.0,556.2738037,1540.392822,774.1599121,1229.60498,701.5645752,1017.435425,661.9112549,1294.44165,1660089875292473.2,0.0422353406031989,0.03333325,0.5190085009356461,-0.7222982149995005,0.6545661076653453,0.617569200406482,-1.4372004650957995,-1.1472325915188608,-0.9492764735922292,-1.2077257923105111
4.0,556.7210693,1540.863892,774.1599121,1229.60498,701.6179199,1017.26123,661.9194336,1294.557861,1660089875309140.0,0.0165259118167906,0.05,0.5194258037944757,-0.7222982149995005,0.6546158787539632,0.617576831207714,-1.437639977675593,-1.1472325915188608,-0.9491139480783201,-1.2078342182268513
5.0,556.6201782,1540.620117,774.1599121,1229.60498,701.333313,1017.819031,661.9968262,1294.611084,1660089875325806.5,0.0005898914832682,0.0666665,0.5193316714836956,-0.7222982149995005,0.6543503379365773,0.6176490392050029,-1.4374125333910086,-1.1472325915188608,-0.9496343814672462,-1.2078838757682662
6.0,556.6201782,1540.620117,774.1599121,1229.60498,701.2734375,1017.89325,662.0621338,1294.668701,1660089875342473.2,0.0005890734999849,0.08333325,0.5193316714836956,-0.7222982149995005,0.6542944735523638,0.6177099717877531,-1.4374125333910086,-1.1472325915188608,-0.9497036284669697,-1.2079376329515086
7.0,556.6201782,1540.620117,774.1599121,1229.60498,701.333313,1017.819031,661.946228,1294.71936,1660089875359140.0,0.0005898914832682,0.1,0.5193316714836956,-0.7222982149995005,0.6543503379365773,0.6176018306257792,-1.4374125333910086,-1.1472325915188608,-0.9496343814672462,-1.2079848982576835
8.0,556.7698364,1541.365112,774.1599121,1229.60498,701.3952637,1017.970886,662.0548096,1294.813965,1660089875375806.5,0.0356102990506881,0.1166665,0.5194713039408023,-0.7222982149995005,0.6544081385012004,0.6177031382427663,-1.4381076204786671,-1.1472325915188608,-0.9497760635586647,-1.2080731655801862
9.0,556.6099243,1540.858154,774.1599121,1229.60498,701.0878296,1017.834351,662.0224609,1294.683716,1660089875392473.5,0.0050669075011218,0.1333335,0.519322104502054,-0.7222982149995005,0.6541212996993079,0.6176729566124567,-1.4376346240695836,-1.1472325915188608,-0.9496486751661072,-1.207951642082605
10.0,557.0748291,1541.136108,774.0505371,1229.681641,701.2734375,1017.89325,661.9711304,1294.805542,1660089875409140.0,0.0601957759903996,0.15,0.5197558648943659,-0.722196167133122,0.6542944735523638,0.6176250647906953,-1.4378939576709675,-1.1473041169267184,-0.9497036284669697,-1.20806530684484
11.0,557.1190186,1540.523804,774.0505371,1229.681641,700.9171753,1018.022217,662.0064697,1294.778442,1660089875425806.8,0.047545920528569,0.16666675,0.5197970940984009,-0.722196167133122,0.6539620776905919,0.617658036677912,-1.4373226724890245,-1.1473041169267184,-0.9498239558469306,-1.2080400222992045
12.0,557.1190186,1540.523804,774.0505371,1229.681641,700.921875,1017.807617,661.8774414,1294.617188,1660089875442473.5,0.0475312420810844,0.1833335,0.5197970940984009,-0.722196167133122,0.65396646255329,0.6175376521044953,-1.4373226724890245,-1.1473041169267184,-0.9496237321017894,-1.207889570855593
