Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m)
1660869882620514,-0.9771267261768521,-0.07306019684138265,-0.2112458991378654,0,0,0,-0.0008842386541371,-0.0005137712616162732,-0.5511684509609508
1660869882636516,-0.9778591592278936,-0.06414892805371197,-0.2141756313420311,-0.0001018113634769764,0.0003110326855471678,0.0004385517297862812,-0.0008859584301972721,-0.000779231796049422,-0.5511838213065403
1660869882652518,-0.9806668192568857,-0.06366063935301769,-0.2140535591668575,-0.0002340549162616611,0.0007548891070007278,0.00111299860112299,-0.0008866780338373848,-0.000989909513401962,-0.5512001596563674
1660869882668520,-0.9815213244831007,-0.06341649500267055,-0.2081940947585261,-0.0003794263981001149,0.001290207003263517,0.001948693094227676,-0.0008864249242847182,-0.001148013010937243,-0.5512178133733819
1660869882684522,-0.9782253757534143,-0.07513542381933336,-0.2020904859998476,-0.0005161739248902475,0.001861330325493987,0.002837338123624519,-0.0008851669079168789,-0.001291350465238166,-0.5512368021184457
1660869882700524,-0.976882581826505,-0.07757686732280478,-0.2080720225833526,-0.0006238807985971155,0.002424491049137508,0.003668446163895136,-0.0008826854389065778,-0.001417798357954753,-0.5512568159596697
1660869882716527,-0.9781033035782407,-0.07208361943999408,-0.1979400320439462,-0.0006887264212661179,0.002961146536129126,0.004358068895740475,-0.0008784158548062861,-0.001541164214297936,-0.5512772701221477
1660869882732529,-0.9782253757534143,-0.0707408255130848,-0.2048981460288397,-0.0007068543795220427,0.003471989037125837,0.004865455640745867,-0.0008714182264196548,-0.001657693101409443,-0.5512974409700392
1660869882748531,-0.9763942931258107,-0.07403677424277122,-0.2163729304951554,-0.0006851506659257994,0.003971741562781886,0.005199577960525107,-0.0008605184585244993,-0.001781594852135458,-0.5513166287867066
1660869882764533,-0.9724879835202564,-0.07147325856412623,-0.2180819409475854,-0.000639628161066483,0.00448794776802304,0.005424812670018368,-0.0008445426344818954,-0.001914831572535495,-0.551334317830669
1660869882780535,-0.9783474479285879,-0.06744487678339839,-0.2168612191958497,-0.0005921536147081319,0.005048231840508763,0.005660066669871179,-0.0008226672446226769,-0.002048434492671351,-0.5513502945849464
1660869882796538,-0.980300602731365,-0.06598001068131554,-0.2112458991378654,-0.00056616026254904,0.005665847659426737,0.006053206117182803,-0.0007948520577223162,-0.002184236136874546,-0.5513647081708534
1660869882812540,-0.9765163653009843,-0.06976424811169624,-0.2046540016784926,-0.0005817875671425635,0.006340385897462217,0.006737529453337388,-0.0007620919066477632,-0.002332381886812332,-0.5513780566509503
1660869882828542,-0.9746852826733807,-0.07391470206759765,-0.200259403372244,-0.0006509139348732553,0.007062228985380656,0.007796776360225166,-0.0007263187489394406,-0.002493196586624445,-0.5513910921696712
1660869882844544,-0.9778591592278936,-0.07135118638895266,-0.2006256198977647,-0.0007727450040788521,0.007811604763894935,0.009250294570375238,-0.0006900802253138556,-0.002655016073988976,-0.551404653662852
1660869882860546,-0.9829861905851836,-0.06329442282749698,-0.1991607537956819,-0.0009311606826475949,0.00856147585238057,0.01105219204985218,-0.0006561421025502053,-0.002807457421266405,-0.5514194452811008
1660869882876548,-0.9859159227893493,-0.06805523765926624,-0.1963530937666897,-0.001095572556667849,0.009283785110068242,0.01309282836916697,-0.0006270300267129708,-0.002934312203713267,-0.5514358021835517
1660869882892551,-0.9807888914320593,-0.07086289768825837,-0.1986724650949876,-0.001226349967055982,0.009952546133134349,0.01520467155922844,-0.0006045359591245177,-0.003056517420619957,-0.5514534858257629
1660869882908553,-0.9806668192568857,-0.07428091859311836,-0.1948882276646069,-0.00128385663217035,0.01054734888639862,0.01719183874293512,-0.0005893204202744064,-0.003178513060701633,-0.5514716225001793
1660869882924555,-0.98115510795758,-0.07354848554207694,-0.2009918364232854,-0.001238747400792781,0.01105800269393426,0.01887832163956266,-0.0005807692182859298,-0.003259943363881891,-0.5514888265706407
1660869882940582,-0.9755397878995957,-0.06805523765926624,-0.2052643625543604,-0.00108082845106783,0.01148422386012266,0.02014136561429645,-0.0005771464519893101,-0.003286391388953211,-0.551503400055196
1660869882956584,-0.9715114061188679,-0.0707408255130848,-0.2092927443350883,-0.0008236394457321072,0.01182966209338215,0.02092342550853867,-0.0005759722794944791,-0.003283829169591751,-0.5515136326400798
1660869882972586,-0.9710231174181736,-0.07354848554207694,-0.2152742809185932,-0.0005029700813706217,0.01209560675359413,0.02123965418609853,-0.0005745633729065806,-0.003277430948845969,-0.5515182005963017
1660869882988588,-0.9754177157244222,-0.07306019684138265,-0.2162508583199818,-0.0001697053687193928,0.01227962783173571,0.02117417146945183,-0.0005706414016368744,-0.003274966552893051,-0.5515164885325604
1660869883004591,-0.9730983443961243,-0.06952010376134909,-0.2134431982909897,0.0001209783681408533,0.01237917957273409,0.02085294399459809,-0.0005628026038106658,-0.00327685253489972,-0.5515087363039081
1660869883020593,-0.97602807660029,-0.07428091859311836,-0.2092927443350883,0.0003211949556248315,0.01239413175336514,0.02040881474902204,-0.0005506965859584951,-0.003286558721771125,-0.5514960024634019
1660869883036595,-0.9762722209506371,-0.07977416647592905,-0.216495002670329,0.0003997377807215643,0.01232566661753644,0.01995726202631003,-0.0005349584983855176,-0.003306852625579412,-0.5514799764981163
1660869883052597,-0.9783474479285879,-0.07757686732280478,-0.2150301365682461,0.0003472218854984066,0.01217563947639875,0.01958410043820442,-0.0005170072343908272,-0.003336603125421026,-0.551462675688002
1660869883068599,-0.9788357366292821,-0.07354848554207694,-0.209658960860609,0.0001763127855020426,0.01194875981954429,0.01934187330801646,-0.0004987694116536522,-0.003377747257461928,-0.5514460856133304
1660869883084602,-0.9782253757534143,-0.06829938200961339,-0.2127107652399483,-8.236502959419156e-05,0.0116586039845655,0.01924905049756912,-0.0004823290038089587,-0.003430562314162935,-0.551431847128049
1660869883100604,-0.9787136644541086,-0.07501335164415979,-0.212222476539254,-0.0003871896559463251,0.01133547161339464,0.01928727858457394,-0.000469466691320737,-0.003488167567393751,-0.551421033489866
1660869883116606,-0.97773708705272,-0.07428091859311836,-0.2127107652399483,-0.0006935347743421868,0.0110260193474702,0.01941099739288186,-0.0004611747497768781,-0.003562841166093388,-0.5514140015283092
1660869883132608,-0.9766384374761579,-0.07769893949797835,-0.2138094148165104,-0.0009611068421351561,0.01078473005528996,0.01958360828296316,-0.0004574166330294251,-0.003643496510166039,-0.5514104628525719
1660869883148610,-0.9779812314030671,-0.08538948653391332,-0.206240939955749,-0.001159571852407215,0.01066920056610159,0.01981021819559356,-0.0004572538463283404,-0.00372844732885835,-0.5514095512154935
1660869883164612,-0.9761501487754636,-0.07562371252002764,-0.2146639200427254,-0.001272006237358141,0.01073267172806946,0.02012086824119878,-0.0004591210095507121,-0.003815986463403614,-0.551410021886791
1660869883180615,-0.9759060044251164,-0.07037460898756409,-0.2153963530937668,-0.001296097351250796,0.01100371642234792,0.0205226351029892,-0.0004610346440057579,-0.003904934026735892,-0.5514104749720219
1660869883196617,-0.9766384374761579,-0.06512550545510054,-0.214785992217899,-0.001243215117215842,0.01147049616022206,0.02098253565876787,-0.0004607917331388405,-0.003994195701817748,-0.5514095832866821
1660869883212619,-0.9790798809796293,-0.05792324711985941,-0.2083161669336997,-0.001135502545113898,0.01208307959874761,0.02144881050595354,-0.0004562780234331411,-0.004082068505471413,-0.5514062900301723
