Frame #,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds,Hand Pink X meters,Shoulder Green X meters,Elbow Orange X meters,Hand Pink Y meters,Shoulder Green Y meters,Elbow Orange Y meters
1.0,331.5,1874.5,180.5357208,1071.404785,232.697464,1377.226196,1660173417000000.0,0.0,0.0,0.19615606785347606,0.10682708023897741,0.13769236662961026,-1.1091841604565336,-0.6339745089140238,-0.8149359733096855
2.0,331.2690735,1874.646606,180.5357208,1071.404785,233.2266693,1377.114624,1660173417016666.8,0.0178096822947095,0.01666675,0.19601942340640768,0.10682708023897741,0.13800550940709208,-1.109270910551507,-0.6339745089140238,-0.8148699536270232
3.0,331.6386108,1874.919312,181.0,1070.907837,233.0436707,1376.462891,1660173417033333.2,0.0041363281947653,0.03333325,0.19623808700729212,0.10710180477067623,0.13789722498537657,-1.109432276876213,-0.6336804535124926,-0.8144843084307325
4.0,331.2211304,1874.069336,180.3934479,1071.366089,233.1576691,1376.644531,1660173417050000.0,0.0136394682863067,0.05,0.19599105438687012,0.10674289413754118,0.13796468042394544,-1.10892932680101,-0.6339516116132649,-0.8145917889380172
5.0,331.7203064,1875.180054,180.3934479,1071.366089,233.1137238,1376.943848,1660173417066666.5,0.0063579841890955,0.0666665,0.19628642814652875,0.10674289413754118,0.13793867699333115,-1.109586563830796,-0.6339516116132649,-0.8147689015949152
6.0,331.358429,1874.31543,180.3934479,1071.366089,233.0398407,1376.916382,1660173417083333.2,0.0073636123461589,0.08333325,0.19607229708218774,0.10674289413754118,0.13789495868751872,-1.1090749462018015,-0.6339516116132649,-0.8147526493398335
7.0,332.1606445,1873.026123,180.3934479,1071.366089,233.1284027,1376.601807,1660173417100000.0,0.0647308461606416,0.1,0.1965469861864143,0.10674289413754118,0.13794736283135353,-1.108312034010622,-0.6339516116132649,-0.81456650817831
8.0,332.5608215,1873.060791,180.3934479,1071.366089,233.1619415,1376.778687,1660173417116666.5,0.0918859824908688,0.1166665,0.19678377999264476,0.10674289413754118,0.1379672084999162,-1.108332547852433,-0.6339516116132649,-0.8146711720856461
9.0,332.8779602,1872.892578,180.3934479,1071.366089,232.6145782,1376.587769,1660173417133333.5,0.1159688149150442,0.1333335,0.19697143815359852,0.10674289413754118,0.13764332122204198,-1.1082330124055497,-0.6339516116132649,-0.8145582015753521
10.0,333.2774658,1872.760376,180.3934479,1071.366089,232.7840576,1376.546387,1660173417150000.0,0.1452663499102806,0.15,0.19720783467722278,0.10674289413754118,0.13774360602652513,-1.1081547854840341,-0.6339516116132649,-0.8145337149074792
11.0,333.919342,1872.612915,180.21138,1071.406494,233.2762299,1376.905762,1660173417166666.8,0.1915116736081738,0.16666675,0.197587647381418,0.10663516043212234,0.13803483553806178,-1.1080675294661708,-0.6339755201680811,-0.81474636524499
12.0,334.2076111,1872.792358,180.6254272,1071.718262,233.1625671,1377.035522,1660173417183333.5,0.2090782778527025,0.1833335,0.19775822274533858,0.10688016155024524,0.1379675786816237,-1.1081737099587312,-0.6341600003640466,-0.8148231471797249
13.0,334.2076111,1872.792358,179.7164764,1072.061279,232.9230804,1377.024292,1660173417200000.0,0.2092174473483938,0.2,0.19775822274533858,0.10634231474843449,0.13782586897008464,-1.1081737099587312,-0.6343629713019859,-0.8148165021340478
14.0,334.5,1872.5,179.9600067,1071.660034,233.0440826,1377.20105,1660173417216666.8,0.233148945146578,0.21666675,0.19793123588834916,0.1064864171497955,0.13789746871594774,-1.1080007150999516,-0.634125545535935,-0.814921093851217
15.0,335.1403503,1871.859619,180.2948761,1071.974365,233.1087646,1376.844604,1660173417233333.2,0.2859602063721403,0.23333325,0.19831014568290964,0.10668456696804121,0.13793574252222499,-1.1076217871395049,-0.6343115423171249,-0.8147101766694309
16.0,335.2999878,1871.716675,179.8101807,1072.125,233.0950623,1376.514771,1660173417250000.0,0.2990028197767068,0.25,0.19840460681196528,0.10639776170779786,0.13792763456057022,-1.1075372039329792,-0.6344006764627693,-0.8145150070032823
17.0,335.071991,1872.532104,179.8101807,1072.125,233.1372528,1377.179321,1660173417266666.8,0.2723369984915103,0.26666675,0.19826969593482752,0.10639776170779786,0.13795259963622866,-1.1080197117648154,-0.6344006764627693,-0.8149082363091406
18.0,336.0046997,1873.07666,179.8121185,1072.060547,233.3969727,1377.390869,1660173417283333.2,0.3293190386803382,0.28333325,0.19882160082485686,0.10639890834800386,0.13810628179106213,-1.1083419378996149,-0.6343625381609854,-0.8150334140582877
19.0,335.7542725,1872.639893,179.8121185,1072.060547,233.0506287,1377.254517,1660173417300000.0,0.3179244695617123,0.3,0.19867341737135594,0.10639890834800386,0.1379013421917721,-1.1080834929605856,-0.6343625381609854,-0.8149527314876573
20.0,336.046875,1872.546875,179.8958282,1072.421875,233.0041809,1377.269165,1660173417316666.5,0.3395030625131743,0.3166665,0.19884655690633057,0.1064484412758868,0.1378738579751554,-1.1080284521004964,-0.634576344132887,-0.8149613990414489
21.0,335.8128967,1873.045166,179.4052277,1072.555542,233.0680847,1377.337646,1660173417333333.2,0.3167090885421637,0.33333325,0.1987081066399926,0.10615814183405589,0.13791167130284437,-1.1083233021855847,-0.6346554379281261,-0.8150019208021809
22.0,335.9533691,1873.410278,179.4052277,1072.555542,233.9403839,1377.463379,1660173417350000.0,0.3214731434972839,0.35,0.19879122734474655,0.10615814183405589,0.1384278305217395,-1.108539347236101,-0.6346554379281261,-0.8150763198696905
