Frame #,Head Pink X,Head Pink Y,Hand Pink X,Hand Pink Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X,Shoulder Green Y,Timestamp (microseconds),angles,Seconds
1.0,337.2507629,962.5375366,1000.366272,996.4418335,720.5634155,1011.162231,498.2376709,1001.014465,1659656459325000.0,0.0,0.0
2.0,337.2507629,962.5375366,1000.366272,996.4418335,720.3016968,1011.43103,498.2547302,1001.270996,1659656459341666.8,0.0,0.01666675
3.0,337.2507629,962.5375366,1000.280823,996.7434082,720.2966309,1011.874634,498.4692383,1001.135925,1659656459358333.2,0.0343390939914674,0.03333325
4.0,337.2507629,962.5375366,1000.280823,996.7434082,720.2966309,1011.874634,498.2547302,1001.270996,1659656459375000.0,0.034321670010422,0.05
5.0,337.4328613,962.4423218,999.9266357,997.6960449,720.1497192,1011.672302,498.2547302,1001.270996,1659656459391666.8,0.1427500709518127,0.06666675
6.0,337.3595581,962.555542,1000.0224,997.8479004,720.2966309,1011.874634,498.2547302,1001.270996,1659656459408333.2,0.160167203679133,0.08333325
7.0,337.4685669,962.5755005,999.8699951,998.3354492,719.5806274,1012.093201,498.2547302,1001.270996,1659656459425000.0,0.2157352804653952,0.1
8.0,337.5458984,962.4605713,999.8699951,998.3354492,719.7844849,1011.644104,498.2547302,1001.270996,1659656459441666.5,0.2157352804653952,0.1166665
9.0,337.4221191,962.6074829,999.9378662,998.343689,719.675293,1011.899414,498.2547302,1001.270996,1659656459458333.5,0.2167216529288886,0.1333335
10.0,337.3816528,962.5549927,999.9378662,998.5444946,719.5859985,1011.322571,498.2376709,1001.014465,1659656459475000.2,0.239672993957982,0.15000025
11.0,337.3816528,962.5549927,999.9378662,998.5444946,719.8768311,1011.521729,498.2376709,1001.014465,1659656459491666.8,0.239672993957982,0.16666675
12.0,337.4221191,962.8005981,999.6971436,999.0244141,719.5859985,1011.322571,498.2376709,1001.014465,1659656459508333.5,0.29437116285423,0.1833335
13.0,337.574646,962.7043457,999.5178833,999.3234253,719.6119995,1011.254089,498.2376709,1001.014465,1659656459525000.0,0.3284660432262747,0.2
14.0,337.2621155,962.7788086,999.2299805,999.833313,719.4758301,1011.435486,497.9814758,1000.935181,1659656459541666.8,0.3864917572825625,0.21666675
15.0,337.2621155,962.7788086,999.3487549,1000.210022,720.1700439,1011.682312,497.9814758,1000.935181,1659656459558333.5,0.429571398955841,0.2333335
16.0,337.2621155,962.7788086,999.0130005,1000.564941,719.4758301,1011.435486,497.9814758,1000.935181,1659656459575000.0,0.4701028037574799,0.25
17.0,337.6435242,962.5601807,998.9567871,1000.730469,720.0463257,1011.766174,497.9814758,1000.935181,1659656459591666.8,0.4890292305667762,0.26666675
18.0,337.5216675,962.6980591,999.0881958,1001.172058,719.5,1011.5,498.5,1000.733948,1659656459608333.2,0.540143863098494,0.28333325
19.0,337.6210022,962.6742554,999.055542,1001.975281,719.4237061,1011.271179,498.5,1000.733948,1659656459625000.0,0.6320872781032528,0.3
20.0,337.6210022,962.6742554,998.9216919,1002.275085,719.3276367,1011.267822,498.5,1000.733948,1659656459641666.8,0.6664510742994617,0.31666675
21.0,337.5,962.5045776,998.7555542,1002.377808,719.5,1011.5,498.5,1000.733948,1659656459658333.2,0.6782747307800916,0.33333325
22.0,337.4401855,962.8277588,998.9511719,1002.314209,719.4098511,1011.590149,498.2336731,1000.625427,1659656459675000.0,0.6705995119139045,0.35
23.0,337.4401855,962.8277588,999.0125122,1002.247925,719.5,1011.5,498.2336731,1000.625427,1659656459691666.5,0.6629921509895486,0.3666665
24.0,337.5860596,962.9023438,998.9511719,1002.314209,719.4098511,1011.590149,498.2336731,1000.625427,1659656459708333.5,0.6705995119139045,0.3833335
25.0,337.4900208,962.6759033,999.2162476,1001.529785,719.5,1011.5,498.2336731,1000.625427,1659656459725000.2,0.5807858137426788,0.40000025
26.0,337.473938,962.8720093,999.2162476,1001.529785,720.1536865,1011.629883,498.2336731,1000.625427,1659656459741666.8,0.5807858137426788,0.41666675
27.0,337.473938,962.6761475,999.2162476,1001.470215,719.2279663,1011.580872,498.2336731,1000.625427,1659656459758333.5,0.5739730035687817,0.4333335
28.0,337.6270142,962.7297974,999.1390381,1001.339478,719.4134521,1011.436707,498.2336731,1000.625427,1659656459775000.0,0.5590336536627504,0.45
29.0,337.473938,962.6761475,999.0882568,1001.141174,719.4134521,1011.436707,498.2336731,1000.625427,1659656459791666.8,0.5363567775095588,0.46666675
30.0,337.5216675,962.6980591,999.166687,1000.829224,719.4237061,1011.271179,498.2336731,1000.625427,1659656459808333.5,0.5006673031553953,0.4833335
31.0,337.2704773,962.8391724,999.236084,1000.799622,719.4237061,1011.271179,498.2336731,1000.625427,1659656459825000.0,0.4972787225318467,0.5
32.0,337.7327271,962.8032837,999.3188477,1000.681152,719.4134521,1011.436707,498.2336731,1000.625427,1659656459841666.8,0.4837291710425488,0.51666675
33.0,337.7327271,962.8032837,999.2987671,1000.560974,719.4134521,1011.436707,498.2336731,1000.625427,1659656459858333.2,0.4699873153645669,0.53333325
34.0,337.7327271,962.8032837,999.333313,1000.270447,719.350708,1011.194214,498.2336731,1000.625427,1659656459875000.0,0.43676894595785,0.55
35.0,337.7327271,962.8032837,999.3685303,999.9151001,719.2822876,1011.105103,498.2336731,1000.625427,1659656459891666.8,0.3961443035683789,0.56666675
36.0,337.8058167,962.6008911,999.5170288,999.5568237,719.3276367,1011.267822,498.2336731,1000.625427,1659656459908333.2,0.3552181489730422,0.58333325
37.0,337.5305176,962.6791992,999.6482544,999.3388672,719.3276367,1011.267822,498.2336731,1000.625427,1659656459925000.0,0.330344738400766,0.6
38.0,337.7327271,962.8032837,999.5609741,998.737793,719.5755005,1010.98114,498.2336731,1000.625427,1659656459941666.5,0.2616241705406629,0.6166665
39.0,337.8032227,962.7033691,999.6209717,998.706665,719.5755005,1010.98114,498.2336731,1000.625427,1659656459958333.5,0.2580929004466351,0.6333335
40.0,337.4250793,962.6055298,999.6687012,998.4879761,719.2595825,1011.179932,498.2336731,1000.625427,1659656459975000.2,0.2331259957771372,0.65000025
41.0,337.275238,962.2019653,999.3988647,997.6779175,719.3389282,1011.338928,498.1442871,1001.422913,1659656459991666.8,0.1401828718531215,0.66666675
42.0,337.1800232,962.2390747,999.2162476,997.5297852,719.3276367,1011.267822,498.1442871,1001.422913,1659656460008333.5,0.1230894563846609,0.6833335
43.0,337.0565186,962.1173706,999.4431763,997.5170288,719.3389282,1011.338928,498.1442871,1001.422913,1659656460025000.0,0.121833062224624,0.7
