Motion,Subject,Run,Speed,offset,correlation,avg angle delta,rmse
bodyl,ya3m,r1,slow,-84,0.968419911884713,-0.5907841045878749,7.643943265061692
bodyl,ya3m,r3,slow,-32,0.9612117846679559,-2.2683149735739123,10.882023694844825
bodyl,ya3m,r2,slow,-15,0.9827976916257956,4.2811053336007605,9.077943817535674
bodyl,ya3m,r1,fast,-73,0.9664871023019342,-0.04634788442475826,7.895583655475877
bodyl,ya3m,r3,fast,-37,0.9689430460467697,0.28140066975256944,8.752533478523501
bodyl,ya3m,r2,fast,-32,0.9814348472909422,2.505988539023246,8.831489755905112
bodyl,ssi2f,r1,slow,-33,0.9617070552530633,-10.738647936698023,11.599653249628698
bodyl,ssi2f,r3,slow,-19,0.9294437291220924,-6.821922867237119,8.879267927525548
bodyl,ssi2f,r2,slow,-39,0.9371966048216436,0.6491336817257616,5.418565014012187
bodyl,ssi2f,r1,fast,-19,0.9490957306090892,-4.729112554002801,6.75997683646045
bodyl,ssi2f,r3,fast,-61,0.95877599188644,1.5114823447956667,6.009880049654496
bodyl,ssi2f,r2,fast,-84,0.937051849573216,-6.138159518324701,8.114922266961432
bodyl,cg1f,r1,slow,11,0.9544348373843337,1.1291053075950277,2.816886244497779
bodyl,cg1f,r3,slow,-88,0.9282897226934377,-4.05142859110278,5.621746610768339
bodyl,cg1f,r2,slow,-39,0.8400332476301147,-9.457701707337993,10.653755104828225
bodyl,cg1f,r1,fast,-26,0.5992895992164239,-16.36708574661836,18.41733591591315
bodyl,cg1f,r3,fast,-30,0.9153949710191154,-4.445998425862412,5.395878001746907
bodyl,cg1f,r2,fast,-64,0.9089877672163702,-5.779430395351472,6.810564415303328
bodyl,gsp1m,r1,slow,-16,0.9790245129675088,0.4478509739509236,6.548129611011424
bodyl,gsp1m,r3,slow,-37,0.9671540654855197,4.3363742312291835,6.548866376840046
bodyl,gsp1m,r2,slow,99,0.9250861188891939,-6.127286093774452,9.712399495555003
bodyl,gsp1m,r1,fast,-100,0.8705433086550679,-11.067488874427488,14.399776098280297
bodyl,gsp1m,r3,fast,56,0.8057196894060022,-1.2611774373744775,10.07811932661427
bodyl,gsp1m,r2,fast,-78,0.9739882525929576,-0.46536492079292485,4.178869656938865
bodyl,ch2m,r1,slow,-100,0.24640351522811865,-4.622085565466536,14.202743289649225
bodyl,ch2m,r3,slow,-48,0.9823457172154326,-2.3646123063558493,3.1615499662244195
bodyl,ch2m,r2,slow,-100,0.9184452170545067,-4.296205099485169,6.320396995231232
bodyl,ch2m,r1,fast,94,0.7944576697319193,-1.3761164883854708,6.969978664534
bodyl,ch2m,r3,fast,-61,0.9362544048519075,2.3681117448515043,3.8871952023574936
bodyl,ch2m,r2,fast,-80,0.9773080118446601,-1.736777768807302,2.69860958270165
bodyl,es3f,r1,slow,99,-0.32373442381164536,6.935159024586399,15.818691934053403
bodyl,es3f,r3,slow,-45,0.4726310341924374,-11.654764431555709,16.025499181058702
bodyl,es3f,r2,slow,99,-0.05064476764811174,1.6706623883072425,13.27779435976223
bodyl,es3f,r1,fast,61,0.25588047147863535,-3.425606629555386,11.926453955583591
bodyl,es3f,r3,fast,-81,-0.0013035219889110886,-3.993315177596993,8.077400311002988
bodyl,es3f,r2,fast,-61,0.31086045564295856,-15.366963714610856,22.912089318749512
shoulderfe,ya3m,r1,slow,99,-0.5820578208390522,64.60294678287327,94.58091584454071
shoulderfe,ya3m,r3,slow,99,-0.6327431043062812,71.28191597958309,98.74887869394665
shoulderfe,ya3m,r2,slow,99,-0.31189299652033564,68.69237123804118,93.80815947571902
shoulderfe,ya3m,r1,fast,-89,-0.20389088947170153,209.3494159196594,240.46620581501298
shoulderfe,ya3m,r3,fast,99,0.12884775529808137,177.11860385980304,197.82704560184322
shoulderfe,ya3m,r2,fast,-75,0.10576131521512357,182.20545816210569,201.62554885505907
shoulderfe,ssi2f,r1,slow,0,-0.15496584871867086,16.22255484636598,22.618177104475865
shoulderfe,ssi2f,r3,slow,99,-0.4658805871944722,24.962084512797695,31.76879715006768
shoulderfe,ssi2f,r2,slow,99,0.0818224932412327,41.11073723859475,52.67934334075971
shoulderfe,ssi2f,r1,fast,99,0.06077639901612933,150.40183019982877,199.04182020821355
shoulderfe,ssi2f,r3,fast,99,-0.7016918145231684,109.93407648263216,131.98493857429906
shoulderfe,ssi2f,r2,fast,-6,-0.8246317979331396,102.43970906734543,128.20362924137947
shoulderfe,cg1f,r1,slow,-40,0.9031504864763261,44.916032287054776,61.76975216275832
shoulderfe,cg1f,r3,slow,-16,0.8443848189891319,48.65035501758353,63.617923924098434
shoulderfe,cg1f,r2,slow,26,0.7722485544571339,45.763529060815955,62.88929666845497
shoulderfe,cg1f,r1,fast,99,0.14729994570816848,251.00904444953852,280.3630269528578
shoulderfe,cg1f,r3,fast,99,0.24211240748454996,190.37717646351334,214.45407542681974
shoulderfe,cg1f,r2,fast,99,0.2677412475582093,152.84791958961392,173.42195553100595
shoulderfe,gsp1m,r1,slow,-100,-0.4451157385574897,27.207858970114817,71.84727658437498
shoulderfe,gsp1m,r3,slow,-100,-0.27961570788690626,42.49134022039172,81.63120528074211
shoulderfe,gsp1m,r2,slow,99,-0.2919822391240383,16.843792427565557,73.02427638705439
shoulderfe,gsp1m,r1,fast,34,-0.3405558681476697,-96.39990159895736,122.20665439687421
shoulderfe,gsp1m,r3,fast,17,0.08396838210849751,-40.05659657969566,88.1336879487448
shoulderfe,gsp1m,r2,fast,11,0.06516891942691744,23.973916915904653,65.10972406867872
shoulderfe,ch2m,r1,slow,99,-0.2488320811572092,87.82918121230513,106.96715905902913
shoulderfe,ch2m,r3,slow,99,-0.37254571134685305,88.79380496528415,109.35717738151392
shoulderfe,ch2m,r2,slow,99,-0.4163026814358357,93.97491157874369,109.99521848739491
shoulderfe,ch2m,r1,fast,58,0.3371366436854572,125.16451404489797,134.2570436364217
shoulderfe,ch2m,r3,fast,80,0.18091394340380343,130.10434984781773,143.39387102387224
shoulderfe,ch2m,r2,fast,50,0.27399840064895664,118.19198454413599,127.40819843612894
shoulderfe,es3f,r1,slow,-100,-0.28320386424549066,64.08449631153424,75.43702104887487
shoulderfe,es3f,r3,slow,-100,0.168220427145543,68.72180538557107,79.79289493468544
shoulderfe,es3f,r2,slow,99,-0.2596716815670063,68.05825185289707,81.02028365018788
shoulderfe,es3f,r1,fast,-8,-0.23367531449221512,66.65595755700866,80.1639333990942
shoulderfe,es3f,r3,fast,-56,0.13956466138833373,99.08845429376811,113.1959963790522
shoulderfe,es3f,r2,fast,15,-0.1692277197109532,51.60983373511956,67.07474836500802
bicepc,ya3m,r1,slow,-46,0.9781035063148372,10.312642053915843,13.357090363844248
bicepc,ya3m,r3,slow,-31,0.9869934892649367,3.246929813385059,8.200620262594729
bicepc,ya3m,r2,slow,-73,0.991935203453446,2.18344326094593,6.462814787761201
bicepc,ya3m,r1,fast,10,0.9012447794058009,18.612177085422516,26.737328503124438
bicepc,ya3m,r3,fast,-24,0.9675600059853374,8.11052977205126,13.780509776034892
bicepc,ya3m,r2,fast,-81,0.9820866749248713,3.8558075359443142,10.413989601513267
bicepc,ssi2f,r1,slow,-31,0.9900654778604648,6.078840360843824,8.21354860576412
bicepc,ssi2f,r3,slow,4,0.9873496373528717,5.469988557170134,8.74207876886213
bicepc,ssi2f,r2,slow,-72,0.9985963291418181,-4.446182153011679,5.765368512966897
bicepc,ssi2f,r1,fast,-64,0.9604638975907738,8.122258235266726,13.816798872736982
bicepc,ssi2f,r3,fast,-80,0.9931904737096173,-9.507664364804807,11.053970130303355
bicepc,ssi2f,r2,fast,-30,0.8935694241143906,17.235526258300844,25.095772571748345
bicepc,cg1f,r1,slow,-30,0.9969787978835439,-6.053451587675425,7.935301641955642
bicepc,cg1f,r3,slow,-20,0.9982093316190132,-2.8177427402299577,5.405617796370875
bicepc,cg1f,r2,slow,-42,0.9959898167293938,-7.46696855611086,9.663332724391251
bicepc,cg1f,r1,fast,-43,0.993137978786273,-2.923473917063288,7.8139940111726895
bicepc,cg1f,r3,fast,-56,0.9911857405282289,0.7566470909822381,7.399261285877143
bicepc,cg1f,r2,fast,-94,0.9911733169642534,-2.492011336745496,8.303703343164775
bicepc,gsp1m,r1,slow,-100,0.9918073105467852,4.776571068535229,6.894889229391173
bicepc,gsp1m,r3,slow,-100,0.9953549412327231,6.420875422810912,7.413896201346654
bicepc,gsp1m,r2,slow,-100,0.8474524686139561,8.240205663714576,23.45298334765403
bicepc,gsp1m,r1,fast,-83,0.989533703951255,7.49193017576071,9.569005868891384
bicepc,gsp1m,r3,fast,70,0.8128951517476637,3.8758745522389018,24.045835127117083
bicepc,gsp1m,r2,fast,-80,0.9895283052146332,7.540210756350528,9.527487771369163
bicepc,ch2m,r1,slow,-45,0.9838304339299072,6.596488197848957,9.432508496190037
bicepc,ch2m,r3,slow,-100,0.9653600734656176,2.7603752196753497,10.633320070054967
bicepc,ch2m,r2,slow,-72,0.9854604577359787,5.076394282590477,8.685626907862256
bicepc,ch2m,r1,fast,-6,0.9552116507114329,5.43958050173188,12.872662764435692
bicepc,ch2m,r3,fast,-85,0.9665526104611587,6.576680222895972,12.546885203485012
bicepc,ch2m,r2,fast,-26,0.7087766122087282,7.624123191739494,28.517949910550794
bicepc,es3f,r1,slow,-84,0.9947109222069891,-2.5167125929855616,7.306881953910396
bicepc,es3f,r3,slow,-58,0.9897277780981364,-4.036060175368769,9.520182818325424
bicepc,es3f,r2,slow,-59,0.9863002703772086,-0.18034518579090775,8.111034186938562
bicepc,es3f,r1,fast,7,0.8314811508202046,20.79616347300115,31.28915998587601
bicepc,es3f,r3,fast,-15,0.9138824920360445,12.581530716910073,20.07849460530627
bicepc,es3f,r2,fast,-10,0.9304721328542079,13.79913477288173,22.16599930166342
chestaa,ya3m,r1,slow,-93,0.44439743272284765,5.309714545807902,52.07787962804551
chestaa,ya3m,r3,slow,-12,0.9599161749140963,36.23389964480605,51.942636279001434
chestaa,ya3m,r2,slow,-76,0.8177852347808883,30.08747225563872,46.73104004089197
chestaa,ya3m,r1,fast,-77,0.44657782373179544,37.06057904917628,55.620043471562326
chestaa,ya3m,r3,fast,-78,0.7253869965408235,29.32044131393758,35.61817269160473
chestaa,ya3m,r2,fast,99,0.49269489872355715,81.14098838693111,90.8463899622121
chestaa,ssi2f,r1,slow,-65,0.8851474080424093,37.69907548281657,50.36544764054072
chestaa,ssi2f,r3,slow,-69,0.6611251971601123,-4.035764526726131,33.26713291457339
chestaa,ssi2f,r2,slow,-24,0.33492922863083835,2.1583015385852957,44.73400052261383
