Motion,Subject,Run,Speed,offset,correlation,avg angle delta,rmse
chestaa,ssi2f,r1,fast,5,0.06537392265139444,-47.371420033595356,84.3267497245129
chestaa,ssi2f,r3,fast,-56,-0.34427230419201466,-121.67471618856351,161.64290682726266
chestaa,ssi2f,r2,fast,-16,0.018592265728348094,-111.56091566762434,157.50954646018653
chestaa,cg1f,r1,slow,-79,0.9012694840261997,8.310910614245827,20.485198348527753
chestaa,cg1f,r3,slow,-18,0.9274134036117495,10.979985275917132,19.68089304065965
chestaa,cg1f,r2,slow,-46,0.8984664287122136,9.370966199015184,20.268543363126426
chestaa,cg1f,r1,fast,-29,0.8994135278785708,17.787169792778197,27.432436480643915
chestaa,cg1f,r3,fast,-88,0.5555240498657067,-15.476978098717431,33.26565081101452
chestaa,cg1f,r2,fast,-56,0.8995389720143459,6.092193052007504,19.255671533690037
chestaa,gsp1m,r1,slow,-23,0.948194673284006,17.932708353894206,26.444558449794997
chestaa,gsp1m,r3,slow,-22,0.9672467191196434,21.53745399930323,30.69601189376539
chestaa,gsp1m,r2,slow,-22,0.9726779437900902,21.404980740887645,29.82360369257822
chestaa,gsp1m,r1,fast,-86,0.8131420789866415,25.599465220245957,33.731145834667686
chestaa,gsp1m,r3,fast,-75,0.8317409062317626,21.515227356132595,32.4347472073787
chestaa,gsp1m,r2,fast,-79,0.7310668493623158,9.67672770561048,28.310435066462816
chestaa,ch2m,r1,slow,-40,0.8759359678800147,0.6544411565194338,20.241533115745565
chestaa,ch2m,r3,slow,-80,0.9700126221630637,25.324204559259826,34.14920080751314
chestaa,ch2m,r2,slow,-32,0.8653232846309827,7.568030212755475,25.640980937203985
chestaa,ch2m,r1,fast,-30,0.4839789754702132,-15.973241782799201,33.74258780715288
chestaa,ch2m,r3,fast,-78,0.7555020486209661,1.5301713835351383,23.07255831661385
chestaa,ch2m,r2,fast,-91,0.7060962645525491,9.01090916766308,27.80460478992394
chestaa,es3f,r1,slow,-3,0.7571615719790216,13.986855271907293,27.299588288566067
chestaa,es3f,r3,slow,-100,-0.456893991595159,-57.04763073976046,74.27329237574295
chestaa,es3f,r2,slow,-83,0.8527931693636399,6.677512488031721,21.97996537176751
chestaa,es3f,r1,fast,-14,0.6257788418984871,45.03032789854002,51.32730166087536
chestaa,es3f,r3,fast,-45,0.35607141641944284,6.388232639143168,36.44042033292151
chestaa,es3f,r2,fast,-21,0.6103846787674705,11.542438569630551,26.780235075277506
fingerp,ya3m,r1,slow,-22,0.3732941543899442,20.746145142067824,24.242627117906594
fingerp,ya3m,r3,slow,-60,0.8788841381978859,-4.539919228846793,5.944913551571647
fingerp,ya3m,r2,slow,45,0.0540469411206777,-3.072208888822601,10.209134801298266
fingerp,ya3m,r1,fast,-63,0.8363357304883565,-7.221218690142585,8.488344235507268
fingerp,ya3m,r3,fast,-22,0.8012416284949215,-11.311897309256159,12.252582055100346
fingerp,ya3m,r2,fast,-49,0.8725769450180283,-9.515509889741764,10.366522666189049
fingerp,ssi2f,r1,slow,-58,0.786301251437038,-14.700169453588561,17.825541126014155
fingerp,ssi2f,r3,slow,-41,0.633305004890667,-17.57363888468921,21.37324574743681
fingerp,ssi2f,r2,slow,-82,0.8574268048983508,-11.114073925658612,14.107825211589558
fingerp,ssi2f,r1,fast,-9,0.6074319015606718,-17.652096296308677,21.21859847358198
fingerp,ssi2f,r3,fast,-83,0.6157666150435346,-10.49308490730669,15.48503576697333
fingerp,ssi2f,r2,fast,-20,0.5470915201922335,18.668551148190282,23.673280086924606
fingerp,cg1f,r1,slow,-76,0.9868931282375962,-9.094672653064757,9.416996701743034
fingerp,cg1f,r3,slow,-46,0.06570490612766092,-1.7185730842167095,12.866250252533916
fingerp,cg1f,r2,slow,-87,0.9814660078340484,-4.6929097482666,5.559393466174089
fingerp,cg1f,r1,fast,-75,0.7718223541043114,-2.1695170870481597,6.347695319123332
fingerp,cg1f,r3,fast,-78,0.8741144433096986,-5.140235875646061,6.389232052679163
fingerp,cg1f,r2,fast,-41,0.9028999724294317,-2.449361701750431,4.784417527203235
fingerp,gsp1m,r1,slow,-46,0.9138438560708929,-23.522566935205845,26.05297996395568
fingerp,gsp1m,r3,slow,-8,0.944178494843653,13.031804072142002,15.202240931077785
fingerp,gsp1m,r2,slow,-43,0.9739687030336786,2.83441614762404,6.569910518202631
fingerp,gsp1m,r1,fast,-41,0.8080699087645803,-26.989962629780067,30.22626161691712
fingerp,gsp1m,r3,fast,-81,0.8992293591120947,-1.6434156208103141,9.395213849839454
fingerp,gsp1m,r2,fast,-20,0.8197537988224473,-15.672245692613284,22.208243359468728
fingerp,ch2m,r1,slow,-68,0.9440365032429751,-10.35875663873839,11.629556222619552
fingerp,ch2m,r3,slow,9,0.9002649000347197,-13.82840809244685,14.734857930015231
fingerp,ch2m,r2,slow,10,0.9206399837196391,-9.516556281432246,10.588216739948754
fingerp,ch2m,r1,fast,-12,0.8671878611582091,0.8295556494205529,6.70091725099656
fingerp,ch2m,r3,fast,-79,0.862823108600586,-6.37950977799169,8.106785465501924
fingerp,ch2m,r2,fast,-74,0.8761776395870425,4.923059147509073,7.30540532969319
fingerp,es3f,r1,slow,0,-100.0,0.0,0.0
fingerp,es3f,r3,slow,0,-100.0,0.0,0.0
fingerp,es3f,r2,slow,0,-100.0,0.0,0.0
fingerp,es3f,r1,fast,-100,-0.0916758951423175,27.395455609187454,39.180075492611
fingerp,es3f,r3,fast,0,-100.0,0.0,0.0
fingerp,es3f,r2,fast,0,-100.0,0.0,0.0
shoulderaa,ya3m,r1,slow,-100,-0.42050589419701173,181.50261961530035,199.90100833423813
shoulderaa,ya3m,r3,slow,-100,-0.3491996566897158,185.3003703382076,201.3121511041961
shoulderaa,ya3m,r2,slow,-100,-0.40137601620245,165.24748409585004,180.33449237619803
shoulderaa,ya3m,r1,fast,2,0.14778574083814075,27.9627320590383,61.94382045366749
shoulderaa,ya3m,r3,fast,5,-0.49427452951127876,97.207739229214,127.06981894437695
shoulderaa,ya3m,r2,fast,-100,0.39255014221345025,79.54570285600192,95.637408169895
shoulderaa,ssi2f,r1,slow,-100,0.35960490071697776,118.41148626778266,137.92468746647123
shoulderaa,ssi2f,r3,slow,-100,0.34809705632032456,63.23403006214946,84.69608653870188
shoulderaa,ssi2f,r2,slow,99,0.052258049069920265,-26.555491584466925,92.07589327514583
shoulderaa,ssi2f,r1,fast,-30,0.07022300764392578,72.45696600301795,108.20108550939626
shoulderaa,ssi2f,r3,fast,99,0.19315980039233094,73.94477135820871,109.49453444053552
shoulderaa,ssi2f,r2,fast,11,0.14670289822551905,-48.257967506558124,92.13227228938203
shoulderaa,cg1f,r1,slow,99,-0.46289109819439594,100.90793951415,135.6429262585931
shoulderaa,cg1f,r3,slow,99,-0.4638260458117074,112.12753894930331,141.4649806969338
shoulderaa,cg1f,r2,slow,-100,-0.5384049578759813,108.1681968111083,137.4269839020667
shoulderaa,cg1f,r1,fast,-100,0.4411758519884721,73.95296776702114,99.07888887513988
shoulderaa,cg1f,r3,fast,-100,0.39480563338048913,74.32329021240304,101.07567645708271
shoulderaa,cg1f,r2,fast,15,0.24446886231096318,65.13251440730164,100.35135779443577
shoulderaa,gsp1m,r1,slow,99,-0.19238578342728316,114.77243473220993,142.58092031783536
shoulderaa,gsp1m,r3,slow,99,-0.43702127989792133,108.46685467580726,144.29287822176522
shoulderaa,gsp1m,r2,slow,99,-0.09668902946921021,115.743696953467,141.59596032061117
shoulderaa,gsp1m,r1,fast,-35,0.7068165480999394,97.46415789979588,106.03692835740155
shoulderaa,gsp1m,r3,fast,-15,0.16555265416976558,102.59065765921054,127.51778076447748
shoulderaa,gsp1m,r2,fast,65,-0.16827661791528062,123.4735392282277,155.3421184826575
shoulderaa,ch2m,r1,slow,99,0.0935068740166679,128.28491414149954,148.1557079186505
shoulderaa,ch2m,r3,slow,99,-0.06638030202629255,145.07019089150938,165.0292551495538
shoulderaa,ch2m,r2,slow,99,-0.17718030891347025,133.72992781818166,157.40575262050228
shoulderaa,ch2m,r1,fast,33,0.2750294901529475,147.26220918858405,161.75987720512074
shoulderaa,ch2m,r3,fast,4,0.32387580612302735,145.73200454174224,159.1755552568021
shoulderaa,ch2m,r2,fast,-11,0.33343176401102975,143.67643637808533,157.36765054616998
shoulderaa,es3f,r1,slow,-100,0.02078257428360236,181.34773969577031,191.30933007326018
shoulderaa,es3f,r3,slow,99,-0.5996650323432269,109.87000263294671,146.3431161615383
shoulderaa,es3f,r2,slow,-34,0.12216715930980807,48.887238051221594,73.16893597032697
shoulderaa,es3f,r1,fast,15,0.1951846848582414,98.00805577708165,124.67129139919999
shoulderaa,es3f,r3,fast,-100,0.12000505968072445,102.66212192513399,128.62261255197845
shoulderaa,es3f,r2,fast,-60,-0.06209095124512554,39.27521167995772,69.10743849975856
