Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow Green X,Elbow Green Y,Timestamp (microseconds),angles,Seconds
1.0,303.3011169,866.4005737,857.0279541,1028.25647,533.8793335,1018.616882,1659661179458330.0,148.27782344133456,0.0
2.0,303.3011169,866.4005737,857.1134644,1028.26001,533.6899414,1018.569153,1659661179474996.5,148.2720597979288,0.0166665
3.0,303.3011169,866.4005737,857.1196899,1028.309814,533.6899414,1018.569153,1659661179491663.2,148.2808416373276,0.03333325
4.0,303.3011169,866.4005737,857.2666626,1028.19873,533.6899414,1018.569153,1659661179508329.8,148.26040651932357,0.04999975
5.0,303.3011169,866.4005737,857.3847046,1028.252075,533.6899414,1018.569153,1659661179524996.5,148.2692192327153,0.0666665
6.0,303.3011169,866.4005737,857.3792725,1028.248535,533.6899414,1018.569153,1659661179541663.2,148.2686219196588,0.08333325
7.0,303.3011169,866.4005737,857.4033203,1028.211182,533.6899414,1018.569153,1659661179558329.8,148.2618893281621,0.09999975
8.0,303.3011169,866.4005737,857.4033203,1028.211182,533.6899414,1018.569153,1659661179574996.5,148.2618893281621,0.1166665
9.0,303.3011169,866.4005737,857.3918457,1028.160156,533.8793335,1018.526367,1659661179591663.2,148.29054441793414,0.13333325
10.0,303.3011169,866.4005737,857.5518799,1028.028442,533.8535156,1018.57251,1659661179608330.0,148.24717420194006,0.15
11.0,303.3011169,866.4005737,857.3605957,1028.289429,533.8535156,1018.57251,1659661179624996.8,148.29434540878853,0.16666675
12.0,303.3011169,866.4005737,857.5335693,1028.069702,533.8535156,1018.57251,1659661179641663.2,148.25456613149623,0.18333325
13.0,303.3657227,866.605957,857.5393066,1028.245239,533.9004517,1018.550537,1659661179658330.0,148.32707199833686,0.2
14.0,303.3011169,866.4005737,857.8074951,1028.440186,533.8793335,1018.526367,1659661179674996.5,148.33784314939533,0.2166665
15.0,303.3011169,866.4005737,857.7600708,1028.549683,533.6899414,1018.569153,1659661179691663.2,148.31980465301427,0.23333325
16.0,303.3011169,866.4005737,857.8047485,1028.532104,533.3635254,1018.607666,1659661179708330.0,148.2638521572549,0.25
17.0,303.3011169,866.4005737,857.8047485,1028.532104,533.666687,1018.613281,1659661179724996.5,148.29823762096126,0.2666665
18.0,303.3011169,866.4005737,858.0288086,1028.337036,533.3635254,1018.607666,1659661179741663.2,148.22825034481255,0.28333325
19.0,303.3011169,866.4005737,857.8047485,1028.532104,533.3635254,1018.607666,1659661179758329.8,148.2638521572549,0.29999975
20.0,303.3657227,866.605957,857.8591919,1028.492188,533.6899414,1018.569153,1659661179774996.5,148.3373045249434,0.3166665
21.0,303.3657227,866.605957,857.8591919,1028.492188,533.4824219,1018.533081,1659661179791663.2,148.3250588193997,0.33333325
22.0,303.3657227,866.605957,857.7713013,1028.620483,533.6899414,1018.569153,1659661179808329.8,148.36044004651296,0.34999975
23.0,303.3657227,866.605957,857.6905518,1028.694092,533.6899414,1018.569153,1659661179824996.5,148.37388679824667,0.3666665
24.0,303.3657227,866.605957,857.7053833,1028.669067,533.6899414,1018.569153,1659661179841663.2,148.36938404615097,0.38333325
25.0,303.3657227,866.605957,857.7793579,1028.616211,533.6899414,1018.569153,1659661179858330.0,148.35964139212163,0.4
26.0,303.3657227,866.605957,857.8618774,1028.653564,533.8793335,1018.526367,1659661179874996.8,148.4034437907618,0.41666675
27.0,303.3657227,866.605957,858.0357056,1028.584473,533.8793335,1018.526367,1659661179891663.2,148.39028406888804,0.43333325
28.0,303.3657227,866.605957,858.0,1028.618896,533.6899414,1018.569153,1659661179908330.0,148.35890801615687,0.45
29.0,303.3657227,866.605957,858.2201538,1028.487061,534.2028809,1018.578125,1659661179924996.5,148.39264578731095,0.4666665
30.0,303.3657227,866.605957,858.2005005,1028.716187,534.2028809,1018.578125,1659661179941663.2,148.43323189941304,0.48333325
31.0,303.3657227,866.605957,858.2005005,1028.716187,534.2028809,1018.578125,1659661179958330.0,148.43323189941304,0.5
32.0,303.3657227,866.605957,858.2601929,1028.624756,533.8848267,1018.704529,1659661179974996.5,148.33451898588524,0.5166665
33.0,303.9944763,866.333313,858.2765503,1028.789795,533.5106812,1018.752319,1659661179991663.2,148.18259809488862,0.53333325
34.0,303.2622375,866.3570557,858.555542,1028.654541,533.5106812,1018.752319,1659661180008329.8,148.24542309851282,0.54999975
35.0,303.9944763,866.333313,858.8537598,1028.733521,533.4744873,1018.846863,1659661180024996.5,148.1321895513982,0.5666665
36.0,303.9944763,866.333313,858.7380981,1028.63269,533.666687,1018.613281,1659661180041663.2,148.21977997594036,0.58333325
37.0,303.9944763,866.333313,858.8120728,1028.580566,533.6899414,1018.569153,1659661180058329.8,148.22841582737726,0.59999975
38.0,303.9944763,866.333313,858.8547363,1028.591187,533.666687,1018.613281,1659661180074996.5,148.2118415349503,0.6166665
39.0,303.9944763,866.333313,858.880127,1028.503418,533.6899414,1018.569153,1659661180091663.2,148.21446689644011,0.63333325
40.0,303.9944763,866.333313,858.9448242,1028.444824,533.6899414,1018.569153,1659661180108330.0,148.20380690417582,0.65
41.0,303.9944763,866.333313,859.0918579,1028.428589,533.6899414,1018.569153,1659661180124996.8,148.20016557292408,0.66666675
42.0,303.9944763,866.333313,859.1734619,1028.435425,533.6899414,1018.569153,1659661180141663.2,148.20093298014675,0.68333325
43.0,303.9944763,866.333313,859.3403931,1028.287354,533.6899414,1018.569153,1659661180158330.0,148.1740150467937,0.7
