Frame #,Index Pink X,Index Pink Y,Thumb Pink X,Thumb Pink Y,Shoulder Green X,Shoulder Green Y,Timestamp (microseconds),Seconds
53.0,300.4803162,885.9813843,281.8636475,889.5454712,577.6558228,1038.184326,1660786904866666.5,0.8666665
54.0,299.4771729,885.7442627,281.6969604,889.6969604,577.666687,1038.112915,1660786904883333.5,0.8833335
55.0,299.4771729,885.7442627,281.6969604,889.6969604,577.5,1037.842285,1660786904900000.0,0.9
56.0,299.4771729,885.7442627,281.6969604,889.6969604,577.6610718,1037.661011,1660786904916666.8,0.91666675
57.0,299.4771729,885.7442627,281.6969604,889.6969604,578.2038574,1037.592285,1660786904933333.5,0.9333335
58.0,299.4771729,885.7442627,281.6969604,889.6969604,578.609375,1037.367188,1660786904950000.0,0.95
59.0,299.4771729,885.7442627,281.6969604,889.6969604,578.609375,1037.367188,1660786904966666.8,0.96666675
60.0,299.4771729,885.7442627,281.6969604,889.6969604,578.9344482,1037.501465,1660786904983333.2,0.98333325
61.0,299.4771729,885.7442627,281.6969604,889.6969604,579.4289551,1037.571045,1660786905000000.0,1.0
62.0,299.4771729,885.7442627,281.6969604,889.6969604,579.2468872,1037.398193,1660786905016666.8,1.01666675
63.0,299.4771729,885.7442627,281.6969604,889.6969604,579.1577148,1037.5,1660786905033333.2,1.03333325
64.0,299.4771729,885.7442627,281.6969604,889.6969604,579.3174438,1037.682495,1660786905050000.0,1.05
65.0,299.4771729,885.7442627,281.6969604,889.6969604,579.5,1037.842285,1660786905066666.5,1.0666665
66.0,299.4771729,885.7442627,281.6969604,889.6969604,579.5,1037.842285,1660786905083333.2,1.08333325
67.0,286.0,883.0,300.6594238,885.7922974,579.6610718,1037.661011,1660786905100000.0,1.1
68.0,286.0,883.0,300.6594238,885.7922974,579.6610718,1037.661011,1660786905116666.5,1.1166665
69.0,286.0,883.0,300.6594238,885.7922974,579.6610718,1037.661011,1660786905133333.5,1.1333335
70.0,286.0,883.0,300.6594238,885.7922974,579.6610718,1037.661011,1660786905150000.0,1.15
71.0,286.0,883.0,300.6594238,885.7922974,579.6610718,1037.661011,1660786905166666.8,1.16666675
72.0,286.6405334,883.4640503,311.6863098,914.5490112,579.6610718,1037.661011,1660786905183333.5,1.1833335
73.0,286.6405334,883.4640503,311.3913269,914.3432007,579.8042603,1037.857178,1660786905200000.0,1.2
74.0,286.6405334,883.4640503,311.3913269,914.3432007,579.5,1037.5,1660786905216666.8,1.21666675
75.0,286.6405334,883.4640503,311.3913269,914.3432007,579.649353,1037.765381,1660786905233333.2,1.23333325
76.0,283.0,888.5,313.0970764,915.5970459,580.3728638,1037.464233,1660786905250000.0,1.25
77.0,283.0,888.5,313.0970764,915.5970459,580.609375,1037.367188,1660786905266666.8,1.26666675
78.0,296.0,880.0,282.8405762,888.710144,580.7975464,1037.515991,1660786905283333.2,1.28333325
79.0,296.0,880.0,282.8405762,888.710144,581.2919922,1037.439331,1660786905300000.0,1.3
80.0,296.0,880.0,282.8405762,888.710144,581.2919922,1037.439331,1660786905316666.5,1.3166665
81.0,296.0,880.0,282.8405762,888.710144,581.2919922,1037.439331,1660786905333333.2,1.33333325
82.0,296.0,880.0,282.8405762,888.710144,581.2919922,1037.439331,1660786905350000.0,1.35
83.0,296.0,880.0,282.8405762,888.710144,581.2919922,1037.439331,1660786905366666.5,1.3666665
84.0,296.0,880.0,282.8405762,888.710144,581.2919922,1037.439331,1660786905383333.5,1.3833335
85.0,296.0,880.0,282.8405762,888.710144,581.2919922,1037.439331,1660786905400000.0,1.4
86.0,296.0,880.0,282.8405762,888.710144,581.5999756,1037.341675,1660786905416666.8,1.41666675
87.0,296.0,880.0,282.8405762,888.710144,581.5999756,1037.341675,1660786905433333.5,1.4333335
88.0,296.0,880.0,282.8405762,888.710144,581.7758179,1037.501465,1660786905450000.0,1.45
89.0,296.0,880.0,282.8405762,888.710144,581.7758179,1037.501465,1660786905466666.8,1.46666675
90.0,298.7592163,879.3673096,287.0718994,883.2026367,581.7758179,1037.501465,1660786905483333.2,1.48333325
91.0,301.0,877.5,286.6560974,883.7196045,581.7758179,1037.501465,1660786905500000.0,1.5
92.0,301.0,877.5,286.6560974,883.7196045,581.6610718,1037.661011,1660786905516666.8,1.51666675
93.0,301.0,877.5,286.6560974,883.7196045,582.4289551,1037.42627,1660786905533333.2,1.53333325
