Timestamp (microseconds),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),gyro vel x (dps),gyro vel y (dps),gyro vel z (dps),gyro disp x (deg),gyro disp y (deg),gyro disp z (deg)
1660784614043579,0.03051804379333589,-0.03051804379333589,-0.8239871824216607,-0.2045877642911362,0.633201638394442,0.5862227057002992,0,0,0
1660784614059575,0.09155413138023505,0.1525902189669068,-0.7629510948347615,-0.1310875173989157,0.7726901036496547,0.5935846260184078,-0.002685402253520415,0.01124713393635277,0.009438458653749655
1660784614075571,0.3356984817273769,-0.09155413138023505,-1.251239795529045,0.1072835450096328,0.6192670898992282,0.2259262881899162,-0.002875834032634678,0.02238279148474383,0.01599454596741625
1660784614091567,0.4577706569009479,-0.213626306553806,-1.495384145876187,0.1561581654703442,0.4361446486542351,-0.1286490195645435,-0.0007683003487948623,0.03082608539317154,0.01677276411641923
1660784614107563,-0.09155413138023505,-0.213626306553806,-1.617456321049758,-0.199634081748789,0.4251144121122275,-0.1926148816850514,-0.001116107679022421,0.03771615787930324,0.01420265290642247
1660784614123559,-0.1525902189669068,-0.2746623941404778,-1.678492408636657,-0.5502656832460641,0.4309922182097289,-0.2634160152662329,-0.007115305798981245,0.04456501092187889,0.01055440573081219
1660784614139555,-0.3356984817273769,-0.2746623941404778,-1.800564583810228,-0.4297963261051923,0.3489786725338571,-0.4099533716868807,-0.0149558018737913,0.05080477804782758,0.005167450635187283
1660784614155551,0.2746623941404778,-0.5188067444876197,-1.800564583810228,-0.03238206452743192,0.1794660257442342,-0.3647118349527345,-0.01865322899885229,0.05503233563405231,-0.001029871017929639
1660784614171547,0.3356984817273769,-0.7019150072480898,-1.617456321049758,0.08795468941758369,-0.07966868284896687,-0.2127467567565308,-0.01820864799973108,0.05583071437721445,-0.00564953975160376
1660784614187543,0.09155413138023505,-1.068131532768803,-1.556420233463086,-0.1024728328057357,-0.3452763753159455,-0.1871199952056423,-0.01832479314683629,0.05243115391189515,-0.008848473767301145
1660784614203539,-0.09155413138023505,-1.007095445181903,-1.617456321049758,-0.3211629096171898,-0.4189464628698557,-0.1249633936262093,-0.0217138790862197,0.04631737120640874,-0.01134514087795596
1660784614219534,-0.1525902189669068,-0.8850232700083325,-1.251239795529045,-0.479495350567585,-0.1536430014771016,0.07497898246560543,-0.0281191451676979,0.04173665549163308,-0.01174501616724079
1660784614235530,-0.213626306553806,-0.3967345693140487,-1.312275883115944,-0.3231717500441502,0.2389360999678566,0.1429794964837262,-0.03454048197259178,0.04241900027955912,-0.01000134833564614
1660784614251526,0.5188067444876197,-0.2746623941404778,-1.373311970702616,0.2127822150313083,0.3643007051852679,0.04353637893815494,-0.03542359825269451,0.04724489472078412,-0.008509221332271086
1660784614267522,0.7629510948347615,-0.4577706569009479,-1.312275883115944,0.484683814401181,0.2554599014161097,0.05217687613188948,-0.0298438700172346,0.05220297957359514,-0.007743515291710731
1660784614283518,0.2746623941404778,-0.4577706569009479,-1.312275883115944,0.1670344275875104,0.1764182504764647,0.1640410593428927,-0.02463012408132506,0.05565800478873573,-0.006013771807912474
1660784614299514,0.1525902189669068,-0.5798428320745188,-1.251239795529045,-0.2243938635372088,0.06861183497139398,0.08943084509821497,-0.02508899956892265,0.0576182454723186,-0.003985996572383613
1660784614315510,-0.09155413138023505,-0.8239871824216607,-1.739528496223329,-0.2379049537905065,-0.1160403793572657,-0.2711924959601963,-0.02878739010754438,0.05723881711723162,-0.005440089779279463
1660784614331506,0.2746623941404778,-0.7629510948347615,-2.04470893415737,0.01414892014092402,-0.1399669954877251,-0.6692579897776298,-0.03057743837674104,0.0551907581184717,-0.01296369366518207
1660784614347502,0.2746623941404778,-0.5798428320745188,-2.166781109330941,0.02812203887654393,0.09680998464396348,-0.7505369878024023,-0.03023927070460129,0.0548455020317216,-0.02432205348582233
1660784614363494,-0.213626306553806,-0.2746623941404778,-1.8616006713969,-0.4434326410804103,0.403317294561143,-0.4344033448684267,-0.03356175552223222,0.05884652026536245,-0.03380157614718896
1660784614379490,-0.5798428320745188,-0.09155413138023505,-1.434348058289515,-0.8087899283368031,0.5476892148166795,-0.04450639855167701,-0.04357953607756992,0.06645457234038503,-0.03763285409454979
1660784614395486,-0.2746623941404778,-0.213626306553806,-1.312275883115944,-0.5227323009049962,0.4607484817976741,0.09928628196414195,-0.05423171391150432,0.07452207391329986,-0.03719461502725007
1660784614411482,0.1525902189669068,-0.3967345693140487,-1.373311970702616,-0.05826375900076119,0.2828534555504775,0.06179740746948664,-0.05887968239075038,0.08047088941208508,-0.03590594551178104
1660784614427478,0.3967345693140487,-0.4577706569009479,-1.312275883115944,0.0978795863578803,0.1644802693889733,0.0601732164903573,-0.05856275577189343,0.08404955921160068,-0.03493018052010229
1660784614443474,0.3967345693140487,-0.6408789196611906,-1.251239795529045,0.2541606816794663,0.07300947152603857,0.1905348936955061,-0.05574643362759465,0.08594947713892077,-0.03292451563861538
1660784614459470,0.7629510948347615,-0.7019150072480898,-0.9460593575952316,0.4499763889592194,-0.07197372224764591,0.445099683799021,-0.05011333706248517,0.08595776313314792,-0.02783943901865917
1660784614475466,0.5188067444876197,-0.8239871824216607,-0.7629510948347615,0.3104828062980167,-0.1728165992414503,0.6655811542990511,-0.04402966350042728,0.08399944056123515,-0.01895399231387459
1660784614491462,0.3967345693140487,-0.8239871824216607,-0.7019150072480898,0.1411225032582523,-0.08647565239901235,0.6761720755899304,-0.04041682102397712,0.08192510254811144,-0.008219966474762738
1660784614507458,0.3967345693140487,-0.4577706569009479,-0.9460593575952316,0.252684682582263,0.08105214351989265,0.5084952019728204,-0.037266363537253,0.08188171447707848,0.001257371745739267
1660784614523454,0.6408789196611906,-0.7019150072480898,-1.190203707942374,0.2181647059488156,0.1001009374803637,0.1805697945535886,-0.03349956842900437,0.08333093912508054,0.00676989171795054
1660784614539450,0.09155413138023505,-0.5798428320745188,-1.739528496223329,0.04681449400554257,-0.02227422249938625,-0.3032445195181839,-0.03137973482936951,0.08395355284492835,0.005788493918233779
1660784614555446,0.2746623941404778,-0.7019150072480898,-1.922636758983799,-0.03329622705286397,-2.823696956061545e-05,-0.5390024641894696,-0.03127158869374808,0.08377513316917677,-0.0009494819514274493
1660784614571442,-0.1525902189669068,-0.3967345693140487,-1.678492408636657,-0.4627089827613317,0.2949473886916416,-0.2272781715498999,-0.03523963037226165,0.08613448638295342,-0.007079727037342404
1660784614587438,-0.7629510948347615,-0.1525902189669068,-1.312275883115944,-0.8903300301999225,0.4602639417289147,0.05824068466356923,-0.04606394247595168,0.09217617702631786,-0.00843202693243305
1660784614603434,-0.09155413138023505,-0.5188067444876197,-1.617456321049758,-0.3388715204370449,0.1614006975062816,-0.1964692138783734,-0.05589755488104742,0.09714949414019944,-0.009537855166151483
1660784614619430,0.8239871824216607,-0.9460593575952316,-1.8616006713969,0.4818490689283391,-0.2471443235467685,-0.4387806253031518,-0.05475373449311707,0.09646354513187554,-0.01461985387960368
1660784614635426,0.4577706569009479,-1.007095445181903,-1.617456321049758,0.3536609777183068,-0.3981925430005649,-0.2046320233891373,-0.0480696541199439,0.09130085019949687,-0.019767155069142
1660784614651422,0.09155413138023505,-1.068131532768803,-1.373311970702616,-0.2164472319413707,-0.3780271895005347,0.001071744626528447,-0.04697194415372841,0.08509109233948807,-0.02139563729924287
1660784614667418,-0.1525902189669068,-0.8850232700083325,-1.556420233463086,-0.3872914175143526,-0.2029892436485924,-0.1078062544906622,-0.05180185334937419,0.08044296087429505,-0.02224951337815594
1660784614683410,-0.09155413138023505,-0.4577706569009479,-1.556420233463086,-0.2950293339691825,0.160716076262113,-0.1446993134767627,-0.05726041936124247,0.08010477553520322,-0.02426955792189534
1660784614699406,0.1525902189669068,-0.213626306553806,-1.373311970702616,-0.1274460032185243,0.4921399892205647,-0.007140918702466324,-0.06064022205874413,0.08532762405906465,-0.02548427977932917
1660784614715402,0.2746623941404778,0.03051804379333589,-1.312275883115944,0.09607161878211419,0.6711109412120028,0.1458331931473198,-0.06089121713423541,0.09463363150252518,-0.02437474158377034
1660784614731398,0.4577706569009479,0.1525902189669068,-1.068131532768803,0.1487853572806958,0.816408602433338,0.3257511733327126,-0.05893236132573293,0.1065337878516879,-0.02060206665193008
1660784614747394,0.213626306553806,0.213626306553806,-1.007095445181903,0.049410128769039,0.8940017425714085,0.3948973572121973,-0.05734679743733505,0.1202170706117259,-0.0148368784075708
1660784614763390,0.3356984817273769,0.09155413138023505,-1.190203707942374,0.04106601425738358,0.7362100127686529,0.2121473269938909,-0.05662298829312367,0.1332587646544464,-0.009980520933922096
1660784614779386,0.1525902189669068,-0.213626306553806,-1.495384145876187,-0.02360220283157061,0.4480830354155214,-0.03168764081579365,-0.05648327780171716,0.1427331090399198,-0.008536843444497316
1660784614795382,0.03051804379333589,-0.4577706569009479,-1.495384145876187,-0.2953686476312475,0.2363881862147331,-0.1664957143988638,-0.05903504460541971,0.1482088788129618,-0.01012231028621458
1660784614811378,-0.3356984817273769,-0.6408789196611906,-1.617456321049758,-0.4567389636356032,-0.01171041720215067,-0.1551702472273255,-0.06505190549555451,0.1500063009650625,-0.01269563797922409
1660784614827374,-0.03051804379333589,-1.007095445181903,-1.495384145876187,-0.3524439406063641,-0.3496683535658577,-0.05750683096193832,-0.07152536872949025,0.1471152707989184,-0.0143970546047382
1660784614843370,0.09155413138023505,-1.251239795529045,-1.434348058289515,-0.1549636299464231,-0.523814880620706,-0.1283591854796503,-0.07558462929391255,0.1401274049254259,-0.01588398273627091
1660784614859366,0.1525902189669068,-1.129167620355474,-1.8616006713969,0.037062552666304,-0.5538199516598308,-0.3282385039148256,-0.07652783791215351,0.1315063262671816,-0.01953676425142672
1660784614875362,0.3967345693140487,-1.312275883115944,-1.617456321049758,-0.007612530419137257,-0.5918092656718679,-0.2877305873412733,-0.07629223773417618,0.122341292528528,-0.02446451698147551
1660784614891358,-0.213626306553806,-1.068131532768803,-1.495384145876187,-0.3275770564958495,-0.4092117757358132,-0.06039800813725156,-0.07897375442949607,0.1143331241972666,-0.02724954574530371
1660784614907354,-0.09155413138023505,-0.6408789196611906,-1.312275883115944,-0.3600599751111054,0.004084382544235612,0.09413783666912938,-0.08447485068235171,0.1110921050517339,-0.02697962711704869
1660784614923350,0.2746623941404778,-0.3967345693140487,-1.190203707942374,0.01576410904131902,0.2688306929969994,0.2404284400375644,-0.08722921761091,0.1132754256560638,-0.02430309690339514
1660784614939346,0.3967345693140487,-0.2746623941404778,-1.007095445181903,0.1724585362047866,0.4065760228197213,0.3636356833745262,-0.08572343644894116,0.1186786793825976,-0.01947058391609841
1660784614955342,0.1525902189669068,-0.09155413138023505,-1.190203707942374,-0.05158287119378564,0.5614435755422519,0.2497687305502031,-0.08475643112885316,0.1264228361694933,-0.01456334860470058
1660784614971338,0.03051804379333589,-0.213626306553806,-1.556420233463086,-0.2682808413157238,0.4381585061337293,-0.1378829012348598,-0.08731534082892924,0.1344196528229012,-0.01366826197017783
1660784614987334,-0.213626306553806,-0.6408789196611906,-1.983672846570471,-0.3913351511131051,0.04051436750465667,-0.6177406277925563,-0.09259226876835987,0.1382490358120083,-0.01971325020239716
1660784615003082,-0.3356984817273769,-0.7629510948347615,-2.349889372091184,-0.5948643108271526,-0.1052983026902716,-0.8963196832080177,-0.1004818644638819,0.1377307643305234,-0.03182573269040175
1660784615019077,-0.5798428320745188,-0.6408789196611906,-2.288853284504512,-0.8445410075678967,0.02318735767363551,-0.8770836323376641,-0.1119971070110423,0.1370738767703903,-0.0460129592147672
1660784615035072,-0.7629510948347615,-0.7629510948347615,-2.166781109330941,-0.9255868047694233,-0.1160013989159866,-0.8109153226443532,-0.1261581295097409,0.1363313644404515,-0.05951695085462334
1660784615051067,-0.4577706569009479,-1.312275883115944,-2.288853284504512,-0.7882509519884715,-0.6056892139171612,-0.8160813983689277,-0.139868831563804,0.1305578395377863,-0.07253292462272959
1660784615067062,-0.3967345693140487,-1.556420233463086,-2.227817196917613,-0.5412302105777849,-0.9583305905032473,-0.8236373407142559,-0.1505046808643341,0.118045681102423,-0.08565067453539506
1660784615083057,0.1525902189669068,-1.678492408636657,-2.166781109330941,-0.1679135804030221,-0.9418426825376164,-0.8341188533407675,-0.1561778311921805,0.1028442949180961,-0.09891272408783525
1660784615099052,0.4577706569009479,-1.434348058289515,-2.166781109330941,0.3067897640159446,-0.8284499070250733,-0.6342517751450066,-0.1550668217232772,0.08868195420159457,-0.1106596891157214
1660784615115047,0.9460593575952316,-1.434348058289515,-1.373311970702616,0.623584813718652,-0.7496296728102179,-0.05669484268212376,-0.1476238251014004,0.07605731756291224,-0.1161872620583385
1660784615131042,0.8239871824216607,-1.129167620355474,-0.8850232700083325,0.6576373631057184,-0.4555127623701756,0.5463286371545687,-0.1373740476868054,0.0664161780814691,-0.1122701917025589
1660784615147037,0.8239871824216607,-0.7019150072480898,-0.5798428320745188,0.5520188037241576,-0.04897111234425794,0.8626627416505928,-0.1276967983521664,0.06238030708375363,-0.1009982606721176
1660784615163032,0.7019150072480898,-0.7629510948347615,-0.5188067444876197,0.4762877711829808,-0.1146972277258424,0.8610367060432431,-0.1194703457529093,0.06107096036319283,-0.08720866509056696
1660784615179027,0.8239871824216607,-1.434348058289515,-0.9460593575952316,0.5605876564764877,-0.7311316967605711,0.4560580882287346,-0.1111753423316336,0.05430432896730152,-0.07667190673639114
1660784615195022,0.7629510948347615,-1.922636758983799,-1.617456321049758,0.6121418438130679,-1.309862367366028,-0.1698768760957852,-0.1017935063293171,0.03797637645428873,-0.07438245703932754
1660784615211017,0.5798428320745188,-2.227817196917613,-1.922636758983799,0.2119016617341833,-1.507358952374569,-0.5443346769273497,-0.09520115828493909,0.01543860589636396,-0.08009614946351262
1660784615227012,-0.213626306553806,-1.983672846570471,-1.922636758983799,-0.3503601145960551,-1.381918605833324,-0.5079914953275817,-0.09630882590783407,-0.007675614569299185,-0.08851475884155208
1660784615243007,-0.1525902189669068,-1.678492408636657,-1.617456321049758,-0.3727192447953216,-0.965593097889901,-0.1890007835008423,-0.1020934607829651,-0.02645570819908499,-0.09409069707217947
1660784615259002,0.4577706569009479,-1.129167620355474,-1.129167620355474,0.08526307278303173,-0.4756874884738886,0.2565709413915718,-0.1043931101590634,-0.0379859528899953,-0.09355013580905364
1660784615274997,0.6408789196611906,-0.9460593575952316,-0.8239871824216607,0.5710358695231974,-0.3179770868074629,0.6116772416502848,-0.09914271862061357,-0.04433526949224612,-0.08660415034471879
1660784615290992,1.068131532768803,-1.129167620355474,-0.5798428320745188,0.7467499934967647,-0.4173250228016208,0.7950932651427695,-0.08860043171645388,-0.05021768636911879,-0.07534998629037436
