Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m),stamp velocity (m/s),ax_linear,ay_linear,az_linear
1660869642780731,-0.9962920576791028,-0.0643930724040591,-0.1058976119630732,0.0,0.0,0.0,-0.0013196595006816,0.0015438950546767,-0.5504455987542257,0.0,0.0,0.0,0.0
1660869642796733,-0.9967803463797972,-0.0717174029144733,-0.1012588693064775,0.000125602307047,4.189858637280474e-05,-0.0004557144000711,-0.0014816284989027,0.0013316732971656,-0.5505734705528642,0.00012504157454082808,-0.0004394598306248776,-0.006591897459372775,0.004174868390936129
1660869642812735,-0.9938506141756314,-0.0689097428854812,-0.1058976119630732,0.0004051241046099,0.0001406956459126,-0.0009377233287823,-0.0016436114096693,0.0011204074802854,-0.5507031118851999,0.00017330191889928793,0.0022412451361868424,-0.003405813687342607,-0.00041748683909360873
1660869642828737,-0.9915312428473336,-0.0657358663309684,-0.1078507667658504,0.0008201985266375,0.0003128791860029,-0.0014479056203294,-0.001804499929492,0.0009189643170808,-0.5508322567914509,0.00019045599723782307,0.004104554818036066,-0.00020874341954682518,-0.0021335774776837235
1660869642844740,-0.9916533150225072,-0.0617074845502401,-0.1087052719920654,0.0013438650814685,0.0005757855586677,-0.0019859220943236,-0.0019629448861971,0.0007293705619904,-0.5509590026229393,0.000187290654777037,0.0035842343785762454,0.003437674525063321,-0.002689274433508859
1660869642860742,-0.9923857480735484,-0.0587777523460744,-0.1058976119630732,0.001945274863837,0.0009426421684447,-0.0025512566573166,-0.0021173882703871,0.0005543478542002,-0.5510819100116391,0.00019423577106467935,0.002566621194781571,0.005730666056306115,0.00010654703593501735
1660869642876744,-0.9928740367742428,-0.0562142366674294,-0.1099259937438011,0.0025947589897245,0.0014200217874664,-0.0031395487204239,-0.0022661537316668,0.0003844681975084,-0.5511999998410845,0.00025571474760162425,0.0018704992446785251,0.007464763561455999,-0.0035296512703136135
1660869642892746,-0.9928740367742428,-0.0559700923170822,-0.1106584267948425,0.0032680189366333,0.0020027962578048,-0.0037405865365431,-0.0024076123581246,0.0002118104195206,-0.5513127158771072,0.0003547595889262498,0.0016834493202106948,0.0069380171206228705,-0.003835875889219506
1660869642908748,-0.9932402532997636,-0.0560921644922558,-0.1083390554665447,0.0039485141153005,0.0026699556389903,-0.0043427542195809,-0.0025404026280021,4.013934024491212e-05,-0.5514198472829712,0.00043999181701274525,0.001185509515220895,0.006134350450904345,-0.0013648541048295326
1660869642924750,-0.9926298924238957,-0.0591439688715951,-0.1066300450141147,0.0046277958364704,0.00339029897461,-0.0049351610490806,-0.0026636136240604,-0.0001301040127569,-0.5515213764806634,0.0004861243294466559,0.0016162833519799413,0.0027742914644085376,0.0003097407128404145
1660869642940753,-0.98970016021973,-0.0624399176012815,-0.1083390554665447,0.0053041598988533,0.0041357615672223,-0.0055055654568897,-0.002776836321442,-0.0002996536802464,-0.5516173628395805,0.0005294618776393743,0.004091414000531035,-0.0004694915387500817,-0.001259342765630625
1660869642956755,-0.9932402532997636,-0.0628061341268026,-0.1090714885175861,0.0059802774377041,0.0048886202160618,-0.0060405728600348,-0.0028800801880975,-0.0004677518429893,-0.5517078605127014,0.0005370712578189996,0.0004961888284475968,-0.0007521372578440585,-0.0017925982350048136
1660869642972757,-0.9915312428473336,-0.0597543297474629,-0.1079728389410239,0.0066604916431275,0.0056378044575064,-0.0065274866071613,-0.0029736572734971,-0.0006340887558008,-0.5517928651375876,0.000583357471300463,0.0019846793527897866,0.0020697004093460716,-0.0006245537925983619
1660869642988759,-0.9916533150225072,-0.0563363088426029,-0.1096818493934539,0.0073483591134557,0.0063743082276326,-0.0069572401803152,-0.0030581045447893,-0.0007991697410689,-0.5518723049780103,0.0006650947293169195,0.001676346459854594,0.004938949182785465,-0.0021002078205255292
1660869643004761,-0.992507820248722,-0.0538948653391315,-0.1077286945906768,0.0080448015200094,0.0070916173207379,-0.0073288658883926,-0.0031341054711512,-0.0009604104107151,-0.5519460818220565,0.0007485614893595243,0.0007396571102757932,0.006642353417631176,-0.00013234771597357697
1660869643020763,-0.9923857480735484,-0.0575570305943387,-0.1068741893644618,0.0087470522426874,0.0077851948905897,-0.0076488729460933,-0.0032023968388906,-0.0011188169787343,-0.5520140994078734,0.0007847912400888907,0.0007755563569044055,0.0026821693461815815,0.0006499417592172735
1660869643036766,-0.9911650263218128,-0.0593881132219422,-0.1090714885175861,0.0094485113435111,0.0084489614263451,-0.0079261632920324,-0.0032637263488636,-0.0012743416806383,-0.5520763391225879,0.0008175506388250847,0.0017966502977760923,0.000765978046720274,-0.0013926216545163267
1660869643052768,-0.99140917067216,-0.0597543297474629,-0.1078507667658504,0.0101395322025716,0.0090749645094731,-0.0081716882221694,-0.0033188586005604,-0.0014246192401273,-0.5521329214851183,0.0008358639673735465,0.0013972553526859777,0.00035978536907961545,-0.0001547099125025625
1660869643068770,-0.9928740367742428,-0.0560921644922558,-0.1067521171892882,0.0108089931859724,0.009656978975503,-0.0083993172057892,-0.0033685563195556,-0.0015752227202824,-0.5521841007427313,0.0008749646349634666,-6.0849674457186254e-05,0.0036197555618580485,0.000849545697653678
1660869643084772,-0.9905546654459448,-0.0587777523460744,-0.1058976119630732,0.0114463195817392,0.0101939466158454,-0.0086208514428792,-0.0034135292794734,-0.0017251438231432,-0.5522303303896319,0.0008978206624548556,0.0020326694884565955,0.0008407509372354988,0.001533645831481828
1660869643100799,-0.9928740367742428,-0.0592660410467686,-0.1098039215686275,0.0120434642046899,0.0106928612373047,-0.0088428053995027,-0.0034543722167718,-0.001871086167007,-0.5522722238175491,0.0009082715514813249,-0.0002580316558572493,0.00031721601288716567,-0.0021353973966652395
1660869643116801,-0.9937285420004578,-0.0615854123750665,-0.1082169832913711,0.0125963352029577,0.0111688058495371,-0.0090686253822519,-0.003491486484283,-0.002014075975344,-0.5523104724774173,0.0008793389700991928,-0.0010012831938650546,-0.001801939783869659,-0.0004936132074679495
1660869643132804,-0.9956816968032348,-0.0621957732509343,-0.1062638284885939,0.0131053662731895,0.0116389957929786,-0.0092970544177842,-0.0035250403613443,-0.0021539412440452,-0.5523458012124688,0.000822101009165204,-0.002658994196977904,-0.002171070593763716,0.0013135874357783212
