Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow X,Elbow Y,Timestamp (microseconds),angles,Seconds,Shoulder Pink X meters,Hand Pink X meters,Elbow X meters,Shoulder Pink Y meters,Hand Pink Y meters,Elbow Y meters
15.0,289.4418945,1028.022949,734.6740723,1223.022217,462.6082458,1200.108276,1658965714233333.2,139.99360572041866,0.23333325,0.27683383182923854,0.7026717363487962,0.4424570725735637,-0.9832423625877832,-1.1697474801609984,-1.1478316683525627
16.0,290.5263062,1031.496216,734.3406982,1223.375977,462.5,1202.5,1658965714250000.0,139.55343095478557,0.25,0.27787100665394754,0.7023528839943536,0.4423535419507933,-0.986564334392304,-1.170085830407486,-1.1501192090720627
17.0,290.4664307,1033.080566,734.4414673,1223.276978,462.8568726,1203.267456,1658965714266666.8,139.58230140140276,0.26666675,0.2778137393252965,0.7024492636014978,0.4426948692127072,-0.9880796702500115,-1.1699911437949464,-1.1508532347583142
18.0,290.1134644,1033.549683,734.4414673,1223.276978,462.8568726,1203.267456,1658965714283333.2,139.71995770462266,0.28333325,0.2774761482053089,0.7024492636014978,0.4426948692127072,-0.9885283525560424,-1.1699911437949464,-1.1508532347583142
19.0,289.6387939,1033.865479,734.7584229,1223.421997,462.8568726,1203.267456,1658965714300000.0,139.87739680279614,0.3,0.2770221543092342,0.7027524126443111,0.4426948692127072,-0.9888303925109265,-1.17012984578046,-1.1508532347583142
20.0,289.3684998,1033.967285,734.7584229,1223.421997,462.8568726,1203.267456,1658965714316666.5,139.93926978176157,0.3166665,0.27676363419571337,0.7027524126443111,0.4426948692127072,-0.9889277638508007,-1.17012984578046,-1.1508532347583142
21.0,288.9529114,1033.845459,734.833313,1223.3125,463.6046448,1204.62207,1658965714333333.2,139.5847683851018,0.33333325,0.2763661487887217,0.7028240405383479,0.4434100685235015,-0.9888112445803106,-1.1700251184598482,-1.1521488418953436
22.0,288.0730896,1034.174316,735.0978394,1223.543457,463.2399292,1204.800415,1658965714350000.0,139.69630371391557,0.35,0.2755246519465259,0.7030770441923576,0.44306123990195617,-0.9891257765992195,-1.1702460149938771,-1.1523194182033203
23.0,287.5885315,1034.55188,734.9804077,1223.382324,462.9077148,1205.218506,1658965714366666.5,139.58987428875488,0.3666665,0.2750612011534104,0.702964727806558,0.44274349673108687,-0.9894868939456261,-1.1700919009327415,-1.152719297197283
24.0,287.0588989,1035.042358,734.6414185,1224.230591,462.6082458,1206.108276,1658965714383333.5,139.55237371915135,0.3833335,0.2745546393014263,0.7026405049453622,0.4424570725735637,-0.9899560067684345,-1.1709032174991632,-1.153570308896789
25.0,286.1736145,1035.444458,734.4170532,1223.660278,462.2654724,1206.319336,1658965714400000.0,139.50727363752,0.4,0.27370791780959114,0.7024259129774794,0.44212923035177665,-0.9903405913289068,-1.1703577472817133,-1.1537721751423333
26.0,285.4331055,1035.666626,734.4016113,1223.710571,462.5,1206.5,1658965714416666.8,139.64831241151276,0.41666675,0.27299966531446374,0.7024111437252427,0.4423535419507933,-0.9905530817109784,-1.1704058495231953,-1.1539449694348802
27.0,285.3388062,1036.677612,734.4170532,1223.660278,462.5,1206.5,1658965714433333.5,139.8227041171287,0.4333335,0.27290947368341834,0.7024259129774794,0.4423535419507933,-0.9915200292525194,-1.1703577472817133,-1.1539449694348802
28.0,284.5758667,1037.363159,734.4170532,1223.660278,462.2503967,1207.16748,1658965714450000.0,139.76527485352352,0.45,0.27217976775883634,0.7024259129774794,0.4421148113479012,-0.9921757138873816,-1.1703577472817133,-1.1545833740666238
