Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m),vel x (m/s).1,vel y (m/s).1,vel z (m/s).1,disp x (m).1,disp y (m).1,disp z (m).1,stamp velocity (m/s),ax_linear,ay_linear,az_linear
1658965722493774,0.0414435034714273,-0.5177691309987029,0.8681162737468524,0.0,0.0,0.0,-0.0028619703575567,0.0013830295581927,-0.5465675692515956,0.0,0.0,0.0,-0.0028619770527316,0.0013830433377265,-0.546567599604597,0.0,0.0,0.0,0.0
1658965722509777,0.0411993591210801,-0.5200885023270008,0.8654306858930338,-0.0001514524068937,7.753132632604988e-05,-4.783705131671117e-05,-0.0029031562849124,0.0014167806192713,-0.5464688913999562,-0.0001514542387872,7.752392464387295e-05,-4.781943253088734e-05,-0.0029031601343735,0.001416792635638,-0.5464689223985293,5.121922707424262e-05,-0.00021972991531248043,-0.0020874341954680853,-0.0024170290684367712
1658965722525780,0.0430304417486837,-0.5182574196993972,0.869092851148241,-0.0001988466802996,0.0001164114194312,-0.0001104982945454,-0.002942472759378,0.0014487460245819,-0.5463715998038469,-0.0001988505657395,0.0001163966321153,-0.0001104629129671,-0.0029424738385242,0.0014487563076005,-0.5463716313880652,4.683545077765147e-05,0.00145021744106201,-0.00023071641107808016,0.0011206225680933102
1658965722541783,0.0430304417486837,-0.5172808422980086,0.8657969024185546,-0.0001606951754003,0.0001412086358014,-0.0001849893698228,-0.0029801665566098,0.0014737933013082,-0.5462741847455516,-0.0001607013364101,0.000141186479485,-0.0001849360824613,-0.0029801649401765,0.0014738018809208,-0.5462742168569059,7.107261767472521e-05,0.0013051956969558076,0.0006712748912793831,-0.0019577935454337947
1658965722557787,0.0438849469748987,-0.5159380483710994,0.865674830243381,-6.509141262307357e-05,0.0001850876600868,-0.000264699137164,-0.0030161230671237,0.0014822197424745,-0.5461755108488747,-6.510007158111911e-05,0.0001850581519877,-0.0002646278020572,-0.0030161188291813,0.0014822266487389,-0.5461755434302573,0.00010895203875856249,0.0019437308308537238,0.0018126619363697527,-0.0018718791485465847
1658965722573790,0.0396124208438237,-0.5175249866483558,0.8633554589150831,5.331810260996238e-05,0.0002802061747679,-0.0003421547849741,-0.0030498316232865,0.001480317982504,-0.5460749410316306,5.330672298709839e-05,0.0002801693326885,-0.0003420652612018,-0.0030498248372394,0.001480323245586,-0.5460749740273214,0.00014750856743346515,-0.0020959157701991443,0.00020315129320203074,-0.003772125429159945
1658965722589793,0.040100709544518,-0.5175249866483558,0.8672617685206374,0.0001574699220544,0.0004442774126532,-0.0004092471716664,-0.0030804984928243,0.0014758019527438,-0.545972410063348,0.0001574555987281,0.0004442332549801,-0.000409139319363,-0.0030804892314086,0.00147580560291,-0.5459724434190003,0.00014151199101597323,-0.0014468643625543606,0.00018283616388181656,0.0001207657587548594
1658965722605796,0.0403448538948652,-0.5155718318455786,0.867383840695811,0.0002125566204942,0.0006755753086757,-0.0004581237728674,-0.0031072830715315,0.0014713547699251,-0.5458684278917117,0.0002125391301203,0.0006755238543795,-0.0004579974532349,-0.0031072714068134,0.0014713568375347,-0.5458684615543377,0.00014256822838720464,-0.0010824480109864407,0.0019223918699931009,0.0002185541405355096
1658965722621799,0.0396124208438237,-0.5165484092469672,0.8701915007248031,0.0001904131085203,0.0009584608283641,-0.0004830339674097,-0.0031295194342299,0.0014708869445154,-0.5457640072902279,0.0001903922274656,0.0009584020969993,-0.0004828890427304,-0.0031295054376032,0.0014708874600129,-0.5457640412081846,0.00011116774871065007,-0.0016333929558251525,0.0008512330217440578,0.0027235927525748327
1658965722637802,0.0407110704203859,-0.5150835431448844,0.8692149233234145,7.28576372004889e-05,0.0012679564105081,-0.0004834385600496,-0.003146848103509,0.0014752484317048,-0.5456605318580521,7.283314155894493e-05,0.0012678904222124,-0.000483274893699,-0.0031468318456929,0.0014752474256115,-0.5456605659810276,0.00011598578749142668,-0.0004812690413366627,0.002084489211444218,0.0015723138160675942
