Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),Seconds
1660782318459472,-0.8820325017166399,-0.2805828946364537,-0.3715266651407645,0.0
1660782318475468,-0.8821545738918135,-0.2844892042420079,-0.3772640573739223,0.015996
1660782318491464,-0.8866712443732356,-0.2820477607385365,-0.381048294804303,0.031992
1660782318507460,-0.8894789044022278,-0.2713054093232623,-0.3790951400015259,0.047988
1660782318523456,-0.8880140383001449,-0.2649576562142366,-0.3809262226291294,0.063984
1660782318539452,-0.8905775539787899,-0.268253604943923,-0.3764095521477073,0.07998
1660782318555448,-0.8848401617456321,-0.2749675745784694,-0.375066758220798,0.095976
1660782318571444,-0.8826428625925078,-0.2807049668116272,-0.3798275730525673,0.111972
1660782318587440,-0.8848401617456321,-0.2786297398336765,-0.3799496452277409,0.127968
1660782318603436,-0.8841077286945906,-0.2746013580529487,-0.3771419851987487,0.143964
1660782318619432,-0.8843518730449378,-0.2703288319218737,-0.3745784695201037,0.15996
1660782318635428,-0.8875257495994506,-0.272526131074998,-0.375066758220798,0.175956
1660782318651424,-0.8844739452201114,-0.2781414511329823,-0.3834897383077744,0.191952
1660782318667420,-0.8848401617456321,-0.2814373998626687,-0.3800717174029144,0.207948
1660782318683416,-0.8844739452201114,-0.2808270389868008,-0.3787289234760052,0.223944
1660782318699412,-0.8843518730449378,-0.2760662241550315,-0.3739681086442359,0.23994
1660782318715408,-0.8865491721980621,-0.2694743266956587,-0.3765316243228809,0.255936
1660782318731404,-0.8865491721980621,-0.2748455024032958,-0.3795834287022201,0.271932
1660782318747400,-0.8819104295414664,-0.2860761425192644,-0.3831235217822537,0.287928
1660782318763396,-0.8861829556725414,-0.2872968642710001,-0.3831235217822537,0.303924
1660782318779419,-0.8894789044022278,-0.2789959563591973,-0.3797055008773937,0.319947
1660782318795415,-0.8893568322270542,-0.2688639658197909,-0.3756771190966659,0.335943
1660782318811411,-0.8881361104753185,-0.266544594491493,-0.3766536964980544,0.351939
1660782318827407,-0.8848401617456321,-0.2748455024032958,-0.3790951400015259,0.367935
1660782318843402,-0.8823987182421607,-0.2814373998626687,-0.3799496452277409,0.38393
1660782318859398,-0.8844739452201114,-0.2854657816433965,-0.3799496452277409,0.399926
1660782318875394,-0.8855725947966735,-0.2766765850308994,-0.3740901808194095,0.415922
1660782318891390,-0.8850843060959792,-0.2702067597467001,-0.3754329747463187,0.431918
1660782318907386,-0.8847180895704585,-0.269108110170138,-0.3751888303959716,0.447914
1660782318923382,-0.8836194399938964,-0.2769207293812465,-0.3770199130235752,0.46391
1660782318939378,-0.8816662851911192,-0.2827801937895779,-0.3781185626001373,0.479906
1660782318955374,-0.8869153887235828,-0.2832684824902722,-0.3788509956511787,0.495902
1660782318971370,-0.8854505226214999,-0.2760662241550315,-0.3775082017242694,0.511898
1660782318987366,-0.8861829556725414,-0.2721599145494773,-0.3762874799725337,0.527894
1660782319003362,-0.8844739452201114,-0.2741130693522544,-0.3754329747463187,0.54389
1660782319019358,-0.8814221408407721,-0.2772869459067673,-0.3768978408484016,0.559886
1660782319035354,-0.8832532234683756,-0.2792401007095444,-0.3765316243228809,0.575882
1660782319051350,-0.8834973678187228,-0.2807049668116272,-0.381048294804303,0.591878
