Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),Seconds,vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m)
1660782315407684,-0.9186541542687112,0.074525062943465,0.3523613336385134,0,0,0,0,0.004630991730269556,-0.003999722784969077,-0.5664472857701931
1660782315423687,-0.9198748760204468,0.07672236209658929,0.3568780041199355,0.016003,-9.171238832990813e-05,-3.169800432911774e-05,9.980362079903123e-05,0.004575065490373646,-0.004058814936537264,-0.5663986139995998
1660782315439689,-0.9191424429694056,0.0785534447241929,0.3572442206454562,0.032005,-0.0002824534055837194,5.550929574714e-05,0.0002811899481728057,0.004515991865169762,-0.004126195915674211,-0.5663404544159871
1660782315455692,-0.9196307316700998,0.0817273212787057,0.3551689936675055,0.048008,-0.0005569771599777784,0.0002465731100204453,0.00054161010381166,0.004454681815057016,-0.00420139999661121,-0.5662742183801999
1660782315471695,-0.9202410925459676,0.0751354238193329,0.3544365606164641,0.064011,-0.0008942744240956633,0.0005210475451070601,0.0008773550043880772,0.004391826136541799,-0.004268555439519667,-0.56620102967875
1660782315487697,-0.9203631647211412,0.07379262989242361,0.353337911039902,0.080013,-0.001273572723253394,0.0008593195160229911,0.001283710192243303,0.004327872578126581,-0.004318979777859213,-0.5661216804230544
1660782315503700,-0.9214618142977034,0.07745479514763071,0.3541924162661169,0.096016,-0.001679768614128906,0.001244086679805624,0.001755944534397243,0.004263051755948608,-0.004359770608724608,-0.5660366777435388
1660782315519703,-0.9188982986190584,0.0775768673228043,0.3550469214923319,0.112019,-0.002106731904599435,0.001659144592232804,0.002286785862824926,0.004197411023010435,-0.00439116594814985,-0.5659463616855398
1660782315535705,-0.9202410925459676,0.07733272297245709,0.3567559319447619,0.128021,-0.002557608493306836,0.002089004163064263,0.002863878002504567,0.004130857533037898,-0.004409611499728863,-0.5658510507589846
1660782315551708,-0.919020370794232,0.07782101167315141,0.3561455710688941,0.144024,-0.003042121749960935,0.002520343926491731,0.003471156033767558,0.004063213370133945,-0.00442268898717843,-0.5657511704238199
1660782315567711,-0.9175555046921492,0.08014038300144929,0.3556572823681998,0.160027,-0.003571764005703713,0.002944593105279146,0.004090022579725405,0.003994288420211651,-0.004426939723998673,-0.5656473177489855
1660782315583713,-0.9204852368963148,0.0794079499504079,0.3580987258716712,0.176029,-0.00415444553437631,0.003358219311576956,0.004699380794905325,0.003923968293438386,-0.004423342211673256,-0.5655402483968669
1660782315599716,-0.9223163195239183,0.0792858777752343,0.3613946746013576,0.192032,-0.00479040341799583,0.003758672644081422,0.005277936433897609,0.003852266807331489,-0.004416757394177039,-0.5654307875351979
1660782315615718,-0.9229266803997862,0.07696650644693639,0.3582207980468448,0.208034,-0.005470793653256529,0.004140980357708737,0.005807653508435495,0.003779303758786166,-0.004405413181658953,-0.5653196928546477
1660782315631721,-0.9237811856260012,0.07672236209658929,0.3551689936675055,0.224037,-0.006179400641588347,0.004500787658424268,0.006277744490651003,0.003705250398475367,-0.004389393604718145,-0.5652075249429098
1660782315647724,-0.9219501029983976,0.07721065079728361,0.3548027771419848,0.24004,-0.006896697185962082,0.004841511108982919,0.006691617699105586,0.003630301789084023,-0.004369002537002031,-0.5650945616062311
1660782315663726,-0.9226825360494392,0.0780651560234986,0.3546807049668112,0.256042,-0.007604655535899209,0.005177504671961541,0.007072110635317936,0.003554671939229793,-0.004347368934829767,-0.5649807849147659
1660782315679729,-0.9196307316700998,0.0791638056000607,0.3549248493171584,0.272045,-0.008290583695776831,0.005527832276676344,0.007456105391394783,0.003478568334000893,-0.004323554396056561,-0.5648659329585933
1660782315695732,-0.9204852368963148,0.0786755168993664,0.3574883649958034,0.288048,-0.008948832869901602,0.005904807172868494,0.007880483697774955,0.003402121634904515,-0.00430095784430869,-0.5647496030774134
1660782315711734,-0.9217059586480504,0.0780651560234986,0.3568780041199355,0.30405,-0.009580158498237124,0.006309808679648521,0.008370820599153474,0.003325308391490745,-0.004289600180790095,-0.5646313614206045
1660782315727722,-0.9213397421225298,0.081361104753185,0.3584649423971919,0.320038,-0.0101893546366631,0.00674121744400969,0.008938964288006656,0.003247954637739557,-0.004288899381863463,-0.5645108154127768
1660782315743724,-0.9199969481956204,0.077943083848325,0.3582207980468448,0.33604,-0.01078222951674792,0.007201551443428014,0.009585587037700738,0.003169843367366504,-0.004291333011559792,-0.5643876554690619
1660782315759727,-0.9188982986190584,0.0791638056000607,0.3584649423971919,0.352043,-0.01136295797533677,0.007693938056095567,0.01030025017819441,0.003090836538233217,-0.004292490756062872,-0.5642616566415666
1660782315775730,-0.9217059586480504,0.08026245517662289,0.3587090867475391,0.368046,-0.01193247235400622,0.00821733278208402,0.01105793944762692,0.003010953115522274,-0.004277737090692095,-0.5641326336055505
1660782315791732,-0.920729381246662,0.07782101167315141,0.3600518806744484,0.384048,-0.0124881516216084,0.00876715852713149,0.01182054888734806,0.002930426359210142,-0.004242461854497322,-0.5640003964697514
1660782315807735,-0.9204852368963148,0.0794079499504079,0.3576104371709769,0.400051,-0.01302477231070122,0.009334442198243947,0.01254803511576076,0.002849709029853657,-0.004193767872919873,-0.5638647001932368
1660782315823738,-0.9181658655680168,0.0814831769283586,0.3598077363241012,0.416054,-0.0135363998991202,0.009903847575387679,0.01321073347540954,0.002769365124791958,-0.004134856711447155,-0.563725211101862
1660782315839740,-0.9197528038452734,0.0792858777752343,0.3567559319447619,0.432056,-0.01401867131382765,0.01045640928592767,0.01379466272061416,0.002689896455189153,-0.004066479039377655,-0.5635815147916535
