Timestamp (microseconds),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Seconds,gyro vel x (dps),gyro vel y (dps),gyro vel z (dps),gyro disp x (deg),gyro disp y (deg),gyro disp z (deg)
1660782318459472,0.09155413138023499,-0.5798428320745188,-1.678492408636657,0,-0.1935388808524847,0.02832286754206025,-0.3000950911185966,0,0,0
1660782318475468,-0.0305180437933358,-0.7019150072480898,-1.739528496223329,0.015996,-0.3474966913268241,-0.09055967756388261,-0.3680169143495002,-0.004328284577434471,-0.0004978944801745788,-0.005344896043744774
1660782318491464,0.3967345693140487,-0.4577706569009478,-1.617456321049758,0.031992,0.1555839108695554,0.1698980570227678,-0.2243839586697488,-0.005863586821092621,0.0001368125554965025,-0.01008410302789877
1660782318507460,1.251239795529045,-0.09155413138023499,-1.312275883115944,0.047988,0.947834665730099,0.4686503625533249,0.04862669655280499,0.002963761791704612,0.005245199912105244,-0.01149016112483432
1660782318523456,1.434348058289515,-0.213626306553806,-1.190203707942374,0.063984,1.120953917006589,0.446517328969102,0.1991877898985904,0.01951407045359812,0.01256654144428466,-0.009507645233223155
1660782318539452,0.7629510948347615,-0.3967345693140487,-1.312275883115944,0.07998,0.538632297081177,0.198181940992705,0.06923319822984955,0.03279076016630025,0.01772413560397912,-0.007360277328195635
1660782318555448,0.2746623941404778,-0.6408789196611906,-1.617456321049758,0.09597600000000001,-0.06192507400168158,-0.0697857615900105,-0.2510689886158508,0.03660441795093622,0.01875130503920067,-0.008814963651283644
1660782318571444,0.213626306553806,-0.8239871824216607,-1.800564583810228,0.111972,-0.06011597324674176,-0.1534977478485592,-0.4195397077443743,0.03562808957294883,0.01696503696369212,-0.01417983322216545
1660782318587440,0.7629510948347615,-0.5798428320745188,-1.617456321049758,0.127968,0.5113602780056943,-0.008681312197124622,-0.2126763407018525,0.03923804401102045,0.01566760448332664,-0.01923756160973526
1660782318603436,1.434348058289515,-0.4577706569009478,-1.190203707942374,0.143964,1.097934937392732,0.139682943330622,0.1317780653438396,0.05211240573420785,0.01671561753239462,-0.01988474781259936
1660782318619432,1.434348058289515,-0.4577706569009478,-1.190203707942374,0.15996,1.186298675922748,0.1896487527993657,0.2571551111246644,0.07038627464073169,0.01935027110143453,-0.01677328240085133
1660782318635428,1.129167620355474,-0.4577706569009478,-1.190203707942374,0.175956,0.8387162289288395,0.1326551841330038,0.1287508045770588,0.08658639387954439,0.02192870259689348,-0.01368603507523754
1660782318651424,0.7629510948347615,-0.7019150072480898,-1.495384145876187,0.191952,0.4599759278772592,-0.1191561136345426,-0.07861257956377922,0.09697593113399318,0.02203669516088117,-0.0132849292751313
1660782318667420,0.5798428320745188,-0.9460593575952316,-1.556420233463086,0.207948,0.3218775210685008,-0.2905580431248308,-0.1941581889246917,0.1032307587255593,0.01875898190680618,-0.01546709542303907
1660782318683416,0.8239871824216607,-0.5798428320745188,-1.495384145876187,0.223944,0.514419835490095,0.006852655113268255,-0.1176822242757357,0.109921137578028,0.01648933880271368,-0.01796181872864249
1660782318699412,1.129167620355474,-0.09155413138023499,-1.312275883115944,0.23994,0.861764087597678,0.4956336349633216,0.07727151326036405,0.1209306089627302,0.0205092291233264,-0.01828510441676547
1660782318715408,1.129167620355474,-0.0305180437933358,-1.190203707942374,0.255936,0.8393110295862756,0.6223041708943859,0.1755970493513463,0.1345392099002018,0.02945273157018806,-0.01626215591587178
1660782318731404,0.4577706569009478,-0.2746623941404778,-1.312275883115944,0.271932,0.1687336688614803,0.3059679934199912,0.07188649364918659,0.1426035674877839,0.03687890888470308,-0.01428228757186752
1660782318747400,-0.213626306553806,-0.7019150072480898,-1.495384145876187,0.287928,-0.4984346737223368,-0.102671385583438,-0.1126559201809062,0.139965959448897,0.0385052817473955,-0.01460844298412128
1660782318763396,0.0305180437933358,-0.8239871824216607,-1.556420233463086,0.303924,-0.2441864446978982,-0.1791540831711923,-0.185389170923834,0.1340249905015351,0.03625067799735846,-0.0169928037129592
1660782318779419,1.007095445181903,-0.4577706569009478,-1.434348058289515,0.319947,0.7189383853396161,0.123441650523309,-0.05755158970030497,0.1378230060266689,0.0358049785361754,-0.01893632979795231
1660782318795415,1.556420233463086,-0.213626306553806,-1.251239795529045,0.335943,1.2520045816456,0.386817791879686,0.1457154050155196,0.1535905497625506,0.03988705407539936,-0.01823101927543059
1660782318811411,1.129167620355474,-0.3356984817273769,-1.190203707942374,0.351939,0.879147670478875,0.3161260575718138,0.1606430292938481,0.1706397677795464,0.04551060487101136,-0.01578015180095565
1660782318827407,0.5188067444876197,-0.5188067444876197,-1.434348058289515,0.367935,0.2070851420227675,0.03831044457672793,-0.03782964163120115,0.1793296302795595,0.04834609688819969,-0.01479764469965447
1660782318843402,0.213626306553806,-0.8239871824216607,-1.556420233463086,0.38393,-0.06616140760387207,-0.1849979246105931,-0.1753900031029066,0.1804570201549107,0.04717259704792877,-0.01650340185752733
1660782318859398,0.4577706569009478,-0.8239871824216607,-1.495384145876187,0.399926,0.1866638614720681,-0.2085994695744584,-0.1309786274543726,0.1814210397858562,0.04402381789444836,-0.01895435090198557
1660782318875394,0.9460593575952316,-0.6408789196611906,-1.373311970702616,0.415922,0.6468931518707878,-0.06463748586593224,0.01423816081858941,0.1880894958925991,0.04183792225092523,-0.01988827463507183
1660782318891390,1.251239795529045,-0.5188067444876197,-1.129167620355474,0.431918,0.9623422098479056,0.1167874125513607,0.2478645340904854,0.2009633787863487,0.04225512166440866,-0.01779145307579923
