Frame #,Hand Pink X,Hand Pink Y,Body Pink X,Body Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds
1.0,551.7861938,1504.611694,758.0,1192.5,669.8448486,988.2536621,655.3345947,1258.729004,1660089013230810.0,0.0,0.0
2.0,551.444458,1504.487549,758.0,1192.5,669.8448486,988.2536621,655.2051392,1258.526245,1660089013247476.5,0.0390320785575911,0.0166665
3.0,551.3673096,1504.605225,758.0,1192.5,669.8448486,988.2536621,655.2051392,1258.526245,1660089013264143.2,0.0443195906927149,0.03333325
4.0,551.4091797,1504.29541,758.0,1192.5,669.8448486,988.2536621,654.9250488,1258.299683,1660089013280810.0,0.0474012896373128,0.05
5.0,551.4035034,1504.236084,758.0,1192.5,669.8448486,988.2536621,655.0701294,1258.471069,1660089013297476.5,0.0494363136877239,0.0666665
6.0,551.2018433,1504.334839,758.0,1192.5,669.8448486,988.2536621,655.0701294,1258.471069,1660089013314143.2,0.0683120053481961,0.08333325
7.0,551.125,1503.893555,758.0987549,1192.388062,669.8505249,987.8081055,654.9486084,1258.454834,1660089013330809.8,0.0870448610763227,0.09999975
8.0,551.0317993,1503.931763,758.0987549,1192.388062,669.8323364,987.9941406,654.9335938,1258.558838,1660089013347476.5,0.0959801413013348,0.1166665
9.0,551.1981201,1503.96228,758.0306396,1192.304565,669.8505249,987.8081055,654.9397583,1258.407715,1660089013364143.2,0.0776689683612698,0.13333325
10.0,551.1018677,1503.7052,758.0306396,1192.304565,669.6647339,987.8148193,654.8510132,1258.409058,1660089013380810.0,0.094036837758462,0.15
11.0,551.2022095,1503.638184,757.8212891,1192.463867,669.6647339,987.8148193,654.6530151,1258.292236,1660089013397476.8,0.0850750125725943,0.16666675
12.0,551.1542358,1503.721191,758.0306396,1192.304565,669.729187,987.9187622,654.8320923,1258.359253,1660089013414143.2,0.0881521167328234,0.18333325
13.0,551.2567749,1503.653931,757.9315796,1192.421021,669.6647339,987.8148193,654.6827393,1258.407349,1660089013430810.0,0.0789362029167446,0.2
14.0,551.3064575,1503.676147,758.0306396,1192.304565,669.6647339,987.8148193,654.6827393,1258.407349,1660089013447476.8,0.073156066360909,0.21666675
15.0,551.3251953,1503.845581,757.8775635,1192.438721,669.5421753,987.9216919,654.6827393,1258.407349,1660089013464143.2,0.0670830828515074,0.23333325
16.0,551.3501587,1503.559692,757.5323486,1192.245972,669.5421753,987.9216919,654.6827393,1258.407349,1660089013480810.0,0.0713633948467689,0.25
17.0,551.4268188,1503.62146,757.7012329,1192.239014,669.5421753,987.9216919,654.6360474,1258.397095,1660089013497476.5,0.0617765193160265,0.2666665
18.0,551.4268188,1503.62146,757.7012329,1192.239014,669.4821167,987.9464111,654.6360474,1258.397095,1660089013514143.2,0.0617712929783393,0.28333325
19.0,551.4170532,1504.175537,757.7012329,1192.239014,669.4821167,987.9464111,654.6360474,1258.397095,1660089013530810.0,0.0494230977317824,0.3
20.0,551.7046509,1504.030762,757.7643433,1192.176758,669.4821167,987.9464111,654.7276001,1258.4104,1660089013547476.5,0.0225714361695619,0.3166665
21.0,551.8082886,1503.92041,757.7643433,1192.176758,669.4821167,987.9464111,654.7142944,1258.57019,1660089013564143.2,0.0142906005646463,0.33333325
22.0,551.9315796,1504.132446,757.6555786,1192.170654,669.4821167,987.9464111,655.1858521,1258.696411,1660089013580809.8,0.0038213971844945,0.34999975
23.0,552.1018677,1504.0,757.5861816,1192.130493,669.5421753,987.9216919,655.1226807,1258.729858,1660089013597476.5,0.0186044455537921,0.3666665
24.0,551.8931885,1504.165894,757.4603882,1192.216187,669.5421753,987.9216919,655.1226807,1258.729858,1660089013614143.2,0.0005691911108026,0.38333325
25.0,551.8852539,1503.883667,757.4603882,1192.216187,669.3873291,987.9720459,655.1075439,1258.561523,1660089013630810.0,0.0070380407361613,0.4
26.0,551.9633179,1503.891602,757.4852905,1192.161743,669.5349121,988.1027222,655.1227417,1258.511475,1660089013647476.8,0.0013690046773224,0.41666675
