Frame #,Index Pink X,Index Pink Y,Thumb Pink X,Thumb Pink Y,Hand Green X,Hand Green Y,Timestamp (microseconds),Seconds,Index Pink X meters,Index Pink Y meters,Thumb Pink X meters,Hand Green X meters,Thumb Pink Y meters,Hand Green Y meters,angles,angular velocity
1,299.222229,884.6581421,321.676178,924.7619019,578.9146118,1074.581299,166078683000000.0,0.0,0.5208184593163522,-1.5398130417315636,0.5599012211914665,1.0076437743313518,-1.6096166070002025,-1.8703883679555915,3.9610485537958686,
2,299.222229,884.6581421,321.676178,924.7619019,579.4285889,1074.44043,166078683001666.66,0.0,0.5208184593163522,-1.5398130417315636,0.5599012211914665,1.0085383895550954,-1.6096166070002025,-1.8701431750239348,3.965559407468753,0.0045108536728841
3,299.222229,884.6581421,321.676178,924.7619019,580.2788086,1074.278809,166078683003333.34,0.0,0.5208184593163522,-1.5398130417315636,0.5599012211914665,1.0100182599367655,-1.6096166070002025,-1.8698618616987364,3.9710736139100327,0.0055142064412798
4,299.222229,884.6581421,321.676178,924.7619019,580.2893066,1074.163574,166078683005000.0,0.0,0.5208184593163522,-1.5398130417315636,0.5599012211914665,1.0100365324835752,-1.6096166070002025,-1.869661286643334,3.9740811621699934,0.0030075482599607
5,302.9400024,883.3666382,324.6025696,923.8974609,581.0814209,1073.554321,166078683006666.66,0.0,0.527289519373442,-1.537565083504506,0.5649948225912085,1.011415266111445,-1.6081119833922088,-1.8686008366565323,4.099756582322621,0.125675420152628
6,302.9400024,883.3666382,324.6025696,923.8974609,582.1846924,1073.396362,166078683008333.3,0.0,0.527289519373442,-1.537565083504506,0.5649948225912085,1.0133355918999332,-1.6081119833922088,-1.8683258973136565,4.105221691514574,0.0054651091919524
7,302.9400024,883.3666382,324.6025696,923.8974609,582.5,1073.0,166078683010000.0,0.0,0.527289519373442,-1.537565083504506,0.5649948225912085,1.01388440813926,-1.6081119833922088,-1.8676359998857093,4.115930960753388,0.0107092692388137
8,304.1079712,882.1643066,324.6025696,923.8974609,582.5,1072.5,166078683011666.66,0.0,0.5293224556060826,-1.5354723362724836,0.5649948225912085,1.01388440813926,-1.6081119833922088,-1.8667657128400967,4.409398411992898,0.2934674512395103
9,307.1228027,881.4736938,327.7445984,916.5887451,583.269104,1072.353394,166078683013333.34,0.0,0.5345699932043952,-1.5342702735257343,0.570463756514375,1.0152230906351185,-1.5953906220305931,-1.8665105342348784,3.287284027716113,-1.122114384276785
10,306.2196045,881.2156982,327.5,924.0,584.333313,1071.666626,166078683015000.0,0.0,0.532997909818233,-1.533821213068724,0.5700380148765797,1.017075425248168,-1.6082904602930064,-1.865315163647395,4.506354046731926,1.2190700190158128
11,306.2196045,881.2156982,327.5,924.0,585.0822754,1071.082275,166078683016666.7,0.0,0.532997909818233,-1.533821213068724,0.5700380148765797,1.0183790497969107,-1.6082904602930064,-1.864298057436613,4.522566405208037,0.0162123584761113
12,306.2196045,881.2156982,327.5,924.0,585.5,1070.17981,166078683018333.34,0.0,0.532997909818233,-1.533821213068724,0.5700380148765797,1.0191061304129383,-1.6082904602930064,-1.8627272502393744,4.547315303820309,0.0247488986122714
13,309.8449707,878.333313,332.3095093,917.6382446,585.7099609,1069.887451,166078683020000.0,0.0,0.5393081282971602,-1.52880420806867,0.5784093221556711,1.019471582915649,-1.597217353669048,-1.8622183777386376,3.7767203597854793,-0.7705949440348294
14,309.8449707,878.333313,332.3095093,917.6382446,586.1550903,1069.310181,166078683021666.66,0.0,0.5393081282971602,-1.52880420806867,0.5784093221556711,1.0202463636165322,-1.597217353669048,-1.861213596532996,3.792824806583056,0.0161044467975766
15,309.8449707,878.333313,332.3095093,917.6382446,586.5856934,1068.223755,166078683023333.34,0.0,0.5393081282971602,-1.52880420806867,0.5784093221556711,1.020995860215994,-1.597217353669048,-1.859322591585361,3.822097685113962,0.0292728785309059
16,309.8449707,878.333313,332.3095093,917.6382446,587.3102417,1067.844849,166078683025000.0,0.0,0.5393081282971602,-1.52880420806867,0.5784093221556711,1.0222569902148158,-1.597217353669048,-1.858663077618751,3.833515212977301,0.011417527863339
17,313.940033,876.6921387,334.5129395,917.4243164,587.5,1067.157715,166078683026666.66,0.0,0.5464358876384975,-1.5259476226029038,0.5822445556736164,1.022587278595391,-1.5968449957867452,-1.8574670699811504,4.227814926487813,0.3942997135105122
18,313.940033,876.6921387,334.5129395,917.4243164,587.3102417,1066.844849,166078683028333.34,0.0,0.5464358876384975,-1.5259476226029038,0.5822445556736164,1.0222569902148158,-1.5968449957867452,-1.8569225035275247,4.235967349196152,0.0081524227083384
19,313.940033,876.6921387,334.5129395,917.4243164,587.670166,1066.382446,166078683030000.0,0.0,0.5464358876384975,-1.5259476226029038,0.5822445556736164,1.0228834651261984,-1.5968449957867452,-1.85611765684602,4.2486726036427465,0.0127052544465948
20,320.5,874.2468872,309.8666687,876.8370361,587.6057739,1066.086548,166078683031666.66,0.0,0.5578539962379963,-1.5216914811954718,0.5393458952737916,1.022771385905259,-1.5261998272632298,-1.8556026244535733,1.4162674265940671,-2.83240517704868
21,320.5,874.2468872,309.8666687,876.8370361,587.9559937,1065.509399,166078683033333.3,0.0,0.5578539962379963,-1.5216914811954718,0.5393458952737916,1.0233809694153733,-1.5261998272632298,-1.8545980538573967,1.4139238770415865,-0.0023435495524806
22,320.5,874.2468872,309.8666687,876.8370361,588.0192261,1065.346191,166078683035000.0,0.0,0.5578539962379963,-1.5216914811954718,0.5393458952737916,1.0234910300925393,-1.5261998272632298,-1.854313978241116,1.4134606757328323,-0.0004632013087542
