Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g)
1659998308063720,-0.9834744792858778,-0.12677195391775387,-0.15997558556496516
1659998308079723,-0.9842069123369193,-0.10138094148165111,-0.14984359502555877
1659998308095727,-0.9816433966582743,-0.11419851987487606,-0.14874494544899663
1659998308111730,-0.9860379949645228,-0.12970168612191957,-0.16754406042572656
1659998308127733,-0.9779812314030671,-0.13275349050125884,-0.1636377508201723
1659998308143736,-0.982009613183795,-0.11407644769970249,-0.16937514305333012
1659998308159739,-0.9832303349355307,-0.11480888075074391,-0.15155260547798877
1659998308175742,-0.98457312886244,-0.11773861295490962,-0.14740215152208735
1659998308191745,-0.982009613183795,-0.11163500419623107,-0.1488670176241702
1659998308207749,-0.9832303349355307,-0.12237735561150531,-0.1560692759594109
1659998308223752,-0.9823758297093157,-0.1173723964293889,-0.17474631876096725
1659998308239755,-0.9898222323949035,-0.11859311818112461,-0.16876478217746227
1659998308255758,-0.9895780880445564,-0.10919356069275965,-0.14703593499656664
1659998308271761,-0.990554665445945,-0.12469672693980316,-0.1514305333028152
1659998308287764,-0.9793240253299764,-0.10333409628442825,-0.14544899671931022
1659998308303767,-0.9818875410086214,-0.1165178912031739,-0.1552147707331959
1659998308319770,-0.9821316853589686,-0.13678187228198668,-0.164858472571908
1659998308335774,-0.9821316853589686,-0.13409628442816812,-0.1757228961623558
1659998308351777,-0.9810330357824064,-0.1203021286335546,-0.15570305943389018
1659998308367780,-0.9783474479285879,-0.12005798428320746,-0.1517967498283359
1659998308383789,-0.9805447470817121,-0.11407644769970249,-0.1404440375371938
1659998308399792,-0.9860379949645228,-0.11663996337834748,-0.14373998626688023
1659998308415795,-0.9886015106431678,-0.12152285038529032,-0.1589990081635766
1659998308431798,-0.9846952010376135,-0.14435034714274808,-0.17669947356374438
1659998308447801,-0.9879911497673,-0.12506294346532387,-0.1724269474326694
1659998308463804,-0.9878690775921264,-0.10760662241550323,-0.14959945067521163
1659998308479807,-0.9848172732127871,-0.10211337453269254,-0.14349584191653308
1659998308495811,-0.9789578088044557,-0.10833905546654465,-0.14581521324483093
1659998308511814,-0.9752956435492486,-0.1362935835812924,-0.16327153429465158
1659998308527817,-0.9795681696803236,-0.12433051041428245,-0.16925307087815655
1659998308543820,-0.9821316853589686,-0.13116655222400242,-0.1585107194628823
1659998308559823,-0.9790798809796293,-0.12677195391775387,-0.16168459601739515
1659998308575826,-0.978591592278935,-0.10382238498512253,-0.14666971847104593
1659998308591829,-0.9804226749065386,-0.10406652933546967,-0.13861295490959025
1659998308607833,-0.978591592278935,-0.11810482948043033,-0.15399404898146019
1659998308623836,-0.9815213244831007,-0.12799267566948958,-0.1652246890974287
1659998308639839,-0.9901884489204242,-0.1337300679026474,-0.17315938048371082
1659998308655842,-0.9942168307011521,-0.12518501564049744,-0.16131837949187444
1659998308671845,-0.9925078202487221,-0.0993057145037004,-0.14373998626688023
1659998308687848,-0.9894560158693828,-0.10138094148165111,-0.13897917143511096
1659998308703857,-0.98970016021973,-0.12079041733424889,-0.1476462958724345
1659998308719860,-0.980300602731365,-0.15301747158007162,-0.16559090562294942
1659998308735863,-0.9738307774471657,-0.14618142977035165,-0.17584496833752938
1659998308751866,-0.9781033035782407,-0.12774853131914243,-0.15252918287937733
1659998308767870,-0.9817654688334478,-0.10040436408026254,-0.14154268711375595
1659998308783873,-0.9778591592278936,-0.12140077821011674,-0.14142061493858238
1659998308799876,-0.976882581826505,-0.12774853131914243,-0.16046387426565945
1659998308815879,-0.9815213244831007,-0.1337300679026474,-0.1741359578850994
1659998308831882,-0.9909208819714657,-0.12603952086671244,-0.16559090562294942
1659998308847885,-0.9879911497673,-0.10357824063477539,-0.14349584191653308
1659998308863888,-0.9890897993438621,-0.12213321126115817,-0.1467917906462195
1659998308879891,-0.97773708705272,-0.13861295490959025,-0.16253910124361015
1659998308895895,-0.9788357366292821,-0.1275043869687953,-0.16266117341878372
1659998308911898,-0.9816433966582743,-0.1190814068818189,-0.15619134813458446
1659998308927901,-0.9809109636072328,-0.127016098268101,-0.162294956893263
1659998308943904,-0.985427634088655,-0.10760662241550323,-0.14361791409170666
1659998308959907,-0.9840848401617457,-0.12262149996185245,-0.14654764629587236
1659998308975910,-0.9824979018844893,-0.13397421225299455,-0.16046387426565945
1659998308991913,-0.9806668192568857,-0.126161593041886,-0.16852063782711513
1659998309007917,-0.9868925001907378,-0.12713817044327458,-0.164003967345693
1659998309024170,-0.9861600671396964,-0.11920347905699247,-0.15790035858701446
1659998309040174,-0.9872587167162585,-0.12164492256046389,-0.14862287327382306
1659998309056178,-0.9817654688334478,-0.11859311818112461,-0.13934538796063167
1659998309072182,-0.9771267261768521,-0.13116655222400242,-0.16034180209048587
1659998309088186,-0.978591592278935,-0.1328755626764324,-0.16827649347676799
1659998309104190,-0.9818875410086214,-0.12823682001983672,-0.1715724422064544
1659998309120194,-0.9853055619134814,-0.11883726253147175,-0.15533684290836947
1659998309136198,-0.9864042114900435,-0.12542915999084459,-0.1522850385290302
1659998309152202,-0.9772487983520257,-0.13153276874952313,-0.14435034714274808
1659998309168206,-0.9770046540016786,-0.10833905546654465,-0.15533684290836947
1659998309184210,-0.9829861905851836,-0.11932555123216604,-0.15790035858701446
1659998309200214,-0.988845654993515,-0.12054627298390175,-0.15594720378423732
1659998309216219,-0.990554665445945,-0.13055619134813456,-0.1589990081635766
1659998309232223,-0.9859159227893493,-0.131288624399176,-0.16217288471808944
1659998309248227,-0.9823758297093157,-0.10614175631342038,-0.1547264820325016
1659998309264231,-0.9806668192568857,-0.0980849927519647,-0.1471580071717402
1659998309280235,-0.9779812314030671,-0.12860303654535743,-0.16156252384222158
1659998309296239,-0.9738307774471657,-0.13409628442816812,-0.17096208133058655
1659998309312243,-0.97944609750515,-0.11749446860456247,-0.15753414206149374
1659998309328247,-0.9816433966582743,-0.08648813611047546,-0.15680170901045232
1659998309344482,-0.9904325932707714,-0.11505302510109106,-0.1438620584420538
1659998309360487,-0.9883573662928207,-0.13275349050125884,-0.15008773937590592
1659998309376492,-0.9911650263218128,-0.10748455024032966,-0.14459449149309522
1659998309392497,-0.98628213931487,-0.12091248950942246,-0.15362783245593947
1659998309408502,-0.9877470054169528,-0.12054627298390175,-0.15594720378423732
1659998309424507,-0.9884794384679942,-0.1362935835812924,-0.16473640039673443
1659998309440512,-0.98286411841001,-0.12762645914396886,-0.1576562142366673
1659998309456517,-0.9876249332417792,-0.094300755321584,-0.1426413366903181
1659998309472522,-0.9859159227893493,-0.1173723964293889,-0.1342183566033417
1659998309488527,-0.980300602731365,-0.11371023117418178,-0.14447241931792165
1659998309504532,-0.9795681696803236,-0.13397421225299455,-0.16168459601739515
1659998309520537,-0.9805447470817121,-0.13397421225299455,-0.16937514305333012
1659998309536543,-0.9804226749065386,-0.12469672693980316,-0.16034180209048587
1659998309552548,-0.9812771801327536,-0.10504310673685824,-0.1400778210116731
1659998309568553,-0.982009613183795,-0.11248950942244607,-0.1409323262378881
1659998309584558,-0.9776150148775464,-0.12628366521705958,-0.15130846112764162
1659998309600563,-0.9807888914320593,-0.13263141832608527,-0.16290531776913086
1659998309616568,-0.9849393453879607,-0.12103456168459603,-0.15973144121461802
1659998309632573,-0.9868925001907378,-0.128725108720531,-0.15448233768215447
1659998309648578,-0.9876249332417792,-0.1115129320210575,-0.14813458457312878
1659998309664764,-0.9889677271686885,-0.11468680857557034,-0.15484855420767518
1659998309680770,-0.9792019531548029,-0.13617151140611883,-0.16205081254291587
1659998309696776,-0.9776150148775464,-0.1299458304722667,-0.15680170901045232
1659998309712782,-0.9788357366292821,-0.11517509727626463,-0.14654764629587236
1659998309728788,-0.9821316853589686,-0.13690394445716025,-0.15631342030975803
1659998309744794,-0.9778591592278936,-0.12677195391775387,-0.165712977798123
1659998309760800,-0.982009613183795,-0.10955977721828036,-0.1698634317540244
1659998309776806,-0.9831082627603571,-0.11786068513008319,-0.1636377508201723
1659998309792812,-0.9834744792858778,-0.12249942778667888,-0.1555809872587166
1659998309808818,-0.9853055619134814,-0.11322194247348749,-0.15570305943389018
1659998309824824,-0.99140917067216,-0.12237735561150531,-0.15924315251392374
1659998309840830,-0.9771267261768521,-0.1417868314641031,-0.1707179369802394
1659998309856836,-0.9759060044251164,-0.131288624399176,-0.1660791943236437
1659998309872842,-0.9823758297093157,-0.11041428244449536,-0.1433737697413595
1659998309888848,-0.98457312886244,-0.09747463187609684,-0.15082017242694734
1659998309904854,-0.9865262836652171,-0.1182269016556039,-0.16351567864499872
1659998309920860,-0.9776150148775464,-0.12323186083772031,-0.1669336995498587
1659998309936866,-0.9787136644541086,-0.12603952086671244,-0.16095216296635373
1659998309952872,-0.9860379949645228,-0.11981383993286032,-0.15204089417868305
1659998309968878,-0.9938506141756314,-0.1115129320210575,-0.1589990081635766
1659998309985107,-0.9915312428473335,-0.11700617990386819,-0.1669336995498587
1659998310001114,-0.9870145723659114,-0.11773861295490962,-0.1572899977111466
1659998310017120,-0.9822537575341421,-0.11493095292591748,-0.14776836804760807
1659998310033126,-0.982009613183795,-0.1240863660639353,-0.15667963683527875
1659998310049133,-0.9834744792858778,-0.12188906691081103,-0.164003967345693
1659998310065139,-0.9807888914320593,-0.1161516746776532,-0.15374990463111304
1659998310081146,-0.9839627679865721,-0.10553139543755252,-0.15118638895246805
1659998310097152,-0.97431906614786,-0.14728007934691378,-0.1555809872587166
1659998310113159,-0.9767605096513314,-0.13788052185854882,-0.15875486381322945
1659998310129165,-0.9810330357824064,-0.132143129625391,-0.16595712214847014
1659998310145172,-0.98457312886244,-0.11773861295490962,-0.164003967345693
1659998310161178,-0.9800564583810178,-0.09088273441672401,-0.13788052185854882
1659998310177185,-0.9903105210955978,-0.09161516746776543,-0.12213321126115817
1659998310193191,-0.9909208819714657,-0.12982375829709314,-0.13409628442816812
1659998310209198,-0.9849393453879607,-0.14911116197451735,-0.16803234912642084
1659998310225204,-0.9939726863508049,-0.12176699473563746,-0.16217288471808944
1659998310241211,-0.9939726863508049,-0.11981383993286032,-0.1517967498283359
1659998310257217,-0.9848172732127871,-0.13311970702677955,-0.14911116197451735
1659998310273224,-0.9774929427023729,-0.12054627298390175,-0.14569314106965736
1659998310289230,-0.975173571374075,-0.12726024261844815,-0.15545891508354304
1659998310305389,-0.9771267261768521,-0.11432059205004963,-0.16168459601739515
1659998310321396,-0.9771267261768521,-0.10943770504310679,-0.1505760280766002
1659998310337404,-0.9770046540016786,-0.1409323262378881,-0.1593652246890973
1659998310353411,-0.9732204165712979,-0.1337300679026474,-0.16644541084916442
1659998310369419,-0.9823758297093157,-0.12237735561150531,-0.1660791943236437
1659998310385426,-0.9850614175631343,-0.08941786831464116,-0.15216296635385662
1659998310401434,-0.9926298924238957,-0.1068741893644618,-0.14496070801861594
1659998310417441,-0.9923857480735485,-0.1203021286335546,-0.15619134813458446
1659998310433448,-0.9894560158693828,-0.1283588921950103,-0.1598535133897916
1659998310449456,-0.9922636758983749,-0.13018997482261385,-0.16302738994430443
1659998310465463,-0.9834744792858778,-0.1275043869687953,-0.15826657511253517
1659998310481471,-0.9853055619134814,-0.13116655222400242,-0.15716792553597303
1659998310497478,-0.9793240253299764,-0.11090257114518964,-0.15680170901045232
1659998310513486,-0.985427634088655,-0.10919356069275965,-0.15326161593041876
1659998310529493,-0.9844510566872664,-0.1283588921950103,-0.15399404898146019
1659998310545500,-0.9806668192568857,-0.13641565575646597,-0.16241702906843658
1659998310561508,-0.9853055619134814,-0.1316548409246967,-0.15533684290836947
1659998310577515,-0.983718623636225,-0.1106584267948425,-0.14776836804760807
1659998310593523,-0.9859159227893493,-0.10748455024032966,-0.15069810025177377
1659998310609530,-0.9824979018844893,-0.1283588921950103,-0.1607080186160066
1659998310625702,-0.9749294270237279,-0.13971160448615239,-0.16803234912642084
1659998310641709,-0.9765163653009843,-0.12774853131914243,-0.16180666819256873
1659998310657717,-0.9829861905851836,-0.11004806591897465,-0.14325169756618594
1659998310673725,-0.9835965514610514,-0.10919356069275965,-0.13763637750820168
1659998310689733,-0.9878690775921264,-0.11993591210803389,-0.14483863584344236
1659998310705741,-0.9889677271686885,-0.14312962539101237,-0.15570305943389018
1659998310721749,-0.9889677271686885,-0.1392233157854581,-0.163149462119478
1659998310737757,-0.9883573662928207,-0.12457465476462959,-0.15753414206149374
1659998310753765,-0.9884794384679942,-0.11456473640039677,-0.14789044022278164
1659998310769773,-0.9815213244831007,-0.10528725108720538,-0.13519493400473026
1659998310785781,-0.97773708705272,-0.09674219882505541,-0.1409323262378881
1659998310801788,-0.9762722209506371,-0.12799267566948958,-0.1526512550545509
1659998310817796,-0.9772487983520257,-0.14105439841306167,-0.1712062256809337
1659998310833804,-0.9804226749065386,-0.1426413366903181,-0.17584496833752938
1659998310849812,-0.9822537575341421,-0.1333638513771267,-0.16339360646982515
1659998310865820,-0.9817654688334478,-0.08917372396429402,-0.1375143053330281
1659998310881828,-0.9872587167162585,-0.1152971694514382,-0.13812466620889596
1659998310897836,-0.9815213244831007,-0.12530708781567101,-0.15216296635385662
1659998310913844,-0.9824979018844893,-0.11883726253147175,-0.16058594644083302
1659998310929852,-0.9893339436942092,-0.1337300679026474,-0.1627832455939573
1659998310946014,-0.9894560158693828,-0.10968184939345393,-0.15826657511253517
1659998310962022,-0.9892118715190357,-0.12603952086671244,-0.14740215152208735
1659998310978031,-0.9876249332417792,-0.11322194247348749,-0.14874494544899663
1659998310994039,-0.9801785305561914,-0.1211566338597696,-0.1607080186160066
1659998311010048,-0.9850614175631343,-0.1257953765163653,-0.1619287403677423
1659998311026056,-0.9833524071107043,-0.13812466620889596,-0.16339360646982515
1659998311042064,-0.982009613183795,-0.11468680857557034,-0.15008773937590592
1659998311058073,-0.9835965514610514,-0.11078049897001607,-0.14166475928892952
1659998311074081,-0.9789578088044557,-0.13116655222400242,-0.14752422369726093
1659998311090089,-0.9813992523079271,-0.13580529488059812,-0.1589990081635766
1659998311106098,-0.9835965514610514,-0.11187914854657821,-0.16632333867399085
1659998311122106,-0.9889677271686885,-0.11969176775768675,-0.162294956893263
1659998311138115,-0.9904325932707714,-0.12213321126115817,-0.15399404898146019
1659998311154123,-0.9838406958113985,-0.12603952086671244,-0.15033188372625306
1659998311170131,-0.9817654688334478,-0.13348592355230027,-0.14996566720073234
1659998311186140,-0.9804226749065386,-0.12457465476462959,-0.15655756466010518
1659998311202148,-0.9878690775921264,-0.1228656443121996,-0.1576562142366673
1659998311218156,-0.9833524071107043,-0.1308003356984817,-0.1598535133897916
1659998311234165,-0.9812771801327536,-0.1240863660639353,-0.15777828641184088
1659998311250173,-0.9818875410086214,-0.13055619134813456,-0.15777828641184088
1659998311266327,-0.983718623636225,-0.13446250095368883,-0.15289539940489805
1659998311282336,-0.9884794384679942,-0.09942778667887398,-0.1471580071717402
1659998311298345,-0.9884794384679942,-0.11749446860456247,-0.15423819333180733
1659998311314355,-0.9767605096513314,-0.1350728618295567,-0.17340352483405796
1659998311330364,-0.9849393453879607,-0.12042420080872818,-0.166567483024338
1659998311346373,-0.9887235828183414,-0.1240863660639353,-0.15460440985732804
1659998311362383,-0.98457312886244,-0.12323186083772031,-0.14666971847104593
1659998311378392,-0.9806668192568857,-0.12372014953841459,-0.15130846112764162
1659998311394401,-0.9806668192568857,-0.12860303654535743,-0.1602197299153123
1659998311410411,-0.9800564583810178,-0.12347600518806745,-0.16412603952086657
1659998311426420,-0.9875028610666057,-0.12298771648737317,-0.15655756466010518
1659998311442429,-0.9938506141756314,-0.12323186083772031,-0.1467917906462195
1659998311458438,-0.9898222323949035,-0.1375143053330281,-0.1607080186160066
1659998311474448,-0.982009613183795,-0.14532692454413665,-0.15619134813458446
1659998311490457,-0.9873807888914321,-0.10907148851758608,-0.14740215152208735
1659998311506466,-0.9883573662928207,-0.1085831998168918,-0.1442282749675745
1659998311522476,-0.9834744792858778,-0.12152285038529032,-0.1535057602807659
1659998311538485,-0.9716334782940415,-0.12567330434119173,-0.16180666819256873
1659998311554494,-0.9715114061188679,-0.13897917143511096,-0.16827649347676799
1659998311570504,-0.9767605096513314,-0.14056610971236738,-0.1610742351415273
1659998311586639,-0.9771267261768521,-0.11248950942244607,-0.14373998626688023
1659998311602649,-0.9878690775921264,-0.10138094148165111,-0.15301747158007162
1659998311618659,-0.9833524071107043,-0.13641565575646597,-0.1581445029373616
1659998311634668,-0.9805447470817121,-0.14032196536202024,-0.16583504997329657
1659998311650678,-0.9857938506141757,-0.11981383993286032,-0.15460440985732804
1659998311666688,-0.9912870984969864,-0.11749446860456247,-0.13971160448615239
1659998311682698,-0.9844510566872664,-0.10174715800717182,-0.1442282749675745
1659998311698708,-0.9860379949645228,-0.12921339742122528,-0.1480125123979552
1659998311714717,-0.9787136644541086,-0.1480125123979552,-0.16461432822156086
1659998311730727,-0.97431906614786,-0.13727016098268097,-0.16681162737468513
1659998311746737,-0.9799343862058443,-0.11920347905699247,-0.15753414206149374
1659998311762747,-0.9810330357824064,-0.1039444571602961,-0.1480125123979552
1659998311778757,-0.9749294270237279,-0.12298771648737317,-0.14740215152208735
1659998311794767,-0.9757839322499429,-0.12799267566948958,-0.14825665674830235
1659998311810776,-0.9826199740596628,-0.13897917143511096,-0.15301747158007162
1659998311826786,-0.9826199740596628,-0.12481879911497673,-0.15619134813458446
1659998311842796,-0.9848172732127871,-0.11273365377279321,-0.1585107194628823
1659998311858806,-0.9829861905851836,-0.1308003356984817,-0.1555809872587166
1659998311874816,-0.9849393453879607,-0.12433051041428245,-0.1564354924849316
1659998311890825,-0.9822537575341421,-0.12762645914396886,-0.15277332722972448
1659998311906952,-0.9860379949645228,-0.13153276874952313,-0.15509269855802232
1659998311922962,-0.9799343862058443,-0.12372014953841459,-0.14666971847104593
1659998311938972,-0.9846952010376135,-0.10162508583199825,-0.14837872892347592
1659998311954982,-0.9875028610666057,-0.13861295490959025,-0.1564354924849316
1659998311970993,-0.9812771801327536,-0.14117647058823524,-0.16461432822156086
1659998311987003,-0.9849393453879607,-0.11773861295490962,-0.15484855420767518
1659998312003013,-0.98115510795758,-0.11578545815213248,-0.14325169756618594
1659998312019024,-0.98457312886244,-0.11749446860456247,-0.1531395437552452
1659998312035034,-0.9821316853589686,-0.12298771648737317,-0.1543602655069809
1659998312051044,-0.9853055619134814,-0.12567330434119173,-0.1581445029373616
1659998312067054,-0.9846952010376135,-0.1333638513771267,-0.16266117341878372
1659998312083065,-0.983718623636225,-0.129579613946746,-0.1572899977111466
1659998312099075,-0.9790798809796293,-0.12481879911497673,-0.1497215228503852
1659998312115085,-0.9817654688334478,-0.1085831998168918,-0.14825665674830235
1659998312131096,-0.9856717784390021,-0.12677195391775387,-0.15130846112764162
1659998312147106,-0.9904325932707714,-0.12555123216601816,-0.1610742351415273
1659998312163116,-0.9879911497673,-0.129579613946746,-0.16180666819256873
1659998312179126,-0.9848172732127871,-0.14630350194552522,-0.16888685435263584
1659998312195137,-0.9817654688334478,-0.11383230334935535,-0.14630350194552522
1659998312211147,-0.9851834897383078,-0.12274357213702602,-0.1522850385290302
1659998312227264,-0.9755397878995957,-0.12567330434119173,-0.16083009079118016
1659998312243275,-0.9784695201037614,-0.1211566338597696,-0.15875486381322945
1659998312259286,-0.9774929427023729,-0.127016098268101,-0.15960936903944445
1659998312275296,-0.97773708705272,-0.12848096437018386,-0.15912108033875016
1659998312291307,-0.9842069123369193,-0.12054627298390175,-0.16131837949187444
1659998312307318,-0.9872587167162585,-0.13434042877851526,-0.15997558556496516
1659998312323329,-0.983718623636225,-0.12420843823910888,-0.15631342030975803
1659998312339339,-0.9817654688334478,-0.1190814068818189,-0.14569314106965736
1659998312355350,-0.982009613183795,-0.12970168612191957,-0.15240711070420376
1659998312371361,-0.9853055619134814,-0.13031204699778742,-0.16241702906843658
1659998312387372,-0.9873807888914321,-0.12372014953841459,-0.15582513160906375
1659998312403382,-0.9822537575341421,-0.1316548409246967,-0.14081025406271452
1659998312419393,-0.9818875410086214,-0.14947737850003806,-0.1509422446021209
1659998312435404,-0.9782253757534143,-0.1447165636682688,-0.1593652246890973
1659998312451415,-0.9861600671396964,-0.10992599374380108,-0.1589990081635766
1659998312467425,-0.9840848401617457,-0.11578545815213248,-0.15484855420767518
1659998312483436,-0.9813992523079271,-0.12103456168459603,-0.15155260547798877
1659998312499447,-0.9778591592278936,-0.130434119172961,-0.15252918287937733
1659998312515458,-0.9756618600747693,-0.14740215152208735,-0.15875486381322945
1659998312531468,-0.9782253757534143,-0.13018997482261385,-0.15802243076218803
1659998312547577,-0.9866483558403907,-0.10443274586099038,-0.1526512550545509
1659998312563587,-0.9882352941176471,-0.13226520180056456,-0.15411612115663376
1659998312579598,-0.9813992523079271,-0.13946746013580524,-0.15533684290836947
1659998312595609,-0.9844510566872664,-0.13910124361028453,-0.15240711070420376
1659998312611620,-0.9848172732127871,-0.11639581902800034,-0.1464255741206988
1659998312627630,-0.9868925001907378,-0.11590753032730605,-0.13678187228198668
1659998312643641,-0.9812771801327536,-0.1442282749675745,-0.15667963683527875
1659998312659652,-0.9821316853589686,-0.1366598001068131,-0.16424811169604014
1659998312675663,-0.9846952010376135,-0.12542915999084459,-0.16302738994430443
1659998312691673,-0.9835965514610514,-0.12762645914396886,-0.14789044022278164
1659998312707684,-0.9843289845120928,-0.1290913252460517,-0.1497215228503852
1659998312723695,-0.9817654688334478,-0.12823682001983672,-0.14312962539101237
1659998312739706,-0.9798123140306707,-0.12054627298390175,-0.15326161593041876
1659998312755716,-0.9855497062638285,-0.13788052185854882,-0.15973144121461802
1659998312771727,-0.9821316853589686,-0.13311970702677955,-0.16253910124361015
1659998312787738,-0.9883573662928207,-0.12762645914396886,-0.1552147707331959
1659998312803749,-0.99140917067216,-0.12079041733424889,-0.14117647058823524
1659998312819759,-0.9844510566872664,-0.11505302510109106,-0.14068818188754095
1659998312835770,-0.9792019531548029,-0.10846112764171822,-0.15045395590142663
1659998312851781,-0.9838406958113985,-0.13324177920195313,-0.1488670176241702
1659998312867889,-0.9765163653009843,-0.14520485236896308,-0.16827649347676799
1659998312883900,-0.9893339436942092,-0.13238727397573813,-0.15582513160906375
1659998312899912,-0.9894560158693828,-0.13446250095368883,-0.14276340886549166
1659998312915923,-0.9824979018844893,-0.10931563286793322,-0.1509422446021209
1659998312931934,-0.9853055619134814,-0.12274357213702602,-0.15704585336079946
1659998312947945,-0.9835965514610514,-0.12921339742122528,-0.16339360646982515
1659998312963956,-0.9840848401617457,-0.11847104600595104,-0.15130846112764162
1659998312979968,-0.9838406958113985,-0.12079041733424889,-0.14569314106965736
1659998312995979,-0.9788357366292821,-0.12042420080872818,-0.13690394445716025
1659998313011990,-0.9789578088044557,-0.13861295490959025,-0.15411612115663376
1659998313028001,-0.9762722209506371,-0.14435034714274808,-0.17059586480506583
1659998313044013,-0.9793240253299764,-0.13275349050125884,-0.17047379262989226
1659998313060024,-0.9853055619134814,-0.11993591210803389,-0.14691386282139307
1659998313076035,-0.9840848401617457,-0.11517509727626463,-0.131288624399176
1659998313092046,-0.9823758297093157,-0.1290913252460517,-0.14618142977035165
1659998313108058,-0.9800564583810178,-0.1450827801937895,-0.15704585336079946
1659998313124069,-0.9831082627603571,-0.13299763485160598,-0.16119630731670087
1659998313140080,-0.9890897993438621,-0.12054627298390175,-0.1459372854200045
1659998313156091,-0.9860379949645228,-0.13153276874952313,-0.14703593499656664
1659998313172103,-0.9865262836652171,-0.13604943923094526,-0.15301747158007162
