Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m)
1659998125107605,-0.9970244907301442,-0.1344625009536888,0.1178606851300827,0,0,0,-0.004080070852872609,-0.008270899674911623,-0.6034852547831377
1659998125123604,-1.002395666437781,-0.1215228503852903,0.09979400320439424,0.0006948023521277976,0.0004711491993639903,-0.0007290152552768507,-0.005433160564165731,-0.008506155609184109,-0.6020101452498235
1659998125139604,-0.9940947585259785,-0.09063859006637687,0.1000381475547414,0.001765836587212235,0.002356988453604675,-0.002160963440464322,-0.006802345522157402,-0.008813745975797026,-0.6005549429935916
1659998125155604,-0.9904325932707714,-0.09063859006637687,0.09234760051880642,0.003131918025873267,0.00544743504281704,-0.004172051711047809,-0.008164533408315768,-0.009107081758016562,-0.599114920331817
1659998125171604,-0.9860379949645228,-0.09088273441672401,0.1024795910582128,0.004687456384431694,0.009463064715798129,-0.006609278157338279,-0.009501127230127877,-0.009393161893273572,-0.5976868454489777
1659998125187604,-0.9929961089494164,-0.1262836652170596,0.1104142824444949,0.006328946299733986,0.01407982912498839,-0.009332401618179605,-0.01079887866788443,-0.009696557789960999,-0.5962691553073501
1659998125203603,-1.005813687342641,-0.1211566338597696,0.1141985198748756,0.007978064131173551,0.01897157945396932,-0.01221543426236921,-0.01205010232305382,-0.009997757833527432,-0.5948617338169785
1659998125219603,-1.004226749065385,-0.08978408484016187,0.1071183337148085,0.009595625659091644,0.02386581506563729,-0.01514354829839492,-0.01325221615058937,-0.01028239062099742,-0.5934654017329247
1659998125235603,-0.9969024185549706,-0.09784084840161755,0.0861219195849543,0.01118299044517978,0.02858166612565421,-0.01802774869100431,-0.01440658675820508,-0.01055662763701584,-0.5920812772611053
1659998125251603,-0.9893339436942092,-0.08844129091325259,0.09649805447470783,0.01277156009688277,0.03303661207659606,-0.0208119056396447,-0.01551697863166114,-0.01079772227339192,-0.5907102111476296
1659998125267603,-0.9967803463797971,-0.1022354467078661,0.09735255970092282,0.01440564794390311,0.03722991409383703,-0.02347049423337667,-0.01658805278258631,-0.01103441608253636,-0.589352440605732
1659998125283602,-0.9964141298542764,-0.1216449225604639,0.1113908598458835,0.01612496759784974,0.04121003879291552,-0.02601128196952476,-0.01762420427242296,-0.01127609665290787,-0.5880075269114646
1659998125299602,-0.9925078202487221,-0.1182269016556039,0.1106584267948421,0.01795105025682887,0.04503805315493987,-0.02846562307274389,-0.01862890708647309,-0.01152567542520784,-0.5866745355885024
