Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m),vel x (m/s).1,vel y (m/s).1,vel z (m/s).1,disp x (m).1,disp y (m).1,disp z (m).1,stamp velocity (m/s)
1660608137841095,-0.0508430609597923,0.7749752040894178,0.6526588845654997,0.0,0.0,0.0,-0.0009073664048305,-0.0041592100675168,-0.5601690320866358,0.0,0.0,0.0,-0.0009073707000098,-0.0041592033029384,-0.5601690314091581,
1660608137857094,-0.050354772259098,0.7739986266880292,0.6552224002441447,1.733265301956294e-05,0.000122649151591,-0.0001291385731287,-0.0008273601239103,-0.0039772490451769,-0.5601372081900224,1.733275899895811e-05,0.0001226480377757,-0.0001291368547299,-0.0008273641592301,-0.0039772422772786,-0.5601372075053463,0.01258154325187961
1660608137873094,-0.052063782711528,0.7718013275349049,0.655710688944839,-2.616245181012346e-05,0.0001169779613824,-0.0002446662387178,-0.0007429861712161,-0.0037901412983776,-0.5601044616047524,-2.616223516060338e-05,0.0001169757401271,-0.0002446627610447,-0.0007429899521514,-0.0037901345344541,-0.5601044609137288,0.012990473019378723
1660608137889094,-0.0541390096894787,0.7759517814908063,0.6561989776455333,-0.0001208907954271,7.423385358665795e-06,-0.0003387664100868,-0.0006559742521176,-0.0036087706519997,-0.5600716866186195,-0.0001208904634112,7.420063172051866e-06,-0.0003387611323037,-0.000655977784114,-0.0036087638991517,-0.5600716859220777,0.01273844224139295
1660608137905094,-0.0536507209887844,0.7749752040894178,0.654856183718624,-0.0002523864108387,-0.0001669399640723,-0.0003965389878887,-0.000567704885337,-0.0034215658656962,-0.5600395665244827,-0.0002523859587548,-0.0001669443805484,-0.0003965318692024,-0.0005677081738101,-0.0034215591308332,-0.5600395658232303,0.013090552051918777
1660608137921094,-0.050354772259098,0.7709468223086899,0.6580300602731368,-0.0004036740751849,-0.0003617252229497,-0.0004056496505223,-0.0004790894077224,-0.0032336499823234,-0.560008548344152,-0.0004036734983264,-0.00036173072694,-0.0004056406501858,-0.0004790924580567,-0.0032336432721655,-0.5600085476389753,0.01312904842438946
1660608137937093,-0.046936751354238,0.7720454718852521,0.6572976272220954,-0.0005577874097367,-0.0005363235173862,-0.0003596895613894,-0.0003905254765402,-0.0030507230386087,-0.5599788189646163,-0.0005577867033926,-0.0005363301019826,-0.0003596786387045,-0.0003905282940887,-0.0030507163596888,-0.5599788182562807,0.012837577995567753
1660608137953093,-0.0492561226825358,0.7704585336079957,0.659983215075914,-0.0006999556671189,-0.000659375954613,-0.0002567739065799,-0.0003019455705678,-0.0028737200541986,-0.5599503095947987,-0.0006999548265739,-0.0006593836127743,-0.0002567610209009,-0.0003019481606512,-0.0028737134128645,-0.5599503088840488,0.012498318699359834
1660608137969093,-0.0485236896314944,0.7716792553597314,0.6587624933241782,-0.0008191933873221,-0.0007118077846022,-9.883283151739192e-05,-0.0002129328124241,-0.0027174428612082,-0.5599227930083471,-0.0008191924078567,-0.0007118165091544,-9.881794225399798e-05,-0.00021293518033,-0.0027174362636248,-0.5599227922959071,0.011371392747272521
1660608137985093,-0.0488899061570151,0.7722896162355992,0.6587624933241782,-0.0009092482953834,-0.0006879592158807,0.0001098777583848,-0.0001228743993782,-0.0025786822327954,-0.5598958634058233,-0.0009092471722746,-0.0006879689995172,0.0001098946917641,-0.0001228765503602,-0.0025786756849469,-0.5598958626923974,0.010475088239849084
1660608138001093,-0.0463263904783701,0.7713130388342107,0.6583962767986575,-0.0009689392728336,-0.0005947700673374,0.0003653089454221,-3.113328469260242e-05,-0.0024483249860715,-0.5598690285939913,-0.0009689380013552,-0.000594780902619,0.0003653279633869,-3.113522396959011e-05,-0.0024483184937631,-0.5598690278802636,0.010102898528866117
1660608138017092,-0.0470588235294116,0.7698481727321278,0.6576638437476161,-0.0010018725686897,-0.0004506400426902,0.0006636938732776,6.27832582252145e-05,-0.0023280941169414,-0.5598418484452126,-0.0010018711441125,-0.0004506519220457,0.000663715016232,6.27815254699226e-05,-0.0023280876858018,-0.5598418477318475,0.009685390781079887
1660608138033092,-0.0454718852521551,0.7700923170824749,0.6598611429007404,-0.0010154891334434,-0.0002837996009586,0.0010014298579206,0.0001590744101263,-0.0022213849806484,-0.5598139793793632,-0.0010154875510356,-0.0002838125166847,0.0010014531662005,0.0001590728787457,-0.0022213786161315,-0.559813978667006,0.009150544411347258
1660608138049092,-0.0451056687266344,0.7693598840314335,0.6602273594262611,-0.0010194861867761,-0.0001277783497124,0.0013787267901064,0.000257525107727,-0.0021242040296329,-0.559785183029582,-0.0010194844418037,-0.0001277922939738,0.0013787523039758,0.0002575237726114,-0.0021241977370201,-0.5597851823188589,0.008831297960560584
1660608138065092,-0.0454718852521551,0.7699702449073014,0.6610818646524761,-0.0010238594534898,-1.324156405504196e-05,0.0018015057386636,0.0003574510652097,-0.0020309068075896,-0.5597553654781433,-0.0010238575412168,-1.325652888499284e-05,0.0018015334983113,0.0003574499212873,-0.0020309005919918,-0.5597553647696613,0.008745234191768312
1660608138081092,-0.045227740901808,0.7678950179293507,0.6613260090028232,-0.0010369453948281,4.001840669819032e-05,0.0022753945685858,0.0004577722111067,-0.0019373411744323,-0.5597245812361707,-0.001036943310517,4.000242939761739e-05,0.0022754246141224,0.0004577712533446,-0.0019373350407917,-0.5597245805305184,0.008787093157375829
1660608138097091,-0.0463263904783701,0.7669184405279621,0.6607156481269554,-0.0010638059475474,2.474809331814367e-05,0.002798320863598,0.0005572067554004,-0.0018441589591334,-0.5596930125032775,-0.0010638036864596,2.47311117759177e-05,0.0027983532350522,0.0005572059788053,-0.0018441529122258,-0.5596930118010253,0.008742572459886645
1660608138113091,-0.0459601739528494,0.7663080796520942,0.6647440299076832,-0.0011052442432734,-5.814771684402978e-05,0.0033603074683328,0.000654476871628,-0.0017498792208489,-0.5596608770928325,-0.0011052418006693,-5.816569426826226e-05,0.0033603422056484,0.0006544762712472,-0.0017498732652856,-0.5596608763945324,0.008701389339135656
1660608138129091,-0.0451056687266344,0.7681391622796978,0.6652323186083775,-0.0011577618092543,-0.0002022602947328,0.0039474279113609,0.0007484506341003,-0.001650908164413,-0.5596283582190209,-0.0011577591803938,-0.0002022792595491,0.0039474650543934,0.0007484502050223,-0.0016509023046427,-0.5596283575252075,0.008768688791485891
1660608138145091,-0.046082246128023,0.7654535744258792,0.6652323186083775,-0.0012146559657608,-0.000394360310246,0.0045438195356356,0.0008382508291991,-0.0015592580765747,-0.5595956396181001,-0.0012146531459037,-0.0003943802538343,0.0045438591241489,0.0008382505665546,-0.0015592523168858,-0.55959563892929,0.008276076328878721
1660608138161071,-0.046082246128023,0.7663080796520942,0.6642557412069889,-0.0012680843690515,-0.0006152172590191,0.0051332517135788,0.0009233529153135,-0.0014733422171984,-0.5595627182084162,-0.0012680813534579,-0.0006152381726298,0.0051332937872414,0.0009233528142764,-0.0014733365617207,-0.5595627175251089,0.007833152494607656
1660608138177071,-0.0453498130769816,0.766674296177615,0.6640115968566418,-0.0013115450650546,-0.0008447272338059,0.0057028901269254,0.0010036204883379,-0.0013767455498043,-0.559529390623943,-0.0013115418489849,-0.00084474910856,0.0057029347253078,0.0010036205441256,-0.0013767400025112,-0.5595293899466209,0.008121279753507156
1660608138193071,-0.046082246128023,0.7645990691996642,0.6644998855573361,-0.0013420866287326,-0.0010669298374538,0.0062459251427636,0.0010792449341246,-0.0012611017817314,-0.5594954167419105,-0.0013420832074485,-0.0010669526643438,0.0062459723053345,0.0010792451419993,-0.0012610963464418,-0.5594954160710391,0.008893194939417683
1660608138209071,-0.0448615243762873,0.7656977187762264,0.6658426794842454,-0.0013616609561143,-0.0012720752382124,0.0067599761721692,0.0011506319069113,-0.0011283864637443,-0.5594606048710682,-0.0013616573248787,-0.0012720990081022,0.0067600259382921,0.0011506322621808,-0.0011283811441246,-0.5594606042070964,0.009666574549948816
1660608138225071,-0.0446173800259401,0.7656977187762264,0.6647440299076832,-0.0013772786584888,-0.0014564675644813,0.0072442118586286,0.0012182924979648,-0.0009822873084586,-0.5594248459154237,-0.001377274812566,-0.0014564922681068,0.0072442642675585,0.0012182929959828,-0.0009822821080246,-0.5594248452587841,0.010308071334230524
1660608138241070,-0.0465705348287173,0.7659418631265735,0.6634012359807739,-0.0013999531731936,-0.0016214341147042,0.0076984471494373,0.0012827577738605,-0.0008221514618914,-0.5593881494419677,-0.0013999491078502,-0.001621459742674,0.0076985022403175,0.001282758410028,-0.0008221463840103,-0.5593881487930765,0.011030124290333666
1660608138257070,-0.0453498130769816,0.7653315022507057,0.6649881742580304,-0.0014427131942468,-0.0017722550587424,0.0081236168119601,0.0013445095911516,-0.0006493247185042,-0.559350729074555,-0.0014427089047517,-0.001772281601538,0.0081236746238186,0.0013445103609173,-0.0006493197663967,-0.5593507284338128,0.011706477584860863
1660608138273070,-0.0462043183031966,0.7663080796520942,0.6649881742580304,-0.0015181599920893,-0.0019167930287012,0.0085221814669811,0.0014039247964028,-0.000471724744605,-0.5593130478930071,-0.0015181554737143,-0.0019168204766776,0.0085222420387274,0.001403925695264,-0.0004717199213472,-0.5593130472607989,0.0119392650506121
1660608138289070,-0.0475471122301058,0.7660639353017471,0.6654764629587246,-0.0016361458043542,-0.0020633625594713,0.008896197905695,0.001461249764127,-0.0002908199989041,-0.5592757098941368,-0.0016361410523739,-0.0020633909028577,0.0088962612761167,0.0014612507876303,-0.0002908153074292,-0.5592757092708319,0.012088024339281146
1660608138305070,-0.0463263904783701,0.7660639353017471,0.6666971847104604,-0.0018020998192566,-0.0022188062811703,0.0092423774501341,0.0015166304952242,-0.0001097639993573,-0.5592394538097062,-0.0018020948289494,-0.0022188355100703,0.0092424436578934,0.0015166316389663,-0.0001097594424578,-0.5592394531956587,0.01204853531149329
1660608138321069,-0.0449835965514608,0.7643549248493171,0.6659647516594189,-0.0020163069877414,-0.0023873557021199,0.0095505093537593,0.001570189998784,7.02676202159868e-05,-0.5592050509078568,-0.0020163017543893,-0.0023873858065125,0.0095505784373897,0.0015701912584125,7.027203988609586e-05,-0.5592050503034061,0.011934646930558282
1660608138337069,-0.0475471122301058,0.7696040283817807,0.6677958342870225,-0.0022741642789727,-0.0025698315706386,0.0098089696185178,0.0016221033747266,0.0002659724368051,-0.5591731032132429,-0.0022741587978622,-0.0025698625403784,0.0098090416164209,0.0016221047459406,0.0002659767167288,-0.5591731026187134,0.012811132400956606
1660608138353069,-0.0446173800259401,0.7671625848783092,0.6685282673380639,-0.0025671576606505,-0.0027651948669885,0.0100092839111725,0.0016726274085895,0.0004600284119472,-0.559144355310646,-0.0025671519270725,-0.0027652266918064,0.0100093588616142,0.0016726288871403,0.0004600325497425,-0.5591443547263477,0.01266097001335616
1660608138369069,-0.0446173800259401,0.7639887083237964,0.6643778133821625,-0.0028840372720837,-0.0029752869571206,0.0101454754126881,0.001722070944697,0.0006501781469302,-0.5591192874124397,-0.0028840312813341,-0.0029753196266245,0.0101455533537956,0.0017220725263888,0.0006501821403479,-0.5591192868386682,0.012379100409277557
1660608138385069,-0.0474250400549323,0.7655756466010528,0.6636453803311211,-0.0032116498751657,-0.0032058134490464,0.0102163260112579,0.0017707191707956,0.0008348504818964,-0.5590981796790813,-0.003211643622546,-0.0032058469527218,0.010216406981016,0.0017707208514861,0.0008348543288184,-0.5590981791161184,0.01200846992945532
1660608138401068,-0.0497444113832301,0.7677729457541771,0.6657206073090718,-0.0035352872992872,-0.0034596405598404,0.0102344285343897,0.0018187522738162,0.0010131375473949,-0.5590810849982134,-0.0035352807801043,-0.0034596748870509,0.0102345125706377,0.0018187540494175,0.0010131412458322,-0.5590810844463268,0.01158961092285145
1660608138417068,-0.0490119783321887,0.7693598840314335,0.6685282673380639,-0.0038389557764999,-0.0037323378430966,0.0102340796277903,0.0018661736281514,0.001184797301364,-0.5590678080849883,-0.0038389489860671,-0.0037323729830849,0.0102341667682184,0.0018661754946305,0.0011848008494548,-0.5590678075444321,0.011161480287358258
1660608138433068,-0.046936751354238,0.7653315022507057,0.6664530403601132,-0.0041062186207927,-0.0040170792482153,0.010268381809459,0.0019127149080582,0.0013507522984854,-0.5590578898044218,-0.0041062115544296,-0.0040171151901036,0.0102684720916049,0.0019127168614375,0.0013507556944933,-0.5590578892754368,0.010790172774031445
1660608138449068,-0.048645761806668,0.7658197909514,0.6649881742580304,-0.0043220024309243,-0.0043108774896503,0.0103937792741589,0.0019577374679285,0.0015128643177566,-0.5590506173757974,-0.0043219950839576,-0.0043109142224412,0.0103938727354043,0.0019577395042864,0.0015128675600685,-0.5590506168586111,0.010525309138044257
1660608138465067,-0.0453498130769816,0.7655756466010528,0.6665751125352868,-0.0044751475663665,-0.0046159693340314,0.0106518027280872,0.0020002157680424,0.0016730050697428,-0.5590450737382193,-0.00447513993413,-0.0046160068466083,0.0106518994056547,0.0020002178835141,0.0016730081568672,-0.5590450732330464,0.01036072028310033
1660608138481079,-0.044373235675593,0.7636224917982757,0.6681620508125432,-0.0045609677986721,-0.004939259854514,0.0110603085942806,0.002038823073934,0.0018328505790964,-0.5590402201962735,-0.0045609598765074,-0.0049392981356424,0.0110604085252301,0.0020388252647118,0.0018328535096613,-0.5590402197033159,0.010282089213116182
1660608138497079,-0.0444953078507666,0.7621576256961928,0.6692607003891053,-0.0045829774192779,-0.005289821526848,0.0116150221729435,0.0020720671687021,0.001994098020526,-0.5590350089379551,-0.0045829692025345,-0.0052898605651757,0.0116151253941687,0.0020720694310362,0.0019941007932771,-0.559035008457402,0.010295073233447494
1660608138513078,-0.0458381017776758,0.7627679865720607,0.6684061951628903,-0.0045531443135158,-0.0056736653295724,0.0122941595437355,0.0020984549391227,0.0021582309376504,-0.55902851581053,-0.0045531357975518,-0.0056737051136305,0.0122942660919606,0.0020984572693215,0.0021582335514492,-0.5590285153425584,0.01039795833612258
1660608138529078,-0.044373235675593,0.7616693369954985,0.6670634012359811,-0.0044903257939043,-0.0060902342229153,0.013062972710745,0.0021166808136812,0.0023264164105691,-0.5590200622672302,-0.0044903169740867,-0.0060902747411191,0.0130630826225211,0.0021166832081118,0.0023264188643911,-0.559020061812005,0.010586326344081838
1660608138545078,-0.0432745860990309,0.7608148317692836,0.6670634012359811,-0.0044169637160108,-0.006532397969016,0.0138789095072062,0.0021258007303036,0.0024998153384687,-0.5590092950984112,-0.0044169545877156,-0.0065324392096656,0.0138790228189084,0.0021258031853925,0.0024998176314014,-0.5590092946560856,0.01087325650541032
1660608138561078,-0.0442511635004194,0.7611810482948043,0.6669413290608075,-0.0043546698559756,-0.0069881479188014,0.0146965549594532,0.0021253540323317,0.0026795582520246,-0.5589962080350631,-0.0043546604145887,-0.0069881898700825,0.0146966717072767,0.0021253565445651,0.0026795603832654,-0.5589962076057786,0.011263704454831014
1660608138577077,-0.0448615243762873,0.763256275272755,0.6697489890897996,-0.004319816179676,-0.0074442555521955,0.0154724237417963,0.0021154093930193,0.0028661459720073,-0.5589810990316333,-0.0043198064205932,-0.0074442982021806,0.0154725439617531,0.0021154119589436,0.0028661479408622,-0.5589810986155197,0.011716400611835787
1660608138593077,-0.0444953078507666,0.7631342030975814,0.6709697108415353,-0.0043204291866468,-0.0078901959467646,0.0161712449524709,0.0020965139588327,0.0030589150939848,-0.5589644677960287,-0.0043204191052744,-0.0078902392834134,0.0161713686803868,0.0020965165750547,0.003058916899866,-0.5589644673932049,0.01215035522545464
1660608138609077,-0.0419317921721216,0.7648432135500114,0.6657206073090718,-0.0043553890318157,-0.008319270780097,0.0167698194844299,0.0020695670132199,0.0032562490625047,-0.5589468754254551,-0.0043553786235707,-0.0083193147912576,0.0167699467559405,0.0020695696764077,0.003256250704929,-0.5589468750360289,0.012496300157457885
1660608138625077,-0.0431525139238573,0.764965285725185,0.6691386282139318,-0.0044161038127498,-0.0087284113769057,0.0172543197204676,0.0020356826353642,0.0034563692971956,-0.5589288049299007,-0.0044160930730607,-0.0087284560503153,0.0172544505710153,0.0020356853422471,0.0034563707757826,-0.5589288045539692,0.012735715375008881
1660608138641077,-0.045227740901808,0.7638666361486228,0.6657206073090718,-0.0044899000633703,-0.0091170194248211,0.0176195900018586,0.0019960753786428,0.0036579111747231,-0.5589105637725172,-0.0044898889876769,-0.0091170647481072,0.0176197244666892,0.0019960781260119,0.0036579124891933,-0.5589105634101669,0.012887827803328785
1660608138657076,-0.0468146791790644,0.7655756466010528,0.6654764629587246,-0.0045639463253132,-0.0094834997865903,0.0178772484050927,0.0019519484034669,0.003860034337421,-0.558892250252315,-0.0045639349090675,-0.0094835457472714,0.0178773865192521,0.0019519511881756,0.0038600354875937,-0.5588922499036221,0.012980807325651033
1660608138673076,-0.0442511635004194,0.7645990691996642,0.6649881742580304,-0.0046286445800156,-0.0098247698658084,0.0180593820256553,0.001904361839122,0.0040622898784896,-0.558873782145161,-0.004628632818682,-0.0098248164512949,0.0180595238239858,0.0019043646580859,0.0040622908642814,-0.5588737818101914,0.013037334607794866
1660608138689076,-0.0432745860990309,0.7671625848783092,0.6644998855573361,-0.0046797834924754,-0.0101413425335786,0.0182063427522922,0.001854103347066,0.004264345721145,-0.5588549707296919,-0.0046797713815311,-0.010141389731174,0.0182064882694295,0.0018541061972634,0.0042643465425678,-0.5588549704085017,0.013066289660635041
1660608138705076,-0.0419317921721216,0.7667963683527885,0.6631570916304268,-0.0047192062259855,-0.0104396522273441,0.0183507871432387,0.0018016199791141,0.0044659213678239,-0.5588356129199358,-0.0047191937609208,-0.0104397000242458,0.0183509364136083,0.0018016228575864,0.0044659220249831,-0.5588356126125718,0.013074601159689262
1660608138721076,-0.044373235675593,0.7656977187762264,0.6660868238345925,-0.0047541527781095,-0.0107276610821856,0.0185127725511776,0.0017470477794911,0.0046671182811713,-0.5588155774919233,-0.0047541399544284,-0.0107277094654863,0.0185129256089916,0.001747050683343,0.004667118774264,-0.5588155771984223,0.01308919838667305
1660608138737075,-0.0437628747997251,0.7659418631265735,0.6660868238345925,-0.004795657043711,-0.0110096946398462,0.0187012529495545,0.0016903212050025,0.004868408166489,-0.558794876887303,-0.0047956438569316,-0.0110097435965345,0.0187014098288081,0.0016903241314018,0.0048684084958022,-0.5587948766076928,0.013134525890768845
1660608138753075,-0.0421759365224687,0.7653315022507057,0.6647440299076832,-0.0048564121917213,-0.0112846445960018,0.0189122868384088,0.0016313319384382,0.0050699429843605,-0.5587737171801107,-0.0048563986373758,-0.0112846941129633,0.018912447572877,0.0016313348846166,0.0050699431502694,-0.55877371691441,0.013190868881415869
1660608138769075,-0.0444953078507666,0.764965285725185,0.6655985351338982,-0.0049484341232896,-0.0115475829727093,0.0191275332870411,0.0015701021495621,0.0052711959856954,-0.5587525086408928,-0.0049484201969253,-0.011547633036728,0.0191276979102754,0.0015701051128149,0.0052711959886614,-0.5587525083891116,0.0132142293877477
1660608138785075,-0.0415655756466009,0.7667963683527885,0.6665751125352868,-0.0050808335360044,-0.0117927899254637,0.0193195775504724,0.0015069103225433,0.0054713110605215,-0.5587318316478571,-0.0050808192331838,-0.011792840523223,0.0193197460957975,0.0015069133002296,0.0054713109010906,-0.5587318314099965,0.013179468557847417
1660608138801056,-0.0416876478217744,0.7674067292286564,0.6653543907835511,-0.0052580904840643,-0.0120147498297289,0.0194604097018394,0.0014423340155726,0.0056693641330075,-0.5587123725616457,-0.0052580758003653,-0.0120148009478125,0.0194605822023496,0.0014423370051158,0.0056693638118085,-0.5587123723376987,0.013076364499083533
1660608138817055,-0.0422980086976423,0.7687495231555657,0.6620584420538647,-0.0054792071649775,-0.0122067072599196,0.0195283079090029,0.0013772343096412,0.0058646665934432,-0.5586948395502089,-0.0054791920959941,-0.0122067588848128,0.0195284843975591,0.0013772373085284,0.0058646661111859,-0.5586948393401598,0.012913236495004787
1660608138833055,-0.0432745860990309,0.7700923170824749,0.6615701533531704,-0.005737959497471,-0.0123588760770508,0.0195142820923286,0.0013127093944037,0.0060573243077048,-0.5586798715893527,-0.0057379440388135,-0.0123589281951417,0.0195144626015549,0.0013127124001865,0.0060573236651783,-0.5586798713931783,0.012732908182869073
1660608138849055,-0.043518730449378,0.7702143892576485,0.6665751125352868,-0.0060242733041954,-0.0124579758014886,0.0194267946663656,0.0012500191436927,0.0062478841166637,-0.5586679726131192,-0.0060242574514912,-0.0124580283990692,0.0194269792286459,0.0012500221539867,0.0062478833147346,-0.558667972430788,0.012559964601124936
1660608138865055,-0.0442511635004194,0.7704585336079957,0.6642557412069889,-0.0063264752266807,-0.0124894381871723,0.0192902015527694,0.0011904849873574,0.0064363088787924,-0.5586594838161341,-0.0063264589755741,-0.0124894912504397,0.0192903902002442,0.0011904879998425,0.0064363079184031,-0.5586594836476072,0.012361777410010233
1660608138881055,-0.043518730449378,0.7708247501335164,0.6610818646524761,-0.0066338233591802,-0.0124405979698858,0.0191366181038925,0.0011353911697019,0.0066223374752653,-0.5586545764616304,-0.0066338067053333,-0.0124406514849433,0.0191368108684557,0.0011353941821223,0.0066223363574322,-0.5586545763068617,0.012129839494532535
1660608138897054,-0.0407110704203859,0.7700923170824749,0.6612039368276497,-0.0069384900909878,-0.0123021824237705,0.0189950748990341,0.0010859294929504,0.0068069333453416,-0.558653264634137,-0.0069384730300805,-0.012302236376629,0.0189952718123295,0.0010859325031141,0.0068069320711537,-0.5586532644930725,0.01194450279019414
1660608138913054,-0.0413214312962537,0.7686274509803921,0.6618142977035175,-0.0072362785083261,-0.0120693359880275,0.0188832344394372,0.0010432031442689,0.0069924222558523,-0.5586554535692095,-0.0072362610360569,-0.0120693903646067,0.0188834355328555,0.0010432061500482,0.0069924208264692,-0.5586554534417886,0.011897424260181826
1660608138929054,-0.0402227817196916,0.7688715953307392,0.6624246585793854,-0.0075258798784135,-0.0117427750585086,0.0188069248933475,0.0010082504135198,0.0071810580587845,-0.5586610073325482,-0.0075258619904997,-0.0117428298446381,0.0188071301980228,0.0010082534128511,0.0071810564754347,-0.5586610072187034,0.011995442464926526
1660608138945054,-0.0410772869459066,0.7737544823376821,0.6627908751049061,-0.0078071716753191,-0.0113284706029821,0.0187663377961231,0.0009820396771608,0.00737393021,-0.5586697939513224,-0.0078071533674971,-0.0113285257844028,0.0187665473429298,0.0009820426680442,0.0073739284739797,-0.5586697938509791,0.012177700240292461
1660608138961053,-0.0388799877927823,0.7714351110093842,0.661692225528344,-0.0080794816378757,-0.0108371512114676,0.0187599611402431,0.0009654294940437,0.0075710896386807,-0.5586816884782172,-0.0080794629059016,-0.0108372067738331,0.0187601749597928,0.0009654324745432,0.0075710877513513,-0.5586816883912947,0.01238844255226763
1660608138977053,-0.0370489051651787,0.7711909666590371,0.6602273594262611,-0.0083406232694294,-0.0102848573600801,0.01878180707591,0.0009591236505913,0.0077720123015022,-0.5586965497920217,-0.0083406041090793,-0.0102849132889575,0.0187820251985481,0.0009591266188344,0.0077720102642895,-0.5586965497184327,0.01259813644839408
1660608138993053,-0.0393682764934766,0.7728999771114671,0.6598611429007404,-0.008586976922134,-0.0096931809101729,0.018818174341106,0.0009636447313465,0.0079757381371074,-0.5587141936766031,-0.0085869573292046,-0.0096932371910448,0.0188183967969084,0.000963647685524,0.0079757359514994,-0.5587141936162545,0.012783650894208022
1660608139009053,-0.0376592660410466,0.7686274509803921,0.6637674525062947,-0.008814388722269,-0.0090890542554329,0.0188500701902042,0.0009793107354804,0.008181070900895,-0.5587343725003892,-0.0088143686925775,-0.0090891108736981,0.0188502970089744,0.0009793136738463,0.0081810685684405,-0.5587343724531816,0.012932238135814915
1660608139025053,-0.0374151216906994,0.7709468223086899,0.6624246585793854,-0.0090194445808227,-0.0085034508653556,0.0188594359144227,0.0010061875456747,0.0083870180320547,-0.5587567694426439,-0.009019424110208,-0.008503507806331,0.0188596671256883,0.0010061904665459,0.0083870155543615,-0.5587567694084721,0.013056099924564083
1660608139041052,-0.0393682764934766,0.7714351110093842,0.6597390707255668,-0.0092006737385228,-0.0079669194639116,0.0188344886527774,0.0010440350441127,0.0085930325021338,-0.558781016380506,-0.0092006528228452,-0.007966976712833,0.0188347242857872,0.0010440379458689,0.0085930298808673,-0.5587810163592594,0.013178804748250013
1660608139057052,-0.0393682764934766,0.7718013275349049,0.6593728542000461,-0.0093593239220707,-0.0075036492651462,0.0187725200302448,0.0010922926924486,0.0087987967757872,-0.5588067355178615,-0.0093593025572128,-0.0075037068071701,0.0187727601139654,0.0010922955735315,0.0087987940126685,-0.5588067355094238,0.013306661125831216
