Timestamp (microseconds),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),gyro vel x (dps),gyro vel y (dps),gyro vel z (dps),gyro disp x (deg),gyro disp y (deg),gyro disp z (deg),gyro vel x (dps),gyro vel y (dps),gyro vel z (dps),gyro disp x (deg),gyro disp y (deg),gyro disp z (deg)
1660608137841095,-1.251239795529045,-1.922636758983799,-2.105745021744042,-1.668495776697688,-2.702169912841542,-1.457381140045345,0,0,0,-1.668495776697687,-2.702169912841542,-1.457381140045344,0,0,0
1660608137857094,-1.312275883115944,-1.983672846570471,-1.922636758983799,-1.759905881499415,-2.804752938721662,-1.242491209068496,-0.02742721326557682,-0.04405538281250563,-0.02159897879291072,-1.759905881499416,-2.804752938721662,-1.242491209068495,-0.02742721326557682,-0.04405538281250564,-0.02159897879291072
1660608137873094,-1.312275883115944,-2.227817196917613,-1.922636758983799,-1.676205073277018,-2.947156772609776,-1.324918212277802,-0.05491610090378829,-0.09007066050315712,-0.0421382541636811,-1.676205073277017,-2.947156772609775,-1.324918212277801,-0.05491610090378828,-0.09007066050315715,-0.04213825416368109
1660608137889094,-1.068131532768803,-2.04470893415737,-2.105745021744042,-1.544111942935713,-2.8792953226312,-1.414562246668535,-0.08067863703349014,-0.1366822772650849,-0.06405409783525179,-1.544111942935713,-2.879295322631201,-1.414562246668535,-0.08067863703349012,-0.136682277265085,-0.06405409783525179
1660608137905094,-1.129167620355474,-1.800564583810228,-1.800564583810228,-1.509073860358879,-2.537649432813617,-1.161052249309268,-0.1051041234598469,-0.1800178353086435,-0.08465901380307421,-1.509073860358879,-2.537649432813617,-1.161052249309268,-0.1051041234598469,-0.1800178353086435,-0.08465901380307421
1660608137921094,-1.068131532768803,-1.434348058289515,-1.434348058289515,-1.485694696600997,-2.244339078582072,-0.8090186298440437,-0.1290622719155259,-0.218273743399809,-0.1004195808363007,-1.485694696600996,-2.244339078582071,-0.8090186298440428,-0.1290622719155259,-0.218273743399809,-0.1004195808363007
1660608137937093,-0.9460593575952316,-1.434348058289515,-1.373311970702616,-1.397485306830913,-2.195451809529141,-0.6961899449148247,-0.1521277119429812,-0.2537920705046987,-0.1124612494343716,-1.397485306830912,-2.195451809529142,-0.6961899449148243,-0.1521277119429811,-0.2537920705046987,-0.1124612494343716
1660608137953093,-0.9460593575952316,-1.434348058289515,-1.312275883115944,-1.314485217098776,-2.217915644063376,-0.6737981800563937,-0.1738234761344187,-0.2890990101334389,-0.1234211544341414,-1.314485217098776,-2.217915644063376,-0.6737981800563937,-0.1738234761344186,-0.2890990101334389,-0.1234211544341414
1660608137969093,-0.8239871824216607,-1.312275883115944,-1.190203707942374,-1.282948337594015,-2.102831707582459,-0.5547937473119748,-0.194602944571961,-0.3236649889466056,-0.1332498898530883,-1.282948337594015,-2.102831707582459,-0.5547937473119748,-0.194602944571961,-0.3236649889466056,-0.1332498898530883
1660608137985093,-0.8850232700083325,-1.129167620355474,-1.129167620355474,-1.286525996582145,-1.881743085133999,-0.4503257045580959,-0.2151587392453703,-0.3555415872883372,-0.1412908454680489,-1.286525996582146,-1.881743085133999,-0.4503257045580957,-0.2151587392453703,-0.3555415872883372,-0.1412908454680489
1660608138001093,-0.9460593575952316,-0.8850232700083325,-1.007095445181903,-1.346762550633142,-1.704512709811472,-0.4020254544467959,-0.2362250476230926,-0.384231633647901,-0.148109654740088,-1.346762550633142,-1.704512709811471,-0.4020254544467954,-0.2362250476230926,-0.384231633647901,-0.148109654740088
1660608138017092,-1.007095445181903,-0.8850232700083325,-1.007095445181903,-1.465565741913145,-1.620686292384423,-0.3069920319181335,-0.2587236739634629,-0.4108332256654681,-0.1537817946310075,-1.465565741913144,-1.620686292384423,-0.3069920319181331,-0.2587236739634629,-0.4108332256654681,-0.1537817946310074
1660608138033092,-1.129167620355474,-0.7629510948347615,-0.8239871824216607,-1.504411110206113,-1.57516522507271,-0.2227089386836599,-0.282483488780417,-0.4364000378051252,-0.1580194023958218,-1.504411110206111,-1.57516522507271,-0.2227089386836599,-0.2824834887804169,-0.4364000378051252,-0.1580194023958218
1660608138049092,-0.9460593575952316,-0.7019150072480898,-0.9460593575952316,-1.384664972518549,-1.470465245967644,-0.2693970494948724,-0.3055960974422143,-0.460765081573448,-0.1619562503012501,-1.38466497251855,-1.470465245967644,-0.2693970494948722,-0.3055960974422142,-0.460765081573448,-0.16195625030125
1660608138065092,-0.8850232700083325,-0.4577706569009479,-1.007095445181903,-1.306602756444384,-1.228716291286313,-0.3635503933238309,-0.3271262392739178,-0.4823585338714797,-0.1670198298437997,-1.306602756444384,-1.228716291286313,-0.3635503933238306,-0.3271262392739177,-0.4823585338714797,-0.1670198298437997
1660608138081092,-1.007095445181903,-0.1525902189669068,-1.007095445181903,-1.409253426840906,-0.9438365927098425,-0.3666973698263589,-0.3488530887402001,-0.4997389569434489,-0.1728618119490012,-1.409253426840906,-0.9438365927098428,-0.3666973698263584,-0.3488530887402,-0.4997389569434489,-0.1728618119490012
1660608138097091,-1.068131532768803,-0.03051804379333589,-0.9460593575952316,-1.497618003515099,-0.8111745895629974,-0.2915886702060436,-0.3721080601830482,-0.5137790464016316,-0.1781281002692604,-1.4976180035151,-0.8111745895629976,-0.2915886702060434,-0.372108060183048,-0.5137790464016316,-0.1781281002692604
1660608138113091,-1.007095445181903,-0.09155413138023505,-0.8850232700083325,-1.419792763506606,-0.8544305512060847,-0.2319114344130408,-0.3954473463192218,-0.5271038875277843,-0.1823161011062131,-1.419792763506605,-0.8544305512060845,-0.2319114344130408,-0.3954473463192217,-0.5271038875277843,-0.1823161011062131
1660608138129091,-0.8850232700083325,-0.1525902189669068,-0.8850232700083325,-1.302008002083478,-0.9512269200297485,-0.2472804090088033,-0.4172217524439424,-0.5415491472976709,-0.1861496358535878,-1.302008002083478,-0.9512269200297487,-0.2472804090088035,-0.4172217524439423,-0.5415491472976709,-0.1861496358535878
1660608138145091,-0.8239871824216607,-0.213626306553806,-0.9460593575952316,-1.246641481886901,-0.9862286252417322,-0.2943044031730035,-0.4376109483157055,-0.5570487916598428,-0.1904823143510423,-1.246641481886901,-0.9862286252417319,-0.2943044031730033,-0.4376109483157054,-0.5570487916598428,-0.1904823143510423
1660608138161071,-0.7629510948347615,-0.09155413138023505,-0.9460593575952316,-1.170306779213827,-0.8618745516958046,-0.2824011587227909,-0.4569465344045113,-0.5718336170753431,-0.1950959588462086,-1.170306779213827,-0.8618745516958046,-0.282401158722791,-0.4569465344045112,-0.5718336170753431,-0.1950959588462086
1660608138177071,-0.5798428320745188,0.213626306553806,-0.8239871824216607,-1.012201099984356,-0.5797486299552737,-0.2055434520715636,-0.4744065974380968,-0.5833666025285517,-0.1989995157325635,-1.012201099984356,-0.5797486299552735,-0.2055434520715636,-0.4744065974380967,-0.5833666025285517,-0.1989995157325634
1660608138193071,-0.4577706569009479,0.5188067444876197,-0.7629510948347615,-0.8545983274651987,-0.2579842707071639,-0.0868586876150988,-0.4893409928576932,-0.5900684657338512,-0.2013387328500568,-0.8545983274651987,-0.257984270707164,-0.08685868761509871,-0.4893409928576931,-0.5900684657338512,-0.2013387328500567
1660608138209071,-0.3356984817273769,0.7629510948347615,-0.5798428320745188,-0.7817556262522624,-0.000394305428587205,0.06081535538930138,-0.502431824487433,-0.5921354943429372,-0.2015470795078632,-0.7817556262522624,-0.0003943054285873437,0.06081535538930125,-0.5024318244874328,-0.5921354943429372,-0.2015470795078631
1660608138225071,-0.3967345693140487,0.9460593575952316,-0.4577706569009479,-0.7789847201663151,0.1399319611901424,0.1779427274681186,-0.5149177472587816,-0.5910191930968448,-0.1996370148450038,-0.7789847201663151,0.1399319611901426,0.1779427274681187,-0.5149177472587815,-0.5910191930968448,-0.1996370148450038
1660608138241070,-0.3356984817273769,0.9460593575952316,-0.3967345693140487,-0.787385995875746,0.1852151999391192,0.266985539190657,-0.527448712987118,-0.5884180158078107,-0.1960775887117336,-0.787385995875746,0.1852151999391192,0.2669855391906569,-0.5274487129871179,-0.5884180158078107,-0.1960775887117336
1660608138257070,-0.3356984817273769,1.007095445181903,-0.2746623941404778,-0.7303240875018524,0.2337484682769889,0.3778693778748092,-0.5395903936541389,-0.5850663064620819,-0.1909187493752099,-0.7303240875018524,0.2337484682769882,0.3778693778748096,-0.5395903936541387,-0.5850663064620819,-0.1909187493752098
1660608138273070,-0.1525902189669068,1.129167620355474,-0.1525902189669068,-0.5784792343692791,0.3154361727914218,0.4689408613274438,-0.550060820229108,-0.5806728293335346,-0.1841442674615918,-0.5784792343692791,0.3154361727914214,0.4689408613274435,-0.5500608202291078,-0.5806728293335346,-0.1841442674615918
1660608138289070,-0.03051804379333589,1.068131532768803,-0.1525902189669068,-0.4439214001803882,0.3389793993080567,0.52542885235652,-0.5582400253055053,-0.5754375047567387,-0.1761893097521201,-0.4439214001803882,0.3389793993080574,0.5254288523565201,-0.5582400253055052,-0.5754375047567387,-0.1761893097521201
1660608138305070,0.03051804379333589,1.068131532768803,-0.09155413138023505,-0.4019206893243436,0.2457693496331493,0.5519710019962581,-0.5650067620215432,-0.570759514765209,-0.1675701109172979,-0.4019206893243436,0.2457693496331492,0.551971001996258,-0.5650067620215431,-0.570759514765209,-0.1675701109172979
1660608138321069,0.03051804379333589,0.9460593575952316,-0.1525902189669068,-0.3586449635429843,0.1805887756518433,0.4693292226595361,-0.5710912872444819,-0.5673486497629291,-0.1593997091200516,-0.3586449635429843,0.1805887756518436,0.4693292226595364,-0.5710912872444818,-0.5673486497629291,-0.1593997091200515
1660608138337069,0.1525902189669068,1.068131532768803,-0.3356984817273769,-0.2891263692999664,0.3057228417924559,0.3492255134085709,-0.5762734579072255,-0.5634581568233747,-0.1528512712315067,-0.2891263692999664,0.3057228417924564,0.349225513408571,-0.5762734579072254,-0.5634581568233747,-0.1528512712315067
1660608138353069,0.1525902189669068,1.190203707942374,-0.2746623941404778,-0.2676250737161257,0.3837246745018335,0.3574985077779065,-0.5807274694513542,-0.5579425766930204,-0.1471974790620149,-0.2676250737161257,0.3837246745018337,0.3574985077779062,-0.5807274694513541,-0.5579425766930204,-0.1471974790620148
1660608138369069,0.09155413138023505,0.8850232700083325,-0.213626306553806,-0.2920309280158163,0.1234571028370252,0.4222054067382842,-0.5852047174652097,-0.5538851224743095,-0.1409598477458853,-0.2920309280158163,0.1234571028370256,0.4222054067382843,-0.5852047174652096,-0.5538851224743095,-0.1409598477458853
1660608138385069,0.09155413138023505,0.7019150072480898,-0.213626306553806,-0.3670440308810322,-0.092650103795669,0.4590837425856059,-0.5904773171363845,-0.5536386664819787,-0.1339095345512942,-0.3670440308810322,-0.09265010379566878,0.459083742585606,-0.5904773171363844,-0.5536386664819787,-0.1339095345512942
1660608138401068,-0.03051804379333589,1.007095445181903,-0.09155413138023505,-0.4342974971624647,0.2572159921251018,0.5420784658112523,-0.5968880493607325,-0.5523221393753432,-0.1259002368841193,-0.4342974971624647,0.2572159921251003,0.5420784658112521,-0.5968880493607324,-0.5523221393753432,-0.1259002368841193
1660608138417068,0.09155413138023505,1.739528496223329,-0.03051804379333589,-0.2979106711162967,0.9229600101381175,0.6234467320431263,-0.6027457147069626,-0.5428807313572375,-0.1165760353012843,-0.2979106711162967,0.922960010138119,0.6234467320431264,-0.6027457147069625,-0.5428807313572375,-0.1165760353012843
1660608138433068,0.4577706569009479,2.166781109330941,0.03051804379333589,-0.01066981183728322,1.399112829708979,0.6644425025367595,-0.6052143585705912,-0.5243041486384608,-0.1062729214246452,-0.01066981183728322,1.399112829708978,0.6644425025367593,-0.6052143585705911,-0.5243041486384606,-0.1062729214246452
1660608138449068,0.5188067444876197,2.349889372091184,0.1525902189669068,0.1429575688244948,1.608186272059283,0.838367865725789,-0.6041560565146935,-0.5002457558243146,-0.09425043847854482,0.1429575688244949,1.608186272059284,0.8383678657257891,-0.6041560565146934,-0.5002457558243145,-0.09425043847854479
1660608138465067,0.5798428320745188,2.410925459678083,0.5798428320745188,0.146870568701375,1.556354347374096,1.176000277031242,-0.6018374314144865,-0.4749294308688476,-0.07813549333648857,0.146870568701375,1.556354347374097,1.176000277031242,-0.6018374314144864,-0.4749294308688475,-0.07813549333648855
1660608138481079,0.5798428320745188,1.922636758983799,0.7629510948347615,0.1577448058266201,1.217426931382826,1.456935324592279,-0.5994005084182625,-0.4527391806387922,-0.0570720085235004,0.1577448058266202,1.217426931382825,1.456935324592279,-0.5994005084182624,-0.4527391806387921,-0.05707200852350038
1660608138497079,0.5798428320745188,1.617456321049758,0.9460593575952316,0.1720261099598681,0.7965897747174389,1.575546180841674,-0.5967623410919707,-0.4366270469899901,-0.03281215648002878,0.172026109959868,0.7965897747174386,1.575546180841674,-0.5967623410919706,-0.43662704698999,-0.03281215648002875
1660608138513078,0.5798428320745188,1.312275883115944,1.007095445181903,0.1578408321140712,0.5388840289198111,1.641481945779516,-0.5941234055553791,-0.4259432565608921,-0.00707593146705926,0.1578408321140713,0.5388840289198115,1.641481945779516,-0.594123405555379,-0.425943256560892,-0.007075931467059229
1660608138529078,0.5798428320745188,1.312275883115944,1.068131532768803,0.1584859902417707,0.5396230605608945,1.754751366632383,-0.5915927909765324,-0.4173151998450464,0.02009393503223594,0.1584859902417707,0.5396230605608933,1.754751366632383,-0.5915927909765323,-0.4173151998450463,0.02009393503223597
1660608138545078,0.5798428320745188,1.495384145876187,1.251239795529045,0.1740436457994813,0.7198204692545462,1.859303800164088,-0.5889325538882024,-0.4072396516065229,0.04900637636660771,0.1740436457994809,0.7198204692545463,1.859303800164088,-0.5889325538882023,-0.4072396516065228,0.04900637636660773
1660608138561078,0.6408789196611906,1.617456321049758,1.190203707942374,0.2085790750663335,0.8216903085117933,1.858893260239688,-0.5858715721212759,-0.3949075653843922,0.07875195284983791,0.2085790750663338,0.8216903085117933,1.858893260239688,-0.5858715721212758,-0.3949075653843921,0.07875195284983794
