Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m),stamp velocity (m/s),ax_linear,ay_linear,az_linear
1660170677194091,0.2030670634012361,0.9324483100633252,0.1745021744106205,0.0,0.0,0.0,-0.0021259777214968,-0.0006400344821997,-0.6389669138256804,0.0,0.0,0.0,0.0
1660170677210087,0.2224765392538339,0.9470969710841536,0.1914702067597469,-0.0002425288520727,0.000265741178988,-0.000754973694004,-0.0023799454106833,-0.0026059251384009,-0.6384405703361724,0.0004269849247197793,0.017468528267338024,0.01318379491874555,0.015271229114213775
1660170677226083,0.2016021972991533,0.9386739909971772,0.1691309987029834,-0.0013147074145336,0.0005229005525324,-0.0018427928588284,-0.002630618846972,-0.0040160598966678,-0.6379003612079501,0.0003892946221834007,-0.0030652323186083352,0.00428473334859214,-0.006361181048294778
1660170677242079,0.1664454108491649,0.9522240024414436,0.1381246662088964,-0.0031532127614817,0.0007818469291051,-0.0031816112884438,-0.0028757399404142,-0.0046676616766367,-0.6373648320170798,0.000739219299045332,-0.034399816891737045,0.016051270313572674,-0.03363076218814359
1660170677258075,0.1952544441901276,0.9536888685435264,0.1729152361333641,-0.0056475584223911,0.001114342141037,-0.0046508123316206,-0.0031132904649003,-0.005223662619627,-0.6368430479611671,0.0009621245052920178,-0.0050317051956969006,0.015764522774090017,0.001043826962691674
1660170677274071,0.2222323949034868,0.9491721980621044,0.1787747005416955,-0.0086465668843283,0.0015802662941483,-0.006043470781049,-0.0033416491478226,-0.0063777943178998,-0.636337403430464,0.0009943287549251019,0.019751620965896055,0.01012306706340127,0.006212962233920788
1660170677290067,0.2077058060578318,0.961257343404288,0.1848783093003741,-0.0119696632237546,0.0021781896627625,-0.0072038520548128,-0.0035602390859727,-0.0077719913034757,-0.6358554224324748,0.0012744431752042089,0.00470252890821693,0.019987391165026347,0.01108491389333946
1660170677306063,0.1995269703212026,0.971511406118868,0.177798123140307,-0.015424962231902,0.002874518025185,-0.0081346357778587,-0.0037693368907455,-0.0094808469513456,-0.6353975561646013,0.0017073991989052192,-0.003128676145571052,0.02721730849164572,0.003604254959945097
1660170677322059,0.2118562600137333,0.9511253528648816,0.1892729076066226,-0.0188328624242481,0.0036469284999928,-0.0089394236978417,-0.0039691801286946,-0.011102868645132,-0.6349693275050813,0.0018138937406622312,0.008280552192263702,0.0061481297138934465,0.013571135483634617
1660170677338055,0.1948882276646069,0.9447775997558558,0.162417029068437,-0.0220494358572819,0.0044521237322188,-0.0097356920171395,-0.0041595754025812,-0.0125292483667855,-0.6345718099818121,0.0018021307026675358,-0.007818732141176454,-0.00017966105561917356,-0.011956268749095916
1660170677354051,0.1947661554894333,0.950148775463493,0.1619287403677427,-0.0249837649733102,0.0051804844323724,-0.0106250579206192,-0.0043405111157095,-0.0137881390364231,-0.6342019403101704,0.001893748537350692,-0.007146723884715073,0.004672363186816186,-0.0112001017048112
1660170677370047,0.2199130235751889,0.9613794155794616,0.1868314641031512,-0.0276050262830307,0.0057105183558178,-0.0117005464890796,-0.0045127970658212,-0.014951426396194,-0.6338541919417534,0.002107103338055721,0.01620012978093649,0.01431270297250642,0.012332359827537553
1660170677386043,0.2056305790798811,0.9502708476386664,0.1823147936217291,-0.0299385620499475,0.0059993740913558,-0.0130690384509052,-0.0046775809111819,-0.0159376700125867,-0.6335267559074578,0.00215748264771737,0.0017259167570658207,0.0028837215285401063,0.007034120411503891
