Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow Green X,Elbow Green Y,Timestamp (microseconds),angles,Seconds,Shoulder Pink X meters,Hand Pink X meters,Elbow Green X meters,Shoulder Pink Y meters,Hand Pink Y meters,Elbow Green Y meters,angular velocity
1.0,315.1913452,865.4703979,863.0279541,1020.465027,544.913269,1019.903076,1659661326090000.0,146.189882444426,0.0,0.2675183963798352,0.7324942699974938,0.4624946912691237,-0.7345672921745756,-0.866118856821787,-0.8656419013702704,
2.0,315.0140076,865.4389038,863.0279541,1020.465027,544.913269,1019.903076,1659661326106666.5,146.20494253317483,0.0166665,0.2673678812369155,0.7324942699974938,0.4624946912691237,-0.7345405615829661,-0.866118856821787,-0.8656419013702704,0.015060088748839462
3.0,315.0140076,865.4389038,863.0211182,1020.415466,544.7871094,1019.849915,1659661326123333.2,146.20012362608642,0.03333325,0.2673678812369155,0.7324884680329612,0.462387613411835,-0.7345405615829661,-0.8660767919635831,-0.8655967810150115,-0.004818907088406377
4.0,314.7941589,865.6002808,863.0211182,1020.415466,544.9697266,1019.914124,1659661326139999.8,146.25170336985502,0.04999975,0.2671812848326491,0.7324884680329612,0.4625426096109356,-0.7346775301796932,-0.8660767919635831,-0.8656512783512319,0.051579743768598973
5.0,314.7941589,865.6002808,863.0211182,1020.415466,544.9697266,1019.914124,1659661326156666.5,146.25170336985502,0.0666665,0.2671812848326491,0.7324884680329612,0.4625426096109356,-0.7346775301796932,-0.8660767919635831,-0.8656512783512319,0.0
6.0,314.7033997,865.7129517,862.9824219,1020.461243,544.913269,1019.903076,1659661326173333.2,146.28713426563172,0.08333325,0.2671042530358994,0.7324556245799937,0.4624946912691237,-0.7347731595138919,-0.8661156451548827,-0.8656419013702704,0.03543089577669889
7.0,314.7033997,865.7129517,863.0279541,1020.465027,544.9697266,1019.914124,1659661326189999.8,146.29042699018063,0.09999975,0.2671042530358994,0.7324942699974938,0.4625426096109356,-0.7347731595138919,-0.866118856821787,-0.8656512783512319,0.003292724548913384
8.0,314.7033997,865.7129517,863.0279541,1020.465027,544.9697266,1019.914124,1659661326206666.5,146.29042699018063,0.1166665,0.2671042530358994,0.7324942699974938,0.4625426096109356,-0.7347731595138919,-0.866118856821787,-0.8656512783512319,0.0
9.0,314.7941589,865.6002808,863.0279541,1020.465027,544.9697266,1019.914124,1659661326223333.2,146.2606294428979,0.13333325,0.2671812848326491,0.7324942699974938,0.4625426096109356,-0.7346775301796932,-0.866118856821787,-0.8656512783512319,-0.0297975472827261
10.0,314.7941589,865.6002808,863.0279541,1020.465027,544.9697266,1019.914124,1659661326240000.0,146.2606294428979,0.15,0.2671812848326491,0.7324942699974938,0.4625426096109356,-0.7346775301796932,-0.866118856821787,-0.8656512783512319,0.0
