Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Head Pink X,Head Pink Y,Elbow Green X,Elbow Green Y,angles,Timestamp (microseconds),Seconds,Shoulder Pink X meters,Hand Pink X meters,Head Pink X meters,Elbow Green X meters,Shoulder Pink Y meters,Hand Pink Y meters,Head Pink Y meters,Elbow Green Y meters,angular velocity
1.0,315.7145081,1183.173828,845.5542603,1270.890137,323.6236572,988.6688232,537.5,1288.5,151.32516431662387,1658797033000000.0,0.0,0.2711469689480953,0.726192394962333,0.2779396305154387,0.4616243221975686,-1.016152216544005,-1.091486135963163,-0.8491043263024517,-1.1066101193517528,
2.0,315.7145081,1183.173828,845.5542603,1270.890137,323.6236572,988.6688232,537.5,1288.5,151.32516431662387,1658797033016666.8,0.01666675,0.2711469689480953,0.726192394962333,0.2779396305154387,0.4616243221975686,-1.016152216544005,-1.091486135963163,-0.8491043263024517,-1.1066101193517528,0.0
3.0,315.7145081,1183.173828,845.5,1271.101807,323.6236572,988.6688232,537.5,1288.5,151.36383838512438,1658797033033333.2,0.03333325,0.2711469689480953,0.7261457942661288,0.2779396305154387,0.4616243221975686,-1.016152216544005,-1.0916679257683342,-0.8491043263024517,-1.1066101193517528,2.320467314703882
4.0,315.7145081,1183.173828,845.5,1271.101807,323.6236572,988.6688232,537.5,1288.5,151.36383838512438,1658797033050000.0,0.05,0.2711469689480953,0.7261457942661288,0.2779396305154387,0.4616243221975686,-1.016152216544005,-1.0916679257683342,-0.8491043263024517,-1.1066101193517528,0.0
5.0,315.7145081,1183.173828,845.5,1271.101807,323.6236572,988.6688232,537.5,1288.5,151.36383838512438,1658797033066666.5,0.0666665,0.2711469689480953,0.7261457942661288,0.2779396305154387,0.4616243221975686,-1.016152216544005,-1.0916679257683342,-0.8491043263024517,-1.1066101193517528,0.0
6.0,315.6966858,1183.463989,845.5,1271.101807,323.6934204,988.8950806,537.5,1288.5,151.4268154857967,1658797033083333.2,0.08333325,0.2711316625161745,0.7261457942661288,0.2779995456594653,0.4616243221975686,-1.0164014172415925,-1.0916679257683342,-0.8492986442911348,-1.1066101193517528,3.7786071473039105
7.0,315.6966858,1183.463989,845.5,1271.101807,323.6934204,988.8950806,537.5,1288.5,151.4268154857967,1658797033100000.0,0.1,0.2711316625161745,0.7261457942661288,0.2779995456594653,0.4616243221975686,-1.0164014172415925,-1.0916679257683342,-0.8492986442911348,-1.1066101193517528,0.0
8.0,315.6966858,1183.463989,845.5,1271.101807,323.6934204,988.8950806,537.5,1288.5,151.4268154857967,1658797033116666.5,0.1166665,0.2711316625161745,0.7261457942661288,0.2779995456594653,0.4616243221975686,-1.0164014172415925,-1.0916679257683342,-0.8492986442911348,-1.1066101193517528,0.0
9.0,315.6966858,1183.463989,845.5,1271.101807,323.6730042,988.755249,537.5,1288.5,151.4268154857967,1658797033133333.5,0.1333335,0.2711316625161745,0.7261457942661288,0.2779820114929781,0.4616243221975686,-1.0164014172415925,-1.0916679257683342,-0.84917855188635,-1.1066101193517528,0.0
10.0,315.6966858,1183.463989,845.5,1271.101807,323.6730042,988.755249,537.5,1288.5,151.4268154857967,1658797033150000.0,0.15,0.2711316625161745,0.7261457942661288,0.2779820114929781,0.4616243221975686,-1.0164014172415925,-1.0916679257683342,-0.84917855188635,-1.1066101193517528,0.0
11.0,315.6966858,1183.463989,845.5,1271.101807,323.6730042,988.755249,537.5,1288.5,151.4268154857967,1658797033166666.8,0.16666675,0.2711316625161745,0.7261457942661288,0.2779820114929781,0.4616243221975686,-1.0164014172415925,-1.0916679257683342,-0.84917855188635,-1.1066101193517528,0.0
12.0,315.6966858,1183.463989,845.4457397,1270.890137,323.6730042,988.755249,537.6599731,1289.5,151.0052201607566,1658797033183333.5,0.1833335,0.2711316625161745,0.7260991935699246,0.2779820114929781,0.4617617128466055,-1.0164014172415925,-1.091486135963163,-0.84917855188635,-1.1074689553000274,-25.29559302444095
13.0,315.6966858,1183.463989,845.4457397,1270.890137,323.6730042,988.755249,537.6599731,1289.5,151.0052201607566,1658797033200000.0,0.2,0.2711316625161745,0.7260991935699246,0.2779820114929781,0.4617617128466055,-1.0164014172415925,-1.091486135963163,-0.84917855188635,-1.1074689553000274,0.0
14.0,315.6966858,1183.463989,845.5,1271.101807,323.5494995,988.5858765,537.6599731,1289.5,151.04508315718192,1658797033216666.8,0.21666675,0.2711316625161745,0.7261457942661288,0.2778759412168373,0.4617617128466055,-1.0164014172415925,-1.0916679257683342,-0.849033088694701,-1.1074689553000274,2.3917678266796623
15.0,315.6966858,1183.463989,845.5,1271.101807,323.5494995,988.5858765,537.6599731,1289.5,151.04508315718192,1658797033233333.2,0.23333325,0.2711316625161745,0.7261457942661288,0.2778759412168373,0.4617617128466055,-1.0164014172415925,-1.0916679257683342,-0.849033088694701,-1.1074689553000274,0.0
16.0,315.6966858,1183.463989,845.5,1271.101807,323.5494995,988.5858765,537.6599731,1289.5,151.04508315718192,1658797033250000.0,0.25,0.2711316625161745,0.7261457942661288,0.2778759412168373,0.4617617128466055,-1.0164014172415925,-1.0916679257683342,-0.849033088694701,-1.1074689553000274,0.0
17.0,315.7079468,1183.718994,845.6708374,1271.29187,323.5,988.5,537.6599731,1289.5,151.1346954826812,1658797033266666.8,0.26666675,0.271141333867788,0.7262925155665585,0.2778334292668157,0.4617617128466055,-1.0166204247025818,-1.0918311587051712,-0.8489593348693889,-1.1074689553000274,5.376712646393233
