Frame #,Index Pink X,Index Pink Y,Thumb Pink X,Thumb Pink Y,Hand Green X,Hand Green Y,Timestamp (microseconds),Seconds
1,246.2873535,885.2873535,285.5,919,541.9238892,1057.884033,1.66079E+15,0
2,246.2873535,885.2873535,285.5,919,542.1846924,1057.396362,1.66079E+15,0.01666675
3,246.2873535,885.2873535,285.5,919,542.5,1057.5,1.66079E+15,0.03333325
4,247.1136322,884.9545288,287.323822,917.7619019,542.7243042,1057.250977,1.66079E+15,0.05
5,248.1358032,883.3086548,287.5,917,542.7243042,1057.250977,1.66079E+15,0.0666665
6,250.1411438,883.4264526,284.3283386,917.305481,543.5,1055.5,1.66079E+15,0.08333325
7,250.1411438,883.4264526,284.3283386,917.305481,543.5,1055.5,1.66079E+15,0.1
8,250.6144714,885.0319824,289.323822,916.3237915,544.5,1055,1.66079E+15,0.1166665
9,250.6144714,885.0319824,289.323822,916.3237915,544.5810547,1054.973022,1.66079E+15,0.1333335
10,250.6144714,885.0319824,289.323822,916.3237915,545,1054.5,1.66079E+15,0.15
11,250.6144714,885.0319824,289.323822,916.3237915,545.0922241,1054,1.66079E+15,0.16666675
12,250.6144714,885.0319824,289.323822,916.3237915,545.0922241,1054,1.66079E+15,0.1833335
13,250.6144714,885.0319824,289.323822,916.3237915,545.3102417,1053.844849,1.66079E+15,0.2
14,250.6144714,885.0319824,289.323822,916.3237915,545.3102417,1053.844849,1.66079E+15,0.21666675
15,250.6144714,885.0319824,289.323822,916.3237915,545.3102417,1053.844849,1.66079E+15,0.23333325
16,250.6144714,885.0319824,289.323822,916.3237915,545.3102417,1053.844849,1.66079E+15,0.25
17,250.6144714,885.0319824,289.323822,916.3237915,545.3174438,1053.682495,1.66079E+15,0.26666675
18,250.6144714,885.0319824,289.323822,916.3237915,545.3174438,1053.682495,1.66079E+15,0.28333325
19,250.6144714,885.0319824,289.323822,916.3237915,544.9144287,1053.94104,1.66079E+15,0.3
20,250.6144714,885.0319824,289.323822,916.3237915,544.6949463,1054.084961,1.66079E+15,0.3166665
21,250.6144714,885.0319824,289.323822,916.3237915,544.4456177,1054.185913,1.66079E+15,0.33333325
22,250.6144714,885.0319824,289.323822,916.3237915,544.4158325,1054.254272,1.66079E+15,0.35
23,250.6144714,885.0319824,289.323822,916.3237915,544.1022949,1054.102295,1.66079E+15,0.3666665
24,250.6144714,885.0319824,289.323822,916.3237915,544.6057739,1054.086548,1.66079E+15,0.3833335
25,250.6144714,885.0319824,289.323822,916.3237915,545.3102417,1053.844849,1.66079E+15,0.4
26,250.6144714,885.0319824,289.323822,916.3237915,545.3102417,1053.844849,1.66079E+15,0.41666675
27,250.6144714,885.0319824,289.323822,916.3237915,545.5,1053.666626,1.66079E+15,0.4333335
28,250.6144714,885.0319824,289.323822,916.3237915,545.5,1053.666626,1.66079E+15,0.45
29,250.6144714,885.0319824,289.323822,916.3237915,545.3102417,1053.844849,1.66079E+15,0.46666675
30,250.6144714,885.0319824,289.323822,916.3237915,545.3102417,1053.844849,1.66079E+15,0.48333325
31,250.6144714,885.0319824,289.323822,916.3237915,545.3102417,1053.844849,1.66079E+15,0.5
32,250.6144714,885.0319824,289.323822,916.3237915,545,1054,1.66079E+15,0.51666675
33,250.6144714,885.0319824,289.323822,916.3237915,544.8977051,1054.102295,1.66079E+15,0.53333325
34,250.6144714,885.0319824,289.323822,916.3237915,544.8977051,1054.102295,1.66079E+15,0.55
35,250.6144714,885.0319824,289.323822,916.3237915,544.8977051,1054.102295,1.66079E+15,0.5666665
36,250.6144714,885.0319824,289.323822,916.3237915,544.8977051,1054.102295,1.66079E+15,0.58333325
37,250.6144714,885.0319824,289.323822,916.3237915,544.8977051,1054.102295,1.66079E+15,0.6
38,250.6144714,885.0319824,289.323822,916.3237915,544.8977051,1054.102295,1.66079E+15,0.6166665
39,250.6144714,885.0319824,289.323822,916.3237915,544.8156738,1054.184326,1.66079E+15,0.6333335
40,250.6144714,885.0319824,289.323822,916.3237915,544.7457275,1054.584229,1.66079E+15,0.65
41,250.6144714,885.0319824,289.323822,916.3237915,544.7457275,1054.584229,1.66079E+15,0.66666675
42,250.6144714,885.0319824,289.323822,916.3237915,544.7457275,1054.584229,1.66079E+15,0.6833335
43,250.6144714,885.0319824,289.323822,916.3237915,544.8479004,1054.779907,1.66079E+15,0.7
44,250.6144714,885.0319824,289.323822,916.3237915,544.3146362,1054.741455,1.66079E+15,0.71666675
45,250.6144714,885.0319824,289.323822,916.3237915,544.3146362,1054.741455,1.66079E+15,0.73333325
46,250.6144714,885.0319824,289.323822,916.3237915,544.3146362,1054.741455,1.66079E+15,0.75
47,250.6144714,885.0319824,289.323822,916.3237915,544.5681763,1054.465942,1.66079E+15,0.76666675
48,250.6144714,885.0319824,289.323822,916.3237915,544.5814209,1054.37207,1.66079E+15,0.78333325
49,250.6144714,885.0319824,289.323822,916.3237915,544.5814209,1054.37207,1.66079E+15,0.8
50,262.5,883.5,288.7371216,915.8618164,544.8562622,1053.96936,1.66079E+15,0.8166665
51,262.5,883.5,288.7371216,915.8618164,545,1053.907837,1.66079E+15,0.83333325
52,262.5,883.5,288.7371216,915.8618164,545.1800537,1053.720337,1.66079E+15,0.85
53,262.5,883.5,288.7371216,915.8618164,545.1843262,1053.815674,1.66079E+15,0.8666665
54,262.5,883.5,288.7371216,915.8618164,545.5,1053.5,1.66079E+15,0.8833335
55,262.5,883.5,288.7371216,915.8618164,545.5,1053.666626,1.66079E+15,0.9
56,262.5,883.5,288.7371216,915.8618164,545.3174438,1053.317505,1.66079E+15,0.91666675
57,262.5,883.5,288.7371216,915.8618164,545.3174438,1053.317505,1.66079E+15,0.9333335
58,262.5,883.5,288.7371216,915.8618164,545.3174438,1053.317505,1.66079E+15,0.95
59,262.5,883.5,288.7371216,915.8618164,545,1053.092163,1.66079E+15,0.96666675
60,262.5,883.5,288.7371216,915.8618164,545,1053.092163,1.66079E+15,0.98333325
61,262.5,883.5,288.7371216,915.8618164,545,1053.092163,1.66079E+15,1
62,262.5,883.5,288.7371216,915.8618164,545,1053.092163,1.66079E+15,1.01666675
63,262.5,883.5,288.7371216,915.8618164,545,1053.092163,1.66079E+15,1.03333325
64,262.5,883.5,288.7371216,915.8618164,545.1976318,1052.775757,1.66079E+15,1.05
65,262.5,883.5,288.7371216,915.8618164,545.1976318,1052.775757,1.66079E+15,1.0666665
66,262.5,883.5,288.7371216,915.8618164,545.1976318,1052.775757,1.66079E+15,1.08333325
67,262.5,883.5,288.7371216,915.8618164,545.1976318,1052.775757,1.66079E+15,1.1
68,262.5,883.5,288.7371216,915.8618164,545.3215332,1052.722656,1.66079E+15,1.1166665
69,262.5,883.5,288.7371216,915.8618164,545.2550659,1052.744873,1.66079E+15,1.1333335
70,262.5,883.5,288.7371216,915.8618164,545.3389282,1052.661011,1.66079E+15,1.15
71,262.5,883.5,288.7371216,915.8618164,545.583313,1052.938232,1.66079E+15,1.16666675
72,262.5,883.5,288.7371216,915.8618164,545.583313,1052.938232,1.66079E+15,1.1833335
73,262.5,883.5,288.7371216,915.8618164,545.4411621,1053.078491,1.66079E+15,1.2
74,262.5,883.5,288.7371216,915.8618164,545.4500122,1053.591675,1.66079E+15,1.21666675
75,262.5,883.5,288.7371216,915.8618164,545.5,1053.842285,1.66079E+15,1.23333325
76,262.5,883.5,288.7371216,915.8618164,545.5,1053.842285,1.66079E+15,1.25
77,262.5,883.5,288.7371216,915.8618164,545.6610718,1054.338989,1.66079E+15,1.26666675
78,262.5,883.5,288.7371216,915.8618164,545.5645142,1054.47583,1.66079E+15,1.28333325
79,262.5,883.5,288.7371216,915.8618164,545.333313,1054.649292,1.66079E+15,1.3
80,262.5,883.5,288.7371216,915.8618164,545.2678223,1054.672363,1.66079E+15,1.3166665
81,262.5,883.5,288.7371216,915.8618164,545.1976318,1054.775757,1.66079E+15,1.33333325
82,262.5,883.5,288.7371216,915.8618164,545.1976318,1054.775757,1.66079E+15,1.35
83,262.5,883.5,288.7371216,915.8618164,545.1976318,1054.775757,1.66079E+15,1.3666665
84,262.5,883.5,288.7371216,915.8618164,545.1976318,1054.775757,1.66079E+15,1.3833335
85,262.5,883.5,288.7371216,915.8618164,545.1976318,1054.775757,1.66079E+15,1.4
86,262.5,883.5,288.7371216,915.8618164,545.1976318,1054.775757,1.66079E+15,1.41666675
87,262.5,883.5,288.7371216,915.8618164,545.1327515,1054.940674,1.66079E+15,1.4333335
88,262.5,883.5,288.7371216,915.8618164,545.0782471,1055.023193,1.66079E+15,1.45
89,262.5,883.5,288.7371216,915.8618164,545.0782471,1055.023193,1.66079E+15,1.46666675
90,262.5,883.5,288.7371216,915.8618164,545.0782471,1055.023193,1.66079E+15,1.48333325
91,262.5,883.5,288.7371216,915.8618164,544.755188,1055.253662,1.66079E+15,1.5
92,262.5,883.5,288.7371216,915.8618164,544.4411621,1055.039185,1.66079E+15,1.51666675
93,262.5,883.5,288.7371216,915.8618164,543.8046265,1055.091919,1.66079E+15,1.53333325
94,262.5,883.5,288.7371216,915.8618164,543.857605,1055.427246,1.66079E+15,1.55
95,262.5,883.5,288.7371216,915.8618164,543.6958008,1055.608398,1.66079E+15,1.5666665
96,262.5,883.5,288.7371216,915.8618164,543.5,1055.5,1.66079E+15,1.58333325
97,262.5,883.5,288.7371216,915.8618164,543.1265259,1055.5,1.66079E+15,1.6
98,262.5,883.5,288.7371216,915.8618164,543.3102417,1055.844849,1.66079E+15,1.6166665
99,262.5,883.5,288.7371216,915.8618164,542.6378784,1055.831299,1.66079E+15,1.6333335
100,262.5,883.5,288.7371216,915.8618164,542.6378784,1055.831299,1.66079E+15,1.65
101,262.5,883.5,288.7371216,915.8618164,542.3560791,1055.943237,1.66079E+15,1.66666675
102,262.5,883.5,288.7371216,915.8618164,542.1983032,1056.282715,1.66079E+15,1.6833335
103,262.5,883.5,288.7371216,915.8618164,541.9224854,1056.158936,1.66079E+15,1.7
104,262.5,883.5,288.7371216,915.8618164,541.5,1056.5,1.66079E+15,1.71666675
105,262.5,883.5,288.7371216,915.8618164,540.9495239,1056.861938,1.66079E+15,1.73333325
106,262.5,883.5,288.7371216,915.8618164,540.1721802,1056.615356,1.66079E+15,1.75
107,262.5,883.5,288.7371216,915.8618164,539.6897583,1056.844849,1.66079E+15,1.76666675
108,262.5,883.5,288.7371216,915.8618164,539.3102417,1057.155151,1.66079E+15,1.78333325
109,262.5,883.5,288.7371216,915.8618164,539.2714844,1056.822632,1.66079E+15,1.8
110,262.5,883.5,288.7371216,915.8618164,539.1577148,1057.5,1.66079E+15,1.8166665
111,262.5,883.5,288.7371216,915.8618164,537.9371338,1057.3396,1.66079E+15,1.83333325
112,262.5,883.5,288.7371216,915.8618164,537.857605,1057.427246,1.66079E+15,1.85
113,262.5,883.5,288.7371216,915.8618164,537.6610718,1057.661011,1.66079E+15,1.8666665
114,262.5,883.5,288.7371216,915.8618164,537.5,1057.842285,1.66079E+15,1.8833335
115,262.5,883.5,288.7371216,915.8618164,537.3174438,1057.682495,1.66079E+15,1.9
116,262.5,883.5,288.7371216,915.8618164,537.3174438,1057.682495,1.66079E+15,1.91666675
117,262.5,883.5,288.7371216,915.8618164,537.1577148,1057.5,1.66079E+15,1.9333335
118,262.5,883.5,288.7371216,915.8618164,536.397583,1058.171265,1.66079E+15,1.95
119,262.5,883.5,288.7371216,915.8618164,536.5,1058.5,1.66079E+15,1.96666675
120,262.5,883.5,288.7371216,915.8618164,536.397583,1058.171265,1.66079E+15,1.98333325
