Frame #,Body Pink X,Body Pink Y,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds
37.0,449.7290039,1254.254761,454.27005,1645.020386,306.1966248,979.0617676,347.7322083,1251.327637,1660000935476669.8,0.6660726953141729,0.59999975
38.0,449.7290039,1254.254761,454.27005,1645.020386,306.1966248,979.0617676,348.0588379,1250.792725,1660000935493336.5,0.6660726953141729,0.6166665
39.0,449.7290039,1254.254761,454.27005,1645.020386,306.1966248,979.0617676,348.7268066,1250.791992,1660000935510003.2,0.6660726953141729,0.63333325
40.0,449.7290039,1254.254761,454.27005,1645.020386,306.3790588,979.1066895,349.6359253,1250.685547,1660000935526670.0,0.6660886015034914,0.65
41.0,449.7290039,1254.254761,454.27005,1645.020386,306.4931641,979.1208496,349.6349182,1250.195801,1660000935543336.8,0.6660839696466352,0.66666675
42.0,449.7290039,1254.254761,454.27005,1645.020386,307.1257629,978.1716309,349.8864746,1250.214966,1660000935560003.2,0.6649871819756487,0.68333325
43.0,449.7290039,1254.254761,454.27005,1645.020386,307.3762207,978.1091919,349.8864746,1250.214966,1660000935576670.0,0.6648790012873794,0.7
44.0,449.7290039,1254.254761,454.27005,1645.020386,308.1003723,977.9147949,350.98172,1249.981689,1660000935593336.5,0.6645507519685476,0.7166665
45.0,449.7290039,1254.254761,454.27005,1645.020386,308.2399292,977.9780273,351.0985413,1249.907715,1660000935610003.2,0.664591975375494,0.73333325
46.0,449.7290039,1254.254761,454.27005,1645.020386,308.3333435,977.8190308,351.2767029,1249.943359,1660000935626670.0,0.6644102963277568,0.75
47.0,449.7290039,1254.254761,454.27005,1645.020386,308.5344849,977.7337036,351.4500122,1249.607178,1660000935643336.5,0.6642861628173299,0.7666665
48.0,449.7290039,1254.254761,454.27005,1645.020386,308.6585999,977.6161499,351.321991,1249.766479,1660000935660003.2,0.6641421055619112,0.78333325
49.0,449.7290039,1254.254761,454.27005,1645.020386,308.7958374,977.5187378,351.321991,1249.766479,1660000935676669.8,0.6640166192587407,0.79999975
50.0,449.7290039,1254.254761,454.27005,1645.020386,308.6647034,977.8499146,351.2706909,1249.796387,1660000935693336.5,0.6643838694829277,0.8166665
51.0,449.7290039,1254.254761,454.27005,1645.020386,308.605011,977.8400879,350.8933411,1250.026611,1660000935710003.2,0.6643842245310532,0.83333325
52.0,449.7290039,1254.254761,454.27005,1645.020386,308.6647034,977.8499146,350.6054382,1250.30835,1660000935726669.8,0.6643838694829277,0.84999975
53.0,449.7290039,1254.254761,454.27005,1645.020386,308.5397644,977.7879028,350.6054382,1250.30835,1660000935743336.5,0.664341537816368,0.8666665
54.0,449.7290039,1254.254761,454.27005,1645.020386,308.5397644,977.7879028,349.8641052,1250.469238,1660000935760003.2,0.664341537816368,0.88333325
55.0,449.7290039,1254.254761,454.27005,1645.020386,308.5,978.0,349.7719421,1250.408569,1660000935776670.0,0.6645689989522245,0.9
56.0,449.7290039,1254.254761,454.27005,1645.020386,308.3521729,977.8719482,349.4307556,1250.93335,1660000935793336.8,0.6644619686746727,0.91666675
57.0,449.7290039,1254.254761,454.27005,1645.020386,308.5,978.0,349.1111145,1250.76355,1660000935810003.2,0.6645689989522245,0.93333325
58.0,449.7290039,1254.254761,454.27005,1645.020386,308.4666748,978.1711426,349.4307556,1250.93335,1660000935826670.0,0.6647528532659933,0.95
59.0,449.7290039,1254.254761,454.27005,1645.020386,308.4438171,978.1591797,349.209259,1250.970825,1660000935843336.5,0.6647444425094906,0.9666665
60.0,449.7290039,1254.254761,454.27005,1645.020386,308.4666748,978.1711426,349.4307556,1250.93335,1660000935860003.2,0.6647528532659933,0.98333325
61.0,449.7290039,1254.254761,454.27005,1645.020386,308.6478271,978.1280518,349.1357117,1250.902344,1660000935876670.0,0.6646760185387395,1.0
62.0,449.7290039,1254.254761,454.27005,1645.020386,308.3482361,978.8137817,349.1357117,1250.902344,1660000935893336.5,0.6654428083508906,1.0166665
63.0,449.7290039,1254.254761,454.27005,1645.020386,308.293335,978.8590698,348.7524414,1251.5,1660000935910003.2,0.665499664054745,1.03333325
64.0,449.7290039,1254.254761,454.27005,1645.020386,308.3521729,978.8719482,348.3916626,1251.108276,1660000935926669.8,0.6655027383483845,1.04999975
65.0,449.7290039,1254.254761,454.27005,1645.020386,308.181488,978.9666748,348.767334,1251.74939,1660000935943336.5,0.6656314762082316,1.0666665
66.0,449.7290039,1254.254761,454.27005,1645.020386,308.1907654,979.3291626,347.9683838,1251.165405,1660000935960003.2,0.666007977077463,1.08333325
67.0,449.7290039,1254.254761,454.27005,1645.020386,307.8442993,979.4473877,347.6209717,1251.879028,1660000935976669.8,0.6661919672666053,1.09999975
68.0,449.7290039,1254.254761,454.27005,1645.020386,307.5,979.5,347.9197388,1252.444458,1660000935993336.5,0.6663067235978766,1.1166665
69.0,449.7290039,1254.254761,454.27005,1645.020386,307.4425354,980.0,347.5548096,1252.479492,1660000936010003.2,0.6668391160453631,1.13333325
70.0,449.7290039,1254.254761,454.27005,1645.020386,307.4425354,980.0,347.1358948,1252.530762,1660000936026670.0,0.6668391160453631,1.15
71.0,449.7290039,1254.254761,454.27005,1645.020386,307.4425354,980.0,347.1358948,1252.530762,1660000936043336.8,0.6668391160453631,1.16666675
72.0,449.7290039,1254.254761,454.27005,1645.020386,307.5660706,979.8895264,347.1358948,1252.530762,1660000936060003.2,0.6667022250034214,1.18333325
73.0,449.7290039,1254.254761,454.27005,1645.020386,307.5660706,979.8895264,347.1358948,1252.530762,1660000936076670.0,0.6667022250034214,1.2
74.0,449.7290039,1254.254761,454.27005,1645.020386,307.253479,979.9421387,346.8392334,1252.314453,1660000936093336.5,0.6668112613424911,1.2166665
75.0,449.7290039,1254.254761,454.27005,1645.020386,307.253479,979.9421387,346.8392334,1252.314453,1660000936110003.2,0.6668112613424911,1.23333325
76.0,449.7290039,1254.254761,454.27005,1645.020386,307.1376038,980.0523071,346.7785645,1252.323975,1660000936126670.0,0.6669464060965489,1.25
77.0,449.7290039,1254.254761,454.27005,1645.020386,307.4425354,980.0,346.7785645,1252.323975,1660000936143336.5,0.6668391160453631,1.2666665
78.0,449.7290039,1254.254761,454.27005,1645.020386,307.3235168,979.8686523,346.7031555,1252.469604,1660000936160003.2,0.6667223622625057,1.28333325
79.0,449.7290039,1254.254761,454.27005,1645.020386,307.253479,980.1237793,346.7785645,1252.323975,1660000936176669.8,0.6670012088491091,1.29999975
80.0,449.7290039,1254.254761,454.27005,1645.020386,306.818512,980.0333252,346.6087952,1252.652832,1660000936193336.5,0.6669812792895556,1.3166665
