Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m)
1658961919490295,-0.03241016250858308,0.8452887769893946,0.5442587930113678,0,0,0,0.0001304644094638934,0.001216189010533928,-0.5446278100919423
1658961919506292,-0.02874799725337596,0.8600595101853967,0.5447470817120621,-0.000640338164286623,0.0005362630132290917,-0.0002952590951628551,-0.0001997983733438751,0.0006803188380815975,-0.5442135951034925
1658961919522289,-0.02166781109330884,0.8495613031204696,0.5473105973907071,-0.001368899467726666,0.001347987837660842,-0.0003713275794286962,-0.0005304909625189787,6.922547595203062e-05,-0.5437979495428673
1658961919538286,-0.02301060502021812,0.8349126420996411,0.5448691538872357,-0.002180269884928622,0.002419097188217247,-0.0002745167338300305,-0.0008595280856244268,-0.0006982008333190592,-0.5433818115092306
1658961919554283,-0.03363088426031879,0.8408941786831461,0.5464560921644921,-0.003061072507553522,0.003727351678869202,-5.077274311711261e-05,-0.001184719848783035,-0.001502807248168882,-0.5429662599303099
1658961919570280,-0.03497367818722807,0.8570077058060575,0.5442587930113678,-0.003998842194922591,0.00522179539354382,0.0002804290754382903,-0.00150412051687773,-0.002340519791596247,-0.542552102079039
1658961919586277,-0.01971465629053171,0.8601815823605703,0.5430380712596321,-0.004991320850912741,0.006829073614902202,0.0006991710896804319,-0.001816486587030706,-0.003204125356431002,-0.5421400458171041
1658961919602274,-0.01690699626153958,0.8500495918211639,0.5403524834058135,-0.006053359631470913,0.008480220966637779,0.001163971842096755,-0.002121313428982355,-0.004069071830429766,-0.541731048529965
1658961919618270,-0.02630655374990454,0.8456549935149154,0.54535744258793,-0.007218787639379873,0.0101274835045394,0.001632728581131058,-0.002418569146408517,-0.004862916284103984,-0.5413269832424606
1658961919634267,-0.03167772945754166,0.8460212100404361,0.5430380712596321,-0.00853556730223076,0.0117502132932646,0.002077581086509308,-0.002708414332238077,-0.00557446943805674,-0.5409301328489641
1658961919650264,-0.03204394598306237,0.837232013427939,0.5432822156099792,-0.0100545419027964,0.01334964036842722,0.002480187911235517,-0.002990957788829356,-0.006181764364484052,-0.5405437084626007
1658961919666261,-0.03143358510719452,0.8572518501564046,0.5437705043106735,-0.0118149418614644,0.01493225740633439,0.002838869071934243,-0.003266173256472867,-0.006688193024585326,-0.5401714032602346
