Frame #,Hand Pink X,Hand Pink Y,Body Pink X,Body Pink Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X,Shoulder Green Y,Timestamp (microseconds),angles,Seconds,Hand Pink X meters,Body Pink X meters,Elbow Orange X meters,Shoulder Green X meters,Hand Pink Y meters,Body Pink Y meters,Elbow Orange Y meters,Shoulder Green Y meters,angular velocity,Hand Pink m/s,Body Pink m/s,Elbow Orange m/s,Shoulder Green m/s
1.0,588.3406372,1619.340576,887.3996582,1300.600342,728.0,1302.5,794.6206055,1010.918701,1658970129000000.0,0.0,0.0,0.5097459127995416,-0.7688545039825107,0.6307485851804532,0.6884695366406045,-1.4030175511501377,-1.126856903299057,-1.1285027914801378,-0.8758729950387523,,,,,
2.0,588.0471802,1619.515503,887.5,1300.5,728.0,1302.5,794.4741211,1010.939636,1658970129016666.8,0.0197756316233388,0.01666675,0.5094916578715728,-0.7689414414116101,0.6307485851804532,0.688342620668007,-1.4031691101580497,-1.126769965696675,-1.1285027914801378,-0.8758911333926406,1.1865319647405042,0.01775996972386192,0.00737689283037815,0.0,0.007692333217934326
3.0,588.1312866,1619.74585,887.5,1300.5,728.0,1302.5,794.2339478,1010.804077,1658970129033333.2,0.0060978302773666,0.03333325,0.5095645287408099,-0.7689414414116101,0.6307485851804532,0.6881345314246372,-1.403368685768421,-1.126769965696675,-1.1285027914801378,-0.8757736833274503,-0.8206762875212071,0.01274778867955574,0.0,0.0,0.014336817766501446
4.0,588.3494873,1619.483887,887.3685303,1300.36853,728.0,1302.5,794.2339478,1010.804077,1658970129050000.0,0.0048430592869754,0.05,0.5097535806402748,-0.7688275343686581,0.6307485851804532,0.6881345314246372,-1.4031417176480645,-1.126656058393799,-1.1285027914801378,-0.8757736833274503,-0.0752858829940569,0.01772338946302598,0.009665344127198392,0.0,0.0
5.0,588.3494873,1619.483887,887.3685303,1300.36853,728.0,1302.759644,794.5291138,1010.867737,1658970129066666.5,0.0048483340518965,0.0666665,0.5097535806402748,-0.7688275343686581,0.6307485851804532,0.688390267052238,-1.4031417176480645,-1.126656058393799,-1.1287277503889983,-0.875828839172138,0.0003164890601566,0.0,0.0,0.013497534531632382,0.015696953919133703
6.0,588.557251,1620.107666,887.3685303,1300.36853,728.5,1302.5,794.2714844,1011.037659,1658970129083333.2,-0.040208474302921,0.08333325,0.5099335897883885,-0.7688275343686581,0.6311817916263189,0.6881670536187889,-1.4036821678152558,-1.126656058393799,-1.1285027914801378,-0.8759760617835267,-2.703394984314129,0.03417839720990816,0.0,0.029288011327082322,0.0160435483305426
7.0,588.557251,1620.107666,887.3685303,1300.36853,728.1635132,1302.710693,793.7349243,1011.10498,1658970129100000.0,-0.0401787733306089,0.1,0.5099335897883885,-0.7688275343686581,0.6308902551249015,0.6877021710309603,-1.4036821678152558,-1.126656058393799,-1.1286853386115352,-0.8760343895658109,0.0017820494284788,0.0,0.0,0.020638341808986233,0.02811164567130033
8.0,588.5704956,1619.942017,887.2679443,1300.475464,727.8312988,1302.637817,793.7349243,1011.10498,1658970129116666.5,-0.0365816104918662,0.1166665,0.5099450650805744,-0.7687403853615303,0.6306024202859226,0.6877021710309603,-1.4035386473861535,-1.1267487073899636,-1.1286221979056374,-0.8760343895658109,0.2158319286438485,0.00863870738256655,0.0076317513954002065,0.01768073289704175,0.0
9.0,588.8952637,1620.231689,887.2679443,1300.475464,728.5,1302.5,793.7349243,1011.10498,1658970129133333.5,-0.0722677263724089,0.1333335,0.5102264483492375,-0.7687403853615303,0.6311817916263189,0.6877021710309603,-1.403789622941327,-1.1267487073899636,-1.1285027914801378,-0.8760343895658109,-2.1411241303499566,0.022622886275656267,0.0,0.0354928804168336,0.0
10.0,589.1461182,1620.371094,887.3685303,1300.36853,728.5,1303.5,793.6505127,1011.053772,1658970129150000.0,-0.0974130075852726,0.15,0.5104437919219864,-0.7688275343686581,0.6311817916263189,0.6876290357325087,-1.403910405230499,-1.126656058393799,-1.129369204371869,-0.8759900222944512,-1.508731960091423,0.01491897194763949,0.0076317513954002065,0.05198477350387698,0.005132447362717393
