Frame #,Body Pink X,Body Pink Y,Hand Pink X,Hand Pink Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X,Shoulder Green Y,Timestamp (microseconds),angles,Seconds,Body Pink X meters,Hand Pink X meters,Elbow Orange X meters,Shoulder Green X meters,Body Pink Y meters,Hand Pink Y meters,Elbow Orange Y meters,Shoulder Green Y meters,angular velocity
1.0,362.26828,1356.609741,413.6107178,1863.496338,269.256134,1427.15564,201.2259827,1191.310791,1660787162000000.0,0.0,0.0,-0.1970566189756073,0.2249844497060081,0.1464624598225466,0.1094573110317747,-0.7379308197527932,-1.0136528868597208,-0.7763044149776764,-0.6480160963129767,
2.0,362.4346008,1356.122314,414.7439575,1863.765747,269.7173767,1427.128052,202.5792389,1189.934448,1660787162016666.8,0.0811742401212092,0.01666675,-0.1971470895365775,0.2256008779060452,0.1467133537925878,0.1101934176856053,-0.7376656827758062,-1.0137994324713364,-0.7762894084250622,-0.6472674315440636,4.870430055122276
3.0,362.6450195,1356.151489,415.2514648,1864.163696,270.7799377,1427.023438,203.0,1190.0,1660787162033333.2,0.1107987986140282,0.03333325,-0.1972615472461823,0.2258769376058992,0.1472913361600071,0.1104222916012638,-0.7376815525805229,-1.014015897695575,-0.7762325034121874,-0.6473030886970639,1.7774912844819841
4.0,362.6450195,1356.151489,415.2514648,1864.163696,271.5465088,1426.4729,203.5,1189.663818,1660787162050000.0,0.1108467147323776,0.05,-0.1972615472461823,0.2258769376058992,0.1477083141774323,0.1106942676889516,-0.7376815525805229,-1.014015897695575,-0.7759330370694604,-0.6471202217668417,0.0028749527262008894
5.0,362.6450195,1356.151489,415.2514648,1864.163696,272.3847961,1426.191772,204.1651154,1189.809937,1660787162066666.5,0.1109762693551159,0.0666665,-0.1972615472461823,0.2258769376058992,0.1481643023778571,0.1110560586576575,-0.7376815525805229,-1.014015897695575,-0.7757801168823013,-0.6471997035147554,0.007773355097848704
6.0,362.5,1356.0,416.131958,1864.690918,273.0866699,1426.067993,204.7612,1188.442749,1660787162083333.2,0.1662264555155221,0.08333325,-0.1971826635736854,0.2263558837974427,0.1485460881582063,0.1113803001725354,-0.7375991498094274,-1.014302681249381,-0.7757127870259856,-0.646456018628008,3.3149945946513997
7.0,362.6465759,1355.730957,416.1173706,1864.61499,273.2487793,1425.9375,205.3967133,1188.035156,1660787162100000.0,0.1670358383041393,0.1,-0.197262393853348,0.2263479489494796,0.1486342679189851,0.1117259890145506,-0.7374528032843077,-1.014261380048609,-0.7756418050747643,-0.6462343075289899,0.04856272450340926
8.0,362.694458,1355.952393,415.9671326,1865.065674,273.3886719,1425.666626,205.4491577,1187.550903,1660787162116666.5,0.1445717237912019,0.1166665,-0.1972884394258046,0.2262662266625555,0.1487103628030741,0.1117545162600169,-0.7375732538782143,-1.014506530590816,-0.7754944625732115,-0.6459708970562078,-1.3478603493797374
9.0,362.694458,1355.952393,415.9671326,1865.065674,273.5658875,1425.288086,205.5,1187.5,1660787162133333.5,0.1445808114053633,0.1333335,-0.1972884394258046,0.2262662266625555,0.1488067596142046,0.111782172039703,-0.7375732538782143,-1.014506530590816,-0.7752885549167449,-0.6459432082586246,0.000545245944765533
10.0,362.694458,1355.952393,415.9671326,1865.065674,273.6642456,1425.397583,205.5,1187.5,1660787162150000.0,0.1445808114053633,0.15,-0.1972884394258046,0.2262662266625555,0.1488602617166654,0.111782172039703,-0.7375732538782143,-1.014506530590816,-0.775348116048092,-0.6459432082586246,0.0
11.0,363.0,1356.0,414.3398743,1865.071899,273.6642456,1425.397583,205.4289856,1187.597046,1660787162166666.8,0.0188359116222617,0.16666675,-0.1974546396613732,0.2253810759703724,0.1488602617166654,0.11174354360234,-0.7375991498094274,-1.0145099166931075,-0.775348116048092,-0.6459959966414363,-7.544656263704774
