Frame #,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds
44.0,383.6359253,1836.685547,210.0555573,1071.075806,270.0545349,1378.090942,1660173588716666.8,0.1820783593031165,0.71666675
45.0,383.1686401,1836.541138,210.0555573,1071.075806,270.4212646,1377.692139,1660173588733333.2,0.151138707392001,0.73333325
46.0,383.3601074,1837.165405,210.0555573,1071.075806,270.5240173,1377.78894,1660173588750000.0,0.1547166054284689,0.75
47.0,384.0,1837.0,210.0555573,1071.075806,270.5296936,1378.056274,1660173588766666.8,0.2029076922003949,0.76666675
48.0,383.6610718,1837.338989,210.0555573,1071.075806,270.7682495,1378.104736,1660173588783333.2,0.1733304089000756,0.78333325
49.0,384.2551575,1837.975342,210.0555573,1071.075806,270.7682495,1378.104736,1660173588800000.0,0.2052986323993831,0.8
50.0,384.096344,1837.680176,210.0555573,1071.075806,271.1953125,1378.032349,1660173588816666.5,0.1987763301732056,0.8166665
51.0,383.6381836,1837.638184,210.0555573,1071.075806,270.8110962,1378.033325,1660173588833333.2,0.1668838078574367,0.83333325
52.0,383.2520447,1836.512207,210.0555573,1071.075806,270.9301453,1377.782593,1660173588850000.0,0.1575438463723078,0.85
53.0,383.5,1837.5,210.0555573,1071.075806,271.4325867,1377.819214,1660173588866666.5,0.1592823296434215,0.8666665
54.0,383.6801758,1836.968506,212.8362885,1071.145996,271.5932312,1377.806519,1660173588883333.5,0.1814123396726004,0.8833335
55.0,384.2536621,1837.253662,212.8362885,1071.145996,271.794281,1377.93396,1660173588900000.0,0.2177318222786432,0.9
56.0,384.6488037,1838.039673,212.8362885,1071.145996,272.0565186,1378.262329,1660173588916666.8,0.2333318687486977,0.91666675
57.0,385.4794617,1838.210083,212.8362885,1071.145996,272.0935059,1378.260986,1660173588933333.5,0.2896845309532503,0.9333335
58.0,385.6056519,1838.394287,212.8362885,1071.145996,272.0809631,1378.533325,1660173588950000.0,0.2957067978339009,0.95
59.0,385.4788818,1838.924927,212.8362885,1071.145996,272.2592468,1378.512085,1660173588966666.8,0.2782152340551191,0.96666675
60.0,385.3601074,1838.785889,212.961853,1072.127686,272.4079285,1378.863525,1660173588983333.2,0.2723019336770332,0.98333325
61.0,386.434906,1838.950562,212.7641907,1072.75354,272.4033508,1379.185669,1660173589000000.0,0.3461890523413944,1.0
62.0,386.137146,1839.208862,212.7641907,1072.75354,272.6105652,1379.328491,1660173589016666.8,0.3208525905057303,1.01666675
63.0,385.8722839,1839.567139,212.7087708,1072.735107,272.5194092,1379.385132,1660173589033333.2,0.2962260298940869,1.03333325
64.0,385.816864,1839.31897,212.7087708,1072.735107,272.3684998,1378.63147,1660173589050000.0,0.2962701793829296,1.05
65.0,385.5862122,1839.432129,212.7087708,1072.735107,272.2841187,1378.919067,1660173589066666.5,0.2780514654014321,1.0666665
66.0,385.4009705,1839.516968,213.4078064,1072.085083,272.4015503,1378.367432,1660173589083333.2,0.2637569811885168,1.08333325
67.0,385.2512512,1839.487549,213.4078064,1072.085083,272.1387634,1378.892944,1660173589100000.0,0.2535815696802695,1.1
68.0,385.2095947,1839.426758,213.5678406,1071.745361,272.1718445,1378.789673,1660173589116666.5,0.2516011903095819,1.1166665
69.0,384.8491516,1839.311401,213.6411591,1071.692139,272.1796265,1378.797729,1660173589133333.5,0.227835329561534,1.1333335
70.0,384.1568604,1838.907837,213.7556763,1071.755615,272.2217102,1378.69458,1660173589150000.0,0.1850414982302511,1.15
71.0,384.8491516,1839.311401,213.7556763,1071.755615,272.1689758,1378.688232,1660173589166666.8,0.2279053093963683,1.16666675
72.0,385.4240417,1839.913818,212.0,1075.0,272.4803772,1378.516357,1660173589183333.5,0.2588620817654923,1.1833335
73.0,385.2344971,1840.278076,212.0,1075.0,272.3444519,1378.468262,1660173589200000.0,0.2394824999529605,1.2
74.0,385.9120789,1840.119019,212.0,1075.0,272.5862732,1378.598022,1660173589216666.8,0.2903043497465637,1.21666675
75.0,385.9430237,1840.251099,212.0,1075.0,272.5862732,1378.598022,1660173589233333.2,0.2903700561040641,1.23333325
76.0,385.6688232,1840.668823,212.0,1075.0,272.5,1378.772583,1660173589250000.0,0.2641005552055341,1.25
77.0,385.0826721,1840.005127,214.079834,1071.916138,272.5,1378.772583,1660173589266666.8,0.2337250794463432,1.26666675
78.0,385.4321899,1840.214722,214.5627441,1071.81958,272.5,1378.772583,1660173589283333.2,0.2555159086992172,1.28333325
79.0,385.2415466,1839.82605,214.5627441,1071.81958,272.5,1378.772583,1660173589300000.0,0.2481073596749133,1.3
80.0,384.9479065,1840.934082,214.5627441,1071.81958,272.5534058,1378.409424,1660173589316666.5,0.2097754179286481,1.3166665
81.0,385.5527649,1841.482422,214.5627441,1071.81958,272.5820618,1378.658203,1660173589333333.2,0.2440717530534659,1.33333325
82.0,385.4764404,1841.486938,214.5627441,1071.81958,272.5534058,1378.409424,1660173589350000.0,0.2385859338044488,1.35
83.0,385.5865784,1841.935425,214.5627441,1071.81958,272.5862732,1378.598022,1660173589366666.5,0.2393336834260761,1.3666665
84.0,385.5678101,1842.785278,217.0,1075.0,272.0050964,1379.547607,1660173589383333.5,0.2270216909063601,1.3833335
85.0,384.6908569,1841.857544,217.0,1075.0,272.0922241,1379.118164,1660173589400000.0,0.1790228416675154,1.4
86.0,384.4746704,1842.886108,217.0,1075.0,272.1095276,1379.401611,1660173589416666.8,0.1476080280380823,1.41666675
87.0,384.4758911,1843.108398,217.0,1075.0,271.8503723,1379.968872,1660173589433333.5,0.144242748903776,1.4333335
88.0,384.6688232,1843.376343,217.0,1075.0,271.5449524,1380.164551,1660173589450000.0,0.1538172798404499,1.45
89.0,384.6478271,1843.685547,215.6529236,1072.91748,271.7615051,1380.212646,1660173589466666.8,0.1463432369935577,1.46666675
90.0,384.5,1844.277832,215.7508698,1072.863159,271.7615051,1380.212646,1660173589483333.2,0.1267526707670729,1.48333325
