Frame #,Wrist Pink X,Wrist Pink Y,Hip Pink X,Hip Pink Y,Head Pink X,Head Pink Y,Elbow Pink X,Elbow Pink Y,Shoulder Green X,Shoulder Green Y,angles,Timestamp (microseconds),Seconds
33.0,581.4759521,1638.475952,834.607666,1368.12207,1027.643311,467.5159912,676.3760986,1272.822388,796.1494141,958.9721069,22.9024896,1658799172533333.2,0.53333325
34.0,580.7554932,1638.100586,834.607666,1368.12207,1027.643311,467.5159912,676.3760986,1272.822388,796.1494141,958.9721069,22.96683021,1658799172550000.0,0.55
35.0,580.7554932,1638.100586,834.607666,1368.12207,1027.643311,467.5159912,676.3760986,1272.822388,796.1948242,958.7994995,22.95756288,1658799172566666.5,0.5666665
36.0,580.7554932,1638.100586,834.607666,1368.12207,1027.643311,467.5159912,676.2014771,1272.815186,796.1948242,958.7994995,22.95756288,1658799172583333.2,0.58333325
37.0,580.7554932,1638.100586,834.607666,1368.12207,1027.551392,467.8462524,676.2014771,1272.815186,796.1948242,958.7994995,22.95756288,1658799172600000.0,0.6
38.0,580.5158081,1638.325806,834.6008911,1367.741333,1027.152344,468.1035156,676.0361328,1272.5,796.2609253,958.7096558,22.96700235,1658799172616666.5,0.6166665
39.0,580.5158081,1638.325806,834.6008911,1367.741333,1027.152344,468.1035156,675.8613281,1272.440186,796.2609253,958.7096558,22.96700235,1658799172633333.5,0.6333335
40.0,580.4799805,1638.47998,834.2536621,1367.572388,1027.152344,468.1035156,675.8613281,1272.440186,796.2200928,958.5534058,22.91669078,1658799172650000.0,0.65
41.0,580.4799805,1638.47998,834.2536621,1367.572388,1027.004639,468.097229,675.8613281,1272.440186,796.104187,958.4663696,22.92067297,1658799172666666.8,0.66666675
42.0,579.9689331,1638.265747,834.2536621,1367.572388,1027.004639,468.097229,675.4382324,1272.293823,796.104187,958.4663696,22.96500214,1658799172683333.5,0.6833335
43.0,579.9689331,1638.265747,834.2536621,1367.572388,1027.004639,468.097229,675.4382324,1272.293823,796.0201416,958.3294678,22.9651317,1658799172700000.0,0.7
44.0,579.9689331,1638.265747,834.2536621,1367.572388,1027.004639,468.097229,675.4382324,1272.293823,796.0201416,958.3294678,22.9651317,1658799172716666.8,0.71666675
45.0,579.4277954,1637.960205,834.2536621,1367.572388,1026.917725,468.491272,675.2844238,1272.135986,795.8306885,958.2299805,23.0220621,1658799172733333.2,0.73333325
46.0,579.4277954,1637.960205,834.1784668,1367.715942,1026.847168,468.1940613,675.2844238,1272.135986,795.8306885,958.2299805,23.00976339,1658799172750000.0,0.75
47.0,579.796936,1637.869751,834.1784668,1367.715942,1026.809692,468.0552368,675.2844238,1272.135986,795.869812,958.0461426,22.97441866,1658799172766666.8,0.76666675
48.0,579.796936,1637.869751,834.1784668,1367.715942,1026.904907,467.9023438,675.3081055,1271.987793,795.869812,958.0461426,22.97441866,1658799172783333.2,0.78333325
49.0,579.7310791,1637.765869,834.0599365,1367.297363,1026.904907,467.9023438,675.053833,1271.912842,795.7639771,957.8540649,22.97039026,1658799172800000.0,0.8
50.0,579.0014648,1637.151855,834.0599365,1367.297363,1026.533081,467.962616,675.085083,1271.381226,795.8739014,957.6231689,23.02574407,1658799172816666.5,0.8166665
51.0,578.9591675,1636.970581,834.0599365,1367.297363,1026.435913,468.1075745,674.947876,1271.28833,795.8739014,957.6231689,23.0334096,1658799172833333.2,0.83333325
52.0,579.680603,1636.918213,834.0599365,1367.297363,1026.435913,468.1075745,674.7914429,1271.146118,795.8739014,957.6231689,22.97945292,1658799172850000.0,0.85
53.0,578.2927856,1636.675537,834.0599365,1367.297363,1026.402954,468.0960693,674.8357544,1270.994385,795.8739014,957.6231689,23.09162875,1658799172866666.5,0.8666665
54.0,578.1682129,1636.415527,834.0599365,1367.297363,1026.435913,468.1075745,674.6262207,1270.810059,795.8739014,957.6231689,23.10754075,1658799172883333.5,0.8833335
55.0,578.6802368,1636.425781,834.0599365,1367.297363,1026.435913,468.1075745,674.5747681,1270.648804,795.8739014,957.6231689,23.06809288,1658799172900000.0,0.9
56.0,578.1682129,1636.415527,834.0599365,1367.297363,1026.435913,468.1075745,674.5747681,1270.648804,795.8739014,957.6231689,23.10754075,1658799172916666.8,0.91666675
57.0,577.4483643,1636.11499,834.0966797,1367.317261,1026.520508,468.1714172,674.3712158,1270.329224,795.8739014,957.6231689,23.17485493,1658799172933333.5,0.9333335
58.0,577.0858765,1636.296509,834.1533813,1367.151245,1026.435913,468.1075745,674.3165283,1269.743408,795.8739014,957.6231689,23.20812304,1658799172950000.0,0.95
59.0,576.9471436,1636.292969,834.1533813,1367.151245,1026.435913,468.1075745,674.3165283,1269.743408,795.6481323,956.0377197,23.1732787,1658799172966666.8,0.96666675
60.0,576.75354,1636.028931,834.1533813,1367.151245,1026.435913,468.1075745,674.2702637,1269.602905,795.6010132,955.8813477,23.1915889,1658799172983333.2,0.98333325
61.0,576.5119629,1635.703003,834.1533813,1367.151245,1026.435913,468.1075745,674.270813,1269.453247,795.4901123,955.538147,23.21200262,1658799173000000.0,1.0
62.0,576.1992798,1634.859619,834.1533813,1367.151245,1026.435913,468.1075745,673.817749,1269.182251,795.5950317,955.4957275,23.24857953,1658799173016666.8,1.01666675
63.0,575.9887085,1634.687744,834.1533813,1367.151245,1026.435913,468.1075745,673.6244507,1268.911865,795.3902588,954.977356,23.26200633,1658799173033333.2,1.03333325
64.0,575.2194824,1634.103149,834.1533813,1367.151245,1026.435913,468.1075745,673.4981079,1268.641846,795.4554443,954.739624,23.32220449,1658799173050000.0,1.05
65.0,575.2194824,1634.103149,834.1533813,1367.151245,1026.434937,467.9726868,672.9199829,1268.531616,795.4554443,954.739624,23.32220449,1658799173066666.5,1.0666665
66.0,574.2401123,1634.515259,834.1533813,1367.151245,1026.591431,467.8862,672.9682007,1268.112427,795.541687,954.4468384,23.37035046,1658799173083333.2,1.08333325
67.0,573.9802246,1634.87915,834.1533813,1367.151245,1026.591431,467.8862,673.2748413,1268.006958,795.6389771,954.3716431,23.37230845,1658799173100000.0,1.1
68.0,574.2468262,1633.743408,834.1533813,1367.151245,1026.591431,467.8862,672.9298706,1268.033813,795.5263672,953.84021,23.36707422,1658799173116666.5,1.1166665
69.0,573.9441528,1633.01355,834.0480957,1367.492188,1026.677368,467.9471741,672.6174316,1267.943848,795.6553345,953.6801147,23.37553851,1658799173133333.5,1.1333335
70.0,574.0606079,1633.132446,833.8566284,1367.40686,1027.035645,468.0421143,672.7946777,1266.870239,795.6898193,953.4070435,23.32615179,1658799173150000.0,1.15
71.0,573.8216553,1633.258667,833.8566284,1367.40686,1027.174805,467.9927673,672.9570923,1266.606812,796.1762085,952.8768311,23.29169387,1658799173166666.8,1.16666675
72.0,573.5302124,1632.467163,833.8566284,1367.40686,1027.38501,467.9135742,673.1122437,1265.94812,796.3706665,952.1437378,23.29437957,1658799173183333.5,1.1833335
73.0,573.069458,1631.836548,835.1027832,1366.406006,1027.787231,468.1138,672.8161621,1265.442871,796.5432739,951.8275757,23.50599587,1658799173200000.0,1.2
74.0,572.4535522,1631.132935,835.1886597,1366.248657,1027.960205,468.1077881,673.022583,1264.809082,796.9244385,951.1829224,23.5366451,1658799173216666.8,1.21666675
75.0,572.2553101,1630.498535,835.8325195,1364.749634,1028.237549,468.0284729,672.718811,1264.383789,796.9301758,950.6583862,23.65476023,1658799173233333.2,1.23333325
76.0,572.1123047,1630.677368,836.3143921,1363.635986,1028.237549,468.0284729,672.9508057,1263.525024,797.1142578,950.0,23.70534224,1658799173250000.0,1.25
77.0,571.8673706,1629.671753,836.3143921,1363.635986,1028.452759,468.23703,672.5299683,1262.733154,796.9703369,948.7833252,23.71162965,1658799173266666.8,1.26666675
