Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow X,Elbow Y,Timestamp (microseconds),angles,Seconds
45.0,301.8447876,1025.151367,748.3753052,1226.670532,470.848938,1208.848877,1658965323733333.2,136.28873363837695,0.73333325
46.0,301.1778564,1025.792236,748.3753052,1226.670532,470.4427185,1208.869751,1658965323750000.0,136.4196439516241,0.75
47.0,299.8611145,1026.709595,748.5117188,1226.66272,470.3132324,1209.013428,1658965323766666.8,136.7057869856261,0.76666675
48.0,299.3135071,1027.381714,748.4603271,1226.582031,470.4211426,1209.115479,1658965323783333.2,136.86963261138987,0.78333325
49.0,298.2969666,1028.335815,748.5436401,1226.76062,470.096344,1209.110107,1658965323800000.0,137.1688990201015,0.8
50.0,297.8132935,1029.197998,748.444458,1226.582031,469.8076172,1209.237183,1658965323816666.5,137.25287897707906,0.8166665
51.0,297.2696838,1029.5,748.3098755,1226.498657,469.8747864,1209.31543,1658965323833333.2,137.35937299061308,0.83333325
52.0,296.9253845,1029.652222,747.9251099,1226.263428,469.8747864,1209.31543,1658965323850000.0,137.39724365140697,0.85
53.0,296.1913452,1029.745728,747.7420654,1226.036499,469.8747864,1209.31543,1658965323866666.5,137.4890725377418,0.8666665
54.0,296.1080933,1030.183594,747.3449097,1225.658936,469.8747864,1209.31543,1658965323883333.5,137.49992815917832,0.8833335
55.0,295.7789307,1030.126099,747.3920898,1225.64624,469.8747864,1209.31543,1658965323900000.0,137.54174677712905,0.9
56.0,295.7854004,1030.2854,747.3549805,1225.530518,469.6786194,1209.321411,1658965323916666.8,137.50595827918625,0.91666675
57.0,295.8912659,1030.27063,747.7230835,1225.771973,469.7528992,1209.459351,1658965323933333.5,137.49408289128266,0.9333335
58.0,295.7948608,1030.796143,747.7006226,1225.638794,469.9142761,1209.633301,1658965323950000.0,137.53183201613808,0.95
59.0,296.2030945,1030.814819,748.0089722,1225.770508,470.027771,1209.546265,1658965323966666.8,137.54287823813593,0.96666675
60.0,296.821991,1031.244873,748.392334,1225.636475,470.027771,1209.546265,1658965323983333.2,137.47763874869705,0.98333325
61.0,297.2210693,1031.024292,748.4390259,1225.577271,470.3272095,1209.481689,1658965324000000.0,137.4402203707078,1.0
62.0,297.2470398,1031.163086,748.5,1225.5,470.751709,1209.525513,1658965324016666.8,137.50074209131105,1.01666675
63.0,297.2818604,1031.182495,748.5559692,1225.55603,471.0152283,1209.708984,1658965324033333.2,137.48836850368545,1.03333325
64.0,297.3262634,1031.054199,748.8740234,1225.792603,471.0152283,1209.708984,1658965324050000.0,137.50536567415858,1.05
65.0,297.4822693,1031.186768,749.2077026,1225.822144,471.0152283,1209.708984,1658965324066666.5,137.50298952504332,1.0666665
66.0,297.4055481,1031.318848,749.4296265,1225.678955,471.4861145,1209.694458,1658965324083333.2,137.5932738277494,1.08333325
67.0,297.4580383,1031.70752,749.5,1225.745728,471.4170837,1209.919434,1658965324100000.0,137.5654330065253,1.1
68.0,297.4795837,1031.985229,749.5300903,1226.40979,471.5,1210.198364,1658965324116666.5,137.65506081084823,1.1166665
69.0,297.0298157,1032.299072,749.6297607,1226.029541,471.282196,1210.388062,1658965324133333.5,137.59243639855984,1.1333335
70.0,296.9525452,1032.192017,749.6092529,1226.127319,470.6365356,1210.489624,1658965324150000.0,137.45736830817947,1.15
71.0,295.7229919,1032.769897,749.402832,1226.306274,470.5749512,1210.231079,1658965324166666.8,137.87528346728158,1.16666675
72.0,295.4822693,1033.186768,749.3861694,1226.525757,470.2862244,1210.558472,1658965324183333.5,137.85657570329923,1.1833335
73.0,294.9111938,1033.483521,749.187561,1226.515503,470.2862244,1210.558472,1658965324200000.0,137.99820046501534,1.2
74.0,294.3748779,1033.358521,749.1410522,1227.011597,470.2970276,1210.85144,1658965324216666.8,138.06216378556368,1.21666675
75.0,293.636261,1033.710571,748.9333496,1226.633301,470.2109375,1210.93396,1658965324233333.2,138.1187846769057,1.23333325
76.0,293.4610291,1033.973999,748.6638794,1226.659668,470.040802,1211.158203,1658965324250000.0,138.08652944604594,1.25
77.0,293.5288391,1034.455078,748.6863403,1226.610352,469.9892578,1210.883545,1658965324266666.8,138.23494903428548,1.26666675
78.0,293.371582,1034.585815,748.5512085,1226.30835,469.9892578,1210.883545,1658965324283333.2,138.22134447943887,1.28333325
79.0,293.3456116,1034.808228,748.6721191,1226.825806,469.6791992,1211.233154,1658965324300000.0,138.18404398653834,1.3
80.0,293.2915344,1034.873535,748.6721191,1226.825806,469.6791992,1211.233154,1658965324316666.5,138.20343476400436,1.3166665
81.0,293.170105,1034.684937,748.6721191,1226.825806,469.6791992,1211.233154,1658965324333333.2,138.1925303316054,1.33333325
82.0,293.0810852,1034.668945,748.6721191,1226.825806,469.6791992,1211.233154,1658965324350000.0,138.20437998589315,1.35
83.0,293.1180115,1034.599365,748.6721191,1226.825806,469.6791992,1211.233154,1658965324366666.5,138.18710187766592,1.3666665
84.0,293.0597534,1034.654053,748.6721191,1226.825806,469.7208862,1211.141968,1658965324383333.5,138.24613036201131,1.3833335
85.0,292.7920532,1034.72937,748.631897,1226.532837,469.6791992,1211.233154,1658965324400000.0,138.201503924288,1.4
86.0,292.6484375,1034.757813,748.6721191,1226.825806,469.6950989,1211.183228,1658965324416666.8,138.30998331540317,1.41666675
87.0,292.3828735,1034.881714,748.666687,1226.560303,469.7208862,1211.141968,1658965324433333.5,138.33835953893248,1.4333335
88.0,292.8198547,1034.848999,748.71698,1226.5,469.7208862,1211.141968,1658965324450000.0,138.24944923169943,1.45
89.0,292.8475037,1034.763672,748.6638794,1226.659668,470.040802,1211.158203,1658965324466666.8,138.3138562490696,1.46666675
90.0,293.2318726,1034.814941,748.6638794,1226.659668,470.040802,1211.158203,1658965324483333.2,138.25997361545902,1.48333325
91.0,293.3088074,1034.877319,748.8633423,1226.49231,470.2109375,1210.93396,1658965324500000.0,138.3329971005342,1.5
92.0,293.3905334,1034.879028,749.1115112,1225.898438,470.2109375,1210.93396,1658965324516666.8,138.1955621717217,1.51666675
93.0,293.3997803,1034.696655,748.6970825,1226.408691,470.2109375,1210.93396,1658965324533333.2,138.2736322143213,1.53333325
94.0,293.3997803,1034.696655,748.7252808,1226.503906,470.2109375,1210.93396,1658965324550000.0,138.292837775199,1.55
95.0,293.1356201,1035.260864,749.0723267,1226.581421,470.5,1210.959229,1658965324566666.5,138.4801181669622,1.5666665
96.0,292.7995605,1035.265747,749.02948,1225.862793,470.5,1210.959229,1658965324583333.2,138.38824811223046,1.58333325
97.0,292.3802795,1035.576416,749.0,1226.686401,470.5572815,1210.869751,1658965324600000.0,138.71855124329136,1.6
98.0,292.1985779,1035.400757,749.1140747,1226.561523,470.5,1210.959229,1658965324616666.5,138.64931679387658,1.6166665
99.0,291.9300842,1035.541992,748.8585205,1226.737427,470.5,1210.959229,1658965324633333.5,138.75449944861015,1.6333335
100.0,291.7716675,1035.566528,748.8585205,1226.737427,470.5,1210.959229,1658965324650000.0,138.78390528571757,1.65
101.0,291.9277954,1035.701538,749.1312866,1226.814453,470.5,1210.959229,1658965324666666.8,138.7935490416872,1.66666675
102.0,291.6900635,1035.744995,749.1312866,1226.814453,470.2109375,1210.93396,1658965324683333.5,138.7983547423365,1.6833335
103.0,291.4580383,1035.70752,749.1264648,1226.132813,470.2109375,1210.93396,1658965324700000.0,138.68989595614755,1.7
104.0,291.381958,1035.618042,749.1264648,1226.132813,470.2109375,1210.93396,1658965324716666.8,138.68746179128016,1.71666675
105.0,291.5441284,1035.481567,748.9407349,1226.003906,470.2970276,1210.85144,1658965324733333.2,138.65998670535336,1.73333325
106.0,291.7515259,1035.34668,749.1044312,1226.024048,470.2373657,1210.762573,1658965324750000.0,138.62948833005723,1.75
107.0,291.8884583,1034.883423,748.8421631,1225.865356,470.1485291,1210.296997,1658965324766666.8,138.65845644081804,1.76666675
108.0,292.2875671,1034.184326,748.8421631,1225.865356,470.1485291,1210.296997,1658965324783333.2,138.4803127105476,1.78333325
109.0,293.0439453,1033.62146,748.8174438,1225.87439,470.1485291,1210.296997,1658965324800000.0,138.26894879282284,1.8
110.0,293.0439453,1033.62146,748.8174438,1225.87439,470.1485291,1210.296997,1658965324816666.5,138.26894879282284,1.8166665
111.0,293.0439453,1033.62146,748.7764282,1225.935791,470.1485291,1210.296997,1658965324833333.2,138.28200551984116,1.83333325
112.0,292.9716187,1033.5,748.8174438,1225.611084,470.1485291,1210.296997,1658965324850000.0,138.20698654046717,1.85
113.0,293.058197,1033.577026,748.7764282,1225.935791,470.1485291,1210.296997,1658965324866666.5,138.27249608547226,1.8666665
114.0,293.0318604,1033.558594,748.666687,1225.794312,470.1485291,1210.296997,1658965324883333.5,138.246017624083,1.8833335
115.0,293.1867676,1033.4823,748.5409546,1225.665283,469.9853516,1209.876465,1658965324900000.0,138.30971830262644,1.9
116.0,293.2696838,1033.5,748.9802856,1225.717896,469.9853516,1209.876465,1658965324916666.8,138.30482713140665,1.91666675
117.0,293.4616394,1033.331055,748.8236694,1225.589478,470.0580444,1209.819214,1658965324933333.5,138.25543761743756,1.9333335
118.0,294.5842285,1033.036987,748.8236694,1225.589478,469.9142761,1209.633301,1658965324950000.0,138.06812034017398,1.95
