Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Head Pink X,Head Pink Y,Elbow Green X,Elbow Green Y,angles,Timestamp (microseconds),Seconds,Shoulder Pink X meters,Hand Pink X meters,Head Pink X meters,Elbow Green X meters,Shoulder Pink Y meters,Hand Pink Y meters,Head Pink Y meters,Elbow Green Y meters
1.0,322.0,1176.5,857.7617188,1275.206543,325.6712952,983.444458,546.5,1292.5,149.4943908,1658797399000000.0,0.0,0.27372015098877545,0.7291511403177874,0.27684098166103743,0.4645592003582788,1.0000986262058829,1.0840053648814731,0.835989333952902,1.098705885568299
2.0,322.0,1176.5,857.7617188,1275.206543,325.0253906,983.6971436,546.5,1292.5,149.4943908,1658797399016666.8,0.01666675,0.27372015098877545,0.7291511403177874,0.27629192232986866,0.4645592003582788,1.0000986262058829,1.0840053648814731,0.8362041325261463,1.098705885568299
3.0,321.7377625,1176.357056,857.7617188,1275.206543,324.8592834,983.7504272,546.5,1292.5,149.4928929,1658797399033333.2,0.03333325,0.2734972327027663,0.7291511403177874,0.27615072081476205,0.4645592003582788,0.9999771148603459,1.0840053648814731,0.8362494269206718,1.098705885568299
4.0,321.5,1176.5,857.7617188,1275.206543,324.3917542,983.994873,546.5,1292.5,149.5463407,1658797399050000.0,0.05,0.2732951196984202,0.7291511403177874,0.2757532917364525,0.4645592003582788,1.0000986262058829,1.0840053648814731,0.8364572211482637,1.098705885568299
5.0,321.5,1176.5,857.7617188,1275.206543,324.1841736,983.9797363,546.329834,1292.382446,149.5756403,1658797399066666.5,0.0666665,0.2732951196984202,0.7291511403177874,0.27557683523591114,0.46441454860916964,1.0000986262058829,1.0840053648814731,0.8364443540059983,1.0986059573116862
6.0,321.5,1176.5,857.7617188,1275.206543,324.0655823,983.9198608,546.329834,1292.382446,149.5756403,1658797399083333.2,0.08333325,0.2732951196984202,0.7291511403177874,0.27547602520938336,0.46441454860916964,1.0000986262058829,1.0840053648814731,0.8363934560839469,1.0986059573116862
7.0,321.5,1176.5,857.7617188,1275.206543,323.891571,984.1606445,546.329834,1292.382446,149.5756403,1658797399100000.0,0.1,0.2732951196984202,0.7291511403177874,0.27532810471463254,0.46441454860916964,1.0000986262058829,1.0840053648814731,0.8365981372973619,1.0986059573116862
8.0,321.5,1176.5,857.7617188,1275.206543,324.1712341,983.9198608,546.329834,1292.382446,149.5756403,1658797399116666.5,0.1166665,0.2732951196984202,0.7291511403177874,0.275565835851148,0.46441454860916964,1.0000986262058829,1.0840053648814731,0.8363934560839469,1.0986059573116862
9.0,321.5,1176.5,857.8880615,1275.318848,324.1712341,983.9198608,546.329834,1292.382446,149.5975086,1658797399133333.5,0.1333335,0.2732951196984202,0.7292585395194033,0.275565835851148,0.46441454860916964,1.0000986262058829,1.0841008311595997,0.8363934560839469,1.0986059573116862
10.0,321.5,1176.5,857.8880615,1275.318848,324.1712341,983.9198608,546.329834,1292.382446,149.5975086,1658797399150000.0,0.15,0.2732951196984202,0.7292585395194033,0.275565835851148,0.46441454860916964,1.0000986262058829,1.0841008311595997,0.8363934560839469,1.0986059573116862
11.0,321.5,1176.5,857.7753296,1275.191406,324.3540344,984.1958618,546.329834,1292.382446,149.5730018,1658797399166666.8,0.16666675,0.2732951196984202,0.7291627103495608,0.27572122754592066,0.46441454860916964,1.0000986262058829,1.0839924974841888,0.8366280742062856,1.0986059573116862
12.0,321.5613403,1176.715698,857.7753296,1275.191406,324.5402222,984.756958,546.329834,1292.382446,149.6100892,1658797399183333.5,0.1833335,0.2733472627921397,0.7291627103495608,0.2758794988276855,0.46441454860916964,1.000281983004417,1.0839924974841888,0.8371050410900844,1.0986059573116862
13.0,321.5613403,1176.715698,857.7753296,1275.191406,324.3536377,984.8443604,546.329834,1292.382446,149.6100892,1658797399200000.0,0.2,0.2733472627921397,0.7291627103495608,0.27572089032609487,0.46441454860916964,1.000281983004417,1.0839924974841888,0.8371793385997888,1.0986059573116862
14.0,321.5613403,1176.715698,857.7753296,1275.191406,324.7079468,984.9219971,546.329834,1292.382446,149.6100892,1658797399216666.8,0.21666675,0.2733472627921397,0.7291627103495608,0.2760220752340101,0.46441454860916964,1.000281983004417,1.0839924974841888,0.8372453346533485,1.0986059573116862
15.0,321.5613403,1176.715698,857.7753296,1275.191406,324.8766174,984.9519043,546.329834,1292.382446,149.6100892,1658797399233333.2,0.23333325,0.2733472627921397,0.7291627103495608,0.2761654557995361,0.46441454860916964,1.000281983004417,1.0839924974841888,0.8372707576449624,1.0986059573116862
16.0,321.9041443,1176.960205,857.7753296,1275.191406,323.7590027,984.5,546.329834,1292.382446,149.6238364,1658797399250000.0,0.25,0.2736386676450576,0.7291627103495608,0.27521541336341415,0.46441454860916964,1.0004898292558388,1.0839924974841888,0.8368866107094702,1.0986059573116862
17.0,322.1565857,1176.843384,857.7753296,1275.191406,324.641449,984.6414185,546.329834,1292.382446,149.5740043,1658797399266666.8,0.26666675,0.2738532586330198,0.7291627103495608,0.2759655479425306,0.46441454860916964,1.0003905240950977,1.0839924974841888,0.8370068252845404,1.0986059573116862
18.0,321.9041443,1176.960205,857.7753296,1275.191406,324.9321899,984.755188,546.329834,1292.382446,149.6238364,1658797399283333.2,0.28333325,0.2736386676450576,0.7291627103495608,0.2762126959023027,0.46441454860916964,1.0004898292558388,1.0839924974841888,0.8371035364793166,1.0986059573116862
