Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m),vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m)
1658797397038757,-0.03009079118028524,-0.3357595178149082,0.9765163653009843,0,0,0,9.095981180790231e-05,0.001213234981506719,-0.56321441149824,0,0,0,9.095921207161151e-05,0.001213230284762817,-0.5632144149311037
1658797397054755,-0.03167772945754166,-0.3413748378728925,0.9805447470817121,0.0005796519488528684,-0.0003327833166641841,-0.0004483819181044606,-0.0002040575927222399,0.001484740656230251,-0.5624293990903664,0.0005796306234990773,-0.0003327828855725366,-0.0004483864097215383,-0.0002040586440534041,0.001484736525613475,-0.5624293980453863
1658797397070754,-0.03387502861066594,-0.3422293430991075,0.9721217669947357,0.00109160080438774,-0.0007092508717953409,-0.001032846802935162,-0.0004984759182215469,0.001748870161689565,-0.5616454751510122,0.001091558150294437,-0.0007092500206926938,-0.001032855813729073,-0.0004984774061844073,0.001748866584121456,-0.5616454697568617
1658797397086752,-0.03375295643549237,-0.3366140230411232,0.9787136644541086,0.001548402840006702,-0.001120928202078865,-0.001730452287398721,-0.0007917489795230832,0.001996675801476837,-0.5608638910618585,0.00154833885527527,-0.001120926942036994,-0.001730465844721763,-0.0007917508893470154,0.001996672763955361,-0.5608638814457649
1658797397102750,-0.03314259555962451,-0.3375906004425118,0.9750514991989014,0.001967764812820134,-0.001571074082828024,-0.002511617395222137,-0.001083504044286371,0.002240342800272876,-0.5600856547871738,0.00196767949703989,-0.001571072424909427,-0.002511635526217543,-0.001083506361392576,0.00224034028987371,-0.5600856410749232
1658797397118749,-0.02984664682993809,-0.3372243839169911,0.9790798809796293,0.002369174931838564,-0.002063069269956635,-0.003343282285035243,-0.001373664437259261,0.002486533856927536,-0.5593114760804188,0.002369068286087448,-0.002063067225214146,-0.003343305016635591,-0.001373667147260082,0.00248653186080564,-0.5593114583963604
1658797397134747,-0.03216601815823594,-0.3345387960631725,0.9792019531548029,0.002770394476334857,-0.002597646384093246,-0.004192658836092736,-0.001662444896985627,0.002725206323600201,-0.5585417645346469,0.002770266503179981,-0.00259764396356965,-0.004192686195018388,-0.001662447985683926,0.002725204828991215,-0.5585417430016967
1658797397150745,-0.03179980163271523,-0.3390554665445946,0.9771267261768521,0.003184470519618181,-0.003166651377706337,-0.005034528145365798,-0.00195024035733805,0.002953459593028647,-0.5577766819204074,0.003184321223116254,-0.003166648592433988,-0.005034560158123347,-0.001950243810726615,0.00295345858725045,-0.5577766566600517
1658797397166744,-0.0319218738078888,-0.3422293430991075,0.9730983443961243,0.003617843391261632,-0.003754568661183979,-0.005853690001353081,-0.002237443104547042,0.003177652356702912,-0.557016233040405,0.003617672776959235,-0.00375456552218444,-0.005853726694233829,-0.002237446908808042,0.003177651827157158,-0.5570162041727036
1658797397182742,-0.03179980163271523,-0.3382009613183796,0.9789578088044557,0.004069983197896367,-0.004352973039599374,-0.006639503865907413,-0.002524382667760243,0.003397593412111536,-0.5562603733204052,0.004069791272830099,-0.004352969557883037,-0.006639545264985866,-0.00252438680926471,0.003397593346285241,-0.5562603409639937
1658797397198741,-0.03326466773479808,-0.3441824979018846,0.9716334782940415,0.00453465381099431,-0.004965320639690412,-0.007384065865581355,-0.002811428153376172,0.003606469700397145,-0.555509110018216,0.00453444058369081,-0.00496531682625611,-0.007384111996713717,-0.002811432618683529,0.003606470085864256,-0.5555090742903088
1658797397214739,-0.03033493553063238,-0.3366140230411232,0.9770046540016786,0.005002430721858779,-0.005598886016386664,-0.008084560086570805,-0.003099065801304637,0.003810950033049621,-0.5547625744986973,0.005002196202334609,-0.005598881882221247,-0.008084610975393492,-0.003099070577162246,0.003810950857472676,-0.5547625355150894
1658797397230737,-0.03228809033340951,-0.3368581673914703,0.9773708705271993,0.005463696626041069,-0.006257508785138624,-0.008741081659275084,-0.003387869740375168,0.004009625162188725,-0.5540210478582897,0.005463440825802475,-0.006257504341216533,-0.008741137331203234,-0.003387874813717918,0.004009626413320497,-0.5540210057333584
1658797397246736,-0.03155565728236809,-0.3372243839169911,0.9776150148775464,0.005911175124857455,-0.006935945965689517,-0.009355542868957078,-0.003678396454490581,0.004198933071338265,-0.5532849440134864,0.005910898056899988,-0.006935941222972343,-0.009355603349183093,-0.003678401812440496,0.004198934737023437,-0.5532848988601939
1658797397262734,-0.03033493553063238,-0.3413748378728925,0.9779812314030671,0.006341232598666192,-0.007619282497058047,-0.009935884134380658,-0.003971023564959895,0.004382850597665349,-0.5525547622835019,0.00634093427747418,-0.007619277466494132,-0.009935949447872756,-0.003971029194825758,0.004382852665842178,-0.5525547142133956
1658797397278732,-0.03033493553063238,-0.3396658274204625,0.9746852826733807,0.006753647600367198,-0.008290897984378274,-0.01049718358462857,-0.004265818422080617,0.00455929504180578,-0.5518310300817298,0.006753328041913077,-0.008290892676902346,-0.01049725375612938,-0.004265824311357621,0.004559297500507798,-0.5518309792049447
